Date,away_team,away_score,home_team,home_score,innings
2/14/2025,"Gonzaga
 Bulldogs",6,"UC Davis
 Aggies",1,9
2/14/2025,"Utah Valley
 Wolverines",2,"UC Riverside
 Highlanders",3,9
2/14/2025,"Cal Poly
 Mustangs",2,"UCLA
 Bruins",3,9
2/14/2025,"Lamar
 Cardinals",17,"CS Bakersfield
 Roadrunners",1,9
2/14/2025,"Campbell
 Camels",1,"UC Santa Barbara
 Gauchos",6,9
2/14/2025,"Marshall
 Thundering Herd",8,"Hawaii
 Rainbow Warriors",9,9
2/14/2025,"UC San Diego
 Tritons",1,"Pacific
 Tigers",2,9
2/14/2025,"CS Northridge
 Matadors",4,"Santa Clara
 Broncos",5,9
2/14/2025,"Northwestern
 Wildcats",6,"Long Beach St
 49ers",19,9
2/14/2025,"Nebraska
 Cornhuskers",5,"UC Irvine
 Anteaters",10,9
2/15/2025,"Stanford
 Cardinal",13,"CS Fullerton
 Titans",1,9
2/15/2025,"Gonzaga
 Bulldogs",1,"UC Davis
 Aggies",3,9
2/15/2025,"Utah Valley
 Wolverines",11,"UC Riverside
 Highlanders",6,9
2/15/2025,"Cal Poly
 Mustangs",2,"UCLA
 Bruins",18,9
2/15/2025,"Lamar
 Cardinals",1,"CS Bakersfield
 Roadrunners",8,9
2/15/2025,"Campbell
 Camels",2,"UC Santa Barbara
 Gauchos",7,9
2/15/2025,"Marshall
 Thundering Herd",2,"Hawaii
 Rainbow Warriors",6,9
2/15/2025,"Marshall
 Thundering Herd",6,"Hawaii
 Rainbow Warriors",7,9
2/15/2025,"UC San Diego
 Tritons",11,"Pacific
 Tigers",4,9
2/15/2025,"CS Northridge
 Matadors",11,"Santa Clara
 Broncos",9,9
2/15/2025,"Northwestern
 Wildcats",6,"Long Beach St
 49ers",2,9
2/15/2025,"New Mexico
 Lobos",4,"UC Irvine
 Anteaters",18,9
2/15/2025,"Stanford
 Cardinal",6,"CS Fullerton
 Titans",3,9
2/16/2025,"Stanford
 Cardinal",14,"CS Fullerton
 Titans",11,9
2/16/2025,"Gonzaga
 Bulldogs",1,"UC Davis
 Aggies",5,9
2/16/2025,"Utah Valley
 Wolverines",6,"UC Riverside
 Highlanders",7,9
2/16/2025,"Cal Poly
 Mustangs",0,"UCLA
 Bruins",16,9
2/16/2025,"Lamar
 Cardinals",13,"CS Bakersfield
 Roadrunners",3,9
