date,away_team,Away_score,home_team,home_score
3/7/2025,"CS Fullerton
Titans",9,"Cal Poly
Mustangs",10
3/7/2025,"Long Beach St
49ers",10,"UC Irvine
Anteaters",8
3/7/2025,"CS Bakersfield
Roadrunners",1,"UC San Diego
Tritons",9
3/7/2025,"Hawaii
Rainbow Warriors",17,"UC Riverside
Highlanders",5
3/7/2025,"CS Northridge
Matadors",3,"UC Santa Barbara
Gauchos",4
3/8/2025,"CS Fullerton
Titans",8,"Cal Poly
Mustangs",11
3/8/2025,"Long Beach St
49ers",6,"UC Irvine
Anteaters",8
3/8/2025,"CS Bakersfield
Roadrunners",10,"UC San Diego
Tritons",3
3/8/2025,"Hawaii
Rainbow Warriors",3,"UC Riverside
Highlanders",4
3/8/2025,"CS Northridge
Matadors",9,"UC Santa Barbara
Gauchos",11
3/9/2025,"CS Fullerton
Titans",4,"Cal Poly
Mustangs",10
3/9/2025,"Long Beach St
49ers",1,"UC Irvine
Anteaters",10
3/9/2025,"CS Bakersfield
Roadrunners",11,"UC San Diego
Tritons",7
3/9/2025,"Hawaii
Rainbow Warriors",4,"UC Riverside
Highlanders",7
3/9/2025,"CS Northridge
Matadors",9,"UC Santa Barbara
Gauchos",10
3/14/2025,"UC San Diego
Tritons",9,"CS Fullerton
Titans",7
3/14/2025,"Cal Poly
Mustangs",3,"Long Beach St
49ers",1
3/14/2025,"UC Santa Barbara
Gauchos",2,"Hawaii
Rainbow Warriors",1
3/14/2025,"UC Riverside
Highlanders",3,"UC Davis
Aggies",9
3/15/2025,"UC San Diego
Tritons",9,"CS Fullerton
Titans",5
3/15/2025,"UC Irvine
Anteaters",11,"CS Northridge
Matadors",3
3/15/2025,"Cal Poly
Mustangs",9,"Long Beach St
49ers",1
3/15/2025,"UC Santa Barbara
Gauchos",7,"Hawaii
Rainbow Warriors",15
3/15/2025,"UC Riverside
Highlanders",2,"UC Davis
Aggies",10
3/15/2025,"UC Irvine
Anteaters",15,"CS Northridge
Matadors",2
3/16/2025,"UC San Diego
Tritons",5,"CS Fullerton
Titans",12
3/16/2025,"UC Irvine
Anteaters",6,"CS Northridge
Matadors",2
3/16/2025,"Cal Poly
Mustangs",9,"Long Beach St
49ers",0
3/16/2025,"UC Santa Barbara
Gauchos",0,"Hawaii
Rainbow Warriors",1
3/16/2025,"UC Riverside
Highlanders",1,"UC Davis
Aggies",7
3/21/2025,"CS Fullerton
Titans",12,"UC Riverside
Highlanders",1
3/21/2025,"UC Irvine
Anteaters",10,"UC Santa Barbara
Gauchos",0
3/21/2025,"CS Northridge
Matadors",7,"CS Bakersfield
Roadrunners",11
3/21/2025,"Long Beach St
49ers",4,"UC San Diego
Tritons",7
3/22/2025,"CS Fullerton
Titans",18,"UC Riverside
Highlanders",3
