Opponent_Record,Wins,Losses,Location
48-18,0,3,away
29-29,1,0,away
30-26,1,2,away
24-30,3,1,home
31-29,1,0,away
29-27,3,0,home
29-30,1,0,away
22-31,3,0,away
48-16,1,2,home
12-42,1,0,away
27-28,3,0,away
31-29,1,0,away
26-25,3,0,home
29-30,1,0,home
35-21,2,1,home
20-30,1,0,home
36-18,1,2,home
31-29,1,0,home
43-17,0,3,home
20-30,0,1,away
18-38,3,0,away
12-42,1,0,away
15-34,2,1,away
16-36,3,0,home
29-27,1,0,away
43-17,0,1,neutral
35-21,1,0,neutral
43-17,2,0,neutral
44-21,0,1,neutral
42-16,1,0,away
29-29,1,0,neutral
44-21,0,1,neutral
