Opponent_Record,Wins,Losses,Location
33-29,1,0,neutral
30-23,1,0,neutral
43-18,0,1,neutral
37-23,0,1,home
20-33,2,1,away
24-31,1,0,home
27-31,3,0,home
28-30,1,0,away
22-31,2,1,home
48-18,0,1,away
15-34,3,0,away
36-18,3,0,away
37-23,1,0,away
16-36,3,0,home
28-30,1,0,home
48-16,1,2,away
27-28,2,1,away
29-29,0,1,home
35-21,3,0,home
48-18,1,0,home
29-27,1,0,neutral
43-19,3,0,away
26-25,1,2,home
30-27,1,0,away
18-38,3,0,away
29-27,1,2,home
35-21,1,0,neutral
43-19,1,2,neutral
36-24,0,1,neutral
31-29,1,0,neutral
36-24,1,0,neutral
48-18,0,1,neutral
