base_count_state,Outs,runs_remaining
0_0_0_0_0,0,0.9347176930669565
0_0_0_0_0,1,0.5424246422983392
0_0_0_0_0,2,0.2341761958447415
0_0_0_0_1,0,0.8435651586765699
0_0_0_0_1,1,0.4774085584508726
0_0_0_0_1,2,0.18097142857142856
0_0_0_0_2,0,0.7370806389211297
0_0_0_0_2,1,0.4020860284605433
0_0_0_0_2,2,0.12731696014828545
0_0_0_1_0,0,0.9916436251920123
0_0_0_1_0,1,0.5811310293845869
0_0_0_1_0,2,0.2554460580912863
0_0_0_1_1,0,0.8880819184087414
0_0_0_1_1,1,0.5148606509452348
0_0_0_1_1,2,0.20110079119367044
0_0_0_1_2,0,0.7756396077563961
0_0_0_1_2,1,0.42501234703396806
0_0_0_1_2,2,0.14070156335070388
0_0_0_2_0,0,1.07786410977021
0_0_0_2_0,1,0.6436723943308666
0_0_0_2_0,2,0.2654044750430293
0_0_0_2_1,0,0.9585633753704887
0_0_0_2_1,1,0.573447313328681
0_0_0_2_1,2,0.2084507042253521
0_0_0_2_2,0,0.7973508241407214
0_0_0_2_2,1,0.47704804483344876
0_0_0_2_2,2,0.16792738275340394
0_0_0_3_0,0,1.227551716299159
0_0_0_3_0,1,0.7592267135325131
0_0_0_3_0,2,0.2951777886020458
0_0_0_3_1,0,1.0968708787915118
0_0_0_3_1,1,0.6577315827862874
0_0_0_3_1,2,0.24093264248704663
0_0_0_3_2,0,0.932032346454588
0_0_0_3_2,1,0.5761185357350378
0_0_0_3_2,2,0.18792505204718946
0_0_1_0_0,0,1.6883561643835616
0_0_1_0_0,1,1.0278592375366569
0_0_1_0_0,2,0.6407894736842106
0_0_1_0_1,0,1.4857142857142858
0_0_1_0_1,1,0.9285714285714286
0_0_1_0_1,2,0.56286836935167
0_0_1_0_2,0,1.0964912280701755
0_0_1_0_2,1,0.6843971631205674
0_0_1_0_2,2,0.46435845213849286
0_0_1_1_0,0,1.680327868852459
0_0_1_1_0,1,1.0295566502463054
0_0_1_1_0,2,0.6301507537688442
0_0_1_1_1,0,1.7738693467336684
0_0_1_1_1,1,1.1015936254980079
0_0_1_1_1,2,0.5022075055187638
0_0_1_1_2,0,1.6075949367088607
0_0_1_1_2,1,0.799492385786802
0_0_1_1_2,2,0.3753351206434316
0_0_1_2_0,0,1.4382022471910112
0_0_1_2_0,1,0.9711934156378601
0_0_1_2_0,2,0.71
0_0_1_2_1,0,1.6106194690265487
0_0_1_2_1,1,1.1527777777777777
0_0_1_2_1,2,0.5464285714285714
0_0_1_2_2,0,1.4087591240875912
0_0_1_2_2,1,0.9454022988505747
0_0_1_2_2,2,0.40583554376657827
0_0_1_3_0,0,1.4411764705882353
0_0_1_3_0,1,1.125
0_0_1_3_0,2,0.9281045751633987
0_0_1_3_1,0,1.7
0_0_1_3_1,1,1.2116788321167884
0_0_1_3_1,2,0.6120996441281139
0_0_1_3_2,0,1.9052631578947368
0_0_1_3_2,1,1.0972222222222223
0_0_1_3_2,2,0.42066420664206644
0_1_0_0_0,0,1.5528066528066529
0_1_0_0_0,1,0.9347154830172033
0_1_0_0_0,2,0.40881516587677724
0_1_0_0_1,0,1.4317953861584753
0_1_0_0_1,1,0.8363026077975729
0_1_0_0_1,2,0.30844155844155846
0_1_0_0_2,0,1.2480705622932746
0_1_0_0_2,1,0.7189994678020224
0_1_0_0_2,2,0.23498465585269618
0_1_0_1_0,0,1.599017199017199
0_1_0_1_0,1,0.9673694779116466
0_1_0_1_0,2,0.4351032448377581
0_1_0_1_1,0,1.4591078066914498
0_1_0_1_1,1,0.8872458410351202
0_1_0_1_1,2,0.34988656415427277
0_1_0_1_2,0,1.3224852071005917
0_1_0_1_2,1,0.7103746397694525
0_1_0_1_2,2,0.2358490566037736
0_1_0_2_0,0,1.7079856972586411
0_1_0_2_0,1,1.0844471445929527
0_1_0_2_0,2,0.4618811881188119
0_1_0_2_1,0,1.6218220338983051
0_1_0_2_1,1,1.0015337423312884
0_1_0_2_1,2,0.4026079869600652
0_1_0_2_2,0,1.3617021276595744
0_1_0_2_2,1,0.8098765432098766
0_1_0_2_2,2,0.2648963730569948
0_1_0_3_0,0,1.7647058823529411
0_1_0_3_0,1,1.2307692307692308
0_1_0_3_0,2,0.5175757575757576
0_1_0_3_1,0,1.66793893129771
0_1_0_3_1,1,1.1164658634538152
0_1_0_3_1,2,0.4272373540856031
0_1_0_3_2,0,1.3946700507614214
0_1_0_3_2,1,0.966626936829559
0_1_0_3_2,2,0.28463356973995274
