PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,12:57:30.05,1,1,"Wood, Gage",805906,Right,ARK_RAZ,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,96.22317,-1.66073,-4.130147,2159.430254,210.590249,1:00,5.58655,2.70088,6.41929,-12.83422,16.75776,9.3652,2.98597,-0.32199,88.08239,-4.138635,-2.439373,0.391524,,,,,,,,,,,,-6.04926,9.51123,-2.40999,50,5.46177,9.69456,-139.59075,-4.40374,-11.96818,30.62643,-13.35651,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,62596c80-ebcf-11ef-a032-69833da866d5,96.27111,,,8.14078,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:57:30.05,2025-02-15T12:57:30.0577280-06:00,2025-02-15T18:57:30.0577280Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,3de2d506-2dd3-4804-91e9-ac9123119ce9,54.08069,-140.48321,15.31322,5.58442,-4.01453,-6.67825,-2.69757,10.04331,-5.98409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-15,12:57:59.65,1,2,"Wood, Gage",805906,Right,ARK_RAZ,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,89.53886,2.4363,-2.253265,2375.529043,99.307448,9:15,5.68293,2.68464,5.69225,-33.07199,1.82953,-5.13583,5.20059,0.15562,82.35803,-3.642851,-3.169487,0.4252,,,,,,,,,,,,2.02469,0.64551,-2.49203,50,5.86729,5.33887,-129.96363,4.31259,3.49262,25.05021,-31.06052,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,73faf940-ebcf-11ef-a032-69833da866d5,88.64636,,,7.18083,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:57:59.65,2025-02-15T12:57:59.6542464-06:00,2025-02-15T18:57:59.6542464Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,ab31e309-b6bd-4ecb-ad1d-67d89b186561,54.80647,-130.88679,12.52511,5.68727,5.45724,-15.53026,-2.68641,5.21015,1.74631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-15,12:58:11.10,1,3,"Wood, Gage",805906,Right,ARK_RAZ,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,96.44466,-1.920761,-2.673044,2127.85618,202.530924,12:45,5.59301,2.55705,6.55455,-11.34012,17.95005,7.06433,2.88426,0.69302,88.16117,-4.135692,-1.391247,0.389522,,,,,,,,,,,,-4.43126,10.22001,-2.37522,50,5.45504,6.24262,-140.06747,-4.96637,-8.81138,31.36166,-11.85201,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,7ad39920-ebcf-11ef-a032-69833da866d5,96.7658,,,8.28349,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:58:11.10,2025-02-15T12:58:11.1087104-06:00,2025-02-15T18:58:11.1087104Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,92ad0be7-fc82-458c-841f-bbdeb3f91795,53.94333,-140.94763,15.68083,5.58975,-4.63374,-5.926,-2.55389,6.48991,-4.40569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-15,12:58:27.78,1,4,"Wood, Gage",805906,Right,ARK_RAZ,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.37308,0.355099,-2.00804,2132.492567,207.51118,1:00,5.57545,2.80674,6.30766,-12.35024,17.90899,8.82898,4.87359,1.69189,86.8303,-2.049305,-0.412391,0.395914,,,,,,,,,,,,-5.12524,9.47276,-2.66338,50,5.59518,4.4723,-138.55266,0.55111,-9.94827,31.37842,-13.78707,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,84c7f7f0-ebcf-11ef-a032-69833da866d5,95.20371,,,8.54278,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:58:27.78,2025-02-15T12:58:27.7828608-06:00,2025-02-15T18:58:27.7828608Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,4132b133-6a87-46dc-baab-dde99d5c3380,54.18921,-139.49818,15.68921,5.57232,0.96655,-6.89353,-2.80265,4.77207,-4.97413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-15,12:58:44.18,1,5,"Wood, Gage",805906,Right,ARK_RAZ,"Hartman, Max",692160,Left,WAS_COU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,95.85512,-0.397914,-2.713092,2152.17333,215.83975,1:15,5.64043,2.42666,6.64661,-13.39717,16.09792,10.96981,4.15937,0.85565,87.59808,-2.995908,-0.718883,0.390883,,,,,,,,,,,,-6.483,8.84768,-2.24752,50,5.60764,6.14552,-139.31,-1.30342,-12.76155,30.80762,-14.75777,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,8e8ce250-ebcf-11ef-a032-69833da866d5,96.42904,,,8.25704,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:58:44.18,2025-02-15T12:58:44.1829888-06:00,2025-02-15T18:58:44.1829888Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,b08ac607-b4e3-44df-8c33-36c2bb945ef7,53.8512,-140.15909,15.40381,5.63796,-0.89668,-7.37888,-2.42174,6.49724,-6.38077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-15,12:59:09.67,2,1,"Wood, Gage",805906,Right,ARK_RAZ,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,96.52247,-0.130468,-3.081194,2166.41692,211.878341,1:00,5.62385,2.59409,6.51378,-12.82296,16.52639,9.69725,4.43537,0.5721,87.89122,-2.622968,-1.323953,0.389916,,,,,,,,,,,,-5.91985,8.95745,-2.38286,50,5.60873,7.12953,-140.16312,-0.64239,-11.75834,32.13631,-14.38225,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,9db99e80-ebcf-11ef-a032-69833da866d5,96.66818,,,8.63125,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:59:09.67,2025-02-15T12:59:09.6723456-06:00,2025-02-15T18:59:09.6723456Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,bdbc4fdd-57d0-4f42-8fbc-3cfb1121350e,53.98347,-141.07349,16.06815,5.62116,-0.23497,-7.19113,-2.58955,7.46263,-5.87917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-15,12:59:22.73,2,2,"Wood, Gage",805906,Right,ARK_RAZ,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,1,1,0,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,89.82348,1.756601,-3.091412,2220.65298,106.610899,9:30,5.67322,2.63094,6.21648,-32.14285,1.85937,-3.01776,4.61853,-0.47609,82.73861,-4.203753,-3.634629,0.419687,,,,,,,,,,,,0.7748,0.81878,-2.39781,50,5.78894,7.16739,-130.45555,2.92055,1.34589,25.38814,-30.75176,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,a582b8e0-ebcf-11ef-a032-69833da866d5,89.81092,,,7.08487,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:59:22.73,2025-02-15T12:59:22.7355648-06:00,2025-02-15T18:59:22.7355648Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,a68ea8b5-a0c8-4e72-b8bb-e9afab041532,54.28313,-131.28645,12.69407,5.67689,3.92699,-15.37588,-2.63166,7.12334,0.67295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-15,12:59:36.31,2,3,"Wood, Gage",805906,Right,ARK_RAZ,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,1,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,96.47839,-1.879087,-3.793401,2156.645937,211.322695,1:00,5.54185,2.64986,6.54255,-11.55804,17.78836,10.25875,2.85094,0.02066,88.11434,-4.135146,-1.935541,0.389896,,,,,,,,,,,,-6.40548,10.1178,-2.39094,50,5.4061,8.84762,-139.9679,-4.87441,-12.7182,31.33434,-12.08497,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,ad99f340-ebcf-11ef-a032-69833da866d5,96.67308,,,8.36406,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:59:36.31,2025-02-15T12:59:36.3142144-06:00,2025-02-15T18:59:36.3142144Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,4c554e74-fd9d-47b2-9873-639689e4d6fc,53.95549,-140.85063,15.66717,5.53862,-4.53397,-6.04249,-2.64524,9.2059,-6.3591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-15,12:59:50.37,2,4,"Wood, Gage",805906,Right,ARK_RAZ,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,1,2,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,97.18869,-0.801398,-3.234101,2236.017115,205.245024,12:45,5.55558,2.56734,6.75352,-10.30784,18.38225,8.23622,3.96336,0.2964,88.53732,-2.841921,-1.735325,0.385511,,,,,,,,,,,,-5.25327,10.20693,-2.35794,50,5.49839,7.63607,-141.15787,-2.18506,-10.58045,32.66642,-11.61659,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,b5fb07e0-ebcf-11ef-a032-69833da866d5,97.77255,,,8.65138,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,18:59:50.37,2025-02-15T12:59:50.3748096-06:00,2025-02-15T18:59:50.3748096Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,de0f0a61-2574-4f16-a556-423ad4d01b7c,53.74417,-142.02169,16.33321,5.55211,-1.87787,-5.8083,-2.56357,7.91585,-5.29023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-15,13:00:08.43,2,5,"Wood, Gage",805906,Right,ARK_RAZ,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,1,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,96.06278,-0.820153,-3.199802,2139.826084,204.385119,12:45,5.59739,2.60032,6.53163,-11.44197,18.16532,7.80756,3.89033,0.31268,87.55739,-3.061651,-1.784965,0.391625,,,,,,,,,,,,-4.97638,10.0241,-2.38109,50,5.53499,7.46815,-139.47894,-2.26229,-9.79276,31.684,-12.44808,ARK_RAZ,WAS_COU,BaumStadium,D1,SEC,20250215-BaumStadium-1,c0c2e350-ebcf-11ef-a032-69833da866d5,96.24617,,,8.50539,,,,,,,e3d6f785-1299-430b-a608-3384dc085ace,2025-02-15,19:00:08.43,2025-02-15T13:00:08.4306432-06:00,2025-02-15T19:00:08.4306432Z,,v3,3375,4505,15 February 2025 15:00-washst@arkansas,"Becker, Zane",815591,Right,ARK_RAZ,1cb995bb-14b2-4438-8144-b7d77fb1bc70,53.96589,-140.37694,15.842,5.59411,-1.90948,-6.22404,-2.59669,7.7457,-4.89638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
