PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-15,12:04:34.41,1,1,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.9089,-1.281048,-2.525963,2070.202423,207.917146,1:00,5.70324,2.01287,6.10741,-16.44627,15.36607,7.6591,3.14673,0.31374,85.68442,-4.392558,-1.147447,0.405947,,,,,,,,,,,,-4.59229,8.54646,-1.82273,50,5.59596,5.63463,-135.0224,-3.52293,-8.56494,26.56559,-16.23425,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,506106d0-ebc7-11ef-b0f6-c7eb40d2cc92,92.8507,,,7.22448,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:04:34.41,2025-02-15T12:04:34.4123904-06:00,2025-02-15T18:04:34.4123904Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,1390b148-08aa-4ae3-99c1-b7220601222a,54.39387,-135.88414,13.2828,5.70169,-2.99632,-8.11712,-2.01001,5.91247,-4.28247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-15,12:04:48.72,1,2,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.90125,-2.234651,-2.84381,2107.223408,205.905483,12:45,5.89056,1.78014,5.995,-14.12438,16.49111,7.58709,2.63906,-0.22515,87.67429,-4.9108,-1.481753,0.398238,,,,,,,,,,,,-4.60217,9.30741,-1.56015,50,5.70633,6.51595,-137.81625,-5.81593,-8.95976,27.10886,-14.05383,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,58cfd710-ebc7-11ef-b0f6-c7eb40d2cc92,94.64814,,,7.22696,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:04:48.72,2025-02-15T12:04:48.7248896-06:00,2025-02-15T18:04:48.7248896Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,5df211fc-2de4-4f35-915f-2db7ee013c69,54.50651,-138.69986,13.55443,5.88844,-5.35784,-7.02692,-1.7773,6.80799,-4.47988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-15,12:05:08.18,1,3,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,95.06399,-0.552165,-2.799519,2247.928486,203.80006,12:45,5.79169,1.64121,6.01504,-15.41198,15.31438,6.33693,3.99523,-0.42613,86.94075,-3.484628,-1.661665,0.398958,,,,,,,,,,,,-4.00524,8.30662,-1.42487,50,5.73982,6.46602,-138.01248,-1.80432,-7.74566,29.95149,-16.1101,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,64664d20-ebc7-11ef-b0f6-c7eb40d2cc92,94.47726,,,8.12324,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:05:08.18,2025-02-15T12:05:08.1845760-06:00,2025-02-15T18:05:08.1845760Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,a6df6977-0553-471f-847b-f1f873d9be38,54.48441,-138.98228,14.97575,5.78979,-1.28269,-8.05505,-1.63829,6.71681,-3.87283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-15,12:05:25.45,1,4,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.02164,2.126577,-0.018202,2257.091901,16.254992,6:30,5.92957,1.6867,5.49349,-56.98105,-10.3713,-3.44429,3.17139,1.38265,71.64741,-8.239846,-0.632665,0.491371,,,,,,,,,,,,1.725,-5.34386,-1.68274,50,6.0772,0.17122,-113.29871,2.24296,2.23875,20.99841,-39.10948,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,6eca0f90-ebc7-11ef-b0f6-c7eb40d2cc92,76.70869,,,6.37423,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:05:25.45,2025-02-15T12:05:25.4561280-06:00,2025-02-15T18:05:25.4561280Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,4605c3cb-5d7a-474e-8640-c6400abbfcd7,55.00954,-114.22339,10.4992,5.94052,3.96516,-19.55474,-1.68811,0.07264,1.11937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-15,12:06:17.27,1,5,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,95.60702,-2.432682,-3.217225,2171.254732,198.93055,12:45,5.79257,1.83818,5.96936,-13.82391,16.69115,5.39559,2.38019,-0.69819,87.51454,-5.067897,-2.249814,0.397584,,,,,,,,,,,,-3.66457,9.54615,-1.58613,50,5.59178,7.55582,-138.64057,-6.31716,-7.14528,30.47757,-13.56075,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,8d9e5d40-ebc7-11ef-b0f6-c7eb40d2cc92,94.80377,,,8.09248,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:06:17.27,2025-02-15T12:06:17.2754432-06:00,2025-02-15T18:06:17.2754432Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,5a21a76b-8293-419a-9bc3-8e8603a4934f,54.53148,-139.63318,15.23878,5.79033,-5.8755,-6.78038,-1.836,7.78853,-3.57264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-15,12:06:38.83,1,6,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.52552,-0.371667,-2.204017,2528.208622,89.393333,9:00,5.65043,1.97163,5.56649,-39.54175,1.06331,-16.89076,2.00782,-1.49592,76.85958,-7.586369,-5.214119,0.458629,56.34929,42.880613,109.701464,4807.756371,,,,,34.53663,,,8.01296,0.95886,-1.76975,50,5.59208,5.34029,-121.2674,-2.15881,11.90003,24.3112,-30.75005,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,9a6e3db0-ebc7-11ef-b0f6-c7eb40d2cc92,82.18504,25.67201,,6.66594,,,,2.59421,1.9185,1.80249,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:06:38.83,2025-02-15T12:06:38.8387840-06:00,2025-02-15T18:06:38.8387840Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,de185c5f-0b6f-4eb4-b4d1-0e0153f0a987,54.93632,-122.25301,12.1556,5.65433,-0.91216,-15.37503,-1.97647,4.85784,5.95001,,2.59421,-20.41608,-6.39982,2.16091,-0.5213,0.10952,-0.00596,-0.0214,0.01346,1.9185,56.23802,-25.20412,2.79471,-0.53569,0.0865,-0.00718,-0.01039,0.00689,1.80249,57.01531,-0.80243,0.01716,0.02952,-0.00906,0.00092,0.00144,-0.00087,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-02-15,12:07:01.28,1,7,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.27043,-1.093953,-2.252098,2626.564981,172.582876,11:45,5.79082,1.90305,5.47871,-30.2075,9.71441,-1.10374,2.24899,-0.29734,77.41647,-6.651335,-2.448554,0.454755,67.33407,45.984338,158.926206,3640.754936,-105.29202,51.3454,31.83619,194.16349,81.8854,163.779476,3.232838,-0.05484,5.55949,-1.70447,50,5.67417,4.85444,-122.29113,-3.36763,-0.0832,23.77642,-23.74234,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,a7e70850-ebc7-11ef-b0f6-c7eb40d2cc92,82.88523,52.38478,,6.85396,,,,2.80919,2.4098,0.24845,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:07:01.28,2025-02-15T12:07:01.2884992-06:00,2025-02-15T18:07:01.2884992Z,FlyBall,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,38ad70a8-4423-49d3-a9c2-0d4d847a5777,55.02219,-123.2637,11.88821,5.79206,-2.39646,-11.87117,-1.90311,4.85784,-0.0416,333.077581,2.80957,-64.04576,0.29447,0.74846,0.10397,-0.24651,0.10552,-0.019,0.00124,2.40944,71.03455,-29.66805,4.06154,-1.01969,0.34301,-0.11767,0.02411,-0.00198,0.24832,24.67919,-6.83854,2.48531,-0.52441,0.06498,-0.00851,0.00278,-0.00038,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-02-15,12:07:24.44,1,8,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.34482,-2.72509,-2.890015,2540.233707,110.227283,9:45,5.74196,2.07066,5.69773,-34.15959,5.18614,-10.30103,0.35068,-1.48323,77.64758,-8.986137,-4.730535,0.451461,,,,,,,,,,,,4.29701,3.94067,-1.82137,50,5.4917,6.66332,-123.49918,-7.05668,6.53342,28.1562,-26.1824,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,b59f9b10-ebc7-11ef-b0f6-c7eb40d2cc92,83.48993,,,7.69724,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:07:24.44,2025-02-15T12:07:24.4436992-06:00,2025-02-15T18:07:24.4436992Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,a589ad4d-d398-4d0b-a6cf-590097aff516,54.80049,-124.58882,14.0781,5.74518,-6.04343,-13.0912,-2.07435,6.41048,3.26671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-15,12:07:44.88,1,9,"Edders, Noah",1000113153,Right,TRO_TRJ,"Akers, Landon",1000239335,Right,BEL_KNI,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.96633,-2.040166,-1.83355,2302.077215,211.750031,1:00,5.70398,1.97157,6.04807,-14.71595,16.4715,9.63264,2.58714,1.07624,86.63539,-4.833003,-0.100285,0.40194,,,,,,,,,,,,-5.43445,9.2906,-1.83397,50,5.53698,3.95847,-136.55441,-5.30936,-10.35918,27.3874,-14.46429,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,c1df9790-ebc7-11ef-b0f6-c7eb40d2cc92,93.77621,,,7.33094,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:07:44.88,2025-02-15T12:07:44.8878080-06:00,2025-02-15T18:07:44.8878080Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,812914c2-07c7-48c9-898e-265e8f6cfaac,54.45331,-137.44466,13.6937,5.70192,-4.83918,-7.23215,-1.96812,4.2952,-5.17959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-15,12:08:13.61,2,1,"Edders, Noah",1000113153,Right,TRO_TRJ,"Scales, Luke",1000236644,Right,BEL_KNI,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.7665,-0.367164,-0.891397,2490.487602,119.486834,10:00,5.51505,2.15744,5.44572,-35.91888,4.17047,-5.36902,2.178,0.87535,77.57148,-6.923117,-1.847842,0.455707,,,,,,,,,,,,2.48681,2.54555,-2.07486,50,5.45773,2.11628,-121.75204,-2.05348,3.76889,21.74148,-28.31617,TRO_TRJ,BEL_KNI,RiddlePaceField,D1,SBELT,20250215-RiddlePaceField-1,d3106120-ebc7-11ef-b0f6-c7eb40d2cc92,82.71196,,,6.19502,,,,,,,218e04fc-59c5-4372-82f5-34c5fcb274f5,2025-02-15,18:08:13.61,2025-02-15T12:08:13.6153088-06:00,2025-02-15T18:08:13.6153088Z,,v3,471470,,,"Bryan, Brooks",804871,Right,TRO_TRJ,b6c994bf-7a75-4657-8d6c-bd770ed65683,55.0556,-122.6515,10.87074,5.51845,-0.88201,-14.15809,-2.15919,1.96036,1.88444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
