PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,13:00:48.42,1,1,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Holiday, Khi",1000066399,Right,SOU_IND16,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.91513,1.073612,-2.517418,2126.069813,243.5734,2:00,5.37725,1.7345,5.53916,-28.71183,8.59815,14.53013,3.9892,0.59077,78.85848,-4.280601,0.070201,0.439627,,,,,,,,,,,,-8.09056,4.39457,-1.52559,50,5.45184,4.93874,-127.28129,1.37746,-13.04086,30.37508,-25.09061,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,55d9dca0-ec98-11ef-bbfb-0349a8c4a90d,85.73741,,,9.05665,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:00:48.42,2025-02-16T13:00:48.4269056-06:00,2025-02-16T19:00:48.4269056Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,f449e1de-83e0-4e23-be5b-742f0b0e1587,54.95995,-128.45951,15.18754,5.37954,2.3507,-12.5453,-1.72697,5.44458,-6.52043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-16,13:01:01.01,1,2,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Holiday, Khi",1000066399,Right,SOU_IND16,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.34369,0.274734,-3.742652,2299.167983,250.158505,2:15,5.31584,1.81879,5.45852,-27.68183,8.48367,19.87753,3.26675,-0.0333,80.41196,-4.869373,-0.211894,0.432831,,,,,,,,,,,,-11.13103,4.56583,-1.5022,50,5.32146,7.54527,-129.2896,-0.38045,-18.58026,30.436,-24.55266,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,5d576f10-ec98-11ef-bbfb-0349a8c4a90d,87.08345,,,8.93173,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:01:01.01,2025-02-16T13:01:01.0146304-06:00,2025-02-16T19:01:01.0146304Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,35f1a9d7-3dd5-427e-ac91-d0cddc56d8f2,55.04261,-130.47128,15.218,5.31773,0.57281,-12.27633,-1.80915,8.26665,-9.29013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-16,13:01:14.92,1,3,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Holiday, Khi",1000066399,Right,SOU_IND16,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.32728,-0.168866,-1.674393,2240.718793,243.356007,2:00,5.42394,1.78298,5.52562,-26.74927,8.70831,15.14989,3.03688,1.47955,81.7307,-5.116326,1.026372,0.428574,,,,,,,,,,,,-8.09776,4.78177,-1.64761,50,5.39145,3.11779,-129.69897,-1.34542,-13.80673,26.88477,-24.02109,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,65a4fbb0-ec98-11ef-bbfb-0349a8c4a90d,87.94843,,,7.59658,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:01:14.92,2025-02-16T13:01:14.9249536-06:00,2025-02-16T19:01:14.9249536Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,5fbd7281-87f4-4f74-a570-43ddbfac3059,54.97741,-130.72665,13.44239,5.42533,-0.42721,-12.01055,-1.77687,3.64555,-6.90336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-16,13:01:31.69,1,4,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Holiday, Khi",1000066399,Right,SOU_IND16,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,89.31809,-0.081838,-3.906116,2314.043154,243.63396,2:00,5.36169,1.85245,5.50131,-25.96557,10.32583,18.0793,3.12116,-0.30028,80.0746,-4.932839,-0.693606,0.433584,99.73624,-8.079405,28.216076,,,,,18.76033,18.76033,24.167697,0.123862,-10.37843,5.61733,-1.52296,50,5.33738,7.99925,-129.17577,-1.09711,-17.21633,31.48539,-22.85572,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,6fa71620-ec98-11ef-bbfb-0349a8c4a90d,86.93227,2.77833,,9.24349,,,,1.42214,2.77833,-0.38762,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:01:31.69,2025-02-16T13:01:31.6945920-06:00,2025-02-16T19:01:31.6945920Z,GroundBall,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,2dab18d6-fd70-43e8-b035-55b5205a16c4,54.99934,-130.38862,15.7427,5.36269,-0.21669,-11.42786,-1.84388,8.66244,-8.60816,89.000997,1.42203,127.62969,-7.45254,,,,,,,2.77847,-20.5743,-15.00817,,,,,,,-0.38721,68.43087,-26.62732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-02-16,13:02:09.60,2,1,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Banyon, BJ",1000098807,Right,SOU_IND16,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.62768,-0.803909,-2.328685,2166.146856,249.487142,2:15,5.49131,1.68427,5.50875,-29.42222,8.05445,17.89556,2.28695,0.99648,79.0741,-6.260119,0.860646,0.440608,,,,,,,,,,,,-9.78252,4.71154,-1.49332,50,5.40155,4.37664,-126.96626,-2.82426,-15.72193,29.74326,-24.60193,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,864be680-ec98-11ef-bbfb-0349a8c4a90d,85.5465,,,8.55358,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:02:09.60,2025-02-16T13:02:09.6052736-06:00,2025-02-16T19:02:09.6052736Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,f420b657-2e3d-43bb-9f5d-0e4bd0b39512,54.99303,-128.13059,14.87163,5.49325,-1.86118,-12.30096,-1.6767,4.9921,-7.86096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-16,13:02:44.61,2,2,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Banyon, BJ",1000098807,Right,SOU_IND16,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.03299,1.107711,-3.723733,2252.91741,107.920067,9:30,5.33965,1.89658,5.11895,-41.64746,3.10823,-5.64485,2.91488,-2.0867,73.91755,-6.438896,-4.718185,0.481499,,,,,,,,,,,,1.86221,1.64185,-1.54104,50,5.41154,7.78046,-115.99887,0.769,2.55641,20.17126,-29.92014,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,9b372000-ec98-11ef-bbfb-0349a8c4a90d,78.28142,,,6.11545,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:02:44.61,2025-02-16T13:02:44.6188032-06:00,2025-02-16T19:02:44.6188032Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,5943b1a6-d9cf-446f-a314-94a0acc2ce24,55.38513,-116.93155,10.08563,5.344,2.15245,-14.96007,-1.89806,7.66226,1.27821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-16,13:03:09.41,2,3,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Banyon, BJ",1000098807,Right,SOU_IND16,Undefined,1,Top,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.83175,-0.610949,-2.37069,2303.093257,240.942016,2:00,5.50645,1.89626,5.46557,-24.68277,11.09131,17.59166,2.8772,1.14201,80.79755,-5.22164,0.760366,0.430483,,,,,,,,,,,,-9.59123,6.16103,-1.6997,50,5.43612,4.57881,-130.10901,-2.2593,-16.16859,31.5181,-21.788,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,a9d8b330-ec98-11ef-bbfb-0349a8c4a90d,87.55856,,,9.03421,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:03:09.41,2025-02-16T13:03:09.4133760-06:00,2025-02-16T19:03:09.4133760Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,355f8545-8b92-4733-95f7-7a207ed5e008,55.0349,-131.32302,15.75905,5.50698,-1.42008,-10.894,-1.88806,5.20159,-8.08429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-16,13:03:49.08,2,4,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Banyon, BJ",1000098807,Right,SOU_IND16,Undefined,1,Top,0,2,1,Fastball,Sinker,InPlay,Undefined,Bunt,Single,0,0,,87.69679,-0.216111,-1.871401,2102.220537,243.31382,2:00,5.48631,1.58364,5.49804,-28.10931,9.06367,15.50607,2.94161,1.12463,79.54763,-5.42985,0.891255,0.438819,,,,,,,,,,,,-8.44894,4.9937,-1.43092,50,5.44856,3.48774,-127.20556,-1.46855,-13.71553,28.35017,-24.06756,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,c1907a30-ec98-11ef-bbfb-0349a8c4a90d,85.89525,,,8.14916,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:03:49.08,2025-02-16T13:03:49.0832896-06:00,2025-02-16T19:03:49.0832896Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,c3990497-0dfe-438f-8003-3d3fc59dc68b,55.0052,-128.31621,14.17509,5.48762,-0.52567,-12.03378,-1.57808,4.02506,-6.85777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-16,13:04:28.17,3,1,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"McLellan, Patrick",1000305136,Right,SOU_IND16,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.41014,0.448218,-2.334536,2354.422752,112.677022,9:45,5.23184,1.81745,5.13033,-41.03057,4.16193,-6.93524,2.23514,-0.96048,73.61508,-6.987914,-3.560235,0.483843,,,,,,,,,,,,2.89091,2.33047,-1.59243,50,5.24194,4.97992,-115.2998,-0.53706,3.9313,19.39018,-29.00488,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,d8e14200-ec98-11ef-bbfb-0349a8c4a90d,77.90219,,,5.79506,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:04:28.17,2025-02-16T13:04:28.1747968-06:00,2025-02-16T19:04:28.1747968Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,b03361db-2d8e-4421-92bc-9562316802b6,55.37424,-116.20008,9.69509,5.23561,0.80963,-14.50244,-1.81941,4.7974,1.96565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-16,13:04:48.42,3,2,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"McLellan, Patrick",1000305136,Right,SOU_IND16,Undefined,1,Top,0,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.9098,0.847315,-2.20583,2275.006732,90.835052,9:00,5.22209,1.79304,5.0767,-43.38313,1.40854,-9.74304,2.40632,-1.09951,73.97044,-6.999841,-3.926181,0.481693,,,,,,,,,,,,4.29437,0.86441,-1.57566,50,5.26803,4.86876,-116.00609,0.15727,5.90096,20.00016,-30.98627,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,e4d82790-ec98-11ef-bbfb-0349a8c4a90d,78.24998,,,5.93937,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:04:48.42,2025-02-16T13:04:48.4200448-06:00,2025-02-16T19:04:48.4200448Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,33090dd4-3b5f-4def-9fe8-930c7d6198bd,55.42797,-116.93816,10.00008,5.22705,1.60133,-15.49314,-1.79615,4.59376,2.95048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-02-16,13:05:08.23,3,3,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"McLellan, Patrick",1000305136,Right,SOU_IND16,Undefined,1,Top,0,0,2,Fastball,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,1,0,,86.68262,0.638234,-3.496524,2258.529523,245.293387,2:15,5.45992,1.57658,5.35665,-28.91017,9.86989,18.25347,3.65048,-0.18575,77.577,-4.744067,-0.260045,0.448204,,,,,,,,,,,,-10.26343,5.15362,-1.27505,50,5.49734,6.83368,-125.34781,0.37977,-16.00932,29.96558,-24.13517,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,f0aeb3e0-ec98-11ef-bbfb-0349a8c4a90d,84.09663,,,9.10561,,,,,,,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:05:08.23,2025-02-16T13:05:08.2350000-06:00,2025-02-16T19:05:08.2350000Z,,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,a91b9bb3-5f10-4bdd-ae48-304992c6d074,55.14308,-126.57133,14.98279,5.46171,1.36524,-12.06759,-1.56742,7.48736,-8.00466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.01021,2.154304,0.796467,1.357837,-0.59946,3.47906,0.19276,-0.61818,6.10076,2.49279,127.27476,-1.49776,2.1899,-0.51002,104.0019,-7.38604,6.10512,9.04338,-10.79319,2.45464,-3.26231,2.29346,High,High,High,,,Medium,High,High
12,2025-02-16,13:05:42.17,4,1,"Christiansen, Jaxon",1000364447,Right,ALA_HOR,"Coakley, Kannon",1000266811,Right,SOU_IND16,Undefined,1,Top,2,0,0,Slider,Curveball,InPlay,Undefined,GroundBall,Error,0,1,,79.61017,1.083124,-1.980136,2348.965114,32.252824,7:00,5.21563,1.90765,5.1869,-49.95676,-4.33473,-3.68914,2.07237,-0.26355,72.65335,-7.984132,-2.6337,0.486137,81.58227,-14.921906,-14.500709,,,,,9.6086,9.6086,-10.450625,0.06863,1.25386,-2.11268,-1.72061,50,5.27802,4.14022,-115.42691,0.40399,1.67749,23.16145,-35.00051,ALA_HOR,SOU_IND16,AlabamaState,D1,SWAC,20250216-AlabamaState-1,04f82f20-ec99-11ef-bbfb-0349a8c4a90d,77.53461,2.11908,,6.95682,,,,1.75066,2.11908,0.2482,1ed6f1fb-4b99-4172-a3f5-a8ebc826905c,2025-02-16,19:05:42.17,2025-02-16T13:05:42.1779968-06:00,2025-02-16T19:05:42.1779968Z,GroundBall,v3,4765,southernindiana,,"Smiley, Demarckus",809200,Right,ALA_HOR,ba474c95-1a42-4559-a4c1-9c70052540d0,55.31741,-116.48901,11.58073,5.2227,2.00899,-17.50025,-1.9087,4.06329,0.83875,,1.74803,112.17395,,,,,,,,2.11981,-30.8767,,,,,,,,0.24888,-29.01164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
