PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,13:03:23.46,1,1,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.5022,-2.927416,-4.277077,2393.015561,221.930996,1:30,6.38089,2.4331,5.55253,-14.80154,17.67855,14.7558,2.40196,-0.34129,84.70271,-5.76707,-1.655242,0.410185,,,,,,,,,,,,-8.88142,10.25886,-2.07262,50,6.11752,9.50658,-136.43607,-7.45457,-16.42631,35.28042,-13.20019,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,75ba5a70-eca9-11ef-8c57-138f8725931f,91.89125,,,9.79949,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:03:23.46,2025-02-16T13:03:23.4649088-08:00,2025-02-16T21:03:23.4649088Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,9e9642bf-5e45-4adf-b8a5-2b2bfad19273,54.94512,-137.70887,17.64021,6.37787,-6.97835,-6.6001,-2.42628,10.09918,-8.21316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-16,13:03:42.98,1,2,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.06043,-1.743005,-4.852356,2398.349609,219.018284,1:15,6.37175,2.36845,5.52078,-13.0517,19.51655,14.86509,3.64807,-0.94051,84.79062,-4.264282,-2.217069,0.410742,,,,,,,,,,,,-8.92945,10.68209,-1.95512,50,6.21104,10.82223,-135.88908,-4.52322,-16.52931,32.56657,-12.4004,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,8155d990-eca9-11ef-8c57-138f8725931f,91.76679,,,9.26981,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:03:42.98,2025-02-16T13:03:42.9804032-08:00,2025-02-16T21:03:42.9804032Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,aac710cd-0117-4844-849e-020f5ae9c2b4,54.97644,-137.07652,16.28328,6.36772,-4.07107,-6.2002,-2.36071,11.42492,-8.26466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-16,13:03:59.01,1,3,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.43696,-3.795184,-5.139424,2376.905239,218.410226,1:15,6.36784,2.30784,5.53144,-12.69835,20.20135,15.11595,1.7424,-1.2497,84.9168,-6.234788,-2.460706,0.412826,,,,,,,,,,,,-9.07678,11.60568,-1.87056,50,6.02825,11.41887,-134.81798,-9.34376,-16.6567,30.11392,-10.87659,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,8ae11650-eca9-11ef-8c57-138f8725931f,91.30337,,,8.52016,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:03:59.01,2025-02-16T13:03:59.0115840-08:00,2025-02-16T21:03:59.0115840Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,6dfdb478-0352-419b-a780-a59269b72ce7,54.96758,-135.92305,15.05696,6.36381,-8.94463,-5.43829,-2.30081,12.03011,-8.32835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-16,13:04:16.56,1,4,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.3943,-2.579514,-5.084504,2389.095152,218.680506,1:15,6.30733,2.27595,5.5981,-14.31182,18.59521,13.95568,2.69523,-1.32061,84.5027,-5.31967,-2.608181,0.412872,,,,,,,,,,,,-8.5606,10.50717,-1.84833,50,6.07628,11.35012,-134.87151,-6.52871,-15.64986,31.39035,-12.96562,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,955bbc20-eca9-11ef-8c57-138f8725931f,91.29322,,,8.8916,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:04:16.56,2025-02-16T13:04:16.5615104-08:00,2025-02-16T21:04:16.5615104Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,1d1f0ad1-e502-421c-8dd2-bea5de14a4f7,54.90014,-136.0072,15.69518,6.304,-6.05962,-6.48281,-2.26922,11.91632,-7.82493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-16,13:04:34.57,1,5,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.34138,-1.035407,-4.059926,2407.085497,216.621428,1:15,6.38534,2.20089,5.63484,-13.22111,18.88328,13.19855,4.31503,-0.49344,85.18559,-3.587595,-1.711205,0.407806,,,,,,,,,,,,-7.87969,10.18245,-1.86349,50,6.28883,9.06672,-136.52863,-2.85345,-14.74109,32.5464,-13.12506,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,a013e020-eca9-11ef-8c57-138f8725931f,92.42738,,,9.15579,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:04:34.57,2025-02-16T13:04:34.5724416-08:00,2025-02-16T21:04:34.5724416Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,01b470b1-46b3-42bb-834e-97999a7ee337,54.86273,-137.68295,16.2732,6.38178,-2.38795,-6.56253,-2.19433,9.58954,-7.37054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-16,13:04:51.28,1,6,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.35475,-2.199374,-4.084056,2304.810335,221.942138,1:30,6.2821,2.4314,5.69559,-15.6254,17.77284,14.92406,2.9241,-0.13742,83.66607,-5.180975,-1.424324,0.415943,71.28756,42.696093,155.91972,4693.455836,,,,,53.32744,,,-8.79926,10.02378,-2.09732,50,6.08732,8.8677,-133.63392,-5.6203,-15.79466,30.77646,-14.1813,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,aa1425d0-eca9-11ef-8c57-138f8725931f,90.61932,40.45564,,8.68869,,,,0.8087,2.87677,0.16205,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:04:51.28,2025-02-16T13:04:51.2873472-08:00,2025-02-16T21:04:51.2873472Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,c75bd52b-441a-49f0-a80b-19e500c918d7,54.80337,-134.73561,15.38823,6.27942,-5.11265,-7.09065,-2.42488,9.4331,-7.89733,327.513216,0.8087,-70.15641,2.47081,-0.37593,0.08233,-0.0172,0.00488,-0.00116,0.00021,2.87677,70.89969,-29.55309,4.06898,-0.94945,0.21239,-0.04907,0.01028,-0.00131,0.16205,31.35351,-8.08754,1.61516,-0.35475,0.07826,-0.01887,0.00385,-0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-02-16,13:05:11.12,1,7,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Ball, Michael",1000119584,Right,NEV_WOL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,94.75671,-2.7794,-3.632706,2394.653473,216.08799,1:15,6.40118,2.31805,5.60604,-12.53473,19.64737,13.42146,2.75481,0.04086,84.92027,-5.218926,-1.243283,0.408299,86.74968,56.450366,15.626053,,98.86758,136.66743,48.22029,188.82222,83.96476,29.601123,5.862189,-8.03028,11.23548,-2.01592,50,6.15519,8.06692,-136.94655,-7.01482,-14.95923,35.6223,-11.24398,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,b5e5f730-eca9-11ef-8c57-138f8725931f,92.3157,136.73857,,9.83644,,,,1.03926,2.57499,-0.20904,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:05:11.12,2025-02-16T13:05:11.1290368-08:00,2025-02-16T21:05:11.1290368Z,FlyBall,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,734540c5-5f17-4135-a922-6a6d20076b02,54.89204,-138.2132,17.81115,6.39751,-6.61501,-5.62199,-2.31221,8.59883,-7.47961,194.617597,1.04814,67.53506,-22.50467,6.14364,-0.83145,-0.0626,0.04536,-0.00667,0.00033,2.56035,106.27397,-26.28011,3.17419,-0.73313,0.14066,-0.0126,-0.00032,9E-05,-0.20563,18.89174,0.67871,-0.96483,0.37115,-0.07974,0.0086,-0.00028,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-02-16,13:05:47.64,2,1,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Dobie, Jayce",1000219037,Right,NEV_WOL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.84924,-2.379523,-4.676702,2426.210837,209.917978,1:00,6.42576,2.25371,5.57613,-12.00217,20.92375,11.31064,3.19437,-1.18156,84.00194,-4.730256,-2.669362,0.412991,,,,,,,,,,,,-7.22626,11.68481,-1.85772,50,6.21269,10.53943,-135.44362,-5.9553,-13.17542,34.68492,-10.86949,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,cbaf82c0-eca9-11ef-8c57-138f8725931f,91.26701,,,9.84731,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:05:47.64,2025-02-16T13:05:47.6490752-08:00,2025-02-16T21:05:47.6490752Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,78948837-5029-41f1-88dc-9a75cd07cc8a,54.91957,-136.69763,17.34246,6.4209,-5.56231,-5.43475,-2.24738,11.01578,-6.58771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-16,13:06:04.25,2,2,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Dobie, Jayce",1000219037,Right,NEV_WOL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.6673,-0.6803,-4.027928,1631.535447,233.847162,1:45,5.86316,2.79832,6.15937,-31.7499,11.41383,13.50414,2.58726,0.1964,72.99214,-6.64327,-1.598676,0.472858,,,,,,,,,,,,-8.30504,6.55394,-2.4991,50,5.79521,7.73364,-116.84768,-2.3004,-11.32511,24.8263,-23.23682,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,d59562a0-eca9-11ef-8c57-138f8725931f,79.71194,,,7.67516,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:06:04.25,2025-02-16T13:06:04.2533888-08:00,2025-02-16T21:06:04.2533888Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,e4d2daf1-d1d6-46fb-b09d-bd9010407ed0,54.33992,-117.76616,12.41315,5.86441,-1.44072,-11.61841,-2.79297,8.15262,-5.66256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-16,13:06:24.37,2,3,"De La Torre, Oliver",1000152005,Right,CAL_BEA,"Dobie, Jayce",1000219037,Right,NEV_WOL,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.53822,-0.872295,-4.174577,2134.763897,45.825791,7:30,6.19305,2.48632,5.25977,-44.1851,-1.86268,-3.30225,1.68917,-1.71798,75.8404,-8.858806,-4.758587,0.468227,,,,,,,,,,,,0.44571,-0.26098,-2.10076,50,6.08032,8.85918,-119.47377,-3.44043,0.64192,23.78395,-32.54993,CAL_BEA,NEV_WOL,CalBerkeley,D1,A10,20250216-CalBerkeley-1,e18ff1b0-eca9-11ef-8c57-138f8725931f,80.5003,,,6.69782,,,,,,,a74ba461-f56d-4213-a0e8-50fe9217022b,2025-02-16,21:06:24.37,2025-02-16T13:06:24.3720704-08:00,2025-02-16T21:06:24.3720704Z,,v3,471259,471377,,"Birge, Alex",801130,Right,CAL_BEA,f1e0a18b-582a-4916-90a4-9d385b4bb0b6,55.24027,-120.51245,11.89197,6.19952,-2.01892,-16.27496,-2.48704,8.83114,0.32096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
