PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,15:35:14.90,1,1,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Holton, Mason",10144870,Right,WCC,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.51038,-1.868822,4.282423,2185.568525,126.636599,10:15,5.93884,-1.85736,5.35296,-20.81761,13.53331,-16.6382,2.44573,0.78013,83.21979,-5.746958,1.335774,0.421833,,,,,,,,,,,,9.53918,7.66272,1.48356,50,5.75564,-9.13202,-132.3775,-5.07122,16.87146,29.12345,-18.62135,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,874304d0-eca5-11ef-8fa0-e10d21c10d81,89.35391,,,8.29059,,,,,,,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:35:14.90,2025-02-16T15:35:14.9024256-05:00,2025-02-16T20:35:14.9024256Z,,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,2af22855-8f1e-40de-aa7f-419e1463b062,55.14599,-133.50484,14.56173,5.93799,-4.35041,-9.31068,1.84969,-9.7851,8.43573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-16,15:35:33.49,1,2,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Holton, Mason",10144870,Right,WCC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.26239,-2.037166,3.033262,2119.487405,142.464616,10:45,5.81274,-1.83868,5.64969,-18.80714,16.45162,-11.6304,2.34189,0.02398,81.19465,-5.606676,0.958449,0.427371,91.38846,11.693114,58.878821,2795.544327,51.83904,10.63033,97.01874,164.39533,130.88695,63.758451,1.540669,6.88473,9.38111,1.58882,50,5.62812,-6.40214,-130.6185,-5.24317,11.69623,31.78535,-16.23673,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,9257c7c0-eca5-11ef-8fa0-e10d21c10d81,88.19611,11.80701,,9.06774,,,,0.53311,2.38918,-0.5207,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:35:33.49,2025-02-16T15:35:33.4955008-05:00,2025-02-16T20:35:33.4955008Z,LineDrive,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,54ce3092-25e3-4150-9f51-4f24285efcab,54.84766,-131.79288,15.89268,5.81076,-4.64327,-8.11836,1.83334,-6.83428,5.84812,,0.53311,67.83878,-19.25679,4.95011,-1.13019,0.23149,-0.02909,-0.00183,0.00094,2.38918,27.16525,-20.51933,1.42886,-0.15897,0.04984,-0.04485,0.01948,-0.00314,-0.5207,112.36375,-15.33548,4.25044,-1.02531,0.20865,-0.01918,-0.00532,0.00147,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-02-16,15:35:54.10,1,3,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Holton, Mason",10144870,Right,WCC,Undefined,1,Top,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.3331,-0.832312,2.19913,2035.179004,135.893485,10:30,6.00943,-1.86338,5.23374,-18.91517,16.2841,-14.43583,3.65017,-0.99819,81.38385,-4.419904,-0.358528,0.42701,,,,,,,,,,,,7.89134,8.77882,1.67184,50,5.91939,-4.36587,-132.0732,-2.55476,13.60235,34.45342,-17.04194,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,9ea18840-eca5-11ef-8fa0-e10d21c10d81,88.27058,,,9.94924,,,,,,,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:35:54.10,2025-02-16T15:35:54.1004800-05:00,2025-02-16T20:35:54.1004800Z,,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,c762863b-7f69-4284-a396-5f168836dca0,55.26039,-133.4384,17.22671,6.00724,-1.87948,-8.52097,1.85551,-4.90486,6.80117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-16,15:36:11.94,1,4,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Holton, Mason",10144870,Right,WCC,Undefined,1,Top,0,1,2,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.33318,2.006925,2.023842,2238.311702,347.820354,5:30,5.88641,-1.90611,4.9507,-62.3107,-13.96989,3.3276,2.59222,0.28437,71.36497,-9.174544,2.611232,0.500413,,,,,,,,,,,,-1.10559,-7.17355,1.7068,50,6.02862,-4.09818,-112.21957,1.67663,-1.41132,20.10788,-41.3313,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,a94bf0a0-eca5-11ef-8fa0-e10d21c10d81,75.32269,,,5.9682,,,,,,,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:36:11.94,2025-02-16T15:36:11.9490048-05:00,2025-02-16T20:36:11.9490048Z,,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,05193193-00b0-492a-adfc-015e6a98071a,55.55448,-113.21046,10.05394,5.89581,3.7134,-20.66565,1.90704,-4.02863,-0.70566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-16,15:36:37.75,1,5,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Holton, Mason",10144870,Right,WCC,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.05847,-2.777359,2.171392,1717.517139,110.75402,9:45,5.81381,-1.99299,5.72433,-34.13927,5.00866,-10.5528,0.37808,-0.84893,78.81448,-8.986605,0.280108,0.450325,,,,,,,,,,,,5.9267,3.46169,1.81847,50,5.56005,-4.22593,-122.15913,-7.08447,9.12795,19.72731,-26.84253,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,b8a62570-eca5-11ef-8fa0-e10d21c10d81,83.70058,,,5.24399,,,,,,,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:36:37.75,2025-02-16T15:36:37.7506816-05:00,2025-02-16T20:36:37.7506816Z,,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,1dff6ed5-e0f0-47f8-991f-34f51ea4501a,54.77932,-122.92852,9.86366,5.81594,-6.03758,-13.42126,1.99023,-4.58192,4.56397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-16,15:36:56.26,1,6,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Holton, Mason",10144870,Right,WCC,Undefined,1,Top,0,2,2,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,91.00985,-0.869555,2.083359,2080.84124,118.638982,10:00,5.83726,-1.7804,5.68954,-25.24175,8.84804,-14.17217,2.92273,-1.0188,83.00373,-5.559026,-0.450733,0.420227,96.89017,13.178493,29.925478,3625.662595,90.1716,19.53928,63.00021,229.73856,229.73856,39.925385,2.224275,7.82965,5.07174,1.61429,50,5.74835,-4.18402,-132.09086,-2.89971,13.78591,29.03706,-23.24405,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,c3a9f870-eca5-11ef-8fa0-e10d21c10d81,89.69551,19.82666,,8.00612,,,,0.78464,2.89261,0.91115,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:36:56.26,2025-02-16T15:36:56.2658304-05:00,2025-02-16T20:36:56.2658304Z,LineDrive,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,02b9e81f-3f46-4fce-b8c1-9c13251eca2b,54.81087,-133.14422,14.51853,5.83824,-2.0565,-11.62202,1.77515,-4.68412,6.89296,242.526779,0.78464,119.91569,-30.02127,8.02568,-1.90093,0.41343,-0.07969,0.01119,-0.00077,2.89261,32.39804,-15.36255,-0.54042,0.57104,-0.21333,0.05383,-0.00839,0.00063,0.91115,69.02566,-0.28828,-1.22598,0.5807,-0.18466,0.04364,-0.0068,0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-16,15:37:50.19,2,1,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Friese, Hayden",1000262919,Left,WCC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.4802,-1.378729,3.638887,2043.214237,142.106376,10:45,5.71375,-1.91717,5.72021,-22.32647,12.87753,-9.15197,2.56609,0.71434,81.84909,-5.544998,2.005855,0.427039,,,,,,,,,,,,5.63481,7.26642,1.61835,50,5.58457,-7.84772,-129.68766,-3.87195,9.60902,26.79099,-19.78262,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,e3d8f420-eca5-11ef-8fa0-e10d21c10d81,88.2647,,,7.63111,,,,,,,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:37:50.19,2025-02-16T15:37:50.1920768-05:00,2025-02-16T20:37:50.1920768Z,,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,be1db7b7-838e-4953-98c6-9c7fc6775560,54.77858,-130.6711,13.3955,5.71337,-3.14577,-9.89131,1.9129,-8.20044,4.80451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-16,15:38:07.61,2,2,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Friese, Hayden",1000262919,Left,WCC,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.11328,-2.079105,3.316974,2306.209554,134.611795,10:30,5.62949,-1.89603,5.63294,-20.41072,14.76265,-13.70938,1.98464,0.05979,81.62683,-5.916993,0.872475,0.426853,,,,,,,,,,,,7.95548,8.47685,1.62248,50,5.43943,-6.95183,-130.46455,-5.41335,13.58244,29.86328,-17.70145,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,ee3626e0-eca5-11ef-8fa0-e10d21c10d81,88.30312,,,8.48644,,,,,,,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:38:07.61,2025-02-16T15:38:07.6126208-05:00,2025-02-16T20:38:07.6126208Z,,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,64509343-acc4-4bd0-934d-19dca6bdeaab,54.86555,-131.57356,14.93164,5.62825,-4.75598,-8.85072,1.89001,-7.45623,6.79122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-16,15:38:46.09,3,1,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Corn, Brayden",1000115409,Right,WCC,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.62964,-1.585402,2.612242,2086.545339,133.930054,10:30,5.74772,-1.98437,5.76743,-22.49667,12.6745,-11.93091,2.3956,-0.54578,81.55882,-5.797963,0.477373,0.42684,76.81647,41.415499,117.99154,4370.198103,,,,,48.38058,,,6.88028,7.27748,1.77557,50,5.60288,-5.42065,-129.97773,-4.3448,11.70116,28.73564,-19.79737,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,05223970-eca6-11ef-8fa0-e10d21c10d81,88.30583,37.87444,,8.07082,,,,0.39192,2.58259,0.52003,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:38:46.09,2025-02-16T15:38:46.0959232-05:00,2025-02-16T20:38:46.0959232Z,,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,113352d5-1224-4299-9ed8-a0bea3328757,54.73242,-131.0198,14.36782,5.74742,-3.62687,-9.89868,1.97984,-5.84498,5.85058,,0.39192,-39.65479,-1.99773,1.6594,-0.61244,0.18443,-0.05175,0.01287,-0.00208,2.58259,74.52888,-30.13227,3.77695,-0.59321,0.05755,0.00104,-0.00206,0.00023,0.52003,74.60639,-15.44209,5.43325,-1.48681,0.37625,-0.09376,0.02142,-0.00336,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
10,2025-02-16,15:39:06.52,3,2,"Vandenbosch, Evan",1000215446,Left,GEO_EAG,"Corn, Brayden",1000115409,Right,WCC,Undefined,1,Top,1,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.44479,-1.85583,2.535998,2083.492959,129.381056,10:15,5.82257,-1.8825,5.60464,-24.37391,10.87804,-11.92001,2.05666,-0.50689,82.11699,-6.368256,0.408738,0.42733,78.33438,-29.015688,-13.001778,,,,,4.65395,4.65395,-3.880134,0.036173,6.74453,6.34335,1.67333,50,5.64781,-5.23189,-129.77785,-5.05974,11.53804,26.37721,-21.32232,GEO_EAG,WCC,GeorgiaSouthern,D1,SBELT,20250216-GeorgiaSouthern-1,1153b700-eca6-11ef-8fa0-e10d21c10d81,88.20462,2.02052,,7.32781,,,,1.0939,2.02052,0.50463,4e1f0278-95d7-460f-b706-784b7c4495fe,2025-02-16,20:39:06.52,2025-02-16T15:39:06.5295872-05:00,2025-02-16T20:39:06.5295872Z,GroundBall,v3,471303,471488,16 February 2025 13:00-wcarolina@georgiasou,"Haab, Daniel",1000099108,Right,GEO_EAG,01acbeba-cf8f-462f-9dbb-ba8514f88ac7,54.89601,-130.76917,13.18861,5.82291,-4.2584,-10.66116,1.87811,-5.66552,5.76902,,1.09258,98.12199,,,,,,,,2.02128,-55.85704,,,,,,,,0.50493,-22.65645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
