PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-16,13:05:39.08,1,1,"Swink, Josh",10148826,Left,LIB_FLA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.13899,-0.019326,1.740069,2358.07047,100.067358,9:15,5.1334,-2.59336,5.30596,-31.93285,4.7017,-18.75552,2.45418,-2.52242,80.03294,-5.910899,-1.591338,0.435629,,,,,,,,,,,,9.87985,2.78673,2.4492,50,5.10897,-3.0391,-129.08476,-1.26111,16.34107,31.81721,-27.56485,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,a132ee10-ec90-11ef-8df6-5510f8b56c3d,86.52415,,,9.10604,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:05:39.08,2025-02-16T13:05:39.0827008-05:00,2025-02-16T18:05:39.0827008Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,e3e37e31-6826-4bac-a2d8-812d65e302fd,55.18899,-130.35749,15.90861,5.13736,-0.15848,-13.78243,2.58384,-3.69276,8.17054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-16,13:05:55.45,1,2,"Swink, Josh",10148826,Left,LIB_FLA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.36287,-0.17552,2.423819,2415.923232,127.934649,10:15,5.06617,-2.66539,5.1395,-22.04123,14.71044,-17.07158,3.06399,-1.80438,79.91974,-4.313429,-0.595219,0.436325,,,,,,,,,,,,9.21252,7.75536,2.45173,50,5.03346,-4.6487,-129.26435,-1.16802,15.27584,31.96837,-19.31444,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,aaffa0a0-ec90-11ef-8df6-5510f8b56c3d,86.38622,,,9.44313,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:05:55.45,2025-02-16T13:05:55.4546688-05:00,2025-02-16T18:05:55.4546688Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,d27ffff9-6aa9-4575-a96b-887fa911c677,55.35379,-130.58168,15.98418,5.0652,-0.37213,-9.65722,2.65626,-5.27818,7.63792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-16,13:06:11.50,1,3,"Swink, Josh",10148826,Left,LIB_FLA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,2,0,Cutter,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.75293,0.067062,2.558068,2506.303329,148.12572,11:00,4.71638,-2.74601,5.6579,-27.46277,10.16595,-5.55437,2.49042,-0.82175,78.98447,-5.04061,1.566789,0.4415,,,,,,,,,,,,3.55071,5.51004,2.53297,50,4.70483,-5.38372,-125.81942,-0.78103,5.66931,26.47068,-23.37634,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,b4851100-ec90-11ef-8df6-5510f8b56c3d,85.37351,,,7.76846,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:06:11.50,2025-02-16T13:06:11.5064832-05:00,2025-02-16T18:06:11.5064832Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,7a2a9b56-20ba-40b1-be85-1f29202eaf15,54.83853,-126.83329,13.23534,4.7176,0.11433,-11.68817,2.74333,-5.60087,2.83466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-16,13:06:27.58,1,4,"Swink, Josh",10148826,Left,LIB_FLA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,2,1,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.98047,1.406709,3.09575,2499.792159,165.514427,11:30,4.62843,-2.96116,5.25709,-32.13781,7.49804,-1.62323,3.27415,-0.18498,77.75446,-4.489757,2.808668,0.453122,,,,,,,,,,,,1.64303,3.74776,2.67851,50,4.73394,-6.58962,-123.15761,1.86615,2.53097,23.7849,-26.40095,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,be1f41e0-ec90-11ef-8df6-5510f8b56c3d,83.18383,,,7.22601,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:06:27.58,2025-02-16T13:06:27.5843072-05:00,2025-02-16T18:06:27.5843072Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,94a8db1f-b4a2-4bb6-a28a-13b4750be924,55.23975,-124.16541,11.89245,4.63117,2.9848,-13.20048,2.96,-6.69686,1.26548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-16,13:06:44.70,1,5,"Swink, Josh",10148826,Left,LIB_FLA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,2,2,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.72975,1.545581,2.068413,2501.457735,161.98539,11:30,4.69056,-2.85503,5.44801,-30.87919,7.19426,-1.92539,3.56559,-1.07816,78.60909,-4.166494,1.726162,0.444102,,,,,,,,,,,,1.57551,3.55898,2.67369,50,4.80621,-4.45325,-125.68323,2.28684,2.5032,27.06484,-26.5194,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,c852f3a0-ec90-11ef-8df6-5510f8b56c3d,84.87343,,,8.12066,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:06:44.70,2025-02-16T13:06:44.7085568-05:00,2025-02-16T18:06:44.7085568Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,39d31780-e1fe-47b2-be48-704cbde7194a,55.04694,-126.76539,13.53242,4.69358,3.34719,-13.2597,2.85375,-4.55334,1.2516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-16,13:07:01.74,1,6,"Swink, Josh",10148826,Left,LIB_FLA,"Tucker, Jackson",1000113943,Right,STJ_RED,Undefined,1,Top,0,3,2,Cutter,Cutter,BallCalled,Walk,Undefined,Undefined,0,0,,87.86244,1.252092,1.543844,2465.626667,144.506139,10:45,4.63455,-2.79999,5.57211,-29.25608,7.39496,-4.45213,3.36668,-1.72862,80.16107,-4.163101,0.749999,0.435727,,,,,,,,,,,,2.66957,3.75079,2.66995,50,4.72341,-3.24073,-127.50663,1.74738,4.39402,26.26572,-26.00043,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,d2782670-ec90-11ef-8df6-5510f8b56c3d,86.50466,,,7.70138,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:07:01.74,2025-02-16T13:07:01.7464320-05:00,2025-02-16T18:07:01.7464320Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,f227be4b-baf5-4764-8ba4-16ba421759ab,54.92448,-128.51705,13.13286,4.63695,2.74758,-13.00022,2.79787,-3.40977,2.19701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-16,13:07:31.52,2,1,"Swink, Josh",10148826,Left,LIB_FLA,"Rafistanger, Jayder ",1000180019,Left,STJ_RED,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.43504,0.946352,4.447547,2376.841858,116.530427,10:00,4.9026,-2.88141,5.36828,-26.68273,9.58237,-16.56887,3.56911,-0.0837,80.40003,-4.012664,1.515183,0.433427,,,,,,,,,,,,9.63603,4.88957,2.49374,50,4.96922,-9.27989,-129.25501,1.1733,16.09354,30.15189,-24.00776,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,e43355b0-ec90-11ef-8df6-5510f8b56c3d,86.96374,,,9.03501,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:07:31.52,2025-02-16T13:07:31.5291136-05:00,2025-02-16T18:07:31.5291136Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,d20a0b77-5eb1-46ae-a891-7171b1130b76,55.12696,-130.44552,15.07595,4.90418,2.12122,-12.00388,2.87269,-9.91532,8.04677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-16,13:08:30.79,2,2,"Swink, Josh",10148826,Left,LIB_FLA,"Rafistanger, Jayder ",1000180019,Left,STJ_RED,Undefined,1,Top,0,0,1,TwoSeamFastBall,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.49752,0.820273,4.585496,2362.003534,101.721944,9:30,4.88879,-2.65272,5.34328,-31.65006,5.04977,-18.49729,3.02326,0.11645,80.441,-4.993859,1.312757,0.436017,,,,,,,,,,,,10.52107,2.6739,2.25221,50,4.94047,-9.42505,-128.05318,0.64738,17.42696,27.0439,-27.74503,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,078cdd60-ec91-11ef-8df6-5510f8b56c3d,86.44721,,,8.05652,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:08:30.79,2025-02-16T13:08:30.7962880-05:00,2025-02-16T18:08:30.7962880Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,6dc2bfe7-c334-475b-bad5-4574fb282d81,55.15471,-129.13723,13.52195,4.89222,1.75953,-13.87251,2.64401,-10.12361,8.71348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-16,13:08:48.94,2,3,"Swink, Josh",10148826,Left,LIB_FLA,"Rafistanger, Jayder ",1000180019,Left,STJ_RED,Undefined,1,Top,0,0,2,Cutter,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.87895,0.568249,4.271807,2410.129882,150.543053,11:00,4.63115,-2.76735,5.4963,-30.35872,8.3741,-4.02051,2.63428,0.90076,78.2444,-5.035026,3.558929,0.447931,,,,,,,,,,,,3.23705,4.44693,2.3959,50,4.66069,-9.11086,-124.30304,0.17579,5.0523,25.4849,-25.23339,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,125d6b60-ec91-11ef-8df6-5510f8b56c3d,84.1479,,,7.63455,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:08:48.94,2025-02-16T13:08:48.9425408-05:00,2025-02-16T18:08:48.9425408Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,f06dc8ba-6e7a-41c8-bbcc-cde353bee923,54.9999,-125.32393,12.74245,4.6334,1.18661,-12.6167,2.76493,-9.31325,2.52615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-16,13:09:20.91,3,1,"Swink, Josh",10148826,Left,LIB_FLA,"Beebe, Jared",1000233854,Right,STJ_RED,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.49179,1.836861,3.118825,2377.662137,108.357535,9:30,5.07773,-2.84344,5.13467,-28.76942,7.94378,-19.74131,4.41319,-1.54869,79.88534,-3.493322,-0.367993,0.436097,,,,,,,,,,,,10.7319,3.74516,2.56637,50,5.22865,-6.08797,-129.33237,3.05744,17.81928,31.92823,-25.95557,LIB_FLA,STJ_RED,Liberty,D1,CUSA,20250216-Liberty-1,256258b0-ec91-11ef-8df6-5510f8b56c3d,86.43141,,,9.60645,,,,,,,b525ecc3-51c0-478a-862a-649df8b15d3b,2025-02-16,18:09:20.91,2025-02-16T13:09:20.9127424-05:00,2025-02-16T18:09:20.9127424Z,,v3,471336,4285,,"Moore, Tucker",805218,Right,LIB_FLA,63426f14-f21b-4d28-b443-dd97d873e60b,55.35931,-130.64871,15.96411,5.08053,4.12755,-12.97778,2.83251,-6.82263,8.90964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
