PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,15:03:40.84,1,1,"Yates, Chad",1000091627,Left,WM_TRI,"Whitley, Aaron",1000249350,Right,RIC_SPI,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.06937,-2.416802,3.272754,2034.021532,142.008793,10:45,5.76115,-1.81429,5.73938,-20.12351,17.91127,-13.02922,1.82875,0.15072,78.77326,-6.201882,0.945047,0.443876,,,,,,,,,,,,7.50587,10.14434,1.54962,50,5.54731,-6.58647,-124.7254,-5.87813,11.83886,24.78302,-16.1736,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,72fde780-ee33-11ef-94a3-9f9e24df32aa,84.91656,,,7.29611,,,,,,,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:03:40.84,2025-02-18T15:03:40.8466432-05:00,2025-02-18T20:03:40.8466432Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,6d91decd-483c-4fef-83e1-5c3afe0571b8,54.75947,-125.66755,12.39151,5.75908,-5.26327,-8.0868,1.80857,-7.03654,5.91944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-18,15:04:08.11,1,2,"Yates, Chad",1000091627,Left,WM_TRI,"Whitley, Aaron",1000249350,Right,RIC_SPI,Undefined,1,Top,0,0,1,ChangeUp,Slider,InPlay,Undefined,FlyBall,Out,1,0,,77.53786,-0.220545,2.591467,990.662209,116.559563,10:00,5.70564,-1.86564,5.59588,-38.67345,8.44008,-13.8341,2.27672,-0.59726,71.01195,-7.345788,0.122401,0.49402,85.24203,46.232692,9.055681,4691.237997,105.57737,99.63589,30.87736,282.66709,276.76375,23.407378,5.53177,7.79229,4.76673,1.65275,50,5.66155,-4.57385,-112.50338,-1.6436,9.96269,20.87479,-26.07964,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,83478560-ee33-11ef-94a3-9f9e24df32aa,76.29743,113.80162,,6.52591,,,,2.14154,2.38066,0.58821,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:04:08.11,2025-02-18T15:04:08.1101312-05:00,2025-02-18T20:04:08.1101312Z,FlyBall,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,60e32dc2-f178-49eb-bce1-4d75cd6299ab,54.90466,-113.40978,10.43739,5.70833,-0.5112,-13.03982,1.86074,-5.00644,4.98135,204.574174,2.14507,85.32558,-20.95511,5.65394,-0.98143,0.0807,0.00371,-0.00116,5E-05,2.37983,90.29395,-20.91292,1.01166,0.21817,-0.16965,0.04902,-0.00683,0.00036,0.58779,13.62328,4.63706,-1.58984,0.3535,-0.0472,0.00211,0.00022,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-02-18,15:04:44.84,2,1,"Yates, Chad",1000091627,Left,WM_TRI,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.28638,-2.271829,1.195048,2185.961631,143.766724,10:45,5.7515,-2.01521,5.63382,-18.54166,20.22659,-13.91599,2.08516,-2.05973,78.12839,-5.770793,-1.29087,0.448136,,,,,,,,,,,,7.3815,11.25453,1.92262,50,5.54643,-2.00193,-123.76907,-5.45519,11.46552,24.39082,-14.69264,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,99218bb0-ee33-11ef-94a3-9f9e24df32aa,84.10945,,,7.15799,,,,,,,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:04:44.84,2025-02-18T15:04:44.8465920-05:00,2025-02-18T20:04:44.8465920Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,603cfeaf-3567-4d01-a9c7-a7f4d48d222f,54.86553,-124.72422,12.19541,5.74879,-4.87982,-7.34632,2.00981,-2.45093,5.73276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-18,15:05:03.12,2,2,"Yates, Chad",1000091627,Left,WM_TRI,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,1,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.35859,-1.130239,2.263931,2096.552815,148.420057,11:00,5.77883,-1.87155,5.89876,-19.37761,20.80592,-12.0041,3.11378,-0.76901,76.23,-4.815278,0.111062,0.456242,87.23805,53.171863,47.48395,4663.844818,,,,,76.6737,,,6.81642,11.37875,1.69646,50,5.67684,-4.32034,-121.02952,-2.92153,10.11439,23.53852,-15.28996,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,a3fe75c0-ee33-11ef-94a3-9f9e24df32aa,82.61497,87.45555,,7.12859,,,,1.65091,3.08635,0.51674,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:05:03.12,2025-02-18T15:05:03.1254528-05:00,2025-02-18T20:05:03.1254528Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,961feaf0-ff60-430d-9041-e66bbe9048a3,54.60151,-121.92116,11.76926,5.77654,-2.34234,-7.64498,1.86737,-4.70348,5.05719,,1.65089,51.83344,-18.90841,6.11561,-3.1662,3.25159,-2.54794,1.06877,-0.18219,3.08635,102.41473,-28.9606,3.52817,-0.44416,-0.27619,0.34554,-0.17103,0.03305,0.51675,56.52889,-1.17577,-1.35028,1.49128,-1.85047,1.50919,-0.6499,0.11364,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-02-18,15:05:31.69,2,3,"Yates, Chad",1000091627,Left,WM_TRI,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.9444,-4.426444,3.225289,2152.718247,146.503436,11:00,5.71543,-2.07553,5.72485,-16.05284,22.85485,-14.14757,0.24006,-0.24724,77.54203,-7.510807,0.698524,0.448941,,,,,,,,,,,,8.25052,13.48513,1.815,50,5.33515,-6.4037,-124.10501,-10.04347,12.67242,28.35317,-11.46148,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,b51575c0-ee33-11ef-94a3-9f9e24df32aa,83.95855,,,8.40237,,,,,,,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:05:31.69,2025-02-18T15:05:31.6986880-05:00,2025-02-18T20:05:31.6986880Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,35170dba-e222-45f1-b161-60eb0a1bee35,54.77325,-125.19076,14.17658,5.71135,-9.60456,-5.73074,2.06951,-6.88898,6.33621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-18,15:05:57.48,2,4,"Yates, Chad",1000091627,Left,WM_TRI,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,84.00256,-4.007171,2.958028,2234.880243,152.207394,11:00,5.69692,-1.84956,5.8533,-16.06741,24.24119,-11.99926,0.62356,-0.09854,76.08648,-7.103228,0.809456,0.456952,,,,,,,,,,,,7.04327,14.05579,1.61612,50,5.36126,-5.79244,-121.45766,-8.9134,10.40638,26.21099,-11.40666,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,c4679440-ee33-11ef-94a3-9f9e24df32aa,82.48671,,,7.91608,,,,,,,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:05:57.48,2025-02-18T15:05:57.4817792-05:00,2025-02-18T20:05:57.4817792Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,c8674d4b-9b2a-4a5b-9f2f-5079de046973,54.64449,-122.45585,13.1055,5.69244,-8.47899,-5.70333,1.84426,-6.18874,5.20319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-18,15:06:21.32,2,5,"Yates, Chad",1000091627,Left,WM_TRI,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,3,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.50982,2.596422,0.511746,2441.113334,305.318386,4:15,5.58003,-1.89213,5.36524,-61.44629,-7.66457,13.59044,2.89592,-0.27972,66.39914,-8.620434,2.928879,0.527824,,,,,,,,,,,,-6.59839,-4.07807,1.83633,50,5.77,-1.47075,-106.46438,2.81617,-7.41845,21.76385,-36.75894,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,d29fb740-ee33-11ef-94a3-9f9e24df32aa,71.41107,,,7.11068,,,,,,,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:06:21.32,2025-02-18T15:06:21.3223424-05:00,2025-02-18T20:06:21.3223424Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,b850541c-7907-4f3c-9b2f-b59a380a09d6,55.13459,-107.50889,10.88193,5.59251,4.58033,-18.37947,1.89837,-1.11472,-3.70922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-18,15:06:41.96,2,6,"Yates, Chad",1000091627,Left,WM_TRI,"Jaffe, Jordan",811757,Right,RIC_SPI,Undefined,1,Top,1,3,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,84.54345,-2.015913,3.274873,2205.84621,156.494348,11:15,5.73528,-1.86919,5.90457,-14.60973,25.35911,-10.35623,2.64264,0.3111,75.70597,-4.893433,1.420414,0.455022,89.26386,13.916787,-8.102677,6051.675148,108.55736,17.66152,-17.75517,214.90004,212.74113,-10.349464,2.103263,6.4167,14.10457,1.6118,50,5.56498,-6.57907,-122.31783,-4.63493,9.51837,28.82625,-11.25166,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,dee09e20-ee33-11ef-94a3-9f9e24df32aa,82.83656,17.67123,,8.83748,,,,1.93149,2.65389,-0.29735,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:06:41.96,2025-02-18T15:06:41.9636224-05:00,2025-02-18T20:06:41.9636224Z,LineDrive,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,f79dc414-bb0b-4ae3-b9a3-a723deb9e295,54.59217,-123.3953,14.41313,5.73037,-4.21436,-5.62583,1.86436,-6.93485,4.75919,132.339005,1.93149,125.80846,-17.78522,3.67537,-0.77429,0.15464,-0.02911,0.00422,-0.00031,2.65389,31.48791,-17.55816,1.26654,-0.21733,0.03915,-0.00552,0.00086,-8E-05,-0.29735,-17.91121,-0.74061,0.5055,-0.1663,0.04258,-0.00883,0.00131,-0.0001,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-02-18,15:07:24.29,3,1,"Yates, Chad",1000091627,Left,WM_TRI,"Bernstein, Phillip",1000248956,Left,RIC_SPI,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.32122,-2.217814,3.022712,2187.49191,157.684381,11:15,5.68863,-2.02272,5.79386,-14.75186,25.4071,-9.81205,2.39237,-0.02603,75.86731,-5.103589,1.268669,0.456103,,,,,,,,,,,,5.94095,14.05347,1.77961,50,5.49717,-6.03411,-122.01958,-5.06375,8.81963,27.4408,-11.31094,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,f838ceb0-ee33-11ef-94a3-9f9e24df32aa,82.64027,,,8.45391,,,,,,,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:07:24.29,2025-02-18T15:07:24.2987008-05:00,2025-02-18T20:07:24.2987008Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,ac5a56b5-e928-4784-bb83-d7ef832ef7cb,54.70183,-123.07242,13.7204,5.68312,-4.62977,-5.65547,2.01761,-6.3725,4.40981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-18,15:07:44.97,3,2,"Yates, Chad",1000091627,Left,WM_TRI,"Bernstein, Phillip",1000248956,Left,RIC_SPI,Undefined,1,Top,1,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,70.18779,5.368484,-0.223688,2331.452006,306.926044,4:15,5.5701,-1.96545,5.1566,-68.52228,-8.81937,14.61548,4.92832,-0.95806,63.07108,-7.103261,2.358174,0.556121,,,,,,,,,,,,-7.25178,-5.39492,1.97476,50,6.02077,-0.15916,-101.31179,7.30977,-7.40454,19.26706,-37.68262,WM_TRI,RIC_SPI,PlumeriPark,D1,CAA,20250218-PlumeriPark-1,04765a30-ee34-11ef-94a3-9f9e24df32aa,67.77744,,,7.1167,,,,,,,622563cd-1634-4411-b92a-cc0dd1024530,2025-02-18,20:07:44.97,2025-02-18T15:07:44.9775616-05:00,2025-02-18T20:07:44.9775616Z,,v3,471493,471420,18 February 2025 15:00-richmond@willmary,"Scafidi, Witt",1000090918,Right,WM_TRI,2407394c-4857-4254-8395-932386c9eaac,55.34372,-102.323,9.63353,5.58523,9.28748,-18.84131,1.97292,0.22946,-3.70227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
