PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,15:00:30.21,1,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Opata, Andrews",1000314649,Right,NOR_GEO3,Undefined,1,Top,0,0,0,Fastball,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,87.06183,-2.418445,1.508413,1747.12735,176.727154,12:00,5.96687,-1.23773,6.04944,-24.95092,11.49776,-0.59551,1.64664,0.10938,80.37366,-7.057832,1.401162,0.434522,84.88144,3.977331,6.371221,1060.157434,,,,66.09002,64.74265,7.118645,0.560214,0.70118,6.89536,1.12066,50,5.76498,-3.30675,-126.4651,-6.12906,1.14257,24.29945,-20.93803,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,018411b0-ee33-11ef-8db4-7931156a7071,86.74454,2.49903,,6.68817,,,,1.19523,1.63364,-0.1215,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:00:30.21,2025-02-18T15:00:30.2180352-05:00,2025-02-18T20:00:30.2180352Z,GroundBall,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,8bb4996d-14ea-4485-b92a-aadfb6a875db,54.4513,-127.31752,12.14972,5.9671,-5.39456,-10.46901,1.23736,-3.34682,0.57128,319.528741,1.21022,123.0656,-14.61497,,,,,,,1.65217,8.18998,-19.93939,,,,,,,-0.12684,13.91067,1.68564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-02-18,15:00:57.76,2,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Bowen, Jace",1000088532,Left,NOR_GEO3,Undefined,1,Top,1,0,0,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,87.89902,-0.740338,2.842487,1922.745708,173.354452,11:45,5.96987,-1.20863,6.06679,-21.92458,13.68725,-1.47685,3.45679,1.30104,81.1651,-4.846724,2.577091,0.429506,,,,,,,,,,,,1.46571,7.56201,0.9889,50,5.90055,-6.28086,-127.69974,-2.3266,2.44579,23.70259,-19.55554,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,11f1b250-ee33-11ef-8db4-7931156a7071,87.75775,,,6.73392,,,,,,,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:00:57.76,2025-02-18T15:00:57.7624576-05:00,2025-02-18T20:00:57.7624576Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,b9b69815-1866-4143-a9e4-a0a46642fd8f,54.43318,-128.51995,11.85129,5.96935,-1.64989,-9.77777,1.20771,-6.36549,1.2229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-18,15:01:10.10,2,2,"Ritchie, Austin",10298984,Left,YOU_HAR,"Bowen, Jace",1000088532,Left,NOR_GEO3,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.7288,-1.569914,1.363955,1810.566157,174.881611,11:45,5.97491,-1.3202,6.1776,-21.59029,14.95064,-1.24106,2.7251,-0.16375,79.82425,-5.63427,1.140006,0.435072,,,,,,,,,,,,1.00032,8.49595,1.21771,50,5.84507,-2.95253,-126.04817,-4.08703,1.61815,24.3049,-18.43042,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,194ca190-ee33-11ef-8db4-7931156a7071,86.63495,,,6.90455,,,,,,,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:01:10.10,2025-02-18T15:01:10.1092864-05:00,2025-02-18T20:01:10.1092864Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,c3991161-f048-4822-8081-e51e068fb1c9,54.32207,-126.87882,12.15245,5.97399,-3.45715,-9.21521,1.31956,-3.00783,0.80907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-18,15:01:23.68,2,3,"Ritchie, Austin",10298984,Left,YOU_HAR,"Bowen, Jace",1000088532,Left,NOR_GEO3,Undefined,1,Top,1,1,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.9669,1.218129,0.349851,2383.258168,337.049851,5:15,6.07454,-1.2212,5.5341,-47.80424,-2.79807,1.72618,3.22969,-0.75032,73.08784,-7.494152,0.657963,0.482845,,,,,,,,,,,,-0.78091,-1.29402,1.18967,50,6.14841,-0.76847,-114.78829,0.8152,-1.05062,19.58639,-33.91501,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,21673750-ee33-11ef-8db4-7931156a7071,78.06328,,,5.87906,,,,,,,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:01:23.68,2025-02-18T15:01:23.6879872-05:00,2025-02-18T20:01:23.6879872Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,6ca8d68d-c8f3-47a3-bb3e-6fb800f2200f,54.96762,-115.63281,9.7932,6.08173,2.27754,-16.95751,1.22182,-0.72317,-0.52531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-18,15:01:40.73,2,4,"Ritchie, Austin",10298984,Left,YOU_HAR,"Bowen, Jace",1000088532,Left,NOR_GEO3,Undefined,1,Top,1,1,2,Curveball,Curveball,InPlay,Undefined,LineDrive,Out,1,0,,78.03798,0.462162,1.494489,2438.88441,311.744159,4:30,5.96465,-1.3969,5.53746,-49.0227,-3.14626,4.90083,2.31155,0.4087,72.76793,-8.4371,2.369275,0.487491,84.39482,16.904021,-18.072851,3051.905896,101.3403,24.02776,-42.77979,244.83933,232.8813,-28.674158,2.724707,-2.13961,-1.39138,1.2638,50,5.97148,-3.14356,-113.50399,-0.70961,-2.82655,18.31225,-34.01213,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,2b951cb0-ee33-11ef-8db4-7931156a7071,77.31929,24.82008,,5.27005,,,,0.96981,2.13401,-0.411,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:01:40.73,2025-02-18T15:01:40.7325696-05:00,2025-02-18T20:01:40.7325696Z,LineDrive,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,70a21eef-7a96-4575-a55a-71ed51b99aa4,54.96635,-114.30243,9.15613,5.97009,0.77337,-17.00606,1.39817,-3.02032,-1.41327,122.189608,0.96986,112.58625,-19.13058,3.7452,-0.61726,0.01293,0.03306,-0.0103,0.00111,2.13398,35.99182,-14.93876,0.54955,-0.07606,0.07758,-0.04,0.01067,-0.00112,-0.41102,-36.73754,-5.33222,2.15417,-0.61843,0.12709,-0.01785,0.00119,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-18,15:02:07.82,3,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Ard, Phillip",1000120322,Right,NOR_GEO3,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.56372,-2.366205,0.617301,1977.592562,180.143764,12:00,5.95938,-1.22104,5.98707,-17.69745,17.59525,0.0415,2.29012,-0.64542,81.53764,-5.70829,0.624763,0.427577,,,,,,,,,,,,0.13874,9.98583,1.17231,50,5.76266,-1.38784,-128.65095,-5.83324,0.23403,25.05356,-15.32855,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,3bae34b0-ee33-11ef-8db4-7931156a7071,88.15367,,,7.02608,,,,,,,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:02:07.82,2025-02-18T15:02:07.8212096-05:00,2025-02-18T20:02:07.8212096Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,a1afaec4-5c72-423a-b9f0-288946c8f72a,54.51231,-129.52669,12.52678,5.9572,-5.29743,-7.66428,1.22096,-1.39602,0.11701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-18,15:02:24.28,3,2,"Ritchie, Austin",10298984,Left,YOU_HAR,"Ard, Phillip",1000120322,Right,NOR_GEO3,Undefined,1,Top,2,0,1,Fastball,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.23027,-1.787822,0.441981,1901.841644,182.278593,12:00,6.03501,-1.0415,6.11162,-20.11678,15.30595,0.56626,2.70489,-0.58561,81.11271,-5.579151,0.544071,0.428364,65.67697,44.503514,125.559354,4471.767372,,,,,30.74051,,,-0.17575,8.71886,1.00729,50,5.88715,-1.01186,-128.2317,-4.60104,-0.29387,25.45925,-17.5948,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,45823a40-ee33-11ef-8db4-7931156a7071,87.99168,28.03374,,7.11757,,,,0.47418,2.56519,0.54467,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:02:24.28,2025-02-18T15:02:24.2801664-05:00,2025-02-18T20:02:24.2801664Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,d3c6153b-f73e-49cd-a661-d0999c34f700,54.3884,-129.10004,12.72962,6.03385,-4.00094,-8.7974,1.04163,-1.00184,-0.14694,,0.48206,-40.18532,-1.56273,,,,,,,2.58053,67.07242,-25.65779,,,,,,,0.55098,55.70536,-7.22199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2025-02-18,15:02:42.53,3,3,"Ritchie, Austin",10298984,Left,YOU_HAR,"Ard, Phillip",1000120322,Right,NOR_GEO3,Undefined,1,Top,2,0,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,83.32392,-0.605398,1.353967,1984.35729,136.16605,10:30,5.71976,-1.60663,6.14708,-26.35616,13.82268,-11.94638,2.96382,-1.3508,75.61392,-5.582111,-0.800997,0.456216,101.14476,5.77012,-8.559435,1003.818778,,,,103.17415,103.17415,-8.436204,0.770889,6.61914,7.73764,1.50971,50,5.66014,-2.40635,-120.98535,-2.03733,9.70952,25.8796,-20.82381,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,505dc4c0-ee33-11ef-8db4-7931156a7071,82.6198,5.08438,,7.70999,,,,0.92352,2.95451,1.34957,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:02:42.53,2025-02-18T15:02:42.5303552-05:00,2025-02-18T20:02:42.5303552Z,GroundBall,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,387a2f10-c6ab-47ca-a1cd-4c7dbb4d6770,54.35217,-121.91275,12.9398,5.71978,-1.2911,-10.4119,1.60218,-2.75429,4.85476,16.16408,0.97462,145.04904,-18.14068,,,,,,,3.02592,13.65037,-22.90878,,,,,,,1.35382,-22.04399,0.84044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-02-18,15:03:14.32,4,1,"Ritchie, Austin",10298984,Left,YOU_HAR,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.35983,0.464504,1.394927,1947.470178,163.920283,11:30,5.89861,-1.15372,6.06285,-21.23836,15.78733,-4.23201,4.5588,-0.2151,79.19412,-3.549096,0.633354,0.437948,,,,,,,,,,,,2.5374,8.34622,1.04764,50,5.92316,-2.88513,-125.50584,0.39745,4.06748,24.21007,-18.79493,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,6354cf60-ee33-11ef-8db4-7931156a7071,86.06594,,,7.1657,,,,,,,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:03:14.32,2025-02-18T15:03:14.3256576-05:00,2025-02-18T20:03:14.3256576Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,36980b7c-ee11-4d2d-8d63-7382a947496b,54.43576,-126.3586,12.10504,5.8975,1.05947,-9.39747,1.15179,-3.0284,2.03374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-18,15:03:29.38,4,2,"Ritchie, Austin",10298984,Left,YOU_HAR,"Robitzsch, Kyle",1000088050,Right,NOR_GEO3,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.17815,-2.634729,2.346065,2063.862815,164.252321,11:30,5.8422,-1.1166,6.33259,-20.37911,16.50505,-4.33717,1.71411,0.68346,79.3572,-6.48437,1.561742,0.43711,,,,,,,,,,,,2.88079,9.6463,0.94752,50,5.64006,-4.962,-125.126,-6.32401,4.59037,24.0474,-16.80328,YOU_HAR,NOR_GEO3,TheZellB.MillerField,D2,CC,20250218-TheZellB.MillerField-1,6c4c0980-ee33-11ef-8db4-7931156a7071,86.23092,,,6.82095,,,,,,,9fe20974-7230-41b4-a5ab-a852d0c13475,2025-02-18,20:03:29.38,2025-02-18T15:03:29.3844480-05:00,2025-02-18T20:03:29.3844480Z,,v3,,,,"Enrico, Jack",10011485,Right,YOU_HAR,cd27027f-545a-49fd-9e4e-38dd8c16b3e0,54.16745,-125.92437,12.0237,5.84075,-5.76614,-8.40164,1.11478,-5.1144,2.29518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
