PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,16:09:21.68,1,1,"Wade, Lance",1000064161,Right,WIN_EAG,"Hall, Nathan",703449,Right,SOU_GAM,Undefined,1,Top,0,0,0,Cutter,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,985ee8e0-ee3c-11ef-9656-25d6dfab45da,,,,,,,,,,,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:09:21.68,2025-02-18T16:09:21.6864640-05:00,2025-02-18T21:09:21.6864640Z,,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-02-18,16:09:22.68,1,2,"Wade, Lance",1000064161,Right,WIN_EAG,"Hall, Nathan",703449,Right,SOU_GAM,Undefined,1,Top,0,0,1,Cutter,Cutter,InPlay,Undefined,FlyBall,Out,1,0,,86.26267,-0.648863,-1.640031,2487.875082,152.831179,11:00,6.03538,1.37218,5.38029,-26.15509,11.78178,-5.48918,3.24728,-0.62301,79.65941,-5.4638,-2.615339,0.443305,101.48454,29.749608,-2.755537,4272.896802,109.99191,64.93982,1.29289,370.82836,370.47631,7.031182,5.592363,2.37252,6.42158,-1.22134,50,5.95891,3.81899,-125.32029,-2.33373,3.80684,23.20294,-21.87035,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,a05ad310-ee3c-11ef-9656-25d6dfab45da,85.02607,99.53885,,6.60326,,,,1.52417,3.32548,0.62944,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:09:22.68,2025-02-18T16:09:22.6864640-05:00,2025-02-18T21:09:22.6864640Z,FlyBall,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,f17b9a09-820b-4c3e-863d-4688a04cc4e1,55.11839,-126.2644,11.60147,6.03576,-1.44384,-10.93518,-1.37358,3.6641,1.90342,200.572992,1.52999,128.967,-30.54924,7.60054,-1.36155,0.15149,-0.00703,-0.00016,2E-05,3.32103,73.93443,-13.58776,-1.13682,0.65071,-0.18969,0.03755,-0.00427,0.0002,0.62773,-6.17676,9.03237,-3.02922,0.71738,-0.1167,0.01174,-0.00064,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-02-18,16:10:00.41,2,1,"Wade, Lance",1000064161,Right,WIN_EAG,"Kaczmar, Henry",808793,Left,SOU_GAM,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.35792,-2.413945,-1.347577,2321.696422,202.997808,12:45,6.05244,1.04047,5.71589,-14.87627,19.80548,7.90481,2.56215,0.44367,82.11083,-5.26214,0.06632,0.423859,77.37815,49.678391,-143.520989,3694.755998,,,,,57.67746,,,-4.43807,11.15607,-0.93287,50,5.8416,2.73932,-131.03379,-5.95412,-7.66621,29.36215,-12.9034,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,b6c97840-ee3c-11ef-9656-25d6dfab45da,88.92675,53.22004,,8.24709,,,,1.56323,2.40607,-0.33565,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:10:00.41,2025-02-18T16:10:00.4123648-05:00,2025-02-18T21:10:00.4123648Z,,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,fb3b464e-e561-464b-a18a-33e7c5ec7535,54.78061,-132.10069,14.68107,6.04944,-5.48526,-6.4517,-1.03746,3.01788,-3.83311,16.382686,1.56323,-59.04676,-0.94141,1.7113,-1.39684,2.21316,-2.3067,1.21595,-0.24653,2.40607,86.52674,-33.92258,5.26616,-2.1743,2.45797,-2.29515,1.07763,-0.17985,-0.33566,-43.65903,4.94133,0.22434,-0.61794,1.14741,-1.25936,0.70491,-0.15531,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2025-02-18,16:10:17.45,2,2,"Wade, Lance",1000064161,Right,WIN_EAG,"Kaczmar, Henry",808793,Left,SOU_GAM,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.76142,-2.046608,-1.825924,1817.917938,255.518509,2:30,5.83275,1.54965,5.53384,-36.0499,4.44945,12.15638,0.91384,0.85541,76.87738,-8.638874,0.345405,0.458031,,,,,,,,,,,,-6.70166,3.20941,-1.3996,50,5.63099,3.37777,-121.50792,-5.59483,-9.98773,24.506,-27.39094,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,c0feb0a0-ee3c-11ef-9656-25d6dfab45da,82.29224,,,6.88404,,,,,,,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:10:17.45,2025-02-18T16:10:17.4519296-05:00,2025-02-18T21:10:17.4519296Z,,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,5557247a-94ec-4d25-a547-299177afa792,54.96417,-122.50501,12.253,5.83595,-4.48035,-13.69547,-1.5453,3.78415,-4.99386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-18,16:10:36.28,2,3,"Wade, Lance",1000064161,Right,WIN_EAG,"Kaczmar, Henry",808793,Left,SOU_GAM,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.43781,-1.810655,-1.389205,2265.403066,184.565697,12:15,6.09009,0.99974,5.69592,-14.44694,20.22155,1.52016,3.19782,-0.1684,82.04298,-4.587249,-1.117485,0.423778,75.24446,38.994164,-169.050664,2715.005978,-107.69485,50.26189,-22.39897,233.69863,83.14413,-168.483559,3.133966,-1.19343,11.18812,-0.88409,50,5.92936,3.11465,-131.16823,-4.55795,-2.06302,29.76094,-12.83386,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,cc2dd960-ee3c-11ef-9656-25d6dfab45da,88.94374,50.30541,,8.39482,,,,1.38441,3.33729,0.15111,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:10:36.28,2025-02-18T16:10:36.2881024-05:00,2025-02-18T21:10:36.2881024Z,FlyBall,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,918723e2-b7b1-45cf-a106-76cea294f369,54.80015,-132.25286,14.88047,6.08695,-4.09022,-6.41693,-0.99898,3.18984,-1.03151,348.701566,1.38432,-84.20542,7.18285,-2.04673,0.32738,0.05256,-0.05441,0.01429,-0.00133,3.33739,69.43814,-30.17845,4.16268,-0.80109,0.08929,0.00625,-0.00423,0.00046,0.15112,-16.29306,-0.21713,0.46468,-0.09141,-0.03711,0.02995,-0.00789,0.00077,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-02-18,16:11:01.77,2,4,"Wade, Lance",1000064161,Right,WIN_EAG,"Kaczmar, Henry",808793,Left,SOU_GAM,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.50232,-0.423559,-2.101544,2293.838334,188.84418,12:15,6.15396,0.7806,5.77348,-15.63009,18.87328,2.75575,4.45705,-0.94616,82.03049,-3.420976,-1.608632,0.422768,,,,,,,,,,,,-2.02205,10.06512,-0.60862,50,6.10962,4.69435,-131.26366,-1.41723,-3.50377,29.56198,-14.73338,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,db612540-ee3c-11ef-9656-25d6dfab45da,89.15633,,,8.47183,,,,,,,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:11:01.77,2025-02-18T16:11:01.7776128-05:00,2025-02-18T21:11:01.7776128Z,,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,2028b1d9-689e-460e-90ef-dc2ece0ae7e9,54.72077,-132.32256,14.78099,6.15093,-0.88949,-7.36669,-0.77901,4.81985,-1.75189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-18,16:11:23.19,2,5,"Wade, Lance",1000064161,Right,WIN_EAG,"Kaczmar, Henry",808793,Left,SOU_GAM,Undefined,1,Top,1,1,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.79767,2.302857,-0.137409,2609.808958,53.04899,7:45,5.9893,1.39368,5.0207,-52.06117,-6.19819,-10.34079,3.82516,0.40228,72.34263,-7.141124,-1.964572,0.487419,,,,,,,,,,,,5.04343,-3.25902,-1.3719,50,6.16811,0.72121,-115.60399,2.71239,6.74505,23.9109,-36.53263,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,e831f010-ee3c-11ef-9656-25d6dfab45da,77.33066,,,7.45503,,,,,,,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:11:23.19,2025-02-18T16:11:23.1916032-05:00,2025-02-18T21:11:23.1916032Z,,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,7f30e04c-02ae-47a1-999e-04aa9db753a1,55.47619,-116.73116,11.95545,5.99965,4.43455,-18.26631,-1.3984,0.40325,3.37252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-18,16:11:40.88,2,6,"Wade, Lance",1000064161,Right,WIN_EAG,"Kaczmar, Henry",808793,Left,SOU_GAM,Undefined,1,Top,1,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,83.94933,-2.63215,-1.911245,1679.187411,227.040057,1:30,5.89484,1.44007,5.54011,-26.6773,13.96713,13.45765,1.20864,0.77464,76.28757,-7.588931,0.489966,0.458851,97.63837,-46.240861,-13.715443,,,,,3.33928,3.33928,-18.529251,0.012388,-7.41949,8.29111,-1.28369,50,5.64908,3.50268,-121.60632,-6.4564,-10.99341,26.1898,-19.8892,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,f2b01850-ee3c-11ef-9656-25d6dfab45da,82.14521,1.28249,,7.66176,,,,1.97309,1.28249,-0.77,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:11:40.88,2025-02-18T16:11:40.8864768-05:00,2025-02-18T21:11:40.8864768Z,GroundBall,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,fc07383a-97e2-4528-ab0d-4a1b8a5dff0d,54.95611,-122.66906,13.0949,5.8947,-5.64934,-9.9446,-1.43488,3.94877,-5.49671,,1.9729,96.31127,,,,,,,,1.28269,-103.52802,,,,,,,,-0.76996,-23.50566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
9,2025-02-18,16:12:34.17,3,1,"Wade, Lance",1000064161,Right,WIN_EAG,"Petry, Ethan",701337,Right,SOU_GAM,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.66553,0.33104,-1.476131,2495.862363,155.459537,11:15,5.92712,1.46808,5.46653,-31.88718,6.95268,-2.5963,3.57977,-0.13006,78.06837,-5.550204,-1.938343,0.448549,,,,,,,,,,,,0.87622,3.79205,-1.33643,50,5.93466,3.31457,-124.28434,-0.40943,1.36448,25.93287,-26.26889,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,12710ff0-ee3d-11ef-9656-25d6dfab45da,84.03187,,,7.59716,,,,,,,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:12:34.17,2025-02-18T16:12:34.1728256-05:00,2025-02-18T21:12:34.1728256Z,,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,45fafbe8-1ad7-411d-a1f4-2729d6f54567,55.02905,-125.3293,12.96643,5.92983,0.64907,-13.13445,-1.46888,3.25958,0.68224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-18,16:13:13.63,3,2,"Wade, Lance",1000064161,Right,WIN_EAG,"Petry, Ethan",701337,Right,SOU_GAM,Undefined,1,Top,1,0,1,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.66839,-1.887751,-2.224828,2528.501394,99.007109,9:15,6.03528,1.23194,5.35274,-38.14447,2.93012,-9.92394,1.08414,-1.68268,76.63374,-8.822612,-3.988858,0.461273,,,,,,,,,,,,4.29992,2.46996,-1.02458,50,5.83841,5.13271,-121.2366,-5.37318,6.35321,25.31363,-28.52465,WIN_EAG,SOU_GAM,WinthropUniversity,D1,BSOU,20250218-WinthropUniversity-1,2a02ff70-ee3d-11ef-9656-25d6dfab45da,81.71396,,,7.03465,,,,,,,b6c1bfca-1817-4148-97e3-c508f51ce709,2025-02-18,21:13:13.63,2025-02-18T16:13:13.6333824-05:00,2025-02-18T21:13:13.6333824Z,,v3,471494,471441,,"Chronis, Nathanial",1000238620,Right,WIN_EAG,f448e0a7-78a3-49a6-807a-77cdbf29f66d,55.14317,-122.30576,12.65681,6.03991,-4.16841,-14.26232,-1.2357,4.86438,3.1766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
