PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,15:05:47.91,1,1,"Revis, Dusty",1000297622,Right,WCC,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.92234,-2.271066,-4.392965,2065.996476,263.1587,2:45,5.51232,2.78742,6.5502,-28.28194,3.64394,21.30159,1.06567,0.52626,84.56791,-7.564703,-0.528676,0.406671,,,,,,,,,,,,-12.49205,2.92874,-2.49165,50,5.34308,9.48257,-134.64914,-6.27314,-22.74587,31.47682,-26.84134,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,3e2d23f0-f08f-11ef-a3cb-adb5ceee5c4a,92.68543,,,8.35442,,,,,,,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:05:47.91,2025-02-21T15:05:47.9155200-05:00,2025-02-21T20:05:47.9155200Z,,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,ec2994ff-f0c6-40a2-be1b-ace39488ff1e,53.9509,-135.56959,15.73841,5.51504,-5.48824,-13.42067,-2.77867,10.14771,-11.37294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,15:05:59.73,1,2,"Revis, Dusty",1000297622,Right,WCC,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.1761,-2.248476,-5.690195,2243.900701,261.409506,2:45,5.57202,2.58222,6.56565,-27.44352,4.56004,22.55068,1.21253,-0.7722,84.2534,-7.403958,-1.61144,0.407165,,,,,,,,,,,,-13.63572,3.44319,-2.19817,50,5.40507,12.50633,-134.70001,-6.19426,-24.7235,32.84618,-25.93105,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,454082e0-f08f-11ef-a3cb-adb5ceee5c4a,92.57283,,,8.92269,,,,,,,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:05:59.73,2025-02-21T15:05:59.7393408-05:00,2025-02-21T20:05:59.7393408Z,,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,591e3616-cfb6-4f88-b893-bd07bc62fcfb,53.93512,-135.65618,16.42309,5.5744,-5.43939,-12.96552,-2.57271,13.22604,-12.36175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,15:06:12.96,1,3,"Revis, Dusty",1000297622,Right,WCC,"Martin, Brayden",1000093833,Left,MAR_TER,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.74392,-1.640211,-4.088976,2327.658695,219.016847,1:15,5.54644,2.71876,6.25568,-18.58784,14.65662,10.91575,2.48066,-0.14865,82.86887,-5.190599,-2.123411,0.414984,95.72597,27.13762,10.335479,2678.526231,108.63988,52.43166,17.2425,366.18136,364.50483,5.493244,4.831604,-6.94162,8.46189,-2.41994,50,5.41524,9.04009,-132.85023,-4.3533,-12.25339,31.72746,-17.23707,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,4d10f040-f08f-11ef-a3cb-adb5ceee5c4a,90.82873,74.03358,,8.87505,,,,0.81609,2.52461,0.17841,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:06:12.96,2025-02-21T15:06:12.9681920-05:00,2025-02-21T20:06:12.9681920Z,FlyBall,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,cc3c2927-3dda-4279-9df9-59581697fece,54.24249,-133.85959,15.86373,5.54501,-3.80493,-8.61854,-2.71374,9.42992,-6.1267,164.956839,0.81594,122.92101,-21.48083,5.04013,-1.17288,0.27815,-0.05515,0.00677,-0.00035,2.52583,64.00571,-15.46124,0.3318,0.32507,-0.20704,0.05837,-0.00791,0.00042,0.17847,22.41592,-7.03688,1.70366,-0.4008,0.094,-0.01817,0.00219,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-02-21,15:06:46.63,2,1,"Revis, Dusty",1000297622,Right,WCC,"Hacopian, Eddie",828612,Right,MAR_TER,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.24961,-0.848428,-3.778898,2260.883475,221.608182,1:30,5.66845,2.51206,6.85482,-14.42225,17.18552,14.2106,3.69135,0.24608,83.55195,-3.691661,-1.189152,0.40464,,,,,,,,,,,,-8.70725,9.69623,-2.27453,50,5.60834,8.34608,-135.15658,-2.3163,-15.79454,34.77487,-14.58558,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,61350930-f08f-11ef-a3cb-adb5ceee5c4a,93.15062,,,9.69767,,,,,,,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:06:46.63,2025-02-21T15:06:46.6331648-05:00,2025-02-21T20:06:46.6331648Z,,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,51b421a6-13a6-42a6-8182-123769200123,53.64107,-136.09017,17.38743,5.66527,-1.92472,-7.29279,-2.50429,8.77012,-7.89727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,15:06:59.88,2,2,"Revis, Dusty",1000297622,Right,WCC,"Hacopian, Eddie",828612,Right,MAR_TER,Undefined,1,Top,1,1,0,Slider,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.70063,1.076971,-1.361073,1889.447325,254.736012,2:30,5.5805,2.93144,5.9619,-33.33935,4.19378,10.52528,3.80127,2.54622,78.26398,-5.138621,0.530579,0.440939,,,,,,,,,,,,-5.92807,2.11504,-2.82967,50,5.64722,2.57374,-125.82743,1.26403,-9.35687,29.21745,-28.83567,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,69050160-f08f-11ef-a3cb-adb5ceee5c4a,85.48217,,,8.43665,,,,,,,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:06:59.88,2025-02-21T15:06:59.8892544-05:00,2025-02-21T20:06:59.8892544Z,,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,ec2dab3f-d53a-417d-afd4-0a0dc6e5df63,54.53896,-126.87702,14.60872,5.5832,2.29989,-14.41783,-2.92816,2.90987,-4.67844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,15:07:34.97,3,1,"Revis, Dusty",1000297622,Right,WCC,"Hacopian, Christopher",1000088123,Right,MAR_TER,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.25709,0.087911,-3.325743,2169.474727,81.841737,8:45,5.67485,2.8615,5.37215,-43.19585,0.94063,-4.88118,2.15776,-0.66689,73.26402,-7.820483,-4.191493,0.478157,,,,,,,,,,,,1.30929,0.94224,-2.55953,50,5.65257,7.03349,-117.52264,-1.33387,1.7926,26.64324,-30.88401,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,7e048630-f08f-11ef-a3cb-adb5ceee5c4a,78.82861,,,7.99307,,,,,,,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:07:34.97,2025-02-21T15:07:34.9789184-05:00,2025-02-21T20:07:34.9789184Z,,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,63433609-7681-471c-ba5f-42358d24612b,55.12453,-118.67872,13.32162,5.68137,0.00622,-15.44201,-2.86303,6.95571,0.8963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,15:07:50.47,3,2,"Revis, Dusty",1000297622,Right,WCC,"Hacopian, Christopher",1000088123,Right,MAR_TER,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,92.73575,-0.955853,-4.188088,2355.454111,218.91719,1:15,5.70357,2.55016,6.3185,-19.19336,13.18619,9.73882,3.22129,-0.50261,83.90451,-4.61282,-2.43307,0.40955,69.13166,-70.563223,-76.595043,,,,,1.84631,1.84631,-19.212188,0.033579,-6.36941,7.48433,-2.24791,50,5.62431,9.43479,-134.35793,-2.81874,-11.52261,31.92105,-18.63446,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,873ce800-f08f-11ef-a3cb-adb5ceee5c4a,92.03383,3.22637,,8.83124,,,,1.47954,3.22637,0.49993,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:07:50.47,2025-02-21T15:07:50.4769024-05:00,2025-02-21T20:07:50.4769024Z,GroundBall,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,19a6b03c-3011-455b-849d-4036bef50f88,54.18052,-135.3475,15.96053,5.70274,-2.24106,-9.31723,-2.54593,9.792,-5.7613,,1.47933,7.8604,,,,,,,,3.2289,-96.08323,,,,,,,,0.5008,-32.98185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2025-02-21,15:08:28.39,4,1,"Revis, Dusty",1000297622,Right,WCC,"Porter, Hollis",1000196095,Left,MAR_TER,Undefined,1,Top,2,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Double,0,1,,93.55597,-1.787839,-4.761908,2223.863121,249.317805,2:15,5.56853,2.90677,6.46675,-23.69584,8.04217,18.31603,1.94559,0.04936,84.60863,-6.262091,-1.451072,0.405472,97.43746,6.094166,-32.963528,3713.501041,,,,117.46681,115.86396,-37.18793,0.935237,-11.07473,5.09465,-2.57777,50,5.43151,10.52716,-135.44401,-4.98984,-20.32432,32.91699,-22.82437,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,9dd11690-f08f-11ef-a3cb-adb5ceee5c4a,92.95933,4.77509,,8.94734,,,,0.40334,1.80028,-0.031,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:08:28.39,2025-02-21T15:08:28.3950080-05:00,2025-02-21T20:08:28.3950080Z,GroundBall,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,38f74ca0-19cf-410c-87dd-1a6fa97fa3d7,54.03313,-136.42066,16.4585,5.56951,-4.31264,-11.41219,-2.89906,11.13018,-10.16216,,0.5344,117.30339,-19.18224,,,,,,,1.86683,14.19807,-17.38467,,,,,,,0.00269,-77.82595,2.00534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-02-21,15:09:11.48,5,1,"Revis, Dusty",1000297622,Right,WCC,"Calarco, Alex",701321,Left,MAR_TER,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.58026,-0.743665,-3.806437,2215.339495,121.953274,10:00,5.52404,3.03841,5.76468,-38.43219,5.76933,-6.65126,1.62764,-1.06381,72.84364,-7.84153,-4.993275,0.478509,,,,,,,,,,,,2.09965,3.67504,-2.71882,50,5.43943,8.01717,-116.56476,-2.74523,2.83169,25.95289,-27.21775,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,b7a220a0-f08f-11ef-a3cb-adb5ceee5c4a,78.77065,,,7.73662,,,,,,,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:09:11.48,2025-02-21T15:09:11.4808832-05:00,2025-02-21T20:09:11.4808832Z,,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,e02308c3-ba87-44eb-8e69-6efea1fe06ac,54.73195,-117.6136,12.97644,5.52814,-1.64527,-13.60888,-3.04051,7.90273,1.41585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
10,2025-02-21,15:09:27.56,5,2,"Revis, Dusty",1000297622,Right,WCC,"Calarco, Alex",701321,Left,MAR_TER,Undefined,1,Top,2,1,0,Slider,Changeup,InPlay,Undefined,LineDrive,Single,0,1,,84.90363,-0.329126,-3.799214,1984.008095,273.056885,3:00,5.58208,2.89311,5.89809,-38.22372,0.68146,10.48402,2.09053,0.23444,77.76062,-7.365861,-1.920531,0.448926,87.84258,19.71006,26.756287,2069.499818,95.40976,25.36763,54.74418,229.4142,229.4142,34.219457,2.401423,-6.49406,0.76787,-2.59323,50,5.53338,7.76515,-123.13518,-1.99572,-9.94731,24.98313,-30.99788,WCC,MAR_TER,HennonStadium,D1,SOCON,20250221-HennonStadium-1,c1184ec0-f08f-11ef-a3cb-adb5ceee5c4a,83.96131,25.65041,,7.14301,,,,2.34293,2.18886,-0.30045,d91d6648-d12e-44de-82c9-2ce1fa347ace,2025-02-21,20:09:27.56,2025-02-21T15:09:27.5618304-05:00,2025-02-21T20:09:27.5618304Z,LineDrive,v3,471488,471349,21 February 2025 16:00-maryland@wcarolina,"Spyke, Jack",1000147967,Right,WCC,31fd457f-4779-418e-9040-7f816c5672ec,54.6035,-124.06568,12.49157,5.58621,-0.8412,-15.49894,-2.88935,8.13564,-4.97366,262.918113,2.34293,108.30114,-18.42857,3.78182,-0.83108,0.16906,-0.03505,0.0054,-0.0004,2.18886,43.4511,-22.16108,2.25506,-0.44313,0.08205,-0.01264,0.00173,-0.00014,-0.30045,54.60292,1.33883,-1.32092,0.45716,-0.13087,0.03094,-0.00512,0.00039,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
