PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-21,16:01:53.91,1,1,"Eskew, Dylan",686622,Right,SOU_GAM,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.1865,1.272838,-3.966982,2219.180063,272.675211,3:00,4.89821,2.72081,5.20463,-35.55439,0.1985,22.77348,3.13549,0.88177,81.36632,-5.230753,0.058873,0.430355,,,,,,,,,,,,-12.49422,0.10839,-2.37083,50,4.9897,7.96102,-130.47189,1.47683,-21.30229,30.24216,-31.98927,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,1466e3f0-f097-11ef-b6f6-e381959c5608,87.5845,,,8.82018,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:01:53.91,2025-02-21T16:01:53.9197952-05:00,2025-02-21T21:01:53.9197952Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,934fe69c-8d9e-4408-b270-90943840149d,55.29412,-131.69329,15.12108,4.90397,2.7688,-15.99464,-2.70973,8.82137,-10.65115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-21,16:02:11.80,1,2,"Eskew, Dylan",686622,Right,SOU_GAM,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.70376,0.731242,-2.995701,2256.260615,278.941108,3:15,4.90372,2.72069,5.01385,-37.79171,-2.25331,22.24631,2.44554,1.74461,81.99792,-6.139755,0.930946,0.429062,,,,,,,,,,,,-11.86249,-0.93189,-2.45187,50,4.9436,5.78418,-131.33403,0.09288,-20.48197,30.78552,-33.78307,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,1f151ce0-f097-11ef-b6f6-e381959c5608,87.84841,,,8.70584,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:02:11.80,2025-02-21T16:02:11.8037504-05:00,2025-02-21T21:02:11.8037504Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,febf51d0-747e-4cb9-a5da-70a1d3cd50ec,55.48503,-132.61352,15.39276,4.91056,1.49696,-16.89154,-2.70996,6.63544,-10.24099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-21,16:02:30.00,1,3,"Eskew, Dylan",686622,Right,SOU_GAM,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.1182,0.725795,-3.236936,2235.116535,268.661582,3:00,4.80332,2.74978,5.15371,-34.08022,1.76902,21.35139,2.64767,1.47868,81.34,-5.513077,0.538925,0.430934,,,,,,,,,,,,-11.55213,1.05736,-2.46394,50,4.84536,6.35373,-130.4567,0.2879,-19.67327,30.4691,-30.37334,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,29e7a6b0-f097-11ef-b6f6-e381959c5608,87.46676,,,8.77821,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:02:30.00,2025-02-21T16:02:30.0025856-05:00,2025-02-21T21:02:30.0025856Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,ae49ad07-08f0-4adc-b3a9-10fe7ee61552,55.34423,-131.69897,15.23455,4.80838,1.52626,-15.18667,-2.73934,7.15584,-9.83664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-21,16:02:47.98,1,4,"Eskew, Dylan",686622,Right,SOU_GAM,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.86729,1.108768,-2.980957,2319.78917,275.347678,3:15,4.89875,2.72134,5.20692,-36.78348,-0.64563,21.07308,2.87773,1.6715,80.75964,-5.626555,0.750407,0.432666,,,,,,,,,,,,-11.40371,-0.26343,-2.46173,50,4.97404,5.76847,-130.06073,1.04346,-19.20311,31.58106,-32.61762,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,34a2b0e0-f097-11ef-b6f6-e381959c5608,87.11674,,,9.10765,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:02:47.98,2025-02-21T16:02:47.9863296-05:00,2025-02-21T21:02:47.9863296Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,777d7f32-d2b0-45ad-a2ef-4b8d56616964,55.29076,-131.33913,15.79053,4.90508,2.36383,-16.30881,-2.71097,6.54582,-9.60156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-21,16:03:07.77,1,5,"Eskew, Dylan",686622,Right,SOU_GAM,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,3,1,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,90.7464,1.257604,-3.39489,2228.876753,268.001097,3:00,4.84706,2.77108,5.24128,-33.33549,2.10221,22.63064,3.25331,1.46259,81.39689,-4.871314,0.611612,0.428454,,,,,,,,,,,,-12.29635,1.05307,-2.47596,50,4.93845,6.69461,-131.26675,1.55948,-21.08924,32.20302,-30.36796,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,406bcfb0-f097-11ef-b6f6-e381959c5608,87.97315,,,9.3495,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:03:07.77,2025-02-21T16:03:07.7703168-05:00,2025-02-21T21:03:07.7703168Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,5b57c49f-f753-4d8a-9961-5a14ff11ea0b,55.25583,-132.54987,16.10151,4.8522,2.76948,-15.18398,-2.75945,7.5349,-10.54462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-21,16:03:40.60,2,1,"Eskew, Dylan",686622,Right,SOU_GAM,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.33883,1.077797,-3.087081,2197.362453,275.094067,3:15,4.70647,2.27866,4.98815,-36.67222,-0.70598,22.44793,2.66977,1.23151,81.37418,-5.604377,0.871563,0.431637,,,,,,,,,,,,-12.02965,-0.29406,-2.0002,50,4.78075,5.95782,-130.73435,0.9416,-20.52643,31.1826,-32.67581,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,54016440-f097-11ef-b6f6-e381959c5608,87.32437,,,8.96464,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:03:40.60,2025-02-21T16:03:40.6066688-05:00,2025-02-21T21:03:40.6066688Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,a07a115b-7d10-4058-835d-b54650145764,55.51041,-132.04215,15.5913,4.71252,2.31202,-16.33791,-2.26812,6.81869,-10.26321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-21,16:03:57.64,2,2,"Eskew, Dylan",686622,Right,SOU_GAM,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.96556,1.041306,-3.76452,1462.09213,276.05471,3:15,4.61149,2.27268,4.88246,-46.39479,-0.47484,19.46765,1.73267,0.32824,72.58378,-7.366091,-0.340568,0.487722,,,,,,,,,,,,-10.70882,-0.07181,-1.91998,50,4.67483,6.77158,-115.68722,0.38481,-14.38522,23.35371,-32.2705,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,5e2cb190-f097-11ef-b6f6-e381959c5608,77.28266,,,7.38177,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:03:57.64,2025-02-21T16:03:57.6411136-05:00,2025-02-21T21:03:57.6411136Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,dc0f0127-bc6c-4bef-9f6c-63a9c075c565,55.6168,-116.81558,11.67685,4.61858,1.94399,-16.13525,-2.26395,7.46661,-7.19261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-21,16:04:32.80,2,3,"Eskew, Dylan",686622,Right,SOU_GAM,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.97119,1.80416,-1.07439,2188.708655,271.31508,3:00,4.73736,2.16003,4.95493,-38.784,0.87083,22.57753,3.21086,3.02625,77.62588,-5.268168,2.908031,0.453231,,,,,,,,,,,,-11.48607,0.26059,-2.07556,50,4.88048,1.29741,-124.54171,2.40307,-17.79937,28.12825,-31.77025,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,732160f0-f097-11ef-b6f6-e381959c5608,83.16391,,,8.34531,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:04:32.80,2025-02-21T16:04:32.8000000-05:00,2025-02-21T21:04:32.8000000Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,8d6ea4cd-dd14-4a55-9553-b314a730f0de,55.54411,-125.78764,14.06412,4.74287,3.81032,-15.88513,-2.15049,2.08582,-8.89968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.03866,1.900831,0.698829,1.202002,0.59511,3.13414,-3.06842,2.94068,5.31301,-0.9307,127.28282,6.67901,-1.16059,3.10867,117.4984,-11.94764,5.30638,13.88728,-10.60172,-0.97607,-3.00471,2.40899,High,High,High,,,High,High,High
9,2025-02-21,16:05:00.43,2,4,"Eskew, Dylan",686622,Right,SOU_GAM,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.23554,0.427932,-5.191658,1755.635899,283.90851,3:30,4.56851,2.18754,4.70877,-47.47365,-3.59772,20.75513,1.02022,-1.02395,74.61352,-8.115328,-1.561027,0.476743,,,,,,,,,,,,-11.74072,-1.44547,-1.68055,50,4.56933,9.85585,-118.73881,-0.9749,-16.60474,24.72427,-34.21838,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,839c4800-f097-11ef-b6f6-e381959c5608,79.06236,,,7.62202,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:05:00.43,2025-02-21T16:05:00.4346880-05:00,2025-02-21T21:05:00.4346880Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,85741004-9cff-4379-a335-bfb53f2f795f,55.79145,-119.93867,12.36213,4.57635,0.6857,-17.10919,-2.17841,10.66167,-8.30237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-21,16:05:18.98,2,5,"Eskew, Dylan",686622,Right,SOU_GAM,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,0,3,1,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.97563,0.827761,-3.617884,2317.010117,267.028519,3:00,4.75268,2.08529,5.20878,-32.8551,2.43725,21.81962,2.79479,0.49679,81.67619,-5.208011,0.242055,0.427574,,,,,,,,,,,,-11.96729,1.35106,-1.76723,50,4.805,7.2649,-131.58346,0.59171,-20.63554,32.21617,-29.84437,SOU_GAM,UWM_PAN,UofSouthCarolina,D1,SEC,20250221-UofSouthCarolina-1,8ea4fd00-f097-11ef-b6f6-e381959c5608,88.1541,,,9.29944,,,,,,,fdaacd2b-8fe2-4663-9c66-a544d335cc52,2025-02-21,21:05:18.98,2025-02-21T16:05:18.9848064-05:00,2025-02-21T21:05:18.9848064Z,,v3,471441,5036,21 February 2025 16:00-wiscmilw@scarolina,"LeCroy, Talmadge",701782,Right,SOU_GAM,b6fd46a3-8d40-43e8-a2f5-4b8e2308af2f,55.28842,-132.87194,16.10808,4.75747,1.78533,-14.92219,-2.07429,8.09022,-10.31777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
