PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,12:04:29.35,1,1,"Martinez, Ryan",824187,Right,DIX_STE,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.30095,-2.194137,-3.393155,2078.168645,226.346009,1:30,5.46155,2.17217,6.31105,-26.06281,12.80016,12.08981,1.26395,0.05034,77.17203,-7.08979,-1.209015,0.448683,,,,,,,,,,,,-7.23741,7.66678,-1.92886,50,5.28803,6.79137,-122.25748,-5.43959,-10.93571,24.47844,-20.58954,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,d7f2aad0-f14f-11ef-b2bc-b72ae163efec,84.00686,,,7.12892,,,,,,,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:04:29.35,2025-02-22T12:04:29.3535744-07:00,2025-02-22T19:04:29.3535744Z,,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,aad74ee8-d7cb-4c6a-bc94-6772b56bc600,54.18704,-123.09296,12.23922,5.46169,-4.73684,-10.29477,-2.16702,7.16462,-5.46785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
2,2025-02-22,12:04:42.81,1,2,"Martinez, Ryan",824187,Right,DIX_STE,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.74082,-0.798889,-2.8711,2090.608913,239.539108,2:00,5.30111,2.45244,6.59491,-28.35009,9.47284,14.11485,2.20569,0.99595,77.76309,-6.136957,-0.305608,0.442638,,,,,,,,,,,,-8.21827,5.56055,-2.26167,50,5.23464,5.66706,-123.14992,-2.51662,-12.63768,24.15068,-23.62332,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,dff10600-f14f-11ef-b2bc-b72ae163efec,85.15407,,,6.97773,,,,,,,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:04:42.81,2025-02-22T12:04:42.8172800-07:00,2025-02-22T19:04:42.8172800Z,,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,65109129-681a-4aaf-9e2c-253442c84676,53.90466,-123.91329,12.07534,5.30239,-1.76992,-11.81166,-2.44711,6.06652,-6.31884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,12:04:55.34,1,3,"Martinez, Ryan",824187,Right,DIX_STE,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.43853,-1.425004,-4.862462,1897.861447,200.484426,12:45,5.26298,2.58078,6.80718,-22.20096,19.93749,6.91851,2.10761,-1.29038,73.26211,-5.695948,-3.606607,0.467208,,,,,,,,,,,,-5.06894,11.39197,-2.26815,50,5.16181,9.67494,-116.50961,-3.39382,-6.93156,22.94606,-16.596,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,e7730540-f14f-11ef-b2bc-b72ae163efec,80.67585,,,7.17643,,,,,,,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:04:55.34,2025-02-22T12:04:55.3493504-07:00,2025-02-22T19:04:55.3493504Z,,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,3302852f-2767-420c-b73c-f5c8e2690f15,53.68892,-117.23387,11.47303,5.26067,-2.86998,-8.298,-2.57698,9.89373,-3.46578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,12:05:08.09,1,4,"Martinez, Ryan",824187,Right,DIX_STE,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,2,1,Fastball,Changeup,InPlay,Undefined,Popup,Out,1,0,,85.30993,-1.570502,-3.737012,2092.728034,234.674233,1:45,5.38307,2.42555,6.51253,-26.20521,11.2732,14.26686,1.7547,0.18032,78.36167,-6.501674,-1.151288,0.440617,84.03202,29.258939,22.216746,4958.766245,97.71709,50.57645,50.51068,277.32288,263.10073,36.019692,4.088912,-8.5454,6.68874,-2.17071,50,5.2618,7.57473,-123.84354,-4.14175,-13.30378,24.16777,-21.76077,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,eeff8bd0-f14f-11ef-b2bc-b72ae163efec,85.54458,57.78089,,6.94826,,,,1.82018,1.84529,-0.16131,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:05:08.09,2025-02-22T12:05:08.0909824-07:00,2025-02-22T19:05:08.0909824Z,LineDrive,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,a0756024-0953-4eef-88cc-4caac65e92ab,53.98787,-124.61933,12.08388,5.38354,-3.44323,-10.88038,-2.42071,8.00179,-6.65189,222.066791,1.81993,99.55003,-22.5287,5.52239,-1.35146,0.36538,-0.09045,0.01402,-0.0009,1.84599,60.21687,-17.51439,0.56791,0.26979,-0.19944,0.06493,-0.00994,0.00058,-0.16187,40.66976,1.62831,-1.12531,0.2928,-0.04448,0.00383,-6E-05,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-02-22,12:05:46.68,2,1,"Martinez, Ryan",824187,Right,DIX_STE,"Nunes, Landon",1000222839,Left,CAL_HIG,Undefined,1,Top,1,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,HomeRun,0,1,,86.64422,-1.048657,-2.94041,2165.116661,230.431104,1:45,5.36907,2.46737,6.39805,-22.91533,13.80186,15.21973,2.49368,1.02917,78.85409,-5.399081,-0.185662,0.43612,99.08015,35.042049,-14.880632,4069.025166,104.06044,73.95823,-35.657,365.38076,328.61733,-26.505163,5.636257,-8.84485,7.87933,-2.26312,50,5.28317,5.88341,-125.78332,-2.94895,-14.08482,26.94864,-19.62675,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,060715a0-f150-11ef-b2bc-b72ae163efec,86.42675,108.04526,,7.79014,,,,1.70303,2.86605,-0.99697,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:05:46.68,2025-02-22T12:05:46.6861568-07:00,2025-02-22T19:05:46.6861568Z,FlyBall,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,e45d1162-3e0c-45f7-9d5d-bb525777883e,54.10103,-126.6589,13.47432,5.36863,-2.31126,-9.81337,-2.46171,6.34104,-7.04241,153.595429,1.71145,114.8255,-26.16589,5.8455,-0.79431,0.0153,0.01368,-0.00188,8E-05,2.86267,83.49059,-18.76388,1.10448,-0.0717,-0.04506,0.02044,-0.0032,0.00017,-0.99605,-30.57447,-1.19257,0.83726,-0.21372,0.03235,-0.00286,0.00014,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-02-22,12:06:37.05,3,1,"Martinez, Ryan",824187,Right,DIX_STE,"Harrison, Griffin",1000113314,Right,CAL_HIG,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.65379,0.766111,-2.406156,2061.96213,82.332228,8:45,5.34396,2.40168,6.16352,-48.69833,0.41256,-9.85607,1.99412,-0.64363,68.65427,-8.266848,-4.182725,0.504383,,,,,,,,,,,,4.27193,0.52772,-2.21449,50,5.37796,4.96023,-109.71504,0.05049,5.11546,22.59818,-31.54215,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,241e7bf0-f150-11ef-b2bc-b72ae163efec,74.72983,,,6.99951,,,,,,,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:06:37.05,2025-02-22T12:06:37.0557440-07:00,2025-02-22T19:06:37.0557440Z,,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,5b6a465b-119c-4d41-9646-6bad1dd638e6,54.33326,-110.60397,11.29909,5.35157,1.29123,-15.77108,-2.40565,4.75901,2.55773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,12:06:50.09,3,2,"Martinez, Ryan",824187,Right,DIX_STE,"Harrison, Griffin",1000113314,Right,CAL_HIG,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.61166,-0.946171,-3.358781,1894.050093,243.895032,2:15,5.33012,2.56349,6.78097,-33.42833,8.25855,14.11623,1.67905,0.66989,73.85539,-7.244007,-0.784554,0.464698,,,,,,,,,,,,-8.45166,5.04922,-2.34958,50,5.25592,6.40128,-117.08997,-2.81174,-11.70029,22.69029,-25.18402,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,2bdf31e0-f150-11ef-b2bc-b72ae163efec,81.11165,,,6.75627,,,,,,,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:06:50.09,2025-02-22T12:06:50.0961792-07:00,2025-02-22T19:06:50.0961792Z,,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,d8c4b819-eb5f-4286-8286-9a16a1ff1d22,53.71844,-117.80835,11.34515,5.33232,-2.01441,-12.59201,-2.55811,6.77171,-5.85014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
8,2025-02-22,12:07:04.46,3,3,"Martinez, Ryan",824187,Right,DIX_STE,"Harrison, Griffin",1000113314,Right,CAL_HIG,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.25382,-2.638553,-3.924758,1917.845211,244.200744,2:15,5.30679,2.4831,6.72833,-35.24533,8.02532,13.74107,-0.04902,0.03581,73.00556,-9.225566,-1.421345,0.473443,,,,,,,,,,,,-8.43855,5.38268,-2.22898,50,5.11849,7.44652,-114.96401,-6.22755,-11.27956,21.55932,-24.97916,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,346a15a0-f150-11ef-b2bc-b72ae163efec,79.61339,,,6.24826,,,,,,,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:07:04.46,2025-02-22T12:07:04.4676608-07:00,2025-02-22T19:07:04.4676608Z,,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,5d14611b-d03e-4c8d-9e6b-d8ba013b5953,53.77224,-115.66926,10.77966,5.30884,-5.41043,-12.48958,-2.47861,7.8155,-5.63978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,12:07:18.80,3,4,"Martinez, Ryan",824187,Right,DIX_STE,"Harrison, Griffin",1000113314,Right,CAL_HIG,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.34548,-1.228798,-5.752644,1896.605781,260.849946,2:45,5.25819,2.59672,6.74619,-38.60935,3.75583,14.6295,0.9123,-1.45732,73.55486,-8.445614,-3.099268,0.468464,,,,,,,,,,,,-9.38166,2.79028,-2.22268,50,5.16275,11.21776,-116.28933,-3.55886,-12.79319,22.65886,-28.36913,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,3d01a390-f150-11ef-b2bc-b72ae163efec,80.45967,,,6.79063,,,,,,,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:07:18.80,2025-02-22T12:07:18.8038144-07:00,2025-02-22T19:07:18.8038144Z,,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,586a3b1d-2b7c-4af5-a64e-a53234db0a53,53.75298,-117.01831,11.32943,5.26256,-2.64617,-14.18456,-2.59019,11.62934,-6.39659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-22,12:07:33.64,3,5,"Martinez, Ryan",824187,Right,DIX_STE,"Harrison, Griffin",1000113314,Right,CAL_HIG,Undefined,1,Top,1,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.93923,-0.295987,-4.285581,2155.675627,219.065997,1:15,5.18541,2.5132,6.43021,-21.4595,14.95769,11.18146,3.12431,-0.50118,79.1975,-4.380963,-2.266743,0.434335,70.88479,42.63889,163.791404,4574.737957,-108.18746,51.89302,19.88649,192.91393,63.94808,172.710535,3.208825,-7.10654,8.26079,-2.21267,50,5.15447,9.02758,-126.07601,-1.24171,-11.40451,26.33968,-18.9172,DIX_STE,CAL_HIG,BruceHurst,D1,WAC,20250222-BruceHurst-1,45c1ef30-f150-11ef-b2bc-b72ae163efec,86.78197,52.27122,,7.74173,,,,1.94885,3.15947,0.47036,e99b4370-3764-4051-8ce1-2d7db83aae2e,2025-02-22,19:07:33.64,2025-02-22T12:07:33.6465920-07:00,2025-02-22T19:07:33.6465920Z,FlyBall,v3,526275,471263,22 February 2025 14:05-ucriver@utah-tech,"Johnsen, Ty",801633,Right,DIX_STE,a6e7cfd1-fd44-4732-a9f5-bf3fc4930ffa,54.06901,-126.92326,13.16984,5.18462,-0.63321,-9.4586,-2.50896,9.39442,-5.70226,323.237117,1.94928,-73.45752,3.45654,0.14908,0.35377,-0.37645,0.16691,-0.03412,0.00264,3.15929,70.43106,-29.50704,3.96686,-1.00254,0.31379,-0.09932,0.02016,-0.0017,0.47011,21.35918,-8.64015,2.50242,-0.74776,0.28013,-0.09635,0.0199,-0.00167,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
