PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,10:04:40.88,1,1,"Golden, Cooper",1000334172,Left,MCN_COW,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,league is southland conference and this is Division 1,89.31157,-1.658772,2.2953,1987.421203,112.780771,9:45,5.16074,-1.60211,5.89292,-27.38856,7.55993,-15.44284,1.3365,-0.75666,82.08178,-6.730918,-0.477586,0.425486,,,,,,,,,,,,8.57886,4.6387,1.4262,50,5.01108,-4.55963,-129.70135,-4.69416,14.6501,26.49316,-24.25251,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,ba126370-f136-11ef-9bf3-a1b71254b2aa,88.5867,,,7.22979,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:04:40.88,2025-02-22T10:04:40.8876544-06:00,2025-02-22T16:04:40.8876544Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,32973fd7-48e5-4915-ab2e-e02e19cae5d9,54.61036,-130.63968,13.24658,5.16213,-3.83519,-12.12625,1.59688,-5.07851,7.32505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,10:04:53.41,1,2,"Golden, Cooper",1000334172,Left,MCN_COW,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.2249,-1.578044,2.196222,2067.959879,116.018767,9:45,5.17221,-1.63589,5.90604,-25.7249,9.29312,-16.81237,1.56215,-0.99721,81.89407,-6.35892,-0.822873,0.425909,,,,,,,,,,,,9.22189,5.52331,1.46903,50,5.03055,-4.26487,-129.57224,-4.43644,15.7082,26.58052,-22.76583,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,c18c9a80-f136-11ef-9bf3-a1b71254b2aa,88.49871,,,7.33083,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:04:53.41,2025-02-22T10:04:53.4125056-06:00,2025-02-22T16:04:53.4125056Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,cc191d79-6577-4542-96a4-1335a3c5f610,54.59654,-130.51177,13.29026,5.17315,-3.63175,-11.38291,1.62959,-4.8201,7.8541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,10:05:05.58,1,3,"Golden, Cooper",1000334172,Left,MCN_COW,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.29041,-0.236251,1.632885,2107.998003,123.635526,10:00,5.51963,-1.3965,5.81488,-22.51686,11.68386,-16.0145,3.42346,-1.21225,82.84442,-4.442277,-1.236981,0.42091,,,,,,,,,,,,8.59839,6.34437,1.27222,50,5.48687,-3.04856,-131.20647,-1.2968,15.05489,26.61494,-21.0657,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,c8c0c7e0-f136-11ef-9bf3-a1b71254b2aa,89.54991,,,7.44599,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:05:05.58,2025-02-22T10:05:05.5875072-06:00,2025-02-22T16:05:05.5875072Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,0222c69b-2d63-49af-a96c-973a1e862fb4,54.68727,-132.15386,13.30747,5.51969,-0.54695,-10.53285,1.39027,-3.58445,7.52744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,10:05:19.82,1,4,"Golden, Cooper",1000334172,Left,MCN_COW,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.26571,-0.17627,3.050429,2068.493086,118.896107,10:00,5.17172,-1.55978,6.00704,-24.78214,9.69552,-15.85115,2.94299,-0.05176,82.61578,-4.785728,0.203151,0.422611,,,,,,,,,,,,8.87186,5.33217,1.32844,50,5.1441,-6.26094,-129.75108,-1.21895,15.34042,23.5139,-22.95413,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,d13e3e20-f136-11ef-9bf3-a1b71254b2aa,89.18954,,,6.64994,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:05:19.82,2025-02-22T10:05:19.8233600-06:00,2025-02-22T16:05:19.8233600Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,fb53c921-8f9c-48ba-be2a-02fa64262b66,54.49646,-130.5634,11.75695,5.17251,-0.42597,-11.47706,1.55388,-6.7909,7.67021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,10:05:32.51,1,5,"Golden, Cooper",1000334172,Left,MCN_COW,"Rice, Trent",804062,Right,OAK_GOL,Undefined,1,Top,0,2,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.41516,-0.147917,2.763599,2088.669913,115.250209,9:45,4.96422,-1.69679,5.87656,-24.56529,9.70363,-18.23977,2.77957,-0.64796,82.44782,-4.737731,-0.506168,0.421329,,,,,,,,,,,,10.06099,5.34032,1.48353,50,4.93808,-5.53866,-131.22733,-1.17198,17.51603,28.18313,-22.87666,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,d8cd5cc0-f136-11ef-9bf3-a1b71254b2aa,89.46074,,,7.96734,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:05:32.51,2025-02-22T10:05:32.5140000-06:00,2025-02-22T16:05:32.5140000Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,9a2e1021-ec9f-47bb-883b-4392d8e395ee,54.62482,-132.21685,14.09157,4.96513,-0.36876,-11.43833,1.68879,-6.15366,8.75802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.62977,2.167219,1.177498,0.989722,-0.97158,2.57675,0.67212,-2.57894,6.33613,4.60231,78.00258,11.36115,46.7878,-2.40166,90.94837,-9.73565,6.33581,16.01382,-11.04739,4.65159,45.7734,-3.21172,High,High,High,,,High,High,High
6,2025-02-22,10:06:00.43,2,1,"Golden, Cooper",1000334172,Left,MCN_COW,"Orr, Aidan",1000315303,Left,OAK_GOL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.63647,-0.183949,3.179388,2065.884046,102.332223,9:30,4.94279,-1.59062,5.98949,-29.58805,4.94012,-17.82698,2.30636,-0.12644,82.31894,-5.668374,-0.022758,0.42292,,,,,,,,,,,,10.00516,2.90756,1.34935,50,4.91186,-6.48701,-130.17599,-1.43823,17.24366,26.20248,-27.16294,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,e97fa780-f136-11ef-9bf3-a1b71254b2aa,89.12426,,,7.31753,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:06:00.43,2025-02-22T10:06:00.4338688-06:00,2025-02-22T16:06:00.4338688Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,f8aefad8-8b82-4e89-84d1-0d17792f7453,54.51386,-131.08141,13.10124,4.94534,-0.49962,-13.58147,1.58381,-7.08286,8.62183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,10:06:12.57,2,2,"Golden, Cooper",1000334172,Left,MCN_COW,"Orr, Aidan",1000315303,Left,OAK_GOL,Undefined,1,Top,1,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99969,-1.396398,2.990024,2098.153931,122.715742,10:00,5.56245,-0.91921,6.11299,-23.22982,10.88268,-15.31824,2.33341,0.57157,82.64856,-5.744636,0.231955,0.420367,,,,,,,,,,,,8.6965,6.31272,0.69739,50,5.4429,-6.19328,-130.68172,-3.93419,15.10197,26.45638,-21.21164,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,f0ba8ba0-f136-11ef-9bf3-a1b71254b2aa,89.66556,,,7.35113,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:06:12.57,2025-02-22T10:06:12.5775872-06:00,2025-02-22T16:06:12.5775872Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,b0c04402-0764-418a-ac38-1f0cc203bb3c,54.38933,-131.56733,13.22819,5.56271,-3.22414,-10.60582,0.91317,-6.69881,7.55098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,10:06:25.01,2,3,"Golden, Cooper",1000334172,Left,MCN_COW,"Orr, Aidan",1000315303,Left,OAK_GOL,Undefined,1,Top,1,0,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.97325,-0.441674,3.805624,2111.143187,109.490186,9:45,5.12926,-1.28095,5.86001,-27.39588,7.19272,-17.2543,2.435,0.82214,82.32529,-5.526308,0.717418,0.42329,,,,,,,,,,,,9.83733,4.13264,0.98172,50,5.07737,-7.93761,-130.49544,-1.96021,16.99238,27.01755,-25.03558,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,f827a350-f136-11ef-9bf3-a1b71254b2aa,89.04643,,,7.64795,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:06:25.01,2025-02-22T10:06:25.0180000-06:00,2025-02-22T16:06:25.0180000Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,d03c4089-ccf9-43cc-988f-3340fe947a33,54.64224,-131.45305,13.50877,5.13112,-1.07285,-12.51779,1.27373,-8.53989,8.49619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.49574,2.443522,1.514445,0.929077,-0.73051,2.22294,-0.84669,-1.29935,6.08203,-2.96434,70.38939,1.89107,-54.38972,-1.25642,82.7025,-6.0133,6.1054,7.24199,-12.67622,-3.03171,-62.39563,7.65943,High,High,High,,,High,High,High
9,2025-02-22,10:06:51.62,3,1,"Golden, Cooper",1000334172,Left,MCN_COW,"Nigh, Brandon",1000125197,Right,OAK_GOL,Undefined,1,Top,2,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.4721,-1.098313,2.585869,2095.742032,117.754131,10:00,5.57494,-1.30774,5.8133,-23.65159,10.52264,-17.98225,2.58149,-0.40003,82.92166,-5.504019,-0.635472,0.420747,75.96348,31.341617,135.589879,2860.027135,,,,,44.70953,,,9.88658,5.99225,1.10649,50,5.47074,-5.15755,-131.35913,-3.32671,17.31592,27.20083,-21.67886,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,07fb9c00-f137-11ef-9bf3-a1b71254b2aa,89.58465,25.02189,,7.55044,,,,-0.49221,2.45552,0.48989,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:06:51.62,2025-02-22T10:06:51.6259840-06:00,2025-02-22T16:06:51.6259840Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,dbf89d5c-47a4-485c-b1b1-f49ab1baef30,54.68933,-132.3266,13.60041,5.57535,-2.55565,-10.83943,1.30089,-5.77343,8.65796,,-0.49193,-67.98289,2.8998,,,,,,,2.46587,57.6615,-22.27355,,,,,,,0.49579,66.42456,-7.10276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-02-22,10:07:10.83,3,2,"Golden, Cooper",1000334172,Left,MCN_COW,"Nigh, Brandon",1000125197,Right,OAK_GOL,Undefined,1,Top,2,0,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.9645,0.411221,1.67566,2149.990652,305.103004,4:15,5.44702,-1.35352,5.46371,-46.46451,-2.32189,5.12799,1.96005,0.64268,73.96812,-8.036569,2.589358,0.47819,,,,,,,,,,,,-2.15343,-0.90378,1.20227,50,5.45114,-3.60032,-116.17979,-0.76765,-2.95908,20.6734,-33.41594,MCN_COW,OAK_GOL,JoeMillerBallpark,D1,SLAND,20250222-JoeMillerBallpark-1,137fe9a0-f137-11ef-9bf3-a1b71254b2aa,78.82316,,,5.99639,,,,,,,8f1ce932-7e32-4f18-ba54-5c988d1734db,2025-02-22,16:07:10.83,2025-02-22T10:07:10.8334592-06:00,2025-02-22T16:07:10.8334592Z,,v3,mcneese,471397,22 February 2025 14:00-oakland@mcneese,"Brouseau, Mack",1000116210,Right,MCN_COW,2efcbc7b-6bce-4a84-b2bf-c243430c1347,55.03993,-117.07318,10.3367,5.45311,0.6764,-16.70797,1.3551,-3.47244,-1.47954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
