PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-22,10:00:26.93,1,1,"Reed, Ryan",811266,Left,PIT_PAN,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.8336,0.368537,4.71914,1949.385897,103.051439,9:30,4.57122,-3.27049,6.099,-29.3136,6.8265,-23.27789,2.47044,-0.83576,79.1271,-5.150053,0.540809,0.432679,,,,,,,,,,,,13.51745,3.81488,2.91795,50,4.58469,-9.59481,-128.41019,-0.13382,22.00671,32.77592,-25.96331,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,c05d3150-f12d-11ef-bf73-274194d979b8,87.11405,,,9.70649,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:00:26.93,2025-02-22T10:00:26.9360000-05:00,2025-02-22T15:00:26.9360000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,c653d5d2-32cc-4882-bc76-e90a1a430d00,54.3978,-129.52784,16.38796,4.57416,0.75152,-12.98165,3.25793,-10.34523,11.00335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-22,10:00:40.98,1,2,"Reed, Ryan",811266,Left,PIT_PAN,"Walsh, Chris",1000327423,Right,MON_HAW,Undefined,1,Top,0,0,1,Undefined,Sinker,InPlay,Undefined,Bunt,Out,1,0,,89.54046,0.131213,4.701371,1919.343426,100.647526,9:15,4.62821,-3.21956,6.26042,-29.74403,5.37882,-21.59812,2.27094,-0.67468,80.31972,-5.458616,0.812151,0.426546,,,,,,,,,,,,12.80922,3.10756,2.88067,50,4.62357,-9.77737,-129.59328,-0.66377,21.36079,31.98352,-26.99184,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,c8b93ce0-f12d-11ef-bf73-274194d979b8,88.36657,,,9.22074,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:00:40.98,2025-02-22T10:00:40.9850000-05:00,2025-02-22T15:00:40.9850000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,86ef9c91-2f17-4f4d-a184-45aa9ed83677,54.23938,-130.63537,15.99176,4.63087,0.21568,-13.49592,3.21057,-10.47334,10.68039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-22,10:01:12.40,2,1,"Reed, Ryan",811266,Left,PIT_PAN,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.57021,1.18923,4.566571,1915.661536,88.315695,9:00,4.58136,-3.27987,6.29618,-34.56211,0.72185,-22.76407,2.80063,-0.96012,79.77653,-5.290514,0.463767,0.427524,,,,,,,,,,,,13.27264,0.41717,2.95315,50,4.65324,-9.37278,-129.53839,1.52793,21.97482,33.51784,-31.48336,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,db7ba2f0-f12d-11ef-bf73-274194d979b8,88.16458,,,9.79368,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:01:12.40,2025-02-22T10:01:12.4060000-05:00,2025-02-22T15:01:12.4060000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,4901155a-37fa-490c-bdf3-8c15159caff1,54.20111,-130.6209,16.75892,4.58748,2.54473,-15.74168,3.26732,-10.08249,10.98741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-22,10:01:25.84,2,2,"Reed, Ryan",811266,Left,PIT_PAN,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2832,0.399489,7.284504,1918.937889,102.180501,9:30,4.88351,-3.05124,6.37206,-29.30907,6.11548,-22.13698,2.81166,1.84295,79.99011,-5.110444,3.321825,0.428374,,,,,,,,,,,,13.758,3.46492,2.53163,50,4.89937,-15.51918,-128.62926,-0.02425,22.6791,30.68843,-26.46236,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,e37babd0-f12d-11ef-bf73-274194d979b8,87.98948,,,9.29309,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:01:25.84,2025-02-22T10:01:25.8490000-05:00,2025-02-22T15:01:25.8490000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,12e92afd-5c25-4791-9c0a-47ec88d7c653,54.12601,-129.60991,15.34421,4.88663,0.82136,-13.23118,3.03912,-16.24389,11.33955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-22,10:01:41.95,2,3,"Reed, Ryan",811266,Left,PIT_PAN,"Caufield, Casey",1000121884,Left,MON_HAW,Undefined,1,Top,1,1,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.27989,0.198082,5.565381,1878.794804,101.590695,9:30,4.71445,-3.15814,6.15527,-29.68084,5.84355,-21.98978,2.42492,0.16747,80.08158,-5.367406,1.622149,0.428978,98.43369,-14.003711,-16.531047,,,,,9.62459,9.47947,-16.87315,0.065483,13.14406,3.34154,2.7449,50,4.71458,-11.64812,-129.01547,-0.52827,21.76558,31.23182,-26.64074,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,ed136bb0-f12d-11ef-bf73-274194d979b8,87.86574,2.29117,,9.19831,,,,0.40314,2.29117,-0.1796,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:01:41.95,2025-02-22T10:01:41.9530000-05:00,2025-02-22T15:01:41.9530000Z,GroundBall,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,cc996fb2-0f7f-4c0c-bcb3-26a4317ea7dd,54.34367,-130.06273,15.61591,4.71732,0.36504,-13.32037,3.14772,-12.37795,10.88279,180,0.40098,134.49387,,,,,,,,2.29173,-34.98857,,,,,,,,-0.17896,-39.91818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-22,10:02:13.99,3,1,"Reed, Ryan",811266,Left,PIT_PAN,"Lovarco, Nick",1000392650,Right,MON_HAW,Undefined,1,Top,2,0,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.06313,1.144353,2.953205,2005.608964,174.982259,11:45,4.38551,-3.51708,6.19857,-39.22982,3.48036,-0.14402,2.1743,-0.80042,72.36607,-6.240699,2.927264,0.470367,,,,,,,,,,,,1.2476,1.95343,3.29485,50,4.45321,-6.11272,-118.60235,1.1557,1.70591,31.13025,-29.50302,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,00313830-f12e-11ef-bf73-274194d979b8,80.13406,,,9.69706,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:02:13.99,2025-02-22T10:02:13.9910000-05:00,2025-02-22T15:02:13.9910000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,233811fd-6196-4ecb-80c1-73aa042a3ef0,54.29213,-119.72364,15.56513,4.39245,2.21836,-14.75151,3.51613,-6.17417,0.85296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-22,10:02:27.90,3,2,"Reed, Ryan",811266,Left,PIT_PAN,"Lovarco, Nick",1000392650,Right,MON_HAW,Undefined,1,Top,2,0,1,Undefined,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.68585,0.563563,4.518065,1900.570674,95.66255,9:15,4.81469,-3.14333,6.08907,-31.37065,3.88433,-25.72001,2.72343,-1.09852,80.33392,-5.306694,-0.101436,0.427348,,,,,,,,,,,,14.58509,2.24264,2.80666,50,4.84224,-9.12866,-129.76773,0.20513,24.38582,32.08902,-28.42444,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,087acd30-f12e-11ef-bf73-274194d979b8,88.2008,,,9.35192,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:02:27.90,2025-02-22T10:02:27.9090000-05:00,2025-02-22T15:02:27.9090000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,584835b2-3763-4817-9cc9-46499f9c3f4f,54.40919,-130.8535,16.04451,4.81902,1.1669,-14.21222,3.12949,-9.95378,12.19291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-22,10:02:46.67,3,3,"Reed, Ryan",811266,Left,PIT_PAN,"Lovarco, Nick",1000392650,Right,MON_HAW,Undefined,1,Top,2,0,2,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.55526,1.604171,4.832311,1942.474498,107.214909,9:30,4.6169,-3.16132,6.31329,-27.05505,7.88414,-21.36753,3.84565,-0.48012,80.41029,-3.502777,0.985524,0.42543,,,,,,,,,,,,12.52587,3.96162,2.81587,50,4.72211,-10.05606,-129.56295,2.79014,20.98852,30.66567,-25.53587,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,13a90b90-f12e-11ef-bf73-274194d979b8,88.59852,,,9.14497,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:02:46.67,2025-02-22T10:02:46.6710000-05:00,2025-02-22T15:02:46.6710000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,5ebf6ca2-7896-4603-88f1-fd93ae1a6d7c,54.1848,-130.54968,15.33284,4.61911,3.6118,-12.76794,3.1503,-10.7314,10.49426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-22,10:03:05.03,3,4,"Reed, Ryan",811266,Left,PIT_PAN,"Lovarco, Nick",1000392650,Right,MON_HAW,Undefined,1,Top,2,1,2,Undefined,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,83.06222,0.643233,4.332591,2084.169924,105.136106,9:30,4.36418,-3.3565,6.19022,-38.24163,2.21626,-3.23996,1.773,0.38138,75.65004,-6.45651,3.750402,0.457797,,,,,,,,,,,,2.9602,1.39083,3.03094,50,4.39387,-8.99151,-120.32877,0.14979,4.3102,24.85013,-30.14891,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,1ea03460-f12e-11ef-bf73-274194d979b8,82.33437,,,7.41218,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:03:05.03,2025-02-22T10:03:05.0370000-05:00,2025-02-22T15:03:05.0370000Z,,v3,471411,4164,,"Pisacreta, Sebastian",804635,Right,PIT_PAN,72bfcee6-ad9f-487b-9e6c-f531f3609721,54.30816,-121.21522,12.42506,4.36935,1.22526,-15.07446,3.35443,-9.14527,2.1551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.40863,3.243881,1.952768,1.291113,-1.09885,1.47946,-0.54566,0.19858,4.34684,6.83665,73.84436,3.15214,-50.94154,0.21247,61.23583,-3.272,4.42151,19.49417,-15.95063,6.75458,-52.94995,6.48976,High,High,High,,,High,High,Medium
10,2025-02-22,10:05:45.84,1,1,"Kent, Tommy",1000221052,Left,MON_HAW,"Cantwell, Luke",822877,Left,PIT_PAN,Undefined,1,Bottom,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.06394,-0.895738,4.002034,2179.018887,139.961961,10:45,5.6411,-1.24082,5.64778,-15.51521,21.08529,-16.47568,3.51055,1.12522,79.13088,-3.920251,1.068298,0.435426,,,,,,,,,,,,9.66878,11.35642,0.91117,50,5.55547,-8.24846,-128.65992,-2.42213,15.78884,33.10858,-13.62932,PIT_PAN,MON_HAW,USABBCary2,D1,ACC,20250222-USABBCary2-1,7e76cfc0-f12e-11ef-bf73-274194d979b8,86.56442,,,9.93306,,,,,,,32d1a931-5d27-4c97-8e5c-23365b1d5cac,2025-02-22,15:05:45.84,2025-02-22T10:05:45.8420000-05:00,2025-02-22T15:05:45.8420000Z,,v3,471411,4164,,"Dux, Shane",1000330772,Right,MON_HAW,6f7d53ab-c6e5-4c08-8aad-becf89926933,54.84637,-129.90107,16.55429,5.63669,-1.9112,-6.81466,1.23148,-8.84034,7.89442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
