PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,14:06:05.51,1,1,"Burfield, Casey",1000119574,Right,NEV_WOL,"Mascaro, Nick",1000114484,Left,CSU_BAK,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.70987,-3.402269,-3.129293,2367.518804,212.410139,1:00,5.61366,1.47808,6.73207,-15.12587,17.01501,10.1754,1.23577,-0.53646,84.33776,-6.307459,-1.276956,0.408038,,,,,,,,,,,,-6.27622,10.24701,-1.27554,50,5.38275,6.9032,-133.10483,-8.30606,-11.30676,27.45157,-13.71383,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,60f59ad0-f232-11ef-8d12-d7f948840f31,92.37488,,,7.37211,,,,,,,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:06:05.51,2025-02-23T14:06:05.5108608-08:00,2025-02-23T22:06:05.5108608Z,,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,0b67e31f-a66e-4bf8-b173-dc1b865991f1,53.7697,-133.88003,13.72578,5.61184,-7.91879,-6.85692,-1.47499,7.2225,-5.65338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,14:06:19.58,1,2,"Burfield, Casey",1000119574,Right,NEV_WOL,"Mascaro, Nick",1000114484,Left,CSU_BAK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.78739,-2.294974,0.006252,2229.406361,217.347085,1:15,5.58198,1.73917,6.52849,-19.13304,14.5154,10.30745,1.88106,2.60386,82.68598,-5.920966,1.879586,0.417498,,,,,,,,,,,,-5.38551,8.53532,-1.74354,50,5.41399,-0.41675,-130.54834,-5.76126,-9.34048,26.20115,-17.37066,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,6956d680-f232-11ef-8d12-d7f948840f31,90.28182,,,7.10141,,,,,,,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:06:19.58,2025-02-23T14:06:19.5873792-08:00,2025-02-23T22:06:19.5873792Z,,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,96f56b3b-6850-48c6-8c21-87f69c64b4a4,53.97077,-131.34286,13.10057,5.5807,-5.23452,-8.68533,-1.7352,-0.13351,-4.67024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,14:06:35.89,1,3,"Burfield, Casey",1000119574,Right,NEV_WOL,"Mascaro, Nick",1000114484,Left,CSU_BAK,Undefined,1,Top,0,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,90.63107,-1.60186,-1.951345,2327.357075,208.961811,1:00,5.63082,1.53484,6.50378,-18.3734,14.63784,7.56119,2.62826,0.37327,83.43925,-5.093231,-0.579038,0.413526,99.81242,36.281405,2.237991,3710.514828,109.99749,77.69828,-0.66585,405.65359,405.54776,-7.569076,5.903458,-4.5011,8.41,-1.40166,50,5.51057,4.20173,-131.79279,-4.20297,-7.96537,26.39501,-17.29122,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,7313aa90-f232-11ef-8d12-d7f948840f31,91.14899,118.68084,,7.19182,,,,1.14479,2.56931,-0.37577,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:06:35.89,2025-02-23T14:06:35.8968320-08:00,2025-02-23T22:06:35.8968320Z,FlyBall,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,696823fd-1dce-475a-b1f5-90ff0ad538fc,53.99724,-132.59093,13.1975,5.62976,-3.68012,-8.64561,-1.53236,4.44259,-3.98268,163.668851,1.15335,117.76345,-22.97899,5.211,-0.73964,0.0349,0.00688,-0.00112,5E-05,2.56329,86.72234,-18.46699,1.21564,-0.17762,0.0004,0.00823,-0.00153,9E-05,-0.37365,4.57171,-5.25353,0.90158,-0.05638,-0.01854,0.00521,-0.00052,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-02-23,14:07:45.45,2,1,"Burfield, Casey",1000119574,Right,NEV_WOL,"Barnum, Lewis",1000098389,Right,CSU_BAK,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.96663,-1.798125,-3.1091,2323.565067,169.544962,11:45,5.53227,1.56456,6.05193,-37.43053,2.89595,-0.25413,0.74554,-1.33754,75.76678,-8.733351,-3.154833,0.457053,,,,,,,,,,,,-0.94579,2.52744,-1.32242,50,5.37232,6.61305,-121.56653,-5.02232,-1.38249,28.99181,-28.47969,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,9c8c6d30-f232-11ef-8d12-d7f948840f31,82.46843,,,8.19985,,,,,,,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:07:45.45,2025-02-23T14:07:45.4565376-08:00,2025-02-23T22:07:45.4565376Z,,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,b76a88f0-a95b-497c-9820-219d61b6709a,54.44582,-122.62221,14.49591,5.53632,-3.98529,-14.23985,-1.56414,6.6634,-0.69125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,14:07:58.46,2,2,"Burfield, Casey",1000119574,Right,NEV_WOL,"Barnum, Lewis",1000098389,Right,CSU_BAK,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,91.87026,-2.434006,-2.731475,2392.07409,207.302293,1:00,5.5789,1.51465,6.79551,-15.94922,15.993,7.74536,2.02437,-0.33487,84.29333,-5.500682,-1.319247,0.406775,93.69896,0.891388,3.197881,1028.285156,,,,57.35346,55.64183,4.054136,0.432917,-4.8767,9.46363,-1.34027,50,5.41464,6.08061,-133.47092,-6.08163,-8.81574,28.15681,-15.06637,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,a4490470-f232-11ef-8d12-d7f948840f31,92.66172,2.07692,,7.57692,,,,1.25463,2.00692,0.34672,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:07:58.46,2025-02-23T14:07:58.4672768-08:00,2025-02-23T22:07:58.4672768Z,GroundBall,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,0d4fe9b5-4f92-4ef7-8cfa-bff42153ee79,53.70527,-134.25031,14.07841,5.5772,-5.6646,-7.53318,-1.51196,6.32463,-4.40787,268.022179,1.26623,136.83554,-17.63831,,,,,,,2.01179,1.98763,-15.35045,,,,,,,0.34436,7.73852,1.93446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-02-23,14:08:36.27,3,1,"Burfield, Casey",1000119574,Right,NEV_WOL,"Hendriks, Cody",1000125319,Right,CSU_BAK,Undefined,1,Top,0,0,0,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.86575,-2.444633,-3.643746,2327.684845,245.385598,2:15,5.56979,1.49248,5.91281,-36.29817,5.02591,7.77264,0.27004,-1.24623,75.40624,-9.13879,-2.249037,0.462672,,,,,,,,,,,,-5.19288,3.73059,-1.20453,50,5.35247,7.3431,-119.95535,-6.29064,-7.46134,26.21004,-26.81379,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,bad67c40-f232-11ef-8d12-d7f948840f31,81.46693,,,7.4595,,,,,,,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:08:36.27,2025-02-23T14:08:36.2785280-08:00,2025-02-23T22:08:36.2785280Z,,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,9d0354bb-06c7-487c-8335-c3c866f1b5aa,54.58711,-120.95347,13.10502,5.57259,-5.26952,-13.40689,-1.48958,7.62724,-3.73067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,14:08:54.85,3,2,"Burfield, Casey",1000119574,Right,NEV_WOL,"Hendriks, Cody",1000125319,Right,CSU_BAK,Undefined,1,Top,0,1,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.37963,-0.087631,-0.906182,2338.310319,288.017218,3:30,5.6623,1.4598,5.69247,-43.13309,0.92661,2.90921,1.9862,0.85763,72.17426,-8.088852,-0.385112,0.477741,,,,,,,,,,,,-1.84685,0.96421,-1.38554,50,5.62829,1.74671,-117.76897,-1.607,-2.49146,30.57144,-30.87329,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,c5e9b890-f232-11ef-8d12-d7f948840f31,78.89728,,,9.20537,,,,,,,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:08:54.85,2025-02-23T14:08:54.8508160-08:00,2025-02-23T22:08:54.8508160Z,,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,c246ef62-f7dd-4613-971e-1716746246a9,54.80367,-119.00941,15.28572,5.66808,-0.35431,-15.43665,-1.45847,1.8478,-1.24573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-23,14:09:31.75,3,3,"Burfield, Casey",1000119574,Right,NEV_WOL,"Hendriks, Cody",1000125319,Right,CSU_BAK,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.93155,-0.165029,-1.020265,2356.349027,216.729327,1:15,5.64801,1.58431,5.82851,-35.5286,5.46433,3.28036,2.53386,0.90914,76.38458,-6.689567,-0.431693,0.460814,,,,,,,,,,,,-1.9202,3.15957,-1.50298,50,5.61321,1.99932,-119.2388,-1.4971,-2.81226,19.2155,-27.54661,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,dbef14a0-f232-11ef-8d12-d7f948840f31,81.79528,,,5.54697,,,,,,,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:09:31.75,2025-02-23T14:09:31.7544960-08:00,2025-02-23T22:09:31.7544960Z,,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,874a8cdd-a931-40d8-ba5f-5c172457db6f,54.67323,-119.98954,9.60775,5.65068,-0.42088,-13.7733,-1.58324,2.10919,-1.40613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,14:09:52.02,3,4,"Burfield, Casey",1000119574,Right,NEV_WOL,"Hendriks, Cody",1000125319,Right,CSU_BAK,Undefined,1,Top,0,2,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,90.55356,-3.26159,-1.681587,2184.962333,210.957327,1:00,5.65641,1.25389,6.37504,-16.61607,16.76662,9.43973,1.26634,0.49293,83.26471,-6.421174,0.028192,0.415846,30.91508,-44.024889,-45.20367,,,,,5.26952,4.06865,-17.996155,0.048356,-5.42985,9.97127,-1.137,50,5.413,3.49681,-131.49601,-7.9576,-9.53982,26.98775,-14.65531,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,e7f3b5d0-f232-11ef-8d12-d7f948840f31,90.64048,1.54167,,7.28885,,,,3.88785,1.54167,-0.49615,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:09:52.02,2025-02-23T14:09:52.0246272-08:00,2025-02-23T22:09:52.0246272Z,GroundBall,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,c27d3b7b-d349-4033-89a5-d7d8e9e0071d,54.12632,-132.34017,13.49388,5.65474,-7.49919,-7.32766,-1.25105,3.79521,-4.76991,,3.88575,23.24131,,,,,,,,1.54455,-31.88156,,,,,,,,-0.49404,-23.40713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-02-23,14:10:31.64,4,1,"Burfield, Casey",1000119574,Right,NEV_WOL,"Perreira, Brock",1000125317,Left,CSU_BAK,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.63597,-1.270437,-0.288169,2252.802172,209.030171,1:00,5.66751,1.44334,6.28534,-19.298,13.78335,7.13961,2.88827,1.77273,83.87017,-4.905821,1.00327,0.413964,,,,,,,,,,,,-3.78323,7.77367,-1.42541,50,5.56431,0.37688,-131.89254,-3.50333,-6.74462,24.87741,-18.31543,NEV_WOL,CSU_BAK,DonWeirField,D1,MW,20250223-DonWeirField-1,ff990640-f232-11ef-8d12-d7f948840f31,91.05235,,,6.7658,,,,,,,2db05f57-7f36-483b-bba5-206568a077fd,2025-02-23,22:10:31.64,2025-02-23T14:10:31.6491264-08:00,2025-02-23T22:10:31.6491264Z,,v3,471377,471252,23 February 2025 17:05-calstbaker@nevada,"Harvey, Jake",1000322715,Right,NEV_WOL,bb866e2a-7779-409c-a777-c0a6145e134e,54.21498,-132.68518,12.4387,5.66664,-2.91977,-9.15772,-1.44085,0.59178,-3.37231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
