PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:02:37.09,1,1,"Detmers, Parker",806471,Right,LOU_CAR,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.82842,-3.075665,-4.050203,2303.27679,209.27532,1:00,6.33335,1.59209,5.88975,-12.59245,19.99222,10.49508,2.41826,-1.30028,83.9624,-5.541201,-2.173772,0.410845,,,,,,,,,,,,-6.69398,11.58879,-1.27104,50,6.07751,9.11017,-135.49954,-7.6127,-12.18914,35.28595,-11.07187,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,5d99be10-f210-11ef-b2b8-8f4bb21c911c,91.74366,,,9.86602,,,,,,,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:02:37.09,2025-02-23T13:02:37.0928128-05:00,2025-02-23T18:02:37.0928128Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,fe4e53c3-2aa1-4630-a807-1be2dfc9c883,54.60469,-136.69341,17.64298,6.32874,-7.2381,-5.53593,-1.58625,9.52258,-6.09457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,13:02:51.99,1,2,"Detmers, Parker",806471,Right,LOU_CAR,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.23145,-1.416385,-2.997295,2237.558343,207.906566,1:00,6.38713,1.65827,6.01855,-11.89749,20.77289,10.34304,4.08166,-0.25865,83.42725,-3.7705,-1.140241,0.411385,,,,,,,,,,,,-6.23103,11.42111,-1.42837,50,6.26925,6.58848,-134.95679,-3.60069,-11.26926,34.67607,-11.51822,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,667bc280-f210-11ef-b2b8-8f4bb21c911c,91.62327,,,9.80421,,,,,,,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:02:51.99,2025-02-23T13:02:51.9972864-05:00,2025-02-23T18:02:51.9972864Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,a0fdc1bd-d986-49f7-bd50-f33569bc0146,54.47434,-136.10158,17.33804,6.38184,-3.22043,-5.75911,-1.65202,6.96052,-5.63463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,13:03:05.97,1,3,"Detmers, Parker",806471,Right,LOU_CAR,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.1166,-1.900343,-2.017782,2576.731992,78.278688,8:30,6.30147,1.76581,5.25316,-40.77191,0.07614,-6.24307,1.11644,-0.6512,76.94941,-9.288439,-3.126642,0.459999,,,,,,,,,,,,2.52961,0.97803,-1.57584,50,6.09676,4.55787,-121.89022,-5.54575,3.76887,26.12143,-30.71689,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,6ed36140-f210-11ef-b2b8-8f4bb21c911c,81.94022,,,7.16719,,,,,,,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:03:05.97,2025-02-23T13:03:05.9758592-05:00,2025-02-23T18:03:05.9758592Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,ed1292a2-39b7-4898-b8ff-1d09dd68f7f4,55.24613,-123.00935,13.06072,6.30617,-4.22974,-15.35844,-1.76765,4.3964,1.88444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-23,13:03:23.02,1,4,"Detmers, Parker",806471,Right,LOU_CAR,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.03751,-3.506579,-3.398991,2304.106005,216.326267,1:15,6.30464,1.66469,5.64641,-15.43095,17.93151,12.24225,1.73804,-0.48931,83.52631,-6.460387,-1.216304,0.41572,85.72639,27.54585,49.443104,4889.125778,63.64337,45.44366,89.71905,269.75149,178.56457,63.398043,3.763339,-7.31843,10.61229,-1.38394,50,5.99686,7.41456,-134.38749,-8.71394,-13.13444,34.18141,-13.12812,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,79011f90-f210-11ef-b2b8-8f4bb21c911c,90.66796,50.79905,,9.5112,,,,0.31705,1.70356,0.36308,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:03:23.02,2025-02-23T13:03:23.0287872-05:00,2025-02-23T18:03:23.0287872Z,FlyBall,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,3202c270-4462-424d-a7cb-ef62d72e0986,54.84931,-135.61531,17.09071,6.3014,-8.24238,-6.56406,-1.65875,7.88636,-6.56722,,0.31741,72.471,-20.09458,4.57127,-0.9435,0.17261,-0.02838,0.00317,-0.00014,1.70336,58.15367,-19.46484,1.78253,-0.4101,0.10376,-0.02262,0.00379,-0.00031,0.36265,84.71024,-8.76517,1.51692,-0.34182,0.08578,-0.01663,0.00173,-5E-05,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,High,Medium,,,
5,2025-02-23,13:03:43.70,1,5,"Detmers, Parker",806471,Right,LOU_CAR,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,94.42489,-2.496693,-3.094463,2384.874437,211.388179,1:00,6.39977,1.62206,6.03861,-13.12906,18.8895,10.74737,2.9891,-0.35034,84.20014,-5.071057,-1.163974,0.40726,72.74069,-63.430828,-87.163732,,,,,1.6154,1.15326,-42.163786,0.031751,-6.58492,10.92823,-1.38611,50,6.19766,6.89432,-136.56149,-6.29492,-12.12332,37.09761,-12.05435,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,8551e4f0-f210-11ef-b2b8-8f4bb21c911c,92.55119,3.04233,,10.22475,,,,1.1221,3.04233,0.43524,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:03:43.70,2025-02-23T13:03:43.7026304-05:00,2025-02-23T18:03:43.7026304Z,GroundBall,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,4a3a4702-217f-4746-910a-e3a71da39729,54.45589,-137.76663,18.54881,6.3958,-5.90332,-6.02718,-1.61648,7.28815,-6.06166,,1.12204,2.37104,,,,,,,,3.04436,-95.81723,,,,,,,,0.43625,-47.85853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-02-23,13:04:26.10,2,1,"Detmers, Parker",806471,Right,LOU_CAR,"Nevar, Dylan",1000098371,Left,WMI_BRO,Undefined,1,Top,0,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.21422,0.642556,-0.723963,2216.897915,72.611318,8:30,6.40574,1.74557,5.2838,-53.66361,-4.80032,-21.01233,2.53727,-0.68536,69.93158,-9.123351,-4.458547,0.50311,,,,,,,,,,,,10.20556,-2.04138,-1.66387,50,6.42553,2.26145,-111.90453,-0.59711,12.6608,24.27163,-34.70656,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,9ea22640-f210-11ef-b2b8-8f4bb21c911c,74.91891,,,7.28263,,,,,,,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:04:26.10,2025-02-23T13:04:26.1097984-05:00,2025-02-23T18:04:26.1097984Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,c4b58853-5f12-4dd6-800b-a2096338def7,55.21489,-113.02996,12.13581,6.41591,1.01217,-17.35328,-1.75512,1.67439,6.3304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-23,13:04:42.85,2,2,"Detmers, Parker",806471,Right,LOU_CAR,"Nevar, Dylan",1000098371,Left,WMI_BRO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.39303,-3.452442,-2.634699,2324.496823,208.017486,1:00,6.34731,1.67814,5.77367,-10.09615,21.89615,11.03229,2.28601,0.14406,85.19828,-5.44729,-0.661979,0.407094,79.46541,74.318365,-115.466242,5439.998844,,,,,29.87774,,,-6.46075,12.58827,-1.46719,50,6.05571,5.78379,-136.59441,-8.4851,-12.0563,33.54095,-8.68323,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,a899b960-f210-11ef-b2b8-8f4bb21c911c,92.58914,80.32361,,9.19475,,,,1.85887,2.012,0.21073,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:04:42.85,2025-02-23T13:04:42.8593152-05:00,2025-02-23T18:04:42.8593152Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,3993d1b2-cd57-416e-aab5-6a0f06bbf1a7,54.72397,-137.74951,16.77048,6.34278,-8.18606,-4.34162,-1.67352,6.19899,-6.02815,9.651416,1.85888,-13.5464,-6.27965,2.29817,0.48223,-2.6557,3.53447,-2.22595,0.54702,2.012,112.21046,-32.25713,4.45411,-0.44538,-1.00489,1.42487,-0.87406,0.20638,0.21073,-28.44213,-1.58921,1.05596,0.34579,-1.64941,2.19544,-1.3879,0.34259,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
8,2025-02-23,13:05:12.96,2,3,"Detmers, Parker",806471,Right,LOU_CAR,"Nevar, Dylan",1000098371,Left,WMI_BRO,Undefined,1,Top,0,0,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,77.8866,0.363537,-0.317828,2386.538161,52.950574,7:45,6.32245,1.71487,5.47366,-60.13487,-12.27694,-18.63387,1.65141,-0.13537,70.46901,-10.571208,-3.648379,0.497907,,,,,,,,,,,,9.24855,-5.75453,-1.67404,50,6.31382,1.36492,-112.92425,-1.35977,11.62144,25.7111,-39.40502,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,ba9218b0-f210-11ef-b2b8-8f4bb21c911c,75.70172,,,7.41758,,,,,,,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:05:12.96,2025-02-23T13:05:12.9610752-05:00,2025-02-23T18:05:12.9610752Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,b1ff800f-075a-4ca5-8979-7759ad0ca20d,55.02661,-114.06298,12.85555,6.33539,0.38547,-19.70251,-1.72309,0.85021,5.81072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,13:06:15.00,3,1,"Detmers, Parker",806471,Right,LOU_CAR,"Harrity, Brendan",1000098365,Left,WMI_BRO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.98446,-2.626275,-3.925518,2384.780308,224.598465,1:30,6.31837,1.73993,5.84714,-15.37646,17.90143,16.34737,2.58905,-0.55134,82.99391,-5.599468,-1.002269,0.415192,,,,,,,,,,,,-9.61079,10.38272,-1.42942,50,6.0953,8.45782,-134.31527,-6.60735,-17.15176,35.35105,-13.64472,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,df883960-f210-11ef-b2b8-8f4bb21c911c,90.78311,,,9.99055,,,,,,,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:06:15.00,2025-02-23T13:06:15.0010000-05:00,2025-02-23T18:06:15.0010000Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,c45ee7ad-40dd-4254-9ab5-0da90857271b,54.647,-135.53282,17.67552,6.31477,-6.13741,-6.82236,-1.7309,9.04855,-8.57588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.43597,1.682826,0.809779,0.873047,-1.28414,2.31978,0.5951,-3.50825,5.58033,3.9048,61.86882,3.34903,62.91775,-3.4509,85.03643,-11.81321,5.59994,9.48245,-13.85375,3.91352,71.14064,-4.09091,High,High,High,,,High,High,High
10,2025-02-23,13:06:52.06,3,2,"Detmers, Parker",806471,Right,LOU_CAR,"Harrity, Brendan",1000098365,Left,WMI_BRO,Undefined,1,Top,1,0,1,Curveball,Slider,BallCalled,Undefined,Undefined,StolenBase,0,0,,82.41089,1.455406,0.356006,2410.350124,68.045337,8:15,6.16471,2.04664,5.24461,-44.98506,-2.65154,-9.99682,3.78404,1.54815,75.16635,-6.739717,-1.418241,0.468289,,,,,,,,,,,,5.07382,-1.29965,-2.07171,50,6.26511,-0.31415,-119.5587,1.37634,7.30655,24.15098,-34.04558,LOU_CAR,WMI_BRO,JimPatterson,D1,ACC,20250223-JimPatterson-1,f59a8dc0-f210-11ef-b2b8-8f4bb21c911c,80.48977,,,7.24454,,,,,,,5eac98f4-a203-4030-b617-f8b8f7e5bba8,2025-02-23,18:06:52.06,2025-02-23T13:06:52.0660000-05:00,2025-02-23T18:06:52.0660000Z,,v3,471341,471491,22 February 2025 13:00-wmichigan@louisville,"Tyson, Tagger",703539,Right,LOU_CAR,7d4d6a09-dbe6-4cfe-bf32-894664659efd,55.25413,-120.61537,12.07549,6.1723,2.86592,-17.02279,-2.05097,-0.63383,3.65327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.32147,,0.806195,,-1.90574,3.3751,-1.4627,-1.3212,6.05688,1.44321,,,,-1.25781,116.56829,-11.87195,6.04944,1.49483,-9.30302,1.41711,-7.11326,3.75699,High,High,High,,,High,High,Low
