PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,13:01:22.64,1,1,"Trenerry, Joe",814584,Right,PUR_BOI,"Hammill, Elijha",683346,Left,NIA_EAG,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.23426,-0.885226,-2.996524,2214.601697,225.508304,1:30,5.50867,2.10863,6.33547,-19.85599,14.31276,13.33859,3.03773,0.45852,81.493,-4.681239,-0.586136,0.420713,,,,,,,,,,,,-7.82839,8.06678,-1.89587,50,5.43463,6.29564,-130.859,-2.58953,-13.40866,30.76046,-18.35711,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,31488710-f210-11ef-ad43-bf7597b0c27c,89.59178,,,8.74126,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:01:22.64,2025-02-23T13:01:22.6416128-05:00,2025-02-23T18:01:22.6416128Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,a71638dc-33c0-49ff-9c72-3fa747fc2770,54.16324,-131.834,15.38023,5.50748,-2.00767,-9.17856,-2.10216,6.72065,-6.70433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-23,13:01:37.38,1,2,"Trenerry, Joe",814584,Right,PUR_BOI,"Hammill, Elijha",683346,Left,NIA_EAG,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.81417,-0.464983,-2.222837,2196.394285,223.843282,1:30,5.61185,2.00223,6.13239,-19.51564,14.60828,12.82694,3.55542,1.01549,81.59869,-4.197935,0.088054,0.420437,,,,,,,,,,,,-7.28359,8.03745,-1.8385,50,5.56621,4.55282,-131.66704,-1.64314,-12.56832,32.39785,-18.30483,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,3a138110-f210-11ef-ad43-bf7597b0c27c,89.65066,,,9.21548,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:01:37.38,2025-02-23T13:01:37.3849600-05:00,2025-02-23T18:01:37.3849600Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,4c7918cb-7c68-4470-92d9-2674184adc22,54.36491,-132.73672,16.19892,5.61049,-1.03877,-9.15242,-1.99567,4.96779,-6.28416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-23,13:01:51.14,1,3,"Trenerry, Joe",814584,Right,PUR_BOI,"Hammill, Elijha",683346,Left,NIA_EAG,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.80479,-2.417911,-2.409137,2231.866697,235.018099,1:45,5.45142,2.0044,6.25274,-19.88942,14.78489,19.33926,1.56081,1.39293,81.15541,-6.206927,1.084965,0.423814,,,,,,,,,,,,-10.71662,8.79339,-1.83401,50,5.26172,4.66628,-130.183,-6.07242,-18.13548,30.87301,-17.29319,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,42452140-f210-11ef-ad43-bf7597b0c27c,88.93626,,,8.64938,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:01:51.14,2025-02-23T13:01:51.1433216-05:00,2025-02-23T18:01:51.1433216Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,c5ae2c7f-0e4f-4562-9d56-0766c9f6cade,54.24646,-131.18619,15.4365,5.44991,-5.5105,-8.6466,-1.99521,5.25557,-9.06774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-23,13:02:04.91,1,4,"Trenerry, Joe",814584,Right,PUR_BOI,"Hammill, Elijha",683346,Left,NIA_EAG,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.11317,-0.373334,-2.71982,2203.770375,232.845506,1:45,5.50354,2.1124,6.26211,-19.73253,15.38623,18.66383,3.51453,1.15799,80.40704,-4.152541,0.649802,0.426522,,,,,,,,,,,,-10.44721,8.44374,-1.91892,50,5.46608,5.36163,-129.2688,-1.39571,-17.45563,30.10692,-18.06588,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,4a77abd0-f210-11ef-ad43-bf7597b0c27c,88.37168,,,8.70613,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:02:04.91,2025-02-23T13:02:04.9189888-05:00,2025-02-23T18:02:04.9189888Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,d96098b0-429e-46f2-8266-c5b152f6d468,54.23685,-130.25183,15.05346,5.50202,-0.80584,-9.03294,-2.10329,5.93158,-8.72781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-23,13:02:21.37,1,5,"Trenerry, Joe",814584,Right,PUR_BOI,"Hammill, Elijha",683346,Left,NIA_EAG,Undefined,1,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.43157,-2.051656,-2.260276,2254.687434,233.835527,1:45,5.41021,2.08684,6.27174,-20.51485,13.84599,17.16249,1.80695,1.43223,81.21666,-5.967852,0.841913,0.421894,,,,,,,,,,,,-9.56938,8.23918,-1.92704,50,5.24834,4.43938,-131.0425,-5.29373,-16.30517,32.88426,-18.13539,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,5447b9c0-f210-11ef-ad43-bf7597b0c27c,89.34101,,,9.21491,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:02:21.37,2025-02-23T13:02:21.3712384-05:00,2025-02-23T18:02:21.3712384Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,a6403d17-4986-4030-8d13-4fea8840ef1c,54.22571,-132.09866,16.44213,5.40901,-4.71127,-9.06769,-2.07803,4.96306,-8.15259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-23,13:02:36.93,1,6,"Trenerry, Joe",814584,Right,PUR_BOI,"Hammill, Elijha",683346,Left,NIA_EAG,Undefined,1,Top,0,3,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.70736,-0.340802,-3.385632,2200.421646,231.911935,1:45,5.42892,2.03833,6.50982,-21.51107,14.45875,16.81147,3.32302,0.32853,79.1039,-4.46455,-0.338963,0.431659,81.08193,64.559886,-80.556747,3960.110977,,,,,31.50062,,,-9.88489,8.05233,-1.80851,50,5.39565,6.87687,-127.21827,-1.33839,-15.97414,29.4921,-19.16138,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,5d8c77a0-f210-11ef-ad43-bf7597b0c27c,87.32001,60.85519,,8.60346,,,,1.23657,2.9324,-0.19533,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:02:36.93,2025-02-23T13:02:36.9319424-05:00,2025-02-23T18:02:36.9319424Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,0763fcd4-3aa2-47b3-ae95-10084ec1a9ae,53.99049,-128.14002,14.74605,5.42812,-0.73952,-9.58069,-2.03125,7.37613,-7.98707,153.25779,1.23657,8.38115,-6.04536,2.46725,0.77093,-5.73714,11.98774,-11.88639,4.5805,2.9324,107.38865,-34.30407,5.01642,0.01635,-4.28971,9.02471,-8.85369,3.37926,-0.19533,-50.39196,6.49931,-0.26761,0.36401,-1.80766,3.84538,-3.88118,1.51656,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-02-23,13:02:56.82,1,7,"Trenerry, Joe",814584,Right,PUR_BOI,"Hammill, Elijha",683346,Left,NIA_EAG,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,90.10102,-0.630876,-2.303127,2113.646048,219.693184,1:15,5.47693,2.04547,6.15383,-17.65473,17.17981,13.14635,3.42231,1.01187,80.50314,-4.046465,0.065942,0.424792,,,,,,,,,,,,-7.51252,9.44107,-1.87651,50,5.41985,4.68139,-130.54995,-1.91489,-12.6707,33.30355,-16.25065,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,69648a90-f210-11ef-ad43-bf7597b0c27c,88.73149,,,9.59788,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:02:56.82,2025-02-23T13:02:56.8270000-05:00,2025-02-23T18:02:56.8270000Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,42a65280-7de3-4510-b124-3be16237ae32,54.34253,-131.65308,16.65178,5.47436,-1.37661,-8.12533,-2.03852,5.10108,-6.33535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.76193,,,0.839795,,,,2.65075,5.96571,-5.46819,71.29871,5.32022,-53.49149,2.68363,86.82716,-6.10345,5.95774,7.42849,-9.74841,-5.5328,-64.97996,9.38147,High,High,High,,,High,High,High
8,2025-02-23,13:03:25.86,2,1,"Trenerry, Joe",814584,Right,PUR_BOI,"Milk, Nate",1000150063,Right,NIA_EAG,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.00741,-0.098662,-1.628161,2043.670119,229.777801,1:45,5.51696,1.99492,6.29366,-22.86576,11.78674,12.38717,3.52053,1.52642,80.58653,-4.459498,0.611631,0.423681,,,,,,,,,,,,-7.11634,6.52961,-1.88131,50,5.49878,3.22514,-130.60514,-0.90798,-11.99492,33.70016,-21.16811,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,7ab51120-f210-11ef-ad43-bf7597b0c27c,88.96428,,,9.42088,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:03:25.86,2025-02-23T13:03:25.8636288-05:00,2025-02-23T18:03:25.8636288Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,2fb59c30-926f-447f-b9f0-cc7677483428,54.20772,-131.68639,16.85008,5.51702,-0.22882,-10.58406,-1.99096,3.60999,-5.99746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-23,13:03:41.19,2,2,"Trenerry, Joe",814584,Right,PUR_BOI,"Milk, Nate",1000150063,Right,NIA_EAG,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.01458,-1.197406,-4.007166,2210.687993,220.123695,1:15,5.44483,2.33531,6.32993,-18.81119,16.53595,12.83426,2.7717,-0.29131,80.02517,-4.818411,-1.692443,0.427906,71.93272,36.013901,160.15045,4212.385628,-107.04153,41.51399,25.33957,184.6574,60.35042,173.642083,2.987759,-7.9802,9.36449,-2.04832,50,5.34831,8.51033,-128.89723,-3.2063,-13.19842,31.02554,-16.68615,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,83dcd120-f210-11ef-ad43-bf7597b0c27c,88.08572,41.90318,,8.98941,,,,1.49435,2.62427,0.26119,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:03:41.19,2025-02-23T13:03:41.1907072-05:00,2025-02-23T18:03:41.1907072Z,FlyBall,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,487e5923-075b-4ffd-ad3c-4149d9cd8902,54.16914,-129.89686,15.51277,5.44295,-2.66867,-8.34308,-2.32937,8.93558,-6.59921,318.994445,1.49361,-80.23674,4.64787,1.46435,-1.1391,0.67171,-0.2208,0.0362,-0.00234,2.62438,62.02661,-28.63733,3.92321,-0.6027,-0.06592,0.09021,-0.02413,0.00219,0.26189,28.94697,-9.22732,0.44642,0.66522,-0.59074,0.22565,-0.04104,0.00291,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2025-02-23,13:04:00.25,2,3,"Trenerry, Joe",814584,Right,PUR_BOI,"Milk, Nate",1000150063,Right,NIA_EAG,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.81572,-0.33437,-3.225979,2112.367456,230.061704,1:45,5.49741,2.50029,6.14027,-22.47568,11.84607,12.86221,3.31492,0.58758,82.09692,-4.564494,-0.911077,0.421654,,,,,,,,,,,,-7.51,6.53926,-2.26044,50,5.46019,6.814,-130.36934,-1.46511,-12.93902,27.12835,-20.90752,PUR_BOI,NIA_EAG,TingStadium,D1,BIG10,20250223-TingStadium-1,8f372890-f210-11ef-ad43-bf7597b0c27c,89.39189,,,7.7188,,,,,,,37ce8663-eed4-4bcc-ae87-1e3879bfeee8,2025-02-23,18:04:00.25,2025-02-23T13:04:00.2513920-05:00,2025-02-23T18:04:00.2513920Z,,v3,471415,471382,,"DeCello, Sergio",802217,Right,PUR_BOI,6ce4e4b0-0e54-4ff9-b05e-e3234134251e,54.36063,-131.27361,13.56418,5.49741,-0.76821,-10.45376,-2.49475,7.24529,-6.46951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
