PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,16:02:14.25,1,1,"Bedford, Matt",802611,Right,WAK_DEA,"Alford, Jackson",1000147972,Right,ELO_PHO,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.69111,-0.965889,-2.956716,2271.564064,256.770962,2:30,5.06753,1.93646,6.52465,-25.64297,5.59847,19.423,2.04321,0.84004,85.30562,-5.788951,0.569907,0.402288,,,,,,,,,,,,-11.03221,3.53752,-1.73837,50,4.98938,6.22959,-136.06639,-3.12486,-20.55617,31.55903,-25.58261,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,c9e05190-f3bb-11ef-983a-f91b85a233ac,93.69521,,,8.38549,,,,,,,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:02:14.25,2025-02-25T16:02:14.2558208-05:00,2025-02-25T21:02:14.2558208Z,,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,cdd51bcf-ccaf-48df-820b-fcf8fafc769a,53.97481,-136.9852,15.77951,5.06951,-2.38005,-12.7913,-1.92844,6.82806,-10.27808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-25,16:02:36.67,1,2,"Bedford, Matt",802611,Right,WAK_DEA,"Alford, Jackson",1000147972,Right,ELO_PHO,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.26045,0.438896,-2.994949,2404.898043,221.928945,1:30,5.12575,1.97223,6.45547,-18.45296,12.30323,10.19756,3.99175,0.06823,86.09397,-3.073005,-1.148793,0.399151,,,,,,,,,,,,-6.12189,6.59717,-1.76435,50,5.14839,6.73489,-136.91116,0.50161,-11.63672,29.81857,-19.63394,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,d734a440-f3bb-11ef-983a-f91b85a233ac,94.43143,,,8.16648,,,,,,,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:02:36.67,2025-02-25T16:02:36.6750720-05:00,2025-02-25T21:02:36.6750720Z,,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,fe8dffb1-8dbc-422a-af05-2c5fd7dfd12a,54.04251,-137.78879,14.90929,5.12512,1.07948,-9.81697,-1.96761,7.07738,-5.81836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-25,16:02:49.67,1,3,"Bedford, Matt",802611,Right,WAK_DEA,"Alford, Jackson",1000147972,Right,ELO_PHO,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,82.87028,0.687479,-2.55995,1764.758766,265.973381,2:45,5.03802,1.97937,6.44167,-37.53207,2.42547,16.19442,2.54272,0.97505,75.68819,-6.324406,0.376386,0.454957,52.79978,-12.790344,5.451472,,,,,10.47411,10.44634,0.338956,0.13005,-9.22012,1.44646,-1.80452,50,5.07014,4.79548,-120.40853,0.32604,-13.47816,24.31414,-30.05959,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,df075b90-f3bb-11ef-983a-f91b85a233ac,82.84829,2.42565,,7.18209,,,,0.71735,2.42565,-0.96476,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:02:49.67,2025-02-25T16:02:49.6783360-05:00,2025-02-25T21:02:49.6783360Z,GroundBall,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,997b89f1-9a39-4f7f-803a-752017f7e212,54.05839,-121.22528,12.15707,5.04223,1.33577,-15.02979,-1.97322,5.24823,-6.73908,233.514527,0.71737,75.17506,-1.17845,,,,,,,2.42568,-17.14678,-11.57559,,,,,,,-0.96475,7.17299,5.54913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-02-25,16:03:21.25,2,1,"Bedford, Matt",802611,Right,WAK_DEA,"Mallory Jr., Kenneth",1000066687,Left,ELO_PHO,Undefined,1,Top,1,0,0,Sinker,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,95.57642,-2.164106,-3.589117,2349.183386,247.774921,2:15,5.31719,1.9333,6.56989,-21.27792,8.50579,18.57332,1.55547,0.18682,87.72872,-6.172137,-0.217187,0.392791,48.25774,-30.206043,-54.012494,,,,,4.17346,3.62573,-31.199723,0.040693,-10.78579,5.33213,-1.69389,50,5.15903,7.9583,-138.76893,-5.92243,-21.0892,30.25953,-21.74825,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,f1d385a0-f3bb-11ef-983a-f91b85a233ac,95.96065,1.45556,,7.84769,,,,2.10064,1.45556,-0.13884,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:03:21.25,2025-02-25T16:03:21.2587008-05:00,2025-02-25T21:03:21.2587008Z,GroundBall,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,3e2d8e69-947f-45eb-bae5-90671185a00f,53.93135,-139.62355,15.12976,5.31763,-5.30819,-10.87412,-1.92707,8.55393,-10.5446,,2.09958,36.1047,,,,,,,,1.45661,-35.7696,,,,,,,,-0.13738,-49.71665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2025-02-25,16:03:57.40,3,1,"Bedford, Matt",802611,Right,WAK_DEA,"Sprock, Ryan",1000115791,Right,ELO_PHO,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.96896,-0.9791,-3.548385,1677.993788,276.680865,3:15,5.04308,2.12629,6.31298,-41.88849,-0.59555,16.93895,0.64868,0.26516,74.88071,-8.741824,-0.483302,0.462497,,,,,,,,,,,,-9.97634,0.33217,-1.87437,50,4.95122,6.76939,-118.93994,-3.30971,-14.16009,24.76538,-31.7026,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,075a62e0-f3bc-11ef-983a-f91b85a233ac,81.49765,,,7.08825,,,,,,,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:03:57.40,2025-02-25T16:03:57.4051840-05:00,2025-02-25T21:03:57.4051840Z,,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,bebd3f98-fbde-45ba-8997-bf973ff42f41,54.18809,-119.8088,12.38269,5.04782,-2.19747,-15.8513,-2.12058,7.26618,-7.08004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-25,16:04:18.77,3,2,"Bedford, Matt",802611,Right,WAK_DEA,"Sprock, Ryan",1000115791,Right,ELO_PHO,Undefined,1,Top,1,0,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Double,0,1,,93.02056,-1.681024,-3.88712,2365.873433,244.719674,2:15,5.11499,2.06753,6.51187,-22.8519,8.51937,16.09217,1.66406,-0.16399,85.76026,-5.970149,-0.971114,0.403123,101.29958,-10.990761,40.286319,,,,,9.45685,9.08587,37.01675,0.05873,-9.48449,5.17811,-1.8029,50,4.98739,8.5486,-135.08626,-4.68623,-17.66556,27.22803,-22.52942,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,141311d0-f3bc-11ef-983a-f91b85a233ac,93.50113,1.66522,,7.2603,,,,1.01031,1.66522,0.14934,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:04:18.77,2025-02-25T16:04:18.7756544-05:00,2025-02-25T21:04:18.7756544Z,GroundBall,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,dbfcb802-8504-4f3f-ab9f-e3cc1a1b84ce,53.98954,-135.88802,13.61401,5.11562,-4.02283,-11.26471,-2.06228,9.06878,-8.83278,180,1.00927,111.36701,,,,,,,,1.66549,-28.35379,,,,,,,,0.14844,94.40039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-02-25,16:05:10.06,4,1,"Bedford, Matt",802611,Right,WAK_DEA,"Duffey, Alex",824545,Left,ELO_PHO,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.3826,0.562321,-5.13138,1723.483297,279.068121,3:15,5.03311,2.21803,6.41004,-42.79589,-1.06898,15.24253,1.98591,-1.24239,74.32721,-7.385533,-2.38152,0.464921,,,,,,,,,,,,-9.42957,-0.29693,-1.85664,50,5.05435,10.0354,-117.89452,-0.12682,-13.21619,23.28527,-32.59019,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,32b18270-f3bc-11ef-983a-f91b85a233ac,81.07272,,,7.05539,,,,,,,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:05:10.06,2025-02-25T16:05:10.0633088-05:00,2025-02-25T21:05:10.0633088Z,,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,e8e31660-de35-4bfc-bc7e-cdeecfec6cb8,54.09012,-118.69961,11.64263,5.03926,0.99999,-16.2951,-2.21151,10.49235,-6.60809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-25,16:05:27.76,4,2,"Bedford, Matt",802611,Right,WAK_DEA,"Duffey, Alex",824545,Left,ELO_PHO,Undefined,1,Top,1,1,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.85381,0.628994,-1.955553,1743.439149,270.342564,3:00,5.07213,2.33136,6.30489,-39.96884,1.23193,17.81217,2.32122,2.01342,74.74795,-6.811112,1.268504,0.461981,,,,,,,,,,,,-9.82028,0.87059,-2.19596,50,5.09943,3.40254,-118.94265,0.08559,-13.98725,24.03989,-30.93407,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,3d3c7bf0-f3bc-11ef-983a-f91b85a233ac,81.58875,,,7.10586,,,,,,,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:05:27.76,2025-02-25T16:05:27.7614080-05:00,2025-02-25T21:05:27.7614080Z,,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,38d361ab-ac76-41f3-8f38-9193dce8ebaa,54.19492,-119.7875,12.01995,5.07732,1.17272,-15.46703,-2.32418,3.89411,-6.99362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-25,16:05:46.54,4,3,"Bedford, Matt",802611,Right,WAK_DEA,"Duffey, Alex",824545,Left,ELO_PHO,Undefined,1,Top,1,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.83712,-1.494405,-3.339353,2345.457345,243.840399,2:15,5.16165,2.28388,6.31836,-22.95415,9.81288,17.77922,1.86975,0.68633,83.69584,-5.817923,-0.126437,0.411993,,,,,,,,,,,,-10.21544,5.86296,-2.04758,50,5.04125,7.04363,-133.2591,-4.20474,-18.29139,29.76868,-21.67604,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,4867ad10-f3bc-11ef-983a-f91b85a233ac,91.48803,,,8.14128,,,,,,,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:05:46.54,2025-02-25T16:05:46.5427456-05:00,2025-02-25T21:05:46.5427456Z,,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,f8c8c476-523f-4821-b765-ab5babafb27c,54.18088,-134.18982,14.88434,5.16211,-3.52704,-10.83802,-2.27674,7.61551,-9.1457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-25,16:06:06.18,4,4,"Bedford, Matt",802611,Right,WAK_DEA,"Duffey, Alex",824545,Left,ELO_PHO,Undefined,1,Top,1,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.14002,2.045844,-2.808621,1622.189815,275.458787,3:15,5.16267,2.26154,6.33728,-41.24034,-0.20811,16.44564,3.61266,1.04402,74.61159,-5.643812,0.16436,0.461035,,,,,,,,,,,,-9.35339,-0.28248,-2.06416,50,5.2928,5.23118,-119.1951,2.9938,-13.35581,24.50804,-32.57743,WAK_DEA,ELO_PHO,David F. Couch,D1,ACC,20250225-David F. Couch-1,54284060-f3bc-11ef-983a-f91b85a233ac,81.75614,,,7.52843,,,,,,,2c782fec-7736-4a76-9f95-43ea0940458e,2025-02-25,21:06:06.18,2025-02-25T16:06:06.1829632-05:00,2025-02-25T21:06:06.1829632Z,,v3,471484,471503,25 February 2025 16:00-elon@wake,"Keenan, Jimmy",1000115564,Right,WAK_DEA,f24a9669-ab10-4aac-b8ed-9a2d6ab59f20,54.16193,-120.04779,12.25402,5.16892,4.12725,-16.28871,-2.25425,5.69586,-6.67791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
