PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-25,18:03:56.03,1,1,"Pengelly, Dayne",826150,Right,MEX_LOB,"Forrester, Brandon",822162,Right,NMS_AGG,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.26518,-2.036041,-2.084354,1958.23335,255.73619,2:30,4.83712,1.58021,5.88743,-27.09458,4.65355,14.87107,0.68653,0.88308,86.58152,-7.017023,0.586809,0.405537,,,,,,,,,,,,-8.17619,3.13571,-1.42085,50,4.65685,4.29952,-135.57522,-5.80957,-15.41331,26.07232,-26.26281,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,8de76990-f3dd-11ef-ace7-83a3f0cc24f4,92.94451,,,6.68366,,,,,,,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:03:56.03,2025-02-25T18:03:56.0363520-07:00,2025-02-26T01:03:56.0363520Z,,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,caa13c81-b0c9-48f2-a284-5ae36a727a09,54.61676,-136.46017,13.03616,4.83891,-4.91815,-13.1314,-1.57566,4.82268,-7.70666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-25,18:04:10.08,1,2,"Pengelly, Dayne",826150,Right,MEX_LOB,"Forrester, Brandon",822162,Right,NMS_AGG,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.4321,-1.666485,-2.464311,2068.583103,240.760968,2:00,4.96032,1.80813,5.84883,-24.58864,6.32693,9.8378,1.36078,0.33652,87.82279,-6.193775,-0.700329,0.400184,,,,,,,,,,,,-5.63496,3.87481,-1.61353,50,4.80997,5.48145,-137.28318,-4.90036,-10.93427,25.61608,-24.65522,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,96585cb0-f3dd-11ef-ace7-83a3f0cc24f4,94.18768,,,6.60932,,,,,,,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:04:10.08,2025-02-25T18:04:10.0873216-07:00,2025-02-26T01:04:10.0873216Z,,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,533aed8f-9493-4ba1-9c0d-79052aa12213,54.655,-138.14904,12.80804,4.96152,-4.06698,-12.32761,-1.80506,5.85104,-5.46714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-25,18:04:25.67,1,3,"Pengelly, Dayne",826150,Right,MEX_LOB,"Forrester, Brandon",822162,Right,NMS_AGG,Undefined,1,Top,0,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.22996,-2.314157,-2.329464,2092.75557,249.620737,2:15,4.8058,1.74165,5.81988,-25.28175,5.92205,13.61828,0.54439,0.70943,87.4368,-6.962344,0.112739,0.402046,,,,,,,,,,,,-7.57855,3.84284,-1.5593,50,4.60093,4.97873,-136.91225,-6.46883,-14.57129,26.56105,-24.78547,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,9f9ad0a0-f3dd-11ef-ace7-83a3f0cc24f4,93.75166,,,6.79316,,,,,,,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:04:25.67,2025-02-25T18:04:25.6790016-07:00,2025-02-26T01:04:25.6790016Z,,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,0b1e9bde-ab88-487b-a9c8-cb05dcfdee9f,54.68417,-137.81798,13.28053,4.8071,-5.62364,-12.39273,-1.73755,5.47561,-7.28565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-25,18:04:41.25,1,4,"Pengelly, Dayne",826150,Right,MEX_LOB,"Forrester, Brandon",822162,Right,NMS_AGG,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.98717,-0.03794,-1.07443,2120.661707,241.137028,2:00,4.96782,1.84717,5.71544,-23.11757,7.84646,12.57949,3.00601,1.89441,87.26699,-4.325401,1.176413,0.400498,,,,,,,,,,,,-6.65367,4.28988,-1.76504,50,4.95035,2.00686,-138.05413,-0.95083,-12.91939,28.97845,-23.84444,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,a8d1abd0-f3dd-11ef-ace7-83a3f0cc24f4,94.11397,,,7.72018,,,,,,,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:04:41.25,2025-02-25T18:04:41.2561920-07:00,2025-02-26T01:04:41.2561920Z,,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,c3b4f9a2-3f3b-458f-a5ba-e93e7ab53d67,54.78582,-139.05508,14.48923,4.96897,-0.12721,-11.92222,-1.84206,2.45311,-6.4597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-25,18:04:59.76,1,5,"Pengelly, Dayne",826150,Right,MEX_LOB,"Forrester, Brandon",822162,Right,NMS_AGG,Undefined,1,Top,0,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,93.28724,-1.438181,-2.835999,1991.603075,248.766757,2:15,4.77627,1.83741,5.85893,-26.36537,5.41697,11.6839,1.24103,0.174,86.47355,-6.294348,-0.741258,0.405755,96.30874,-9.956065,23.230146,,,,,11.43334,9.07789,18.179861,0.067811,-6.71355,3.37626,-1.61415,50,4.64374,6.21611,-135.55994,-4.36614,-12.65528,26.01975,-25.80967,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,b3de5870-f3dd-11ef-ace7-83a3f0cc24f4,92.89447,1.65787,,6.81368,,,,2.18371,1.65787,-0.15798,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:04:59.76,2025-02-25T18:04:59.7683200-07:00,2025-02-26T01:04:59.7683200Z,GroundBall,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,c5dc778a-5898-407d-81a2-d7b12258d7b3,54.64501,-136.4486,13.00988,4.7778,-3.48465,-12.90484,-1.83384,6.64833,-6.32764,180,2.18219,127.98567,,,,,,,,1.65816,-24.44822,,,,,,,,-0.15863,54.93445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-02-25,18:05:34.72,2,1,"Pengelly, Dayne",826150,Right,MEX_LOB,"Namie, Mitch",809621,Left,NMS_AGG,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,95.70811,-1.259016,-2.716219,2044.062523,252.134717,2:30,5.00879,1.84507,5.71649,-25.55934,4.77386,12.23138,1.70447,0.33207,88.70606,-5.954634,-0.529011,0.396397,75.85232,-32.009749,43.887055,,,,,4.37026,4.37026,21.786133,0.029902,-6.94355,2.96697,-1.62569,50,4.88724,6.05527,-139.09003,-4.03735,-13.78632,27.24369,-26.28318,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,c8ce73f0-f3dd-11ef-ace7-83a3f0cc24f4,95.08757,1.76716,,7.00205,,,,2.02069,1.76716,-0.33778,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:05:34.72,2025-02-25T18:05:34.7255296-07:00,2025-02-26T01:05:34.7255296Z,GroundBall,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,c5f42cb3-f0b8-4658-91e8-1bd86962cbc3,54.78783,-140.02469,13.62184,5.01029,-3.13565,-13.14159,-1.84154,6.52824,-6.89316,,2.01997,68.13661,,,,,,,,1.76778,-59.0983,,,,,,,,-0.33847,65.53968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2025-02-25,18:06:15.59,3,1,"Pengelly, Dayne",826150,Right,MEX_LOB,"Freeny, Tariq",811729,Right,NMS_AGG,Undefined,1,Top,2,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,95.16518,-1.388439,-3.008949,1980.728597,252.097001,2:30,5.141,1.66056,5.59858,-26.42958,4.35768,10.92237,1.64019,-0.2411,88.36927,-6.224802,-1.060879,0.399353,,,,,,,,,,,,-6.27063,2.78217,-1.40984,50,5.00442,6.77137,-138.24792,-4.38643,-12.3262,26.28928,-26.70511,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,e12931b0-f3dd-11ef-ace7-83a3f0cc24f4,94.38375,,,6.7959,,,,,,,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:06:15.59,2025-02-25T18:06:15.5992576-07:00,2025-02-26T01:06:15.5992576Z,,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,2b739fe5-ab64-40d2-856f-a75e63cfac77,54.90523,-139.17758,13.14464,5.14284,-3.44208,-13.35255,-1.657,7.20726,-6.1631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-25,18:06:34.22,3,2,"Pengelly, Dayne",826150,Right,MEX_LOB,"Freeny, Tariq",811729,Right,NMS_AGG,Undefined,1,Top,2,0,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,94.87095,-0.89201,-2.14068,2125.678394,243.883037,2:15,5.22071,1.565,5.56099,-24.3799,6.75359,11.96548,2.355,0.56116,87.57019,-5.378925,-0.00656,0.401592,91.72267,-52.004652,-61.479322,,,,,5.03883,5.03883,-27.842401,0.02953,-6.65209,3.89768,-1.3884,50,5.1274,4.61243,-137.8604,-3.0818,-12.92775,27.82819,-24.59923,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,ec2bcc30-f3dd-11ef-ace7-83a3f0cc24f4,93.8575,3.13902,,7.30075,,,,3.28471,3.13902,-0.19885,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:06:34.22,2025-02-25T18:06:34.2240768-07:00,2025-02-26T01:06:34.2240768Z,GroundBall,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Williams, Brodey",1000114164,Right,MEX_LOB,abfb8431-e93d-48a8-875a-cd1e2c5fc7e8,54.9427,-138.85454,13.91409,5.22179,-2.20301,-12.29961,-1.56142,5.07427,-6.46387,180,3.28421,39.64755,,,,,,,,3.14036,-106.29865,,,,,,,,-0.19793,-72.9589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-02-25,18:09:19.43,1,1,"Yarc, Matthew",10109500,Right,NMS_AGG,"Brass, Cooper",830557,Right,MEX_LOB,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.76212,-2.278817,-2.457847,2137.334633,195.639864,12:30,5.92723,1.82191,5.95612,-20.37454,13.91674,3.62209,2.11292,-0.15706,83.04476,-6.081129,-1.807582,0.421467,,,,,,,,,,,,-2.47067,8.0239,-1.62853,50,5.73437,5.44624,-130.36142,-5.84233,-4.29941,24.51657,-18.21093,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,4ea7be00-f3de-11ef-ace7-83a3f0cc24f4,89.43156,,,6.71737,,,,,,,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:09:19.43,2025-02-25T18:09:19.4316800-07:00,2025-02-26T01:09:19.4316800Z,,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Freeny, Tariq",811729,Right,NMS_AGG,d2c0602f-5358-4c77-b7ae-b84665241c6b,54.54579,-131.21354,12.25828,5.92643,-5.20937,-9.10547,-1.82043,5.59568,-2.1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-25,18:09:31.27,1,2,"Yarc, Matthew",10109500,Right,NMS_AGG,"Brass, Cooper",830557,Right,MEX_LOB,Undefined,1,Bottom,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.15426,2.293185,-2.809007,2291.064362,34.505942,7:15,5.60145,2.10442,5.26063,-48.92113,-3.9926,-3.75764,3.68297,-0.85,72.9964,-6.609112,-3.474021,0.482428,,,,,,,,,,,,1.03496,-2.18906,-1.84406,50,5.77584,5.85212,-116.07767,2.89608,1.40319,23.00786,-35.14191,MEX_LOB,NMS_AGG,SantaAnaStarField,D1,MW,20250225-SantaAnaStarField-1,55bccaa0-f3de-11ef-ace7-83a3f0cc24f4,78.13071,,,7.15786,,,,,,,0e945ba9-12f6-4176-b715-74ad3ce97497,2025-02-26,01:09:31.27,2025-02-25T18:09:31.2733184-07:00,2025-02-26T01:09:31.2733184Z,,v3,471380,471379,25 February 2025 20:00-nmstate@nmexico,"Freeny, Tariq",811729,Right,NMS_AGG,f6297511-1aab-442a-9b19-78258cebf4d0,55.24009,-117.11171,11.50393,5.61019,4.47546,-17.57096,-2.10566,5.78905,0.70159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
