PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,14:05:47.50,1,1,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Carpenter, Jesiah",1000150376,Right,UMBC_RET,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.51803,-2.057658,-4.619137,2215.274045,210.588129,1:00,5.69561,1.486,6.37482,-14.46304,20.10021,11.19292,2.59018,-1.84042,81.38005,-4.866007,-2.602165,0.423135,,,,,,,,,,,,-7.19028,11.42949,-1.15707,50,5.53971,10.03014,-129.63094,-5.01989,-12.17867,28.26333,-12.81517,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,b029fc60-f474-11ef-963b-2d482b2d4289,89.07907,,,8.13798,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:05:47.50,2025-02-26T14:05:47.5072000-05:00,2025-02-26T19:05:47.5072000Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,babc1154-9ed2-4daa-92da-3f9529b1cd04,54.12467,-130.52714,14.13166,5.69244,-4.61354,-6.40759,-1.48124,10.41632,-6.08933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-26,14:06:03.85,1,2,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Carpenter, Jesiah",1000150376,Right,UMBC_RET,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.28931,-1.935078,-3.473932,2241.265897,206.836172,1:00,5.69437,1.58782,6.29342,-11.98745,22.16422,10.60808,2.9083,-0.7333,81.67504,-4.303542,-1.560968,0.420608,75.10428,31.034034,161.676266,3290.096764,,,,,21.4771,,,-6.57823,12.46032,-1.33691,50,5.54576,7.51124,-130.85852,-4.68324,-11.29494,30.13513,-10.77937,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,b9e3ea40-f474-11ef-963b-2d482b2d4289,89.61421,15.08022,,8.61427,,,,1.06973,3.00029,0.69795,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:06:03.85,2025-02-26T14:06:03.8514176-05:00,2025-02-26T19:06:03.8514176Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,ebd062b8-58dd-4314-bf6b-298d1c164ee2,54.20525,-131.82338,15.06756,5.69018,-4.33811,-5.38969,-1.58319,7.87288,-5.64747,305.944597,1.07041,-89.63789,5.36574,,,,,,,3.0028,56.65118,-27.8047,,,,,,,0.70063,29.52621,-13.9471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
3,2025-02-26,14:06:30.72,1,3,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Carpenter, Jesiah",1000150376,Right,UMBC_RET,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.22029,0.809695,-1.834326,2336.611919,90.299476,9:00,5.65852,1.55119,5.60456,-43.75065,1.55189,-15.38296,2.76894,-1.44367,72.40304,-7.215337,-4.578091,0.484432,,,,,,,,,,,,7.24713,0.98118,-1.38399,50,5.69962,4.27941,-114.94985,0.18394,9.62163,22.84781,-30.87138,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,c9f476c0-f474-11ef-963b-2d482b2d4289,77.80753,,,6.81725,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:06:30.72,2025-02-26T14:06:30.7211776-05:00,2025-02-26T19:06:30.7211776Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,ee803718-8884-45b1-8901-64934b86cea0,54.89566,-115.91885,11.4239,5.66406,1.49322,-15.43569,-1.55683,3.87136,4.81081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-26,14:06:51.91,1,4,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Carpenter, Jesiah",1000150376,Right,UMBC_RET,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.88643,-2.071534,-4.457366,2188.450593,206.250189,1:00,5.71556,1.45407,6.39883,-11.24194,22.83174,10.71741,2.86703,-1.76032,82.04002,-4.290448,-2.524929,0.420127,,,,,,,,,,,,-6.80654,12.79934,-1.13834,50,5.56085,9.72427,-130.24586,-4.94639,-11.70026,27.17743,-10.17233,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,d68c7e50-f474-11ef-963b-2d482b2d4289,89.71672,,,7.84642,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:06:51.91,2025-02-26T14:06:51.9162880-05:00,2025-02-26T19:06:51.9162880Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,c280fec9-4081-46a6-b142-be287355b605,54.10056,-131.0987,13.58871,5.71106,-4.62718,-5.08616,-1.44925,10.09142,-5.85013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-26,14:07:10.51,1,5,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Carpenter, Jesiah",1000150376,Right,UMBC_RET,Undefined,1,Top,0,3,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.83924,-2.934458,-3.467803,2190.749246,205.528452,12:45,5.70496,1.64598,6.22626,-14.11694,20.84785,9.43367,1.8137,-0.77141,81.50799,-5.652461,-1.768564,0.425585,,,,,,,,,,,,-5.85756,11.96733,-1.39128,50,5.478,7.43783,-128.82431,-6.97315,-9.87983,25.83791,-11.98895,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,e1a20490-f474-11ef-963b-2d482b2d4289,88.5661,,,7.33125,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:07:10.51,2025-02-26T14:07:10.5190400-05:00,2025-02-26T19:07:10.5190400Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,cbe1182f-dfad-4654-9ac2-b8c1b02c55be,54.27482,-129.67886,12.91895,5.70207,-6.57663,-5.99448,-1.64268,7.76459,-4.93991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-26,14:07:29.72,1,6,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Carpenter, Jesiah",1000150376,Right,UMBC_RET,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.22707,-1.641161,-4.206133,2172.242853,204.191878,12:45,5.66536,1.75435,6.2738,-13.38489,20.70324,8.79154,3.03258,-1.39735,82.05031,-4.247887,-2.623866,0.420216,,,,,,,,,,,,-5.78189,11.56221,-1.4471,50,5.537,9.25696,-130.73519,-4.07296,-9.96798,28.55979,-12.24082,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,ed189690-f474-11ef-963b-2d482b2d4289,89.69771,,,8.17676,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:07:29.72,2025-02-26T14:07:29.7245184-05:00,2025-02-26T19:07:29.7245184Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,5a5237c2-57f5-4c1c-9650-34164a41a7cb,54.22523,-131.65498,14.2799,5.66183,-3.67873,-6.12041,-1.75039,9.57799,-4.98399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-02-26,14:07:48.04,1,7,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Carpenter, Jesiah",1000150376,Right,UMBC_RET,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.493,-3.442304,-3.183848,2338.769047,204.666416,12:45,5.68954,1.63368,6.0536,-13.18257,21.46292,9.25351,1.39576,-0.54545,81.3699,-6.021824,-1.521729,0.423638,,,,,,,,,,,,-5.82591,12.57316,-1.39089,50,5.41429,6.8894,-130.87574,-8.20051,-9.92516,32.19773,-10.75413,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,f7fe3330-f474-11ef-963b-2d482b2d4289,88.97326,,,9.1231,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:07:48.04,2025-02-26T14:07:48.0473600-05:00,2025-02-26T19:07:48.0473600Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,86deea01-d8d5-4b3e-af62-e8bd117e4572,54.4442,-131.96456,16.09887,5.68545,-7.83684,-5.37706,-1.62954,7.22503,-4.96258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-26,14:09:21.50,2,1,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Ong, Nico",810028,Right,UMBC_RET,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.28232,-3.578224,-3.918793,2137.844543,192.274891,12:30,5.78669,1.58407,6.03152,-9.65957,26.06529,5.37256,1.65598,-1.60293,80.14042,-5.535654,-2.956266,0.430186,,,,,,,,,,,,-4.06929,14.99257,-1.28035,50,5.50104,8.60966,-128.97641,-8.23909,-6.72703,31.48086,-7.38967,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,2fb5a880-f475-11ef-963b-2d482b2d4289,87.6189,,,9.1419,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:09:21.50,2025-02-26T14:09:21.5078400-05:00,2025-02-26T19:09:21.5078400Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,8a000b68-76ac-4129-ac15-11db4d0e31b5,54.46571,-130.06184,15.74043,5.78073,-7.9843,-3.69484,-1.5812,8.8416,-3.36351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-26,14:09:51.30,2,2,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Ong, Nico",810028,Right,UMBC_RET,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.28155,-1.856145,-3.400646,2252.361042,192.114087,12:30,5.73247,1.50424,6.05709,-9.07241,25.85218,5.25646,3.25472,-1.20912,80.59536,-3.722213,-2.457399,0.425341,,,,,,,,,,,,-3.84295,14.24249,-1.24239,50,5.58282,7.52841,-130.58638,-4.34811,-6.48735,33.23749,-8.13103,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,417dd010-f475-11ef-963b-2d482b2d4289,88.61704,,,9.68619,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:09:51.30,2025-02-26T14:09:51.3033728-05:00,2025-02-26T19:09:51.3033728Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,cb4c7764-cdd2-4b1d-8ecd-ead929db4905,54.43707,-131.71088,16.61875,5.72528,-4.07302,-4.06552,-1.5008,7.74789,-3.24368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-26,14:10:09.42,2,3,"Whiteman, Jacob",10074240,Right,TOW_TIG,"Ong, Nico",810028,Right,UMBC_RET,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.52497,-2.253131,-1.658367,2182.683133,205.975167,12:45,5.84367,1.59318,5.83552,-14.9332,21.4297,9.77741,2.50303,0.86611,79.58817,-5.15151,0.093947,0.434011,,,,,,,,,,,,-5.52752,12.06316,-1.46369,50,5.65124,3.2921,-128.23469,-5.43181,-9.04353,30.83189,-12.43757,TOW_TIG,UMBC_RET,John B. Schuerholz Park,D1,CAA,20250226-John B. Schuerholz Park-1,4c453650-f475-11ef-963b-2d482b2d4289,86.84676,,,8.9368,,,,,,,5952f336-74ce-41f1-a079-d31b3ce3f380,2025-02-26,19:10:09.42,2025-02-26T14:10:09.4298624-05:00,2025-02-26T19:10:09.4298624Z,,v3,471469,471348,26 February 2025 14:00-umbc@towson,"Mallas, Michael",1000235169,Right,TOW_TIG,e1eb6fda-244d-451d-a7d6-35b153cacf29,54.66119,-129.35053,15.41595,5.83968,-4.98168,-6.21879,-1.58876,3.6194,-4.52177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
