PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-26,17:34:43.51,1,1,"Weber, Matt",801707,Left,DAV_WIL,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.56818,-1.885422,1.460007,1854.761071,155.813462,11:15,6.16333,-0.55995,5.68428,-20.77151,18.96218,-7.89493,2.67373,0.14334,76.73785,-5.814271,0.048586,0.453681,,,,,,,,,,,,4.43091,10.59481,0.44196,50,5.99172,-2.79386,-122.59617,-4.64516,6.68605,26.16424,-16.18686,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,e04d43d0-f491-11ef-b56d-9d0d8a8f7135,83.08133,,,7.83034,,,,,,,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:34:43.51,2025-02-26T17:34:43.5100000-05:00,2025-02-26T22:34:43.5100000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,b1c56120-1280-4586-8e2d-20f6f15baae5,54.81245,-123.61897,13.08212,6.16094,-4.01239,-8.09343,0.55628,-3.05523,3.34303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-26,17:34:59.52,1,2,"Weber, Matt",801707,Left,DAV_WIL,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,78.97058,-3.086485,1.636208,1697.436281,116.172876,9:45,6.09848,-0.59264,5.56058,-37.72124,7.3167,-12.24438,0.06743,-0.08391,73.58339,-9.936557,-0.553536,0.483015,,,,,,,,,,,,6.73933,4.81185,0.46002,50,5.8063,-2.82863,-114.64674,-7.3957,9.05047,19.4097,-25.71208,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,e9c60a00-f491-11ef-b56d-9d0d8a8f7135,78.03577,,,5.38719,,,,,,,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:34:59.52,2025-02-26T17:34:59.5270000-05:00,2025-02-26T22:34:59.5270000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,ffff9a8c-4573-4022-b052-78ba7d7a18fb,54.94292,-115.48055,9.70485,6.10029,-6.29116,-12.85604,0.58989,-3.21742,4.52523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-02-26,17:35:19.13,1,3,"Weber, Matt",801707,Left,DAV_WIL,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.87572,2.728986,0.744191,1833.148829,111.838316,9:45,6.16471,-0.60035,5.26698,-43.39632,4.87847,-8.56709,5.11413,-0.61514,70.4911,-5.20876,-0.774632,0.500071,,,,,,,,,,,,4.45784,2.18209,0.53877,50,6.38266,-1.10778,-111.5083,3.86611,5.63923,19.166,-29.41368,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,f57c3d10-f491-11ef-b56d-9d0d8a8f7135,75.37418,,,6.38461,,,,,,,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:35:19.13,2025-02-26T17:35:19.1350000-05:00,2025-02-26T22:35:19.1350000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,f93d58ca-10ac-49d2-b00a-a0048f7d6746,55.2323,-112.40403,9.583,6.16986,5.24077,-14.70684,0.5967,-1.37133,2.81961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-02-26,17:35:39.58,1,4,"Weber, Matt",801707,Left,DAV_WIL,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,0,2,1,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.18438,-1.006504,0.810353,1886.24417,152.571096,11:00,6.16428,-0.59058,5.6371,-21.53017,18.64903,-8.95,3.43089,-0.58035,76.23605,-5.080215,-0.7885,0.456218,70.58742,36.111936,155.429686,2177.278695,-101.5074,41.97144,42.3816,196.30435,57.60641,159.429921,2.906196,4.81386,10.18965,0.52766,50,6.06535,-1.36115,-122.11497,-2.78745,7.18979,26.49114,-16.95521,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,01a8d8a0-f492-11ef-b56d-9d0d8a8f7135,82.61942,42.18819,,7.94833,,,,1.39375,3.28797,0.53203,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:35:39.58,2025-02-26T17:35:39.5880000-05:00,2025-02-26T22:35:39.5880000Z,FlyBall,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,5dcb7c0e-7d7c-4d1d-a210-d9b4ebb815fa,54.86142,-123.16507,13.24557,6.16252,-2.11535,-8.47761,0.58726,-1.64615,3.5949,338.558335,1.39365,-76.06147,3.45909,0.38244,-0.00195,-0.12838,0.1006,-0.03005,0.00314,3.28813,61.00876,-27.12605,3.01582,-0.43554,-0.05026,0.05371,-0.0119,0.00088,0.53213,34.77419,-4.83518,0.55298,-0.13145,0.0758,-0.05013,0.01548,-0.00169,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2025-02-26,17:36:01.92,1,5,"Weber, Matt",801707,Left,DAV_WIL,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,0,2,2,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.44688,-3.372643,1.004036,1896.031203,154.858159,11:15,6.10863,-0.55331,5.50322,-19.94383,19.66497,-8.52386,1.28814,-0.32448,76.99681,-7.143221,-0.515462,0.452968,,,,,,,,,,,,4.65126,11.47934,0.47162,50,5.80086,-1.80475,-123.61837,-7.88509,7.06707,28.80501,-14.73246,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,0ef5ff60-f492-11ef-b56d-9d0d8a8f7135,83.21221,,,8.45008,,,,,,,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:36:01.92,2025-02-26T17:36:01.9270000-05:00,2025-02-26T22:36:01.9270000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,bf4f8436-f797-47bc-a125-360ff0338b62,54.9942,-124.77667,14.4025,6.10602,-7.29267,-7.36623,0.54991,-2.08893,3.53353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-02-26,17:36:21.90,1,6,"Weber, Matt",801707,Left,DAV_WIL,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,0,3,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.4431,-3.183553,0.809048,1889.531217,164.002002,11:30,6.14953,-0.61187,5.59342,-17.44851,22.83111,-6.11705,1.71962,-0.36616,76.24058,-6.520838,-0.28286,0.456787,72.92965,55.08799,131.140328,3906.262457,,,,,28.41511,,,3.3715,13.03316,0.54662,50,5.86543,-1.47311,-122.25066,-7.27793,5.02511,27.5014,-12.74851,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,1adeb420-f492-11ef-b56d-9d0d8a8f7135,82.51639,36.23778,,8.20251,,,,2.10261,1.68244,0.37625,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:36:21.90,2025-02-26T17:36:21.9080000-05:00,2025-02-26T22:36:21.9080000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,e67ec3ce-192a-4a47-a4ca-841054b9d92f,54.9043,-123.349,13.7507,6.14592,-6.76879,-6.37426,0.60947,-1.6738,2.51256,344.21982,2.11708,-40.68255,-1.35567,,,,,,,1.71998,86.6752,-33.24369,,,,,,,0.37712,46.08315,-4.46004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-02-26,17:36:44.51,1,7,"Weber, Matt",801707,Left,DAV_WIL,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.03114,-2.662153,1.668857,1946.447347,173.960608,11:45,6.1476,-0.49527,5.48656,-18.5097,21.35564,-2.10413,2.11163,0.89116,76.76656,-6.181629,1.294243,0.454432,,,,,,,,,,,,1.60512,12.07229,0.35049,50,5.90217,-3.49835,-123.1033,-6.26608,2.42641,27.8354,-13.92461,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,2855aa00-f492-11ef-b56d-9d0d8a8f7135,82.94403,,,8.26458,,,,,,,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:36:44.51,2025-02-26T17:36:44.5150000-05:00,2025-02-26T22:36:44.5150000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,e9c719d8-ec46-4ddc-9a7c-7c251adc1ca8,55.01148,-124.23131,13.9177,6.14467,-5.7018,-6.96231,0.49425,-3.59668,1.21321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.60771,2.64984,1.613414,1.036426,2.12551,2.18808,-0.87512,-3.24941,3.68344,5.99072,68.57903,8.72482,56.20521,-3.13604,77.11376,-7.61546,3.7336,19.30168,-13.96387,6.02746,51.71609,-3.17746,High,High,High,,,High,High,High
8,2025-02-26,17:37:16.35,2,1,"Weber, Matt",801707,Left,DAV_WIL,"Campi, Harrison",824556,Right,WOF_TER,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.52991,2.791134,0.77217,1994.640935,314.916248,4:30,6.15719,-0.70921,5.16816,-57.20503,-6.34504,8.08855,4.01924,0.6916,68.66155,-7.604576,2.20463,0.513286,,,,,,,,,,,,-3.77469,-3.47288,0.63081,50,6.37383,-1.79588,-109.4298,3.36833,-4.5311,21.12394,-36.34282,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,3b5b3390-f492-11ef-b56d-9d0d8a8f7135,73.43357,,,6.86835,,,,,,,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:37:16.35,2025-02-26T17:37:16.3570000-05:00,2025-02-26T22:37:16.3570000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,f6bc28cb-fbd6-4dd2-b99d-76b44d46edd2,55.3323,-110.45433,10.56197,6.16772,5.13099,-18.17141,0.71259,-1.57611,-2.26555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-26,17:37:34.37,2,2,"Weber, Matt",801707,Left,DAV_WIL,"Campi, Harrison",824556,Right,WOF_TER,Undefined,1,Top,1,1,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.23015,-1.702897,-0.068352,1959.393231,164.199232,11:30,6.14111,-0.55159,5.41067,-17.72962,22.86257,-6.05674,3.06773,-1.12036,76.09309,-5.089901,-1.145645,0.458556,,,,,,,,,,,,3.01453,12.43572,0.56203,50,5.97783,0.40587,-122.05201,-4.12599,4.49139,26.7757,-13.64581,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,46149010-f492-11ef-b56d-9d0d8a8f7135,82.1981,,,8.13705,,,,,,,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:37:34.37,2025-02-26T17:37:34.3780000-05:00,2025-02-26T22:37:34.3780000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,2823a00f-c6f5-4aef-b44a-080179157db6,55.08569,-123.16265,13.38785,6.13724,-3.55997,-6.82291,0.54906,0.21957,2.2457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-02-26,17:37:53.38,2,3,"Weber, Matt",801707,Left,DAV_WIL,"Campi, Harrison",824556,Right,WOF_TER,Undefined,1,Top,1,2,0,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,84.23215,-2.498417,1.088197,2004.517425,158.182849,11:15,6.20835,-0.65498,5.52874,-20.68249,19.87741,-7.35737,2.14729,-0.25068,76.02998,-6.411983,-0.22371,0.458374,71.67506,37.941275,113.052251,3789.354586,,,,,53.30479,,,4.05733,11.26587,0.56543,50,5.97778,-2.00536,-121.96922,-5.93373,6.02027,27.34766,-15.45777,DAV_WIL,WOF_TER,WilsonField,D1,A10,20250226-WilsonField-1,5166aa20-f492-11ef-b56d-9d0d8a8f7135,82.23077,35.16972,,8.20217,,,,1.01462,2.08458,0.18394,50616a37-da61-4444-bbf5-a037c1aa2964,2025-02-26,22:37:53.38,2025-02-26T17:37:53.3800000-05:00,2025-02-26T22:37:53.3800000Z,,v3,471280,471512,26 February 2025 17:30-wofford@davidson,"Brooks, Will",10105612,Right,DAV_WIL,4f4803c7-298c-44de-828a-9f2482ed5134,54.96764,-123.07801,13.67383,6.20566,-5.30701,-7.72888,0.65169,-2.24945,3.01013,,1.01462,-32.46296,-6.27507,2.53266,-0.72355,0.18336,-0.04424,0.00962,-0.00126,2.08458,64.6354,-26.65201,3.20092,-0.66945,0.12912,-0.02638,0.00536,-0.00072,0.18394,76.28446,-13.57038,2.57711,-0.5095,0.08857,-0.01756,0.00231,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
