PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,14:03:13.98,1,1,"Polk, Lakin",10111172,Right,SOU_LIO,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,0,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.16143,-2.005537,-1.280101,2222.647491,213.538205,1:00,6.44641,1.5162,5.3663,-16.39745,16.58796,10.26693,3.1983,1.17134,84.77815,-5.09434,0.544838,0.413364,,,,,,,,,,,,-5.4928,9.21662,-1.4088,50,6.25516,2.52691,-135.06682,-5.28144,-10.10995,30.41632,-15.21006,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,8c673e80-f6d8-11ef-a50c-871232bcc09a,91.18468,,,8.38328,,,,,,,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:03:13.98,2025-03-01T14:03:13.9897750-06:00,2025-03-01T20:03:13.9897750Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,9bf3b2e8-3810-4ab8-a962-54d9f869eb70,55.1282,-136.21676,15.20816,6.44396,-4.70639,-7.60503,-1.51156,2.90913,-5.05498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,14:03:24.32,1,2,"Polk, Lakin",10111172,Right,SOU_LIO,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.05614,-2.918787,-2.847902,2188.581943,200.089449,12:45,6.36496,1.61613,5.51365,-14.27465,18.66442,6.42473,2.44047,-0.5136,84.78452,-5.631344,-1.704896,0.413073,,,,,,,,,,,,-4.04236,10.56717,-1.37223,50,6.10089,6.40332,-134.74129,-7.31813,-7.41403,29.91992,-12.79301,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,92921230-f6d8-11ef-a50c-871232bcc09a,91.24881,,,8.27162,,,,,,,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:03:24.32,2025-03-01T14:03:24.3243414-06:00,2025-03-01T20:03:24.3243414Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,0b598f9b-6901-4183-aa37-e5ae81c371e6,54.98126,-135.8429,14.95996,6.36166,-6.84711,-6.3965,-1.61302,6.67629,-3.70701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,14:03:34.48,1,3,"Polk, Lakin",10111172,Right,SOU_LIO,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,1,1,Undefined,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.08179,-0.496969,-1.472545,2471.609119,48.173523,7:30,6.11865,1.91201,4.94313,-48.86802,-6.233,-8.31122,1.57651,-0.17246,76.27797,-9.252039,-2.94139,0.469953,,,,,,,,,,,,3.75307,-2.61937,-1.76182,50,6.0295,3.41844,-119.227,-2.90633,5.44139,21.3691,-35.97175,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,98a14790-f6d8-11ef-a50c-871232bcc09a,80.20468,,,5.80382,,,,,,,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:03:34.48,2025-03-01T14:03:34.4815510-06:00,2025-03-01T20:03:34.4815510Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,ea31542b-dd60-48ac-9300-ab67b05d7218,55.55688,-120.21884,10.68455,6.12565,-1.23672,-17.98587,-1.91463,3.16588,2.7207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,14:03:44.71,1,4,"Polk, Lakin",10111172,Right,SOU_LIO,"Lipoma, Reese",1000100796,Right,NOR_DEM,Undefined,1,Top,0,1,2,Undefined,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,84.05319,0.258538,-1.019304,2512.459757,31.732863,7:00,6.21572,1.75842,5.42147,-48.25428,-8.47855,-5.91158,2.43673,0.31095,78.19449,-8.467834,-2.073271,0.453921,,,,,,,,,,,,2.73103,-4.00925,-1.66374,50,6.20472,2.41999,-122.24927,-1.24138,4.17626,21.735,-38.30493,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,9ebbeea0-f6d8-11ef-a50c-871232bcc09a,83.03739,,,5.8587,,,,,,,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:03:44.71,2025-03-01T14:03:44.7180000-06:00,2025-03-01T20:03:44.7180000Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,0d9d312a-dcad-478f-a3a4-46f7b8a179a6,55.07916,-123.149,10.8675,6.22329,0.34426,-19.15247,-1.76034,2.24711,2.08813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.44851,2.418722,1.560934,0.857788,-0.71756,2.11177,-0.2329,4.57942,5.49939,3.10961,71.57519,6.19585,-53.19545,4.6665,83.66747,-6.54868,5.55308,12.08184,-13.17487,2.96351,-73.0874,8.78641,High,High,High,,,High,Medium,Medium
5,2025-03-01,14:04:06.12,2,1,"Polk, Lakin",10111172,Right,SOU_LIO,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,1,0,0,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,82.45003,-0.065445,-2.4354,2615.308443,35.249067,7:15,6.24991,1.70847,5.3137,-48.72227,-7.26315,-5.90138,2.12824,-1.07039,77.01357,-8.840293,-3.483884,0.463427,,,,,,,,,,,,2.39335,-3.33244,-1.48324,50,6.2081,5.33698,-119.8455,-1.92371,3.52731,20.26688,-37.0854,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,ab82f570-f6d8-11ef-a50c-871232bcc09a,81.3341,,,5.43646,,,,,,,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:04:06.12,2025-03-01T14:04:06.1292950-06:00,2025-03-01T20:04:06.1292950Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,5d0fb676-0b34-4b04-a790-f7baa4d7bcb6,55.18729,-120.71952,10.13344,6.25658,-0.32437,-18.5427,-1.71012,5.18486,1.76365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,14:04:16.27,2,2,"Polk, Lakin",10111172,Right,SOU_LIO,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,1,1,0,Undefined,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.94025,-0.227742,-2.801654,2572.941633,55.020905,7:45,6.24991,1.75099,5.27637,-44.68876,-2.20437,-4.95055,2.3117,-1.29493,75.70455,-8.314578,-3.679589,0.469123,,,,,,,,,,,,1.72965,-0.65496,-1.49138,50,6.19617,6.02337,-118.89523,-2.09546,2.48446,22.05571,-33.11485,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,b1890310-f6d8-11ef-a50c-871232bcc09a,80.34668,,,6.2357,,,,,,,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:04:16.27,2025-03-01T14:04:16.2763670-06:00,2025-03-01T20:04:16.2763670Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,4e0bded9-b00b-41e7-9eb3-cc1e8f8cca9a,55.22171,-119.85997,11.02785,6.25615,-0.64698,-16.55743,-1.75248,5.9147,1.24223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,14:04:25.91,2,3,"Polk, Lakin",10111172,Right,SOU_LIO,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,1,1,1,Undefined,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.35946,-2.395382,-2.753994,2224.76798,213.384489,1:00,6.57037,1.33375,5.57519,-14.78631,17.63529,10.95087,3.09706,-0.32781,85.50764,-5.193363,-0.802697,0.409816,82.31369,54.002113,60.990606,5737.58444,,,,,53.73216,,,-6.3078,9.89245,-1.10411,50,6.35451,6.01629,-135.38022,-6.14363,-11.74379,28.67337,-13.75635,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,b7478060-f6d8-11ef-a50c-871232bcc09a,91.97412,69.32436,,7.85182,,,,0.81455,3.17211,0.1556,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:04:25.91,2025-03-01T14:04:25.9187094-06:00,2025-03-01T20:04:25.9187094Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,9abec81c-065f-47a0-a542-b906319b2285,54.92218,-136.41875,14.33668,6.56801,-5.64539,-6.87817,-1.32971,6.44164,-5.8719,,0.81455,34.41119,-14.84628,4.50792,-1.24186,0.47898,-0.35688,0.23668,-0.06982,3.17211,97.67244,-27.89804,3.47409,-0.6866,0.10643,0.01123,-0.02449,0.00853,0.1556,62.05535,-8.28521,1.41045,-0.20124,0.00698,0.02713,-0.02365,0.00736,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2025-03-01,14:04:40.14,2,4,"Polk, Lakin",10111172,Right,SOU_LIO,"Stephenson, Sam",699456,Right,NOR_DEM,Undefined,1,Top,1,1,2,Undefined,Curveball,InPlay,Undefined,FlyBall,Single,0,0,,84.06675,0.329227,-1.562045,2584.37194,57.280254,8:00,6.3125,1.56473,5.27779,-47.11888,-6.95256,-12.58879,2.69525,-0.95171,77.91528,-8.17915,-3.797867,0.456144,65.56298,28.59551,5.945256,2629.668733,108.18975,38.0588,19.87317,210.50989,208.37981,14.34375,3.33294,5.96142,-3.3139,-1.41242,50,6.30729,3.85322,-122.17376,-1.05773,9.06231,22.77297,-37.21168,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,bfc089d0-f6d8-11ef-a50c-871232bcc09a,82.63268,38.14505,,6.15147,,,,1.93711,2.6224,0.91878,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:04:40.14,2025-03-01T14:04:40.1452950-06:00,2025-03-01T20:04:40.1452950Z,FlyBall,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,2b46b63b-b93a-40c5-af6f-6e19c5da4f57,55.22313,-123.14349,11.38649,6.3186,0.52685,-18.60584,-1.56829,3.46732,4.53116,214.820085,1.93671,83.99161,-11.83212,2.62821,-0.79587,0.32531,-0.11028,0.02118,-0.00164,2.62286,46.00434,-15.86834,0.60288,0.17566,-0.19824,0.08241,-0.01606,0.0012,0.91889,8.74048,3.32369,-0.73143,0.22729,-0.09594,0.03299,-0.00636,0.00049,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-03-01,14:05:13.26,3,1,"Polk, Lakin",10111172,Right,SOU_LIO,"Gump, Rocco",1000227294,Left,NOR_DEM,Undefined,1,Top,1,0,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.33482,-1.054296,-3.306722,2008.718198,255.474558,2:30,6.13641,1.9261,6.09848,-33.28388,4.58032,13.37662,2.38597,-0.02077,78.79535,-7.207884,-0.898086,0.44288,85.93761,-18.801122,78.999513,,,,,9.7711,9.7711,53.601151,0.067211,-7.86327,2.92772,-1.67889,50,6.03734,6.66128,-123.95577,-3.35018,-12.3109,23.32283,-27.59034,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,d3790fb0-f6d8-11ef-a50c-871232bcc09a,85.10762,2.73709,,6.53947,,,,4.26409,2.73709,-0.0271,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:05:13.26,2025-03-01T14:05:13.2619670-06:00,2025-03-01T20:05:13.2619670Z,GroundBall,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,65f33967-6741-4174-99c6-f9021ac9414f,54.40142,-124.78116,11.66141,6.13863,-2.37376,-13.79517,-1.92234,7.09697,-6.15545,,4.26347,22.82506,,,,,,,,2.7382,-40.72368,,,,,,,,-0.0303,117.41943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
10,2025-03-01,14:05:52.39,3,2,"Polk, Lakin",10111172,Right,SOU_LIO,"Gump, Rocco",1000227294,Left,NOR_DEM,Undefined,1,Top,1,0,1,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.46499,-0.579003,-1.616267,2096.229674,207.547382,1:00,6.35935,1.51856,5.4001,-16.98028,16.09312,7.88087,4.40156,0.66041,84.88585,-3.762783,-0.215318,0.413915,,,,,,,,,,,,-4.36406,8.53445,-1.38015,50,6.29605,3.42021,-134.27185,-1.93616,-8.02366,27.13988,-16.48278,SOU_LIO,NOR_DEM,AlumniField,D1,SLAND,20250301-AlumniField-1,ead178a0-f6d8-11ef-a50c-871232bcc09a,91.0633,,,7.57914,,,,,,,3bfc4dc4-3965-4e63-a005-b3e8d08a46c2,2025-03-01,20:05:52.39,2025-03-01T14:05:52.3923350-06:00,2025-03-01T20:05:52.3923350Z,,v3,471445,471394,,"O'Neal, Conner",1000090238,Right,SOU_LIO,78b3f8df-f0ff-4fee-9b1a-8d1bfe1de875,55.09584,-135.29793,13.56994,6.35747,-1.31299,-8.24139,-1.5152,3.72356,-4.01183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
