PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,13:01:54.57,1,1,"Valincius, Tomas",815561,Left,VIR_CAV,"Rodriguez, Taer",1000189935,Right,DAR_GRE,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.62022,-0.959385,3.071557,2096.714946,121.567971,10:00,5.40257,-2.23197,5.78655,-20.48958,11.54205,-17.12859,2.80122,-0.79912,85.50714,-4.795646,0.00715,0.407344,76.97218,35.307653,117.576096,3763.707488,,,,,47.66155,,,9.60004,6.45819,1.98923,50,5.31116,-6.52333,-135.84421,-2.98549,17.94345,29.68646,-20.10305,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,39c632f0-f6c7-11ef-b830-9707009d7404,92.53232,31.37733,,8.11308,,,,0.69388,2.74509,0.849,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:01:54.57,2025-03-01T13:01:54.5780000-05:00,2025-03-01T18:01:54.5780000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,a6673416-c98d-4f13-bb0f-d4c065158d2d,54.71233,-136.87014,14.84323,5.40233,-2.29075,-10.05153,2.22538,-7.14343,8.97172,,0.69388,-42.648,-2.79529,1.87063,-0.55693,0.14831,-0.03457,0.00903,-0.00177,2.74509,65.24801,-24.99832,2.94522,-0.62251,0.12174,-0.01865,-0.00018,0.00157,0.849,81.66106,-13.97166,2.14136,-0.40551,0.04821,-0.00524,-0.00162,0.00118,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2025-03-01,13:02:15.74,1,2,"Valincius, Tomas",815561,Left,VIR_CAV,"Rodriguez, Taer",1000189935,Right,DAR_GRE,Undefined,1,Top,0,0,1,TwoSeamFastBall,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,94.50984,-0.092841,2.81365,2173.622784,125.662237,10:15,5.5363,-2.41653,5.6109,-19.55521,12.02583,-15.38757,3.81994,-1.07053,86.33597,-3.75024,0.069809,0.404468,,,,,,,,,,,,8.52689,6.41071,2.18597,50,5.51584,-6.01945,-137.14496,-0.9177,16.27587,29.70576,-19.9375,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,465c17a0-f6c7-11ef-b830-9707009d7404,93.19007,,,8.17386,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:02:15.74,2025-03-01T13:02:15.7440000-05:00,2025-03-01T18:02:15.7440000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,9617ced7-8eaa-4dd8-a90d-593692d14e6d,54.88694,-138.19942,14.85288,5.53585,-0.20998,-9.96875,2.4099,-6.59719,8.13793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,13:02:32.00,1,3,"Valincius, Tomas",815561,Left,VIR_CAV,"Rodriguez, Taer",1000189935,Right,DAR_GRE,Undefined,1,Top,0,0,2,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,95.85113,0.23329,2.475944,2239.321041,118.476363,10:00,5.59508,-1.99871,5.63125,-20.37151,10.43402,-17.39245,4.11533,-1.13655,87.16295,-3.576466,-0.628004,0.399471,,,,,,,,,,,,9.46197,5.51819,1.79902,50,5.60205,-5.17976,-139.06663,-0.17666,18.47935,31.97745,-21.397,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,5010d560-f6c7-11ef-b830-9707009d7404,94.3558,,,8.68819,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:02:32.00,2025-03-01T13:02:32.0040000-05:00,2025-03-01T18:02:32.0040000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,8f8858eb-d856-445f-a7da-798c3c3ee1d1,54.86597,-140.18106,15.98872,5.59521,0.56904,-10.6985,1.99076,-5.82378,9.23967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,13:02:48.21,1,4,"Valincius, Tomas",815561,Left,VIR_CAV,"Rodriguez, Taer",1000189935,Right,DAR_GRE,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.32039,0.571537,-0.083215,2716.360185,295.365645,3:45,5.47597,-2.05487,5.03687,-44.41723,-1.44465,6.15855,2.31374,-1.62017,74.8092,-7.497975,1.006355,0.47181,,,,,,,,,,,,-3.06575,-0.42551,2.05769,50,5.49519,-0.09667,-119.33403,-0.48371,-4.37465,25.20442,-32.7812,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,59c32220-f6c7-11ef-b830-9707009d7404,79.88902,,,7.51119,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:02:48.21,2025-03-01T13:02:48.2150000-05:00,2025-03-01T18:02:48.2150000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,6ccdefc1-dcec-40cf-9da7-45909e359cfe,55.45974,-120.48166,12.60221,5.48323,1.0089,-16.3906,2.05756,0.10252,-2.18733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,13:03:04.39,1,5,"Valincius, Tomas",815561,Left,VIR_CAV,"Rodriguez, Taer",1000189935,Right,DAR_GRE,Undefined,1,Top,0,2,2,TwoSeamFastBall,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,95.30716,-1.892596,3.507199,2195.313988,123.523679,10:00,5.63564,-2.18098,5.70437,-19.07304,12.03749,-16.63832,2.27886,-0.29562,86.91876,-5.463999,0.536604,0.401444,,,,,,,,,,,,9.41615,6.95311,1.89711,50,5.46492,-7.68908,-138.1195,-5.24266,18.16852,31.09545,-18.75798,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,63667ac0-f6c7-11ef-b830-9707009d7404,93.89208,,,8.38841,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:03:04.39,2025-03-01T13:03:04.3900000-05:00,2025-03-01T18:03:04.3900000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,875862d3-37ce-44c4-88de-5155b451a6d6,54.7935,-139.19449,15.54772,5.63495,-4.59418,-9.37899,2.17378,-8.31718,9.08426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.72019,,,0.963477,,,,-0.22215,5.71039,-1.61231,75.1243,7.96594,-49.65259,-0.16956,83.68052,-5.72707,5.74378,15.14377,-13.31322,-1.70815,-57.21911,7.71299,High,High,High,,,High,High,High
6,2025-03-01,13:03:31.04,2,1,"Valincius, Tomas",815561,Left,VIR_CAV,"Krewson, Elliot",1000077003,Right,DAR_GRE,Undefined,1,Top,1,0,0,TwoSeamFastBall,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,94.10778,-1.781587,3.489357,2150.938256,128.906377,10:15,5.46236,-2.18713,5.76598,-18.12729,13.77442,-15.7491,2.29008,-0.24811,85.61398,-5.19815,0.674859,0.406517,95.34467,21.083731,-18.318016,2542.738042,104.01555,38.21381,-35.78662,339.72602,329.87949,-20.331093,3.975352,9.11957,7.86516,1.90815,50,5.30384,-7.62023,-136.39897,-4.85813,17.1043,31.24508,-17.42249,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,733dced0-f6c7-11ef-b830-9707009d7404,92.72052,48.89518,,8.4938,,,,2.17613,2.3909,0.25685,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:03:31.04,2025-03-01T13:03:31.0420000-05:00,2025-03-01T18:03:31.0420000Z,LineDrive,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,8851c4b0-461a-4aff-92e2-8f4b63cf281b,54.73333,-137.47897,15.62254,5.46135,-4.25592,-8.71125,2.18177,-8.21144,8.55215,162.834633,2.17629,123.86246,-24.4237,6.54573,-1.51885,0.32429,-0.06199,0.00868,-0.00057,2.3917,50.27985,-13.33029,-0.98203,0.90962,-0.40844,0.11756,-0.01826,0.00114,0.25699,-41.01254,4.24616,-0.32391,-0.04693,0.00887,0.00336,-0.00122,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-03-01,13:04:03.22,3,1,"Valincius, Tomas",815561,Left,VIR_CAV,"Hower, Jackson",1000121017,Right,DAR_GRE,Undefined,1,Top,2,0,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.69182,-0.866799,4.33218,2095.704121,108.254597,9:30,4.97967,-2.33367,5.93345,-30.57391,6.74445,-16.76674,1.62531,0.29592,79.18822,-6.539148,1.329016,0.439676,,,,,,,,,,,,9.83725,4.06355,1.99684,50,4.89302,-8.83473,-125.62505,-2.92048,15.69061,25.90009,-25.69263,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,86742c60-f6c7-11ef-b830-9707009d7404,85.72776,,,7.5036,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:04:03.22,2025-03-01T13:04:03.2270000-05:00,2025-03-01T18:04:03.2270000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,119b7e2c-5904-4df1-930c-7bca4c5a1aec,54.56543,-126.5628,12.95004,4.98191,-1.99023,-12.84632,2.327,-9.40284,7.84531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,13:04:18.73,3,2,"Valincius, Tomas",815561,Left,VIR_CAV,"Hower, Jackson",1000121017,Right,DAR_GRE,Undefined,1,Top,2,0,1,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.79123,-0.778583,2.193445,2169.721507,116.884938,10:00,5.48749,-2.04347,5.48851,-21.85513,10.06343,-17.64107,2.93728,-1.46058,85.6646,-4.856472,-0.948454,0.406624,,,,,,,,,,,,9.51914,5.64111,1.86341,50,5.40475,-4.41019,-137.39389,-2.6802,17.99467,33.58243,-21.5103,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,8fb19740-f6c7-11ef-b830-9707009d7404,92.69606,,,9.12663,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:04:18.73,2025-03-01T13:04:18.7380000-05:00,2025-03-01T18:04:18.7380000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,3ad49495-ea98-4c4d-b19d-0a39690528a1,55.00771,-138.61249,16.79121,5.48785,-1.89966,-10.75515,2.03529,-5.06317,8.99733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,13:04:34.46,3,3,"Valincius, Tomas",815561,Left,VIR_CAV,"Hower, Jackson",1000121017,Right,DAR_GRE,Undefined,1,Top,2,1,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.92127,-0.621689,3.28787,2096.807036,111.749266,9:45,5.02854,-2.48423,5.67763,-29.40813,8.13315,-17.22749,1.99734,-0.85151,79.08305,-6.075125,0.211561,0.440987,,,,,,,,,,,,9.77386,4.67059,2.21816,50,4.95762,-6.51947,-126.02041,-2.37553,15.62146,27.07313,-24.7091,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,99194670-f6c7-11ef-b830-9707009d7404,85.47289,,,7.83822,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:04:34.46,2025-03-01T13:04:34.4690000-05:00,2025-03-01T18:04:34.4690000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,338474dc-e16a-4d35-9ce8-e9ce0643255e,54.82121,-127.05193,13.53657,5.0302,-1.43408,-12.35455,2.4779,-7.11467,7.81073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,13:05:00.40,3,4,"Valincius, Tomas",815561,Left,VIR_CAV,"Hower, Jackson",1000121017,Right,DAR_GRE,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.82161,-1.46208,3.522343,1962.119917,99.510471,9:15,4.91496,-2.24599,5.71069,-33.96273,4.37166,-18.71194,0.71975,-0.51966,78.62436,-7.707781,0.176511,0.445621,,,,,,,,,,,,10.58772,2.9778,1.96294,50,4.77114,-6.89838,-124.44489,-4.35353,16.57153,25.42067,-27.51334,VIR_CAV,DAR_GRE,DavenportField,D1,ACC,20250301-DavenportField-1,a88ad3d0-f6c7-11ef-b830-9707009d7404,84.58408,,,7.19725,,,,,,,36fc17c7-f8e0-46c1-a699-dc701cdc78c9,2025-03-01,18:05:00.40,2025-03-01T13:05:00.4090000-05:00,2025-03-01T18:05:00.4090000Z,,v3,471482,dartmouth,01 March 2025 13:00-dartmouth@virginia,"Ference, Jacob",823695,Right,VIR_CAV,8611fe54-6a41-49ab-9c2c-6a6062e49cba,54.78946,-125.41943,12.71034,4.91782,-3.29877,-13.75667,2.23958,-7.53367,8.28576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
