PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,12:06:51.57,1,1,"Mercurius, LJ",702969,Right,UNL_REB,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.11439,-3.872208,-2.764241,2388.116659,223.450606,1:30,5.76911,1.6135,5.84389,-15.3754,17.76466,15.80442,0.8796,0.35967,84.28457,-6.785985,0.067331,0.414332,,,,,,,,,,,,-9.00272,10.55079,-1.39832,50,5.44436,5.7839,-133.45024,-9.51555,-16.22275,28.91981,-13.16171,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,b75f7530-f6d8-11ef-80df-7b4233bb4f66,90.97167,,,7.82983,,,,,,,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:06:51.57,2025-03-01T12:06:51.5758080-08:00,2025-03-01T20:06:51.5758080Z,,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,a611720d-cb36-4d12-99f9-1851be41e52a,54.65796,-134.45587,14.45991,5.76729,-9.05788,-6.58085,-1.60926,6.34802,-8.11137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,12:07:06.03,1,2,"Mercurius, LJ",702969,Right,UNL_REB,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,92.33711,-1.97499,-3.140909,2331.662189,226.806758,1:30,5.57926,1.99247,5.94163,-17.28434,15.47182,15.36485,2.30338,0.35639,84.40466,-5.246745,-0.384765,0.411925,98.38395,18.556902,-11.312367,2372.883287,107.78324,34.08775,-21.97118,345.65474,345.65474,-11.980724,3.852711,-8.80977,8.8154,-1.75089,50,5.41191,6.69725,-133.95375,-5.16556,-16.01188,28.85519,-16.15197,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,bffd92d0-f6d8-11ef-80df-7b4233bb4f66,91.50322,45.2779,,7.93246,,,,1.4234,2.29261,-0.37342,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:07:06.03,2025-03-01T12:07:06.0319232-08:00,2025-03-01T20:07:06.0319232Z,LineDrive,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,98336d3d-04d8-4963-be9b-60f00c040ede,54.55888,-134.93222,14.4276,5.57779,-4.61786,-8.07599,-1.98719,7.2402,-8.00594,177.984665,1.42343,134.13558,-23.87086,5.56636,-1.16063,0.22083,-0.03316,0.00295,-0.0001,2.29274,45.91614,-11.9165,-0.58867,0.38847,-0.1333,0.02584,-0.00211,2E-05,-0.37342,-26.83351,4.34517,-1.06298,0.2374,-0.04991,0.00844,-0.00088,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-03-01,12:07:48.50,2,1,"Mercurius, LJ",702969,Right,UNL_REB,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.3349,-0.908654,-4.15324,2301.436688,228.016315,1:30,5.57134,2.16495,6.04308,-16.59446,16.08091,16.70773,3.34491,-0.29476,84.21926,-4.070096,-1.156406,0.411417,,,,,,,,,,,,-9.69453,8.82642,-1.84946,50,5.49128,8.99166,-133.85531,-2.61915,-17.60445,28.65275,-16.14599,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,d95d3d70-f6d8-11ef-80df-7b4233bb4f66,91.61622,,,8.11564,,,,,,,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:07:48.50,2025-03-01T12:07:48.5049856-08:00,2025-03-01T20:07:48.5049856Z,,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,ce60aaf6-66ea-4e16-b5b4-31c95c8356c8,54.45573,-134.80572,14.32637,5.56927,-2.08359,-8.073,-2.1574,9.5756,-8.80222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,12:08:41.35,2,2,"Mercurius, LJ",702969,Right,UNL_REB,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,2,0,,93.28648,-1.957622,-2.908975,2137.496716,224.830627,1:30,5.644,1.5317,6.03079,-16.51647,15.69926,14.50997,2.4517,0.04466,84.63665,-5.109007,-0.301221,0.408513,98.10809,14.712193,-16.022967,3208.209336,103.47786,24.77027,-37.31385,294.35322,282.23197,-26.143357,2.941331,-8.3591,8.99674,-1.31215,50,5.48191,6.24515,-135.26187,-5.1265,-15.36774,31.61401,-15.63407,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,f8cdcb20-f6d8-11ef-80df-7b4233bb4f66,92.2675,28.21708,,8.64983,,,,0.94441,2.4514,-0.04859,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:08:41.35,2025-03-01T12:08:41.3516288-08:00,2025-03-01T20:08:41.3516288Z,LineDrive,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,8e29cb63-81cb-40e2-b9ac-83d57a78bbe5,54.46813,-136.30218,15.80701,5.64214,-4.61203,-7.81703,-1.52597,6.75085,-7.68387,129.384248,0.94433,133.76978,-25.64072,5.8104,-1.08996,0.13976,-0.00612,-0.00128,0.00018,2.45156,36.53765,-12.68298,-0.43013,0.16108,0.03602,-0.03087,0.00765,-0.00068,-0.04871,-38.41081,-5.3056,2.21065,-0.53248,0.04976,0.01268,-0.00466,0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-03-01,12:09:15.03,3,1,"Mercurius, LJ",702969,Right,UNL_REB,"Bickers, Tyler",1000301936,Right,UWM_PAN,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.82662,-3.122176,-2.291361,2246.324675,222.90293,1:30,5.65051,1.64508,6.15052,-15.82568,17.30403,15.01816,1.44173,0.77831,83.41663,-6.152114,0.416139,0.414267,,,,,,,,,,,,-8.59048,10.28375,-1.47888,50,5.40471,4.72174,-133.14882,-7.72059,-15.28274,30.99353,-13.87896,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,0cd693e0-f6d9-11ef-80df-7b4233bb4f66,90.98585,,,8.40999,,,,,,,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:09:15.03,2025-03-01T12:09:15.0338048-08:00,2025-03-01T20:09:15.0338048Z,,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,097b8c9a-766e-48b6-bdf7-ad389710b3d3,54.35036,-134.15765,15.49677,5.64866,-7.26883,-6.93948,-1.64067,5.21919,-7.64137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,12:09:28.32,3,2,"Mercurius, LJ",702969,Right,UNL_REB,"Bickers, Tyler",1000301936,Right,UWM_PAN,Undefined,1,Top,2,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,81.03874,-1.892002,-2.041222,2167.339738,11.750046,6:30,5.62264,1.5385,6.00385,-46.11699,-3.38536,-0.99811,0.02481,-0.43673,74.39721,-10.334994,-2.221225,0.470485,,,,,,,,,,,,-0.10594,-0.94748,-1.37742,50,5.44786,4.22793,-117.6317,-5.33783,-0.14686,24.56476,-33.4873,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,14c95650-f6d9-11ef-80df-7b4233bb4f66,80.11395,,,6.64154,,,,,,,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:09:28.32,2025-03-01T12:09:28.3296256-08:00,2025-03-01T20:09:28.3296256Z,,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,2671f80a-77ba-4f81-a422-ea143aeaa8d5,54.49848,-118.56738,12.28238,5.62688,-4.06228,-16.74365,-1.53857,4.23353,-0.07343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,12:09:47.20,3,3,"Mercurius, LJ",702969,Right,UNL_REB,"Bickers, Tyler",1000301936,Right,UWM_PAN,Undefined,1,Top,2,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.97312,-2.947767,-3.887371,2346.14763,230.448355,1:45,5.50095,1.65625,6.30739,-17.78556,14.83442,16.69824,1.29457,-0.53892,84.21313,-6.322839,-0.874042,0.411067,,,,,,,,,,,,-9.84792,8.86587,-1.37901,50,5.2756,8.3953,-133.32393,-7.40258,-17.73938,28.45483,-16.20365,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,20017fc0-f6d9-11ef-80df-7b4233bb4f66,91.69406,,,7.75999,,,,,,,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:09:47.20,2025-03-01T12:09:47.2020480-08:00,2025-03-01T20:09:47.2020480Z,,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,10362a83-b56e-4707-8056-57931bb74224,54.19395,-134.21604,14.22742,5.49972,-6.89456,-8.10183,-1.65094,8.95146,-8.86969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,12:10:01.35,3,4,"Mercurius, LJ",702969,Right,UNL_REB,"Bickers, Tyler",1000301936,Right,UWM_PAN,Undefined,1,Top,2,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.94385,-3.73922,-4.542058,2321.180788,229.364226,1:45,5.50632,1.53713,6.35757,-17.15934,14.81178,16.05985,0.6192,-1.31365,85.14604,-6.995325,-1.644978,0.406959,,,,,,,,,,,,-9.67804,9.07347,-1.21499,50,5.22614,10.04137,-134.51828,-9.31839,-17.75818,28.79597,-15.52516,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,287de490-f6d9-11ef-80df-7b4233bb4f66,92.61983,,,7.79781,,,,,,,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:10:01.35,2025-03-01T12:10:01.3595136-08:00,2025-03-01T20:10:01.3595136Z,,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,798f785d-b243-4c2a-a918-a7a01472702b,54.14345,-135.40235,14.39798,5.50491,-8.84174,-7.76258,-1.53164,10.58657,-8.87909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,12:10:17.64,3,5,"Mercurius, LJ",702969,Right,UNL_REB,"Bickers, Tyler",1000301936,Right,UWM_PAN,Undefined,1,Top,2,3,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.40392,-2.513678,-3.253878,2112.55772,229.946214,1:45,5.60785,1.82511,6.07575,-18.6106,14.65658,16.1721,1.72586,0.1588,83.68054,-6.02753,-0.345308,0.415125,60.23788,-36.138537,-172.560679,,,,,1.27281,3.20923,-23.532758,0.041014,-9.29217,8.58315,-1.58195,50,5.40308,6.869,-132.57464,-6.40196,-16.55164,28.12024,-16.88532,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,32289030-f6d9-11ef-80df-7b4233bb4f66,90.79773,2.14601,,7.72338,,,,4.08097,2.14601,-0.1277,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:10:17.64,2025-03-01T12:10:17.6402432-08:00,2025-03-01T20:10:17.6402432Z,GroundBall,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Gallegos, Chase",831021,Right,UNL_REB,298234d7-fe53-4509-9a25-bd2526f6a832,54.42492,-133.50991,14.06012,5.60667,-5.84036,-8.44266,-1.81956,7.4195,-8.27582,,4.08296,-71.05039,,,,,,,,2.14748,-52.32451,,,,,,,,-0.12744,-9.27742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2025-03-01,12:12:48.33,1,1,"Schulfer, Logan",1000397154,Right,UWM_PAN,"Rodriguez, Elijah",831018,Left,UNL_REB,Undefined,1,Bottom,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.41244,-0.357479,-3.737043,1510.527333,271.25869,3:00,5.11674,2.06541,5.01992,-38.78975,0.93406,15.62702,1.54619,-0.16401,78.17447,-7.387549,-0.980756,0.453625,,,,,,,,,,,,-8.84859,0.90158,-1.72045,50,5.05098,7.39143,-123.725,-2.26831,-13.70081,24.94093,-30.77811,UNL_REB,UWM_PAN,EarlEWilsonStadium,D1,MW,20250301-EarlEWilsonStadium-1,8c06d990-f6d9-11ef-80df-7b4233bb4f66,83.09168,,,7.23798,,,,,,,bead6666-d902-44ab-990c-af4cb5edf785,2025-03-01,20:12:48.33,2025-03-01T12:12:48.3369984-08:00,2025-03-01T20:12:48.3369984Z,,v3,471376,5036,01 March 2025 15:05-wiscmilw@unlv,"Lethert, Teige",1000133703,Right,UWM_PAN,5c3ee27a-ec1c-421a-9a15-206c0eb0e743,55.48102,-124.82499,12.47046,5.12109,-0.91087,-15.38906,-2.05977,7.99569,-6.85041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
