PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,13:08:35.52,1,1,"Topolski, Chase",1000222089,Right,RIC_SPI,"Ragsdale, Josiah",1000233002,Left,BOC_EAG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.40815,-0.589416,-2.911236,2342.161804,208.046137,1:00,5.86408,2.05333,5.51647,-15.42706,20.57391,10.26382,4.02662,0.18415,80.40429,-3.561603,-1.085562,0.431846,,,,,,,,,,,,-6.06945,10.91036,-1.80646,50,5.80276,6.11424,-129.44319,-1.76954,-10.15438,30.53301,-13.92069,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,31d1a650-f6c8-11ef-9d7c-a9d5f1138f92,87.2822,,,9.00387,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:08:35.52,2025-03-01T13:08:35.5295744-05:00,2025-03-01T18:08:35.5295744Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,70df1704-ba50-496f-acc4-fff702a0c8fa,54.97939,-130.61245,15.26651,5.86032,-1.23646,-6.96034,-2.04805,6.50309,-5.07719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,13:08:47.02,1,2,"Topolski, Chase",1000222089,Right,RIC_SPI,"Ragsdale, Josiah",1000233002,Left,BOC_EAG,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.96519,-1.812431,-3.179715,2253.421925,234.975495,1:45,5.83589,1.87159,5.73398,-27.21938,14.50367,18.41359,1.87661,0.4419,74.57713,-6.925888,0.112625,0.4649,,,,,,,,,,,,-10.39493,8.43965,-1.61776,50,5.66827,5.91231,-120.04363,-4.63704,-14.8678,27.5324,-20.10285,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,38a6c3c0-f6c8-11ef-9d7c-a9d5f1138f92,81.07645,,,8.38806,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:08:47.02,2025-03-01T13:08:47.0200320-05:00,2025-03-01T18:08:47.0200320Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,ddd2d7ca-b779-4ae6-a7b6-d506a7f39ec8,54.76273,-121.13105,13.7662,5.83573,-3.84306,-10.05143,-1.86287,6.49953,-7.4339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,13:09:00.35,1,3,"Topolski, Chase",1000222089,Right,RIC_SPI,"Ragsdale, Josiah",1000233002,Left,BOC_EAG,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.48995,-4.490451,-5.621842,2248.779873,229.421173,1:45,5.76943,1.75902,6.01912,-25.26316,16.84103,17.75611,-0.52392,-1.98546,74.46217,-9.240177,-2.44493,0.467019,,,,,,,,,,,,-11.19729,10.64693,-1.32758,50,5.4017,11.04313,-118.81531,-10.08975,-15.70726,26.73482,-17.23884,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,409826a0-f6c8-11ef-9d7c-a9d5f1138f92,80.70864,,,8.02778,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:09:00.35,2025-03-01T13:09:00.3542016-05:00,2025-03-01T18:09:00.3542016Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,a164131a-c793-4daf-8085-316c38c6f400,54.48181,-119.81953,13.36741,5.76853,-9.44222,-8.61942,-1.75346,11.63313,-7.85363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
4,2025-03-01,13:09:25.15,1,4,"Topolski, Chase",1000222089,Right,RIC_SPI,"Ragsdale, Josiah",1000233002,Left,BOC_EAG,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.89205,-0.069067,-0.753266,2341.544083,238.023735,2:00,5.86736,1.89315,5.59378,-24.03828,11.81351,16.66241,3.79967,2.57832,80.1051,-4.59935,2.221226,0.43095,,,,,,,,,,,,-8.59323,6.39674,-1.8392,50,5.84632,0.93728,-130.15937,-0.97342,-14.35095,34.06609,-21.49133,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,4f67ceb0-f6c8-11ef-9d7c-a9d5f1138f92,87.46359,,,9.78695,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:09:25.15,2025-03-01T13:09:25.1519488-05:00,2025-03-01T18:09:25.1519488Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,b9e1dd3c-714f-470a-aaeb-9866d20393b0,54.90025,-131.43563,17.03304,5.86771,-0.16826,-10.74566,-1.88439,1.47493,-7.17547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,13:09:38.25,1,5,"Topolski, Chase",1000222089,Right,RIC_SPI,"Ragsdale, Josiah",1000233002,Left,BOC_EAG,Undefined,1,Top,0,3,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.90364,-2.782206,-3.550611,2307.235973,229.971916,1:45,5.777,1.92643,5.52558,-17.76347,18.35363,20.09773,1.68861,0.27756,80.08985,-6.182325,0.025503,0.432542,106.57432,9.47688,8.694441,6655.951255,108.30132,14.12902,19.25658,251.5715,251.5715,12.127469,2.139106,-11.36682,10.64595,-1.6311,50,5.5232,7.13516,-129.81686,-6.85854,-18.88766,33.83053,-14.48425,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,5737edf0-f6c8-11ef-9d7c-a9d5f1138f92,87.14178,14.76819,,9.81379,,,,0.58861,1.61606,-0.29173,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:09:38.25,2025-03-01T13:09:38.2593536-05:00,2025-03-01T18:09:38.2593536Z,LineDrive,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,6b1a63bd-d1db-43e8-82f2-efc5ac8d645d,54.97066,-131.10583,16.91527,5.774,-6.30668,-7.24212,-1.91666,7.85479,-9.44383,218.295808,0.58861,152.4036,-26.04672,5.79453,-1.25908,0.25936,-0.04734,0.00631,-0.00042,1.61606,25.73639,-12.61956,-0.10291,0.17149,-0.0496,0.00844,-0.00037,-4E-05,-0.29173,23.30612,2.22923,-1.27544,0.42387,-0.10651,0.01962,-0.00226,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-03-01,13:10:25.59,2,1,"Topolski, Chase",1000222089,Right,RIC_SPI,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,1,Top,0,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.6782,-0.402889,-1.884261,2385.43136,81.643539,8:45,5.62855,2.33992,5.27675,-46.24006,0.33291,-8.31481,1.39659,-0.12338,71.96767,-8.807944,-3.36079,0.491178,,,,,,,,,,,,3.60355,0.72701,-2.16145,50,5.55779,4.08442,-114.08314,-2.39329,4.70627,22.7558,-31.22456,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,7372cc10-f6c8-11ef-9d7c-a9d5f1138f92,76.73894,,,6.71053,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:10:25.59,2025-03-01T13:10:25.5924736-05:00,2025-03-01T18:10:25.5924736Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,0c82e059-0dab-41ad-ac73-26f3af417802,55.22303,-115.12025,11.3779,5.63444,-0.97021,-15.61228,-2.34271,3.86993,2.35314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,13:10:45.60,2,2,"Topolski, Chase",1000222089,Right,RIC_SPI,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.80208,-0.111217,-3.189077,2358.385509,59.262378,8:00,5.67754,2.27683,5.26496,-50.05644,-2.26477,-6.50162,1.40153,-1.26401,71.16635,-9.184912,-4.341232,0.497562,,,,,,,,,,,,2.28307,-0.65622,-1.9797,50,5.63036,6.53534,-112.6973,-1.93532,2.906,22.44698,-33.00934,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,7f5b0ba0-f6c8-11ef-9d7c-a9d5f1138f92,75.75421,,,6.63573,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:10:45.60,2025-03-01T13:10:45.6009728-05:00,2025-03-01T18:10:45.6009728Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,efcec788-b0cd-49cd-a3b6-dd3fe3c78976,55.23518,-113.73526,11.22349,5.68456,-0.40896,-16.50467,-2.27879,6.40097,1.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,13:11:04.86,2,3,"Topolski, Chase",1000222089,Right,RIC_SPI,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.13707,-0.678141,-3.658393,2395.147504,218.167727,1:15,5.86551,2.24055,5.45981,-13.71761,22.31155,16.38127,4.08628,0.1766,79.89829,-3.375089,-0.750167,0.432015,,,,,,,,,,,,-9.43016,11.79414,-1.92895,50,5.7968,7.54264,-130.18333,-1.8853,-15.74182,34.2773,-12.48603,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,8ad2d620-f6c8-11ef-9d7c-a9d5f1138f92,87.24805,,,10.23878,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:11:04.86,2025-03-01T13:11:04.8685056-05:00,2025-03-01T18:11:04.8685056Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,6bba68f5-60aa-4313-9a0d-767e1d1e1432,55.0332,-131.5019,17.13865,5.86009,-1.40499,-6.24302,-2.23075,8.1482,-7.87091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,13:11:31.50,2,4,"Topolski, Chase",1000222089,Right,RIC_SPI,"Wolff, Kyle",813479,Right,BOC_EAG,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,78.03402,1.31826,-0.666151,2328.433668,74.056144,8:30,5.66543,2.20221,5.15556,-48.52121,-0.64587,-8.25012,2.86324,0.8876,70.59741,-7.534771,-2.127864,0.497998,87.07005,-13.087011,-38.134804,,,,,13.98375,13.98375,-37.176104,0.097762,3.90957,-0.29862,-2.13327,50,5.75136,1.64745,-113.06601,0.91866,4.97831,23.7561,-32.5543,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,9aba08b0-f6c8-11ef-9d7c-a9d5f1138f92,75.68797,2.71178,,7.43662,,,,1.60089,2.71178,-1.04939,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:11:31.50,2025-03-01T13:11:31.5093504-05:00,2025-03-01T18:11:31.5093504Z,GroundBall,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,3f665c63-0d37-4bb8-b447-ccb64aa5692f,55.34358,-114.18322,11.87805,5.67215,2.44964,-16.27715,-2.20524,1.41332,2.48916,199.048589,1.60083,97.84486,-2.53815,,,,,,,2.71162,-28.89462,11.87661,,,,,,,-1.04943,-76.80564,11.32073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,Low,High,,,
10,2025-03-01,13:12:04.05,3,1,"Topolski, Chase",1000222089,Right,RIC_SPI,"Roche, Pat",1000156206,Right,BOC_EAG,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.18558,-0.263819,-1.111611,2304.395148,80.734614,8:45,5.5694,2.36875,5.27853,-46.82814,0.49327,-7.07827,1.41923,0.73473,71.18874,-8.796275,-2.369694,0.495108,,,,,,,,,,,,3.21937,0.74728,-2.26178,50,5.51086,2.47787,-113.36512,-2.11321,4.13222,23.37127,-31.21485,RIC_SPI,BOC_EAG,PittFieldUOR,D1,A10,20250301-PittFieldUOR-1,ae194b00-f6c8-11ef-9d7c-a9d5f1138f92,76.12969,,,6.99684,,,,,,,8fd43700-4c19-4fa1-9d38-5ec932538666,2025-03-01,18:12:04.05,2025-03-01T13:12:04.0501760-05:00,2025-03-01T18:12:04.0501760Z,,v3,471420,227,,"Arcamone, Jack",1000136497,Right,RIC_SPI,70c59eba-0d16-42c5-8c39-de2d34f342a5,55.22135,-114.43649,11.68564,5.57494,-0.68228,-15.60743,-2.37102,2.28844,2.06611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
