PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,14:06:08.50,1,1,"Palmer, Broden",825918,Right,VCU_RAM,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.6477,0.248869,-3.1719,2168.611506,238.393313,2:00,5.27531,1.55438,5.96134,-22.94702,11.01052,16.14206,3.59418,-0.04461,82.68038,-4.056495,-0.275899,0.419411,,,,,,,,,,,,-9.12686,5.90563,-1.31133,50,5.28228,6.59306,-131.54259,-0.18215,-15.99026,27.92551,-21.82741,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,3be2bb40-f6d0-11ef-9f1f-292b2d63f721,89.87,,,7.96732,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:06:08.50,2025-03-01T14:06:08.5015040-05:00,2025-03-01T19:06:08.5015040Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,41642e97-2b79-492c-a4f3-069a2edb2181,54.53642,-132.50214,13.96275,5.27565,0.56786,-10.9137,-1.54731,7.1425,-7.99513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,14:06:25.37,1,2,"Palmer, Broden",825918,Right,VCU_RAM,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.93247,-2.467591,-4.019346,2285.91579,248.420492,2:15,5.38661,1.40938,5.9001,-25.29084,8.75607,19.2697,0.98124,-0.7222,82.97174,-7.169907,-0.566151,0.419962,,,,,,,,,,,,-10.97686,5.5428,-1.09657,50,5.17324,8.41241,-131.67954,-6.55605,-19.20811,28.84365,-22.47489,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,45fa3270-f6d0-11ef-9f1f-292b2d63f721,89.75197,,,7.96072,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:06:25.37,2025-03-01T14:06:25.3793792-05:00,2025-03-01T19:06:25.3793792Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,c74f98eb-0e0d-4cd3-9ddd-bf927f69b267,54.59799,-132.68288,14.42182,5.3877,-5.77425,-11.23744,-1.40082,9.08058,-9.60406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-03-01,14:06:42.66,1,3,"Palmer, Broden",825918,Right,VCU_RAM,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,0,1,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,90.44456,-0.344117,-4.018655,2271.129607,254.340312,2:30,5.13366,1.56797,5.95486,-28.13828,6.1052,17.79934,2.4689,-0.68165,82.44382,-5.576618,-0.827964,0.421173,97.75406,7.427988,-12.451578,1421.169746,106.24719,5.75163,-28.48643,151.03255,147.83416,-16.430543,1.242835,-10.38067,3.5339,-1.25864,50,5.09038,8.47672,-131.14915,-1.75416,-18.02269,28.55596,-26.03856,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,50442b50-f6d0-11ef-9f1f-292b2d63f721,89.49401,7.26796,,8.00074,,,,1.87957,2.34034,0.94511,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:06:42.66,2025-03-01T14:06:42.6670592-05:00,2025-03-01T19:06:42.6670592Z,LineDrive,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,d1888b6d-a8c4-47af-b65c-b47fcfb163ec,54.54532,-132.13513,14.27798,5.13543,-0.85511,-13.01928,-1.56207,9.099,-9.01134,94.447075,2.14412,135.86535,-17.07068,,,,,,,2.45332,17.28012,-15.55733,,,,,,,1.06354,-32.00487,-2.6581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2025-03-01,14:07:23.67,2,1,"Palmer, Broden",825918,Right,VCU_RAM,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.75154,0.030095,-4.526335,2124.321736,259.543879,2:45,5.09369,1.5879,6.27232,-30.80821,4.22638,16.95883,2.55418,-1.18007,81.22273,-5.708681,-1.471406,0.42601,,,,,,,,,,,,-9.97918,2.5487,-1.26032,50,5.08116,9.49748,-128.69404,-0.94275,-16.76575,26.26291,-27.89202,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,68b445d0-f6d0-11ef-9f1f-292b2d63f721,88.47781,,,7.52881,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:07:23.67,2025-03-01T14:07:23.6797952-05:00,2025-03-01T19:07:23.6797952Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,9b58e954-7494-4856-a64b-f6933a943f14,54.22633,-129.55364,13.13145,5.09708,-0.02982,-13.94601,-1.58015,10.04624,-8.38288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-03-01,14:07:41.74,2,2,"Palmer, Broden",825918,Right,VCU_RAM,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.02398,1.877376,-2.543381,1667.747536,294.132996,3:45,4.95802,1.57354,5.96043,-46.14085,-4.32307,12.80957,2.85613,0.28105,74.46802,-6.64094,-0.242368,0.465427,,,,,,,,,,,,-7.30091,-2.30882,-1.37853,50,5.08189,4.77724,-118.96744,2.36181,-10.36374,24.85304,-35.45145,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,738262d0-f6d0-11ef-9f1f-292b2d63f721,80.98461,,,7.55596,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:07:41.74,2025-03-01T14:07:41.7412096-05:00,2025-03-01T19:07:41.7412096Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,982f3839-95b0-4ac6-b7be-906860169d20,54.5378,-119.91166,12.42652,4.96657,3.70869,-17.72573,-1.56751,5.17098,-5.18187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,14:08:00.50,2,3,"Palmer, Broden",825918,Right,VCU_RAM,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,1,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.66368,0.947574,-2.229302,2137.872553,259.796412,2:45,5.27658,1.62062,6.23802,-30.56317,4.69547,19.63387,3.60446,1.19937,80.58205,-4.771032,1.316545,0.42737,,,,,,,,,,,,-10.75457,2.53047,-1.46334,50,5.33243,4.20091,-128.7567,1.12874,-17.9406,28.30152,-27.95274,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,7ead6ce0-f6d0-11ef-9f1f-292b2d63f721,88.19624,,,8.08164,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:08:00.50,2025-03-01T14:08:00.5008896-05:00,2025-03-01T19:08:00.5008896Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,af59f2bd-4e5b-430f-b46f-41fb9e9f91aa,54.2598,-129.68965,14.15076,5.28003,2.0502,-13.97637,-1.61157,4.79232,-8.9703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,14:08:17.51,2,4,"Palmer, Broden",825918,Right,VCU_RAM,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,2,1,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.20812,-1.99455,-4.090371,2388.244992,224.851917,1:30,5.83163,1.11835,5.91459,-15.7771,18.52076,17.12674,2.66032,-1.25704,81.78242,-5.043386,-1.024969,0.421507,,,,,,,,,,,,-9.98465,10.45729,-0.79913,50,5.66233,8.65109,-131.86351,-5.03214,-17.27311,32.60677,-14.08328,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,88df49e0-f6d0-11ef-9f1f-292b2d63f721,89.42307,,,9.4257,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:08:17.51,2025-03-01T14:08:17.5159296-05:00,2025-03-01T19:08:17.5159296Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,d25ade26-bd3a-43f1-bdde-87d7a67d4de2,54.57897,-132.99096,16.30339,5.82791,-4.54518,-7.04164,-1.10858,9.24835,-8.63656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-03-01,14:08:36.17,2,5,"Palmer, Broden",825918,Right,VCU_RAM,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,2,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,83.1975,1.601372,-2.663084,1679.594441,290.279996,3:45,5.06137,1.79524,5.93093,-45.57715,-4.80768,16.82076,2.75101,0.72441,75.39721,-6.808979,0.357575,0.459557,63.20199,-10.751913,-13.146785,,,,,14.91073,14.20576,-14.236934,0.144998,-9.49438,-2.60103,-1.59217,50,5.16355,4.95481,-120.67925,1.84567,-13.82698,26.21491,-35.96203,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,93fac390-f6d0-11ef-9f1f-292b2d63f721,82.01916,2.81606,,7.80029,,,,1.84891,2.81606,-0.7286,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:08:36.17,2025-03-01T14:08:36.1736704-05:00,2025-03-01T19:08:36.1736704Z,GroundBall,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,db509a3c-d713-4088-8cf4-68ba3e0fb5de,54.56899,-121.66772,13.10745,5.06839,3.20167,-17.98102,-1.78883,5.47617,-6.91349,347.585917,1.84915,88.65984,-11.99057,,,,,,,2.81624,-17.30972,-14.58054,,,,,,,-0.72867,-20.7074,3.05496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
9,2025-03-01,14:09:12.82,3,1,"Palmer, Broden",825918,Right,VCU_RAM,"Jaconski, Joe",801751,Left,PEN_NIT,Undefined,1,Top,1,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.84988,0.247073,-2.609601,1568.722772,268.829893,3:00,5.05035,1.93119,5.89306,-39.9003,2.05886,17.10013,1.95496,0.93165,73.76017,-7.18636,0.460349,0.466213,,,,,,,,,,,,-9.68662,1.45732,-1.73069,50,5.04786,4.77177,-119.92096,-0.79256,-13.65571,30.08321,-30.11961,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,a9d40690-f6d0-11ef-9f1f-292b2d63f721,80.84807,,,9.08971,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:09:12.82,2025-03-01T14:09:12.8288256-05:00,2025-03-01T19:09:12.8288256Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,340156e1-b663-48c7-8362-37f88934949c,54.60174,-121.06984,15.0416,5.05617,0.35771,-15.0598,-1.92288,5.29328,-6.82785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,14:09:33.11,3,2,"Palmer, Broden",825918,Right,VCU_RAM,"Jaconski, Joe",801751,Left,PEN_NIT,Undefined,1,Top,1,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.15423,-2.487231,-4.381858,2346.687114,241.031199,2:00,5.73211,1.26258,5.98398,-21.08493,13.44379,21.77088,1.66151,-0.99249,81.30855,-6.497885,-0.478419,0.422923,,,,,,,,,,,,-12.6102,8.15827,-0.92756,50,5.5237,9.11632,-131.65285,-6.39014,-21.57155,34.54684,-18.21815,VCU_RAM,PEN_NIT,TheDiamond,D1,A10,20250301-TheDiamond-1,b5eaa920-f6d0-11ef-9f1f-292b2d63f721,89.12358,,,9.84568,,,,,,,e214c78f-db23-43ed-b19b-a8c791eb1d81,2025-03-01,19:09:33.11,2025-03-01T14:09:33.1169280-05:00,2025-03-01T19:09:33.1169280Z,,v3,471479,5326,01 March 2025 14:00-pennst@vcu,"Lee, Jacob",1000115663,Right,VCU_RAM,face8156-c5c2-4c17-8715-4551ccdf92d8,54.5105,-132.83117,17.27342,5.73106,-5.76876,-9.10908,-1.25104,9.85208,-10.78577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
