PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,12:04:42.33,1,1,"Gipson, Carson",1000213957,Right,MOU_OLV,"Cruz, Jesus",10061464,Left,EC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,Bunt,Single,0,0,,88.56257,-1.209331,-1.653139,2064.984127,218.099183,1:15,6.52116,1.2237,5.01079,-23.15986,12.673,9.28603,3.44906,0.43672,83.18577,-5.419279,-0.013221,0.430836,,,,,,,,,,,,-4.99811,6.81107,-1.07308,50,6.3863,3.31002,-128.86007,-3.605,-8.65007,19.4165,-20.38642,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,4e8e26a0-f6bf-11ef-b639-bdf8f54bb6eb,87.48676,,,5.3768,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:04:42.33,2025-03-01T12:04:42.3302144-05:00,2025-03-01T17:04:42.3302144Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,8648975f-738b-42dc-904f-6f7db3701002,55.49346,-129.68517,9.70825,6.52109,-2.73867,-10.19321,-1.22156,3.67761,-4.32503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-03-01,12:05:47.21,2,1,"Gipson, Carson",1000213957,Right,MOU_OLV,"Wollin, Brock",1000276243,Right,EC,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.16339,-2.750216,-1.423881,2067.762899,208.368487,1:00,6.76748,0.77329,4.84536,-18.18166,18.31225,9.27056,2.64571,0.19746,81.82232,-6.117249,0.208148,0.434792,54.51391,-55.418101,78.168196,,,,,2.53431,2.53431,39.168788,0.040208,-4.96469,10.1093,-0.64096,50,6.48056,2.77576,-129.22063,-6.86248,-8.43103,25.83503,-15.00652,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,754f1c40-f6bf-11ef-b639-bdf8f54bb6eb,86.6907,2.66405,,7.34107,,,,1.58826,2.66405,-0.19685,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:05:47.21,2025-03-01T12:05:47.2149504-05:00,2025-03-01T17:05:47.2149504Z,GroundBall,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,a07e9a17-f9b0-45d0-9325-701634615eb7,55.65497,-130.34632,12.91751,6.76533,-6.20861,-7.50326,-0.76991,3.14312,-4.21552,,1.58787,9.36538,,,,,,,,2.66682,-66.25593,,,,,,,,-0.19872,44.70557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
3,2025-03-01,12:06:23.32,2,2,"Gipson, Carson",1000213957,Right,MOU_OLV,"Wollin, Brock",1000276243,Right,EC,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.55257,0.024798,-2.396513,2017.61867,223.984102,1:30,6.40837,1.29356,4.95317,-23.67517,13.9943,12.3882,4.45889,0.06014,80.12631,-4.340686,-0.212749,0.441739,,,,,,,,,,,,-6.74063,7.26036,-1.07172,50,6.39172,4.73608,-126.96048,-0.81622,-11.04827,24.97265,-20.27391,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,8ab6d8c0-f6bf-11ef-b639-bdf8f54bb6eb,85.32734,,,7.42626,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:06:23.32,2025-03-01T12:06:23.3210368-05:00,2025-03-01T17:06:23.3210368Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,38223012-75bb-45bb-8946-748a9f5d0cfd,55.54606,-128.04673,12.48633,6.40804,0.06564,-10.13695,-1.28818,5.21665,-5.52414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-03-01,12:07:00.52,2,3,"Gipson, Carson",1000213957,Right,MOU_OLV,"Wollin, Brock",1000276243,Right,EC,Undefined,1,Top,0,1,1,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,80.54206,-0.470509,-2.268772,2283.792038,61.295622,8:00,5.90012,1.65152,4.52735,-45.99711,-1.76299,-5.08374,1.61859,-0.93386,76.03186,-8.625725,-3.159009,0.478685,100.45763,-0.275588,16.538097,2756.999537,,,,45.56876,44.09316,19.681663,0.307535,2.0528,-0.53,-1.40942,50,5.80644,4.85436,-117.10388,-2.75675,2.92617,16.60806,-32.92957,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,a0e9ad70-f6bf-11ef-b639-bdf8f54bb6eb,78.74158,1.76759,,4.5102,,,,1.96204,1.76759,0.96929,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:07:00.52,2025-03-01T12:07:00.5244416-05:00,2025-03-01T17:07:00.5244416Z,GroundBall,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,678e08d5-b14e-4216-a490-e59140450ff6,55.97785,-117.94864,8.30403,5.90406,-1.08182,-16.46478,-1.65255,4.70553,1.46309,,1.96605,141.06852,-25.87183,,,,,,,1.76969,-0.79973,-16.136,,,,,,,0.96204,42.25436,14.77645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-03-01,12:07:37.74,3,1,"Gipson, Carson",1000213957,Right,MOU_OLV,"Mokris, Landon",1000307891,Right,EC,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.97983,0.993933,-2.999851,1970.164083,267.881598,3:00,6.02992,1.6954,4.74873,-40.15018,2.17752,23.25052,3.62817,0.78511,76.02458,-6.263433,1.082948,0.468256,,,,,,,,,,,,-12.18473,1.20736,-1.41525,50,6.09455,5.25341,-120.28013,0.52568,-17.89724,22.75404,-30.40065,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,b711acb0-f6bf-11ef-b639-bdf8f54bb6eb,80.4953,,,6.95525,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:07:37.74,2025-03-01T12:07:37.7459712-05:00,2025-03-01T17:07:37.7459712Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,f02e1d60-43f1-4269-be16-cbd128e90e77,55.75362,-121.36369,11.37702,6.03505,1.97338,-15.20033,-1.68571,6.10569,-8.94862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-03-01,12:07:57.92,3,2,"Gipson, Carson",1000213957,Right,MOU_OLV,"Mokris, Landon",1000307891,Right,EC,Undefined,1,Top,0,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,75.4313,1.951834,-0.341686,2389.417853,89.564538,9:00,6.29033,1.6127,4.18401,-50.46853,1.33575,-13.77894,3.95584,0.13701,69.8972,-7.037125,-2.738066,0.518029,,,,,,,,,,,,6.54075,0.61189,-1.55954,50,6.45258,1.24378,-109.43616,1.81066,8.02656,17.15889,-31.42316,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,c31cdd90-f6bf-11ef-b639-bdf8f54bb6eb,72.76123,,,5.5341,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:07:57.92,2025-03-01T12:07:57.9249664-05:00,2025-03-01T17:07:57.9249664Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,972e8ed9-dcf9-4e92-9609-58733e303db6,56.31817,-110.42237,8.57944,6.29661,3.6167,-15.71158,-1.61777,0.78246,4.01328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-03-01,12:08:38.67,3,3,"Gipson, Carson",1000213957,Right,MOU_OLV,"Mokris, Landon",1000307891,Right,EC,Undefined,1,Top,0,2,0,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,83.38571,0.533599,-3.887464,2079.565726,248.368995,2:15,5.97165,1.87892,4.71318,-30.95813,11.03473,24.51304,3.89942,0.22649,76.28375,-5.110053,0.406671,0.466401,63.9238,62.027525,-23.594016,,,,,,37.14754,,,-13.16339,5.63382,-1.50881,50,5.99844,7.12074,-120.7776,-0.0307,-19.51511,22.71461,-23.82173,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,db750340-f6bf-11ef-b639-bdf8f54bb6eb,80.8156,64.68874,,7.10196,,,,1.66874,3.82923,-0.2165,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:08:38.67,2025-03-01T12:08:38.6771456-05:00,2025-03-01T17:08:38.6771456Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,7c607625-727c-44b7-9d39-5ba938fc11a7,55.78981,-121.86162,11.35731,5.97278,1.10616,-11.91087,-1.87086,8.05207,-9.75756,169.390495,1.66874,40.29926,-11.88221,4.02022,-0.99175,0.20141,-0.01776,-0.00948,0.00322,3.82923,82.80166,-24.18547,2.30666,-0.30541,-0.00553,0.02944,-0.01636,0.00356,-0.2165,-17.60131,2.1332,-0.48207,0.07817,-0.00619,-0.00529,0.00374,-0.00085,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-03-01,12:09:16.61,4,1,"Gipson, Carson",1000213957,Right,MOU_OLV,"Beall, Hayden",1000276244,Left,EC,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.82877,-1.886669,-1.484628,2095.464827,230.126244,1:45,6.59426,1.32237,4.5996,-22.5097,13.4869,14.90087,2.92286,1.15181,83.00261,-5.98164,1.127399,0.431819,,,,,,,,,,,,-7.65071,7.37067,-1.18387,50,6.37919,2.65103,-130.33355,-5.19583,-13.31426,24.38373,-19.34711,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,f210abe0-f6bf-11ef-b639-bdf8f54bb6eb,87.28754,,,6.82616,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:09:16.61,2025-03-01T12:09:16.6183936-05:00,2025-03-01T17:09:16.6183936Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,3645ae19-1faf-46fb-950a-25c7ab43db2b,55.9017,-131.43305,12.19187,6.59381,-4.32344,-9.67356,-1.31694,3.25139,-6.65713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-03-01,12:09:35.94,4,2,"Gipson, Carson",1000213957,Right,MOU_OLV,"Beall, Hayden",1000276244,Left,EC,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.32689,0.821263,-0.942571,2017.272756,235.244435,1:45,6.39614,1.50119,4.53291,-25.87789,12.26953,16.12828,5.02183,1.94759,80.48481,-3.886478,1.879649,0.444533,,,,,,,,,,,,-8.06308,6.1067,-1.41898,50,6.45779,1.30621,-126.76027,0.78719,-13.27211,23.08187,-22.12219,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,fd9e2140-f6bf-11ef-b639-bdf8f54bb6eb,84.79107,,,6.84208,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:09:35.94,2025-03-01T12:09:35.9468032-05:00,2025-03-01T17:09:35.9468032Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,c9c0ee5b-ad0f-4111-b7c8-0c3a7df7a4fb,55.96775,-127.84232,11.54093,6.39658,1.82426,-11.0611,-1.49479,1.9284,-6.63606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-03-01,12:09:58.63,4,3,"Gipson, Carson",1000213957,Right,MOU_OLV,"Beall, Hayden",1000276244,Left,EC,Undefined,1,Top,1,1,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.44306,-2.041831,-3.919302,2041.20151,233.172427,1:45,6.31617,1.4378,5.01899,-23.75281,11.95501,14.64209,2.40448,-1.04661,82.98219,-6.374347,-1.339712,0.430084,,,,,,,,,,,,-8.2063,6.71374,-1.07423,50,6.10099,8.21258,-129.66188,-5.54146,-14.20233,22.89401,-20.5548,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,0b25b8f0-f6c0-11ef-b639-bdf8f54bb6eb,87.63977,,,6.46087,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:09:58.63,2025-03-01T12:09:58.6369024-05:00,2025-03-01T17:09:58.6369024Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,c3756d88-8a69-4a20-844b-4787bea1d495,55.48361,-130.62652,11.447,6.31624,-4.67539,-10.2774,-1.43287,8.81099,-7.10116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
11,2025-03-01,12:10:22.91,4,4,"Gipson, Carson",1000213957,Right,MOU_OLV,"Beall, Hayden",1000276244,Left,EC,Undefined,1,Top,1,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.77186,-0.00075,-0.963952,2064.300367,227.629481,1:30,6.54462,1.521,4.67426,-23.47399,13.2343,13.36583,4.58774,1.71921,81.87519,-4.288681,1.381388,0.436067,,,,,,,,,,,,-6.76811,6.80099,-1.43557,50,6.52375,1.52359,-128.89201,-0.92321,-11.51993,23.83081,-20.59814,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,198b2d80-f6c0-11ef-b639-bdf8f54bb6eb,86.43721,,,6.89667,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:10:22.91,2025-03-01T12:10:22.9176320-05:00,2025-03-01T17:10:22.9176320Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,4d21e244-6428-45af-bccd-d0d61040b176,55.82629,-129.96476,11.9154,6.54444,0.00403,-10.29907,-1.51583,2.04217,-5.75996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2025-03-01,12:10:44.34,4,5,"Gipson, Carson",1000213957,Right,MOU_OLV,"Beall, Hayden",1000276244,Left,EC,Undefined,1,Top,1,3,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.60244,0.756118,0.200962,2335.422677,76.229094,8:30,6.41649,1.43137,4.13807,-53.68286,-1.75662,-13.47713,2.66817,0.50103,69.90306,-8.775609,-2.145036,0.518639,,,,,,,,,,,,6.53378,-0.58642,-1.43836,50,6.44303,0.19608,-109.66406,-0.6186,7.99702,18.47286,-32.89177,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,2651bf20-f6c0-11ef-b639-bdf8f54bb6eb,72.67572,,,5.69938,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:10:44.34,2025-03-01T12:10:44.3491328-05:00,2025-03-01T17:10:44.3491328Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,7da324fb-15f0-4885-bc9e-e825abe5eb52,56.36429,-110.73093,9.23643,6.4239,1.28101,-16.44589,-1.43635,-0.26578,3.99851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
13,2025-03-01,12:11:06.69,4,6,"Gipson, Carson",1000213957,Right,MOU_OLV,"Beall, Hayden",1000276244,Left,EC,Undefined,1,Top,1,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,1,0,,89.28104,-1.440592,-1.880029,2130.4208,228.228048,1:30,6.62496,1.29882,4.98572,-22.68938,13.2095,13.63729,3.37278,0.65927,82.49082,-5.599617,0.526729,0.431233,,,,,,,,,,,,-7.20351,7.21406,-1.12915,50,6.46779,3.6155,-129.60719,-4.11843,-12.4011,24.02145,-19.75482,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,3398f270-f6c0-11ef-b639-bdf8f54bb6eb,87.40624,,,6.79021,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:11:06.69,2025-03-01T12:11:06.6920000-05:00,2025-03-01T17:11:06.6920000Z,,v3,,10000011,,"Kenney, Mike",1000080580,Right,MOU_OLV,e9528140-c8f0-41e5-a0ba-e8f79f297fcb,55.51519,-130.62538,12.01073,6.62461,-3.28109,-9.87741,-1.29354,4.14114,-6.20055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.38137,1.702913,0.88448,0.818433,-1.66754,3.06313,-0.69133,0.15302,4.80193,-4.51562,65.17573,3.97852,-59.60354,0.16085,82.34183,-3.55869,4.80862,9.12671,-12.40072,-4.54959,-74.69443,9.12096,High,High,High,,,High,Medium,Medium
14,2025-03-01,12:13:54.34,1,1,"Pirkle, Hunter",10141110,Right,EC,"McLean, Lane",1000214025,Right,MOU_OLV,Undefined,1,Bottom,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.17743,-2.012308,-4.224754,2192.544795,236.690526,2:00,5.42965,2.56438,5.31723,-23.79446,13.57044,18.57221,1.55223,0.13977,79.60415,-6.444068,-0.935395,0.43995,,,,,,,,,,,,-10.72497,7.82721,-2.19529,50,5.23002,8.59481,-127.46057,-5.31718,-17.4118,29.41064,-19.46672,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,97d46e90-f6c0-11ef-b639-bdf8f54bb6eb,85.67438,,,8.57327,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:13:54.34,2025-03-01T12:13:54.3447040-05:00,2025-03-01T17:13:54.3447040Z,,v3,,10000011,,"Madrigal, Nicholas",1000324267,Right,EC,cbcbb8fe-80e3-4db2-8e15-a120a9a3b0a5,55.18318,-128.65099,14.70532,5.42929,-4.52924,-9.73336,-2.55744,9.29957,-8.7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
15,2025-03-01,12:14:08.17,1,2,"Pirkle, Hunter",10141110,Right,EC,"McLean, Lane",1000214025,Right,MOU_OLV,Undefined,1,Bottom,0,0,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.31902,-0.113816,-4.835653,2193.850754,233.856574,1:45,5.55317,2.47688,5.21008,-24.23911,14.01229,17.29477,3.42583,-0.6402,78.65139,-4.631681,-1.785012,0.445138,75.1447,68.973538,70.363261,5469.850749,,,,,21.10986,,,-10.12926,7.41477,-2.04236,50,5.52493,9.88783,-126.14585,-1.09536,-16.13296,28.42916,-20.36446,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,9fd27ba0-f6c0-11ef-b639-bdf8f54bb6eb,84.67578,54.30814,,8.66763,,,,0.85305,3.37985,0.65762,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:14:08.17,2025-03-01T12:14:08.1787904-05:00,2025-03-01T17:14:08.1787904Z,,v3,,10000011,,"Madrigal, Nicholas",1000324267,Right,EC,e5a59c2e-ba38-41d1-9b2f-334fcf5b735c,55.2886,-127.33215,14.21458,5.55291,-0.24559,-10.18223,-2.46901,10.56103,-8.06648,,0.85305,13.28897,-6.3223,1.2327,-0.25943,0.0594,-0.01481,0.00318,-0.00046,3.37985,102.87355,-29.78121,4.21425,-0.98698,0.22575,-0.05619,0.01407,-0.0026,0.65762,37.24419,-8.37259,2.01685,-0.45434,0.10524,-0.02702,0.00752,-0.00167,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
16,2025-03-01,12:14:28.62,1,3,"Pirkle, Hunter",10141110,Right,EC,"McLean, Lane",1000214025,Right,MOU_OLV,Undefined,1,Bottom,0,0,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.72666,-1.714757,-6.063079,2499.426184,213.226967,1:00,5.36503,2.82045,4.63249,-29.1425,9.22067,5.25709,1.29697,-2.52595,80.55716,-6.969886,-5.14948,0.445788,,,,,,,,,,,,-4.2167,5.30977,-2.20154,50,5.1617,13.19385,-126.5243,-4.97282,-6.86188,24.87694,-23.53343,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,ac10f180-f6c0-11ef-b639-bdf8f54bb6eb,84.55232,,,7.16949,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:14:28.62,2025-03-01T12:14:28.6295040-05:00,2025-03-01T17:14:28.6295040Z,,v3,,10000011,,"Madrigal, Nicholas",1000324267,Right,EC,f163bd76-e596-454e-bd5d-f513612c4a3f,55.86855,-127.67295,12.43847,5.36623,-3.8862,-11.76672,-2.81805,13.51069,-3.43094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
17,2025-03-01,12:14:43.33,1,4,"Pirkle, Hunter",10141110,Right,EC,"McLean, Lane",1000214025,Right,MOU_OLV,Undefined,1,Bottom,0,1,2,Fastball,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.69128,-0.766518,-5.418395,2524.296715,212.223752,1:00,5.47019,2.67426,4.58616,-31.86525,8.29973,4.44528,2.08225,-2.12522,78.65412,-6.511743,-4.645359,0.456137,,,,,,,,,,,,-3.61886,4.62296,-2.11697,50,5.36125,11.53055,-123.74668,-2.92687,-5.63496,23.72754,-24.97561,MOU_OLV,EC,UofMountOlive,D2,CC,20250301-UofMountOlive-1,b4c7c740-f6c0-11ef-b639-bdf8f54bb6eb,82.63405,,,7.03716,,,,,,,0c678540-b458-414a-81d8-d5bf4ce7f65e,2025-03-01,17:14:43.33,2025-03-01T12:14:43.3318400-05:00,2025-03-01T17:14:43.3318400Z,,v3,,10000011,,"Madrigal, Nicholas",1000324267,Right,EC,5f1a4f18-22ca-4229-af43-0108de68ab6b,55.91379,-124.87546,11.86377,5.47223,-1.73871,-12.48781,-2.67188,11.79863,-2.81748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
