PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,14:04:52.89,1,1,"Miller, Kyle",1000157280,Right,LON_LAN,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.93049,-0.965776,-4.631161,2175.692836,255.682134,2:30,4.81954,2.68281,5.01946,-30.97632,6.63567,21.11226,1.32369,0.06212,80.17141,-6.618516,-0.914578,0.441402,,,,,,,,,,,,-11.79757,3.91984,-2.25632,50,4.70193,9.33211,-127.19026,-3.34873,-19.2897,26.54634,-25.76488,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,f44d5e00-22c8-11f0-90af-2580ac2502dd,85.39253,,,7.75908,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:04:52.89,2025-04-26T14:04:52.8967680-04:00,2025-04-26T18:04:52.8967680Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,d4eda240-667f-4117-bbce-9c43ab535beb,55.4811,-128.32914,13.27317,4.82188,-2.24338,-12.88244,-2.67444,10.15967,-9.64485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,14:05:09.08,1,2,"Miller, Kyle",1000157280,Right,LON_LAN,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,1,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.56146,0.351066,-5.733189,2111.71552,261.464585,2:45,4.77179,2.66023,4.96972,-33.48057,4.35032,21.17552,2.31503,-1.00877,80.21228,-5.725467,-2.021259,0.442685,,,,,,,,,,,,-11.94064,2.41602,-2.12256,50,4.77844,11.72451,-126.55395,-0.5412,-19.48887,24.28031,-28.23075,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,fde2fb00-22c8-11f0-90af-2580ac2502dd,85.14511,,,7.34918,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:05:09.08,2025-04-26T14:05:09.0848256-04:00,2025-04-26T18:05:09.0848256Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,356c9a8c-4280-45f6-8345-784973467757,55.53155,-127.61081,12.14015,4.77526,0.68761,-14.11538,-2.65136,12.57281,-9.74444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,14:05:26.46,1,3,"Miller, Kyle",1000157280,Right,LON_LAN,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.58187,0.752808,-3.90742,1565.097324,277.095782,3:15,4.8933,2.85684,5.50906,-44.92463,-0.98417,19.51781,1.85527,0.82354,73.55871,-7.463796,-0.434719,0.477094,,,,,,,,,,,,-10.96536,-0.27665,-2.52895,50,4.9289,7.18863,-116.76384,-0.01016,-15.07518,22.84261,-32.5544,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,085eb240-22c9-11f0-90af-2580ac2502dd,79.00427,,,7.02315,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:05:26.46,2025-04-26T14:05:26.4693760-04:00,2025-04-26T18:05:26.4693760Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,174bd027-da17-4895-9148-240d0de834ef,54.99198,-117.73638,11.4213,4.89983,1.37586,-16.2772,-2.84867,7.83046,-7.53759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,14:05:46.27,1,4,"Miller, Kyle",1000157280,Right,LON_LAN,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,1,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.46923,-0.817971,-5.4714,2184.1785,262.337452,2:45,4.91451,2.57353,4.98998,-32.13758,4.21032,22.53111,1.46044,-0.73091,81.7301,-6.658023,-1.514522,0.433921,,,,,,,,,,,,-12.75387,2.62106,-2.06478,50,4.80912,11.34527,-129.31766,-3.1352,-21.61641,26.74219,-27.73166,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,141bc320-22c9-11f0-90af-2580ac2502dd,86.86465,,,7.73913,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:05:46.27,2025-04-26T14:05:46.2788096-04:00,2025-04-26T18:05:46.2788096Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,102eb243-f75c-478b-a5e6-4e5b0cd4c746,55.51214,-130.45257,13.37109,4.9172,-1.9583,-13.86583,-2.56573,12.26264,-10.80821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,14:06:15.21,1,5,"Miller, Kyle",1000157280,Right,LON_LAN,"Natividad, Gabriel",1000235635,Right,WIN_EAG,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,81.41972,0.913153,-4.353814,1602.376216,278.701886,3:15,4.82053,2.60513,5.71199,-43.37809,-1.12484,15.38926,2.05894,-0.1764,75.14169,-7.019998,-1.609268,0.467844,83.74776,-12.316614,-14.829061,,,,,12.19277,11.57955,-11.305627,0.082393,-9.01453,-0.50268,-2.25012,50,4.86971,8.40394,-118.09722,0.43709,-12.83357,20.79321,-32.8897,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,25625ea0-22c9-11f0-90af-2580ac2502dd,80.5662,2.16314,,6.27802,,,,2.3789,2.16314,0.14532,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:06:15.21,2025-04-26T14:06:15.2103936-04:00,2025-04-26T18:06:15.2103936Z,GroundBall,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,235b9b15-40f0-4d6e-96e8-80378ec75a43,54.79113,-118.9378,10.3966,4.82517,1.76668,-16.44485,-2.60034,8.92275,-6.41678,180,2.37582,116.23847,,,,,,,,2.16384,-26.25381,,,,,,,,0.14614,-30.77461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-04-26,14:06:50.84,2,1,"Miller, Kyle",1000157280,Right,LON_LAN,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.18868,-0.228158,-6.145145,2169.877522,245.961217,2:15,4.85747,2.53506,5.1164,-27.81986,9.23792,18.19072,2.32298,-1.76023,80.95193,-5.312869,-2.953615,0.438138,,,,,,,,,,,,-10.77906,4.95799,-1.97008,50,4.81421,12.92483,-127.43773,-1.55303,-17.86976,24.20355,-23.95457,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,3a841170-22c9-11f0-90af-2580ac2502dd,86.02865,,,7.23675,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:06:50.84,2025-04-26T14:06:50.8431360-04:00,2025-04-26T18:06:50.8431360Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,2d215864-93a4-41b8-aa58-924e88b3ee3b,55.38647,-128.45667,12.10177,4.85836,-0.54457,-11.97729,-2.53004,13.67713,-8.93488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-26,14:07:11.91,2,2,"Miller, Kyle",1000157280,Right,LON_LAN,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,1,1,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.28892,1.44476,-3.177122,2073.002479,252.63841,2:30,4.94386,2.7149,5.06459,-30.68836,6.83433,18.43493,3.7512,1.25226,80.35923,-4.153902,0.0749,0.440878,,,,,,,,,,,,-9.91461,3.37047,-2.42806,50,5.05704,6.18812,-126.62597,2.02052,-16.28133,23.0923,-26.63922,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,47092d40-22c9-11f0-90af-2580ac2502dd,85.49404,,,6.92969,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:07:11.91,2025-04-26T14:07:11.9150080-04:00,2025-04-26T18:07:11.9150080Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,d8c979bc-4194-4d47-be5c-66055d8e6db8,55.43646,-127.61354,11.54615,4.94627,3.15978,-13.31961,-2.70759,6.88441,-8.14066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-26,14:07:31.66,2,3,"Miller, Kyle",1000157280,Right,LON_LAN,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,1,2,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.714,0.704519,-4.964514,2144.523627,265.344132,2:45,4.9103,2.62056,5.0368,-33.72911,2.7989,21.18722,2.76673,-0.30919,81.60619,-5.413892,-1.238804,0.434995,82.14574,3.165355,-64.902538,1865.634693,,,,102.89213,93.10607,-69.900196,0.986865,-11.75843,1.52858,-2.16332,50,4.95062,10.18148,-128.45678,0.24139,-19.84901,24.05114,-29.59368,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,52d53240-22c9-11f0-90af-2580ac2502dd,86.65025,3.72545,,7.10781,,,,-0.12459,2.61805,0.34109,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:07:31.66,2025-04-26T14:07:31.6676096-04:00,2025-04-26T18:07:31.6676096Z,GroundBall,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,40cbbef3-c1c4-4ce8-be25-19f3b670b242,55.46561,-129.47606,12.02557,4.91381,1.49557,-14.79684,-2.61264,11.02268,-9.9245,,-0.12459,51.02484,-16.91883,1.87957,-0.21372,-0.00375,0.00937,-0.00267,0.00035,2.61805,6.65265,-10.32544,1.05667,-0.19973,0.06207,-0.01536,0.0029,-0.00033,0.34109,-108.93893,13.53134,-3.43755,0.86052,-0.1908,0.03753,-0.00633,0.00065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Medium,,,
9,2025-04-26,14:08:01.02,2,4,"Miller, Kyle",1000157280,Right,LON_LAN,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,1,2,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.51174,1.425046,-3.138112,2234.624583,269.259446,3:00,4.88774,2.49144,5.00601,-34.66762,1.43984,23.11993,3.34624,1.4529,81.66421,-4.881343,0.938255,0.432484,,,,,,,,,,,,-12.25512,0.68173,-2.20934,50,4.99679,6.00832,-129.73185,1.81932,-20.89948,26.97299,-31.01147,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,64524710-22c9-11f0-90af-2580ac2502dd,87.1534,,,7.84752,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:08:01.02,2025-04-26T14:08:01.0233856-04:00,2025-04-26T18:08:01.0233856Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,0c216035-0d49-454f-a0d1-f21ff2779742,55.49499,-130.86934,13.48649,4.89249,3.12713,-15.50574,-2.48131,6.88969,-10.44974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,14:08:20.94,2,5,"Miller, Kyle",1000157280,Right,LON_LAN,"Hernandez, Jaylen",1000193856,Left,WIN_EAG,Undefined,1,Top,1,3,1,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.73344,0.139483,-5.452438,2092.077364,249.453788,2:15,4.87521,2.64011,5.12791,-27.59391,9.0652,21.09631,2.70768,-0.75266,81.06508,-4.921279,-1.741876,0.435775,,,,,,,,,,,,-11.89292,4.82051,-2.14367,50,4.86718,11.26436,-128.29269,-0.73183,-19.90883,25.44423,-24.1045,LON_LAN,WIN_EAG,BuddyBoldingStadium,D1,BSOU,20250426-BuddyBoldingStadium-1,7039c350-22c9-11f0-90af-2580ac2502dd,86.49515,,,7.66835,,,,,,,9f2555db-5464-441d-8a00-91a8f474d2c3,2025-04-26,18:08:20.94,2025-04-26T14:08:20.9423872-04:00,2025-04-26T18:08:20.9423872Z,,v3,471338,471494,,"Urbaniak, Mikey",1000361728,Right,LON_LAN,e073f179-116f-4fd7-a9f7-5b61c4f6c2f6,55.37229,-129.35379,12.72211,4.87674,0.2734,-12.05225,-2.63074,12.09461,-9.95441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
