PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,15:02:28.24,1,1,"King, Aidan",827404,Right,FLA_GAT,"Davalan, Charles",804560,Left,ARK_RAZ,Undefined,1,Top,0,0,0,FourSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.23681,-2.082308,-3.659952,2119.439141,224.280946,1:30,5.68072,1.44577,5.49792,-17.54277,15.92847,14.4695,2.26629,-0.77646,84.16609,-5.379031,-1.088299,0.416397,,,,,,,,,,,,-8.28894,8.93071,-1.13535,50,5.48663,7.87536,-133.58649,-5.45291,-14.98057,28.73583,-16.03358,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,921cde00-22d1-11f0-854c-73f8c4f75462,90.52048,,,8.07072,,,,,,,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:02:28.24,2025-04-26T15:02:28.2459648-04:00,2025-04-26T19:02:28.2459648Z,,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,91b65be2-1594-4f4e-a653-cbcc485b32ab,55.00014,-134.65778,14.36791,5.67878,-4.85517,-8.01679,-1.43936,8.43385,-7.49029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,15:02:40.76,1,2,"King, Aidan",827404,Right,FLA_GAT,"Davalan, Charles",804560,Left,ARK_RAZ,Undefined,1,Top,0,0,1,Splitter,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.82493,-0.682989,-2.537311,806.077378,273.818315,3:15,5.48521,1.49936,5.41676,-39.3286,0.35933,13.93658,1.56737,0.2823,77.62569,-7.86021,-0.055861,0.45342,,,,,,,,,,,,-7.73961,0.76965,-1.28382,50,5.3971,4.85775,-123.03606,-2.90633,-11.81977,25.25702,-30.99867,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,99976330-22d1-11f0-854c-73f8c4f75462,83.12921,,,7.19923,,,,,,,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:02:40.76,2025-04-26T15:02:40.7624704-04:00,2025-04-26T19:02:40.7624704Z,,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,d92a2d76-f6ab-4936-9bf8-9960e702b868,55.08261,-124.07504,12.62851,5.49043,-1.63116,-15.49934,-1.49365,5.34397,-5.90989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,15:02:54.02,1,3,"King, Aidan",827404,Right,FLA_GAT,"Davalan, Charles",804560,Left,ARK_RAZ,Undefined,1,Top,0,0,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.86412,-1.270514,-2.150164,2205.225312,217.399652,1:15,5.57787,1.44601,5.23693,-17.12584,16.658,11.94965,2.95551,0.4199,84.26788,-4.472945,-0.032842,0.418337,75.11081,47.007913,-138.15022,4266.821317,,,,,58.08513,,,-6.56217,8.98178,-1.25755,50,5.44856,4.45074,-133.31505,-3.5567,-11.87533,27.1756,-15.92005,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,a178e790-22d1-11f0-854c-73f8c4f75462,90.10074,49.66442,,7.59624,,,,0.5542,2.62183,-0.2352,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:02:54.02,2025-04-26T15:02:54.0243968-04:00,2025-04-26T19:02:54.0243968Z,,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,f76d4b1c-4f6d-4137-841a-4c9b20b1160a,55.26255,-134.38351,13.5878,5.5761,-2.93078,-7.96003,-1.44171,4.91764,-5.93766,30.002345,0.5542,-55.956,-2.6906,1.93219,-0.26406,-1.40724,3.28354,-3.10515,1.08395,2.62183,80.57809,-30.45338,4.05745,-0.60694,-1.01428,2.32286,-2.1178,0.72085,-0.2352,-50.11818,8.12119,-1.34154,0.12491,0.43537,-0.89389,0.7919,-0.26501,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
4,2025-04-26,15:03:10.89,1,4,"King, Aidan",827404,Right,FLA_GAT,"Davalan, Charles",804560,Left,ARK_RAZ,Undefined,1,Top,0,0,2,Splitter,Splitter,InPlay,Undefined,GroundBall,Single,0,0,,85.34852,-0.378431,-1.471636,860.372757,259.937119,2:45,5.63629,1.37451,5.32864,-36.75333,2.20122,5.88689,2.2183,0.48393,78.68729,-7.073909,-0.425059,0.449211,100.49368,-11.138885,-19.383299,,,,,12.45732,12.45732,-19.794624,0.080822,-3.36606,1.5141,-1.24598,50,5.57533,2.93686,-123.97344,-2.16989,-5.26504,23.61632,-29.80579,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,ab8c8e30-22d1-11f0-854c-73f8c4f75462,83.90807,2.14722,,6.66123,,,,0.8402,2.14722,-0.44358,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:03:10.89,2025-04-26T15:03:10.8924928-04:00,2025-04-26T19:03:10.8924928Z,GroundBall,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,795d1351-a447-40e7-b497-1771be83f8b0,55.17197,-124.95479,11.80816,5.63976,-0.93134,-14.90289,-1.37257,3.15564,-2.63252,193.142807,0.84026,136.40819,-22.01534,,,,,,,2.14692,-28.42408,23.06567,,,,,,,-0.44367,-47.97885,15.74412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-04-26,15:03:49.36,2,1,"King, Aidan",827404,Right,FLA_GAT,"Aloy, Wehiwa",814450,Right,ARK_RAZ,Undefined,1,Top,0,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.54411,-0.769055,-1.424768,2568.394951,108.686197,9:30,5.45123,1.7128,5.41204,-39.23892,2.81575,-5.11496,1.46056,-0.04852,76.24814,-7.884652,-2.335593,0.466744,,,,,,,,,,,,2.27335,1.90146,-1.58233,50,5.35497,3.151,-118.60235,-2.95647,3.29452,18.97778,-29.41846,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,c27a9c90-22d1-11f0-854c-73f8c4f75462,80.75616,,,5.29597,,,,,,,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:03:49.36,2025-04-26T15:03:49.3663232-04:00,2025-04-26T19:03:49.3663232Z,,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,07f6c349-328a-41cc-b7a6-e30bda5b0f45,55.08972,-119.41399,9.48889,5.45451,-1.69831,-14.70923,-1.71408,3.0101,1.64726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-26,15:04:07.03,2,2,"King, Aidan",827404,Right,FLA_GAT,"Aloy, Wehiwa",814450,Right,ARK_RAZ,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,80.24716,-0.684611,-2.101237,2559.536623,59.614757,8:00,5.43062,1.72142,5.04265,-46.15739,-2.17532,-5.5815,0.93791,-0.7267,75.35773,-8.954963,-3.088304,0.47732,42.56236,-43.386176,-44.926149,,,,,4.25059,3.53078,-5.09184,0.033822,2.3413,-0.67839,-1.51619,50,5.32757,4.50342,-116.67259,-3.07274,3.28905,18.01114,-33.12706,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,cd034c20-22d1-11f0-854c-73f8c4f75462,78.96689,1.4588,,4.88943,,,,3.14107,1.4588,0.71268,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:04:07.03,2025-04-26T15:04:07.0363648-04:00,2025-04-26T19:04:07.0363648Z,GroundBall,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,57496f31-ff05-4e67-98bc-a7959b064b90,55.46057,-117.51253,9.00557,5.43485,-1.52787,-16.56353,-1.72263,4.35004,1.64452,,3.14005,32.3087,,,,,,,,1.46017,-43.13177,,,,,,,,0.7137,-32.22552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
7,2025-04-26,15:04:45.42,3,1,"King, Aidan",827404,Right,FLA_GAT,"Aloy, Kuhio",1000272673,Right,ARK_RAZ,Undefined,1,Top,1,0,0,Splitter,Splitter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.13172,-0.585068,-2.472077,802.298992,300.196318,4:00,5.81525,1.34698,5.35536,-40.14943,-0.57441,3.22079,1.92023,-0.70448,77.80829,-7.899173,-1.899507,0.452775,,,,,,,,,,,,-2.34382,0.27744,-1.12697,50,5.73401,5.19006,-123.43252,-2.752,-3.59553,25.86592,-31.74845,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,e3e5c1c0-22d1-11f0-854c-73f8c4f75462,83.2477,,,7.32342,,,,,,,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:04:45.42,2025-04-26T15:04:45.4277632-04:00,2025-04-26T19:04:45.4277632Z,,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,d38e7914-1500-4e9f-9a71-43b4f294f8cd,55.14308,-124.50561,12.93296,5.82086,-1.43486,-15.87423,-1.34538,5.33922,-1.79777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-26,15:05:04.08,3,2,"King, Aidan",827404,Right,FLA_GAT,"Aloy, Kuhio",1000272673,Right,ARK_RAZ,Undefined,1,Top,1,0,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,79.30835,0.254392,-1.192492,2514.877905,45.133016,7:30,5.45373,1.80562,5.17935,-51.9879,-6.69563,-8.02493,1.36082,0.01468,73.60803,-9.113683,-2.616685,0.484377,56.16206,-36.870896,-54.561636,,,,,4.07071,3.31476,-23.689571,0.029748,3.7454,-3.14606,-1.6882,50,5.43696,2.71461,-115.25795,-1.33593,5.06702,20.27699,-36.43026,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,ef0225d0-22d1-11f0-854c-73f8c4f75462,77.81636,1.47521,,5.70032,,,,2.58724,1.47521,-0.03304,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:05:04.08,2025-04-26T15:05:04.0809984-04:00,2025-04-26T19:05:04.0809984Z,GroundBall,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,cf03d082-02d7-4140-9e51-bff44702b78e,55.32365,-116.19075,10.13849,5.45987,0.33997,-18.21513,-1.80772,2.48151,2.53351,,2.58663,38.33727,,,,,,,,1.47601,-49.59065,,,,,,,,-0.03217,-53.86935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-04-26,15:05:38.37,4,1,"King, Aidan",827404,Right,FLA_GAT,"Boles, Carson",10010152,Right,ARK_RAZ,Undefined,1,Top,2,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.70298,-1.071964,-3.220738,2575.030969,145.884395,10:45,5.53624,1.78075,5.24248,-41.199,3.64272,-1.58906,1.09383,-1.38175,73.93311,-8.527377,-3.502182,0.481962,,,,,,,,,,,,-0.02492,2.47264,-1.4833,50,5.40673,6.56894,-115.61255,-3.59594,-0.03402,19.98624,-28.80139,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,03782f50-22d2-11f0-854c-73f8c4f75462,78.20631,,,5.76987,,,,,,,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:05:38.37,2025-04-26T15:05:38.3700480-04:00,2025-04-26T19:05:38.3700480Z,,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,c49ab14d-8689-405d-b240-4725ff18a034,55.25767,-116.51791,9.99312,5.54008,-2.29125,-14.4007,-1.7809,6.57048,-0.01701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,15:05:58.40,4,2,"King, Aidan",827404,Right,FLA_GAT,"Boles, Carson",10010152,Right,ARK_RAZ,Undefined,1,Top,2,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.52684,-2.89152,-3.195149,2156.102013,219.678172,1:15,5.74734,1.36943,5.49213,-16.59005,16.54367,12.8632,1.65344,-0.55066,84.87235,-6.002396,-0.907448,0.414292,,,,,,,,,,,,-7.32815,9.42532,-1.09844,50,5.48265,6.89241,-134.05386,-7.33463,-13.39716,27.7138,-14.94287,FLA_GAT,ARK_RAZ,CondronBallpark,D1,SEC,20250426-CondronBallpark-1,0f5aa280-22d2-11f0-854c-73f8c4f75462,90.98039,,,7.6545,,,,,,,05beadd1-7b5c-46ca-ac68-dda45fd1c6a4,2025-04-26,19:05:58.40,2025-04-26T15:05:58.4003072-04:00,2025-04-26T19:05:58.4003072Z,,v3,471297,3375,26 April 2025 15:00-arkansas@florida,"Heyman, Luke",701326,Right,FLA_GAT,ec6f8c5b-ede0-41ee-9a26-ba291f5b8971,55.00668,-135.08496,13.8569,5.7452,-6.77868,-7.47144,-1.36415,7.39086,-6.69858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
