PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,14:00:38.89,1,1,"Heuer, Mac",806121,Right,TEX_RAI,"Summerhill, Brendan",804911,Left,ARI_WIL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.26313,-4.133429,-4.768263,2630.977127,201.621269,12:45,6.58517,3.00544,5.71824,-21.586,10.58363,3.84705,0.91578,-1.1261,86.8744,-8.084348,-4.083457,0.40822,,,,,,,,,,,,-3.08154,6.63339,-2.60836,50,6.22429,11.08744,-134.90558,-10.55538,-5.77277,24.80436,-19.74752,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,654c8bf0-22d1-11f0-a798-e750bbe457bf,92.33358,,,6.38873,,,,,,,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:00:38.89,2025-04-26T14:00:38.8948480-05:00,2025-04-26T19:00:38.8948480Z,,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,3a6bc752-06df-4c3f-bb41-ef9b15d42854,54.78484,-135.78249,12.40218,6.58512,-9.85724,-9.87376,-3.00394,11.29152,-2.88638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,14:00:55.73,1,2,"Heuer, Mac",806121,Right,TEX_RAI,"Summerhill, Brendan",804911,Left,ARI_WIL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.78893,-2.723894,-3.172521,2505.811617,193.987099,12:30,6.52822,2.93856,6.02603,-14.88359,15.93127,3.74083,2.75935,0.30899,87.31952,-5.538612,-2.501038,0.399532,90.64501,14.479197,-35.2102,3258.216243,84.4185,20.95184,-70.52309,236.23124,233.09979,-45.743004,2.431259,-2.74988,9.20245,-2.69219,50,6.3065,7.46188,-137.51766,-7.01199,-5.30686,28.27492,-14.41484,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,6f5695a0-22d1-11f0-a798-e750bbe457bf,94.34151,21.3724,,7.4694,,,,1.41252,2.8246,-0.3053,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:00:55.73,2025-04-26T14:00:55.7303296-05:00,2025-04-26T19:00:55.7303296Z,LineDrive,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,5756970d-2acb-46ff-8400-63f9aa713810,54.47584,-138.43487,14.13746,6.52637,-6.54438,-7.20742,-2.93704,7.63404,-2.65343,116.553608,1.4125,105.17518,-24.23728,5.54236,-1.18603,0.20402,-0.02667,0.00199,-2E-05,2.82462,33.23803,-15.49179,0.50028,0.05233,-0.02007,0.0022,0.00065,-0.00013,-0.30533,-74.21587,0.59526,1.34038,-0.55243,0.1399,-0.02288,0.00191,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-04-26,14:01:33.55,1,3,"Heuer, Mac",806121,Right,TEX_RAI,"Summerhill, Brendan",804911,Left,ARI_WIL,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.21687,-3.364785,-4.17144,2541.050859,181.014947,12:00,6.52582,2.91774,6.15468,-15.54694,15.21839,0.25559,2.10959,-0.92189,87.96234,-6.269952,-4.12556,0.399211,,,,,,,,,,,,-1.04535,8.89371,-2.60033,50,6.26095,9.95485,-136.63547,-8.53722,-2.01792,24.14792,-15.00609,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,85e93d90-22d1-11f0-a798-e750bbe457bf,94.41744,,,6.25453,,,,,,,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:01:33.55,2025-04-26T14:01:33.5516160-05:00,2025-04-26T19:01:33.5516160Z,,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,6e7698ef-8a04-4d86-b815-11f6bf61595f,54.34819,-137.40179,12.07396,6.52431,-8.06102,-7.50304,-2.91726,10.01888,-1.00896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,14:01:51.26,1,4,"Heuer, Mac",806121,Right,TEX_RAI,"Summerhill, Brendan",804911,Left,ARI_WIL,Undefined,1,Top,0,1,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,80.78809,-1.902296,-2.404853,2290.322628,34.557886,7:15,6.24158,3.10514,5.66567,-52.43908,-9.82473,-7.5078,0.09563,0.23574,76.09613,-11.328563,-3.750778,0.469839,,,,,,,,,,,,3.2941,-4.33563,-2.89678,50,6.04657,5.2113,-117.46555,-5.68357,4.66513,19.41443,-38.31425,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,90794020-22d1-11f0-a798-e750bbe457bf,80.22411,,,4.69196,,,,,,,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:01:51.26,2025-04-26T14:01:51.2630784-05:00,2025-04-26T19:01:51.2630784Z,,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,e845f246-adf4-4747-8d0f-0a7f77dd826c,54.84081,-118.26291,9.70721,6.24768,-4.10996,-19.15712,-3.10688,5.0197,2.33257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,14:02:14.35,1,5,"Heuer, Mac",806121,Right,TEX_RAI,"Summerhill, Brendan",804911,Left,ARI_WIL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,96.12537,-2.396112,-3.521116,2645.414225,189.050467,12:15,6.5868,2.85755,6.01263,-14.08217,15.74686,2.37599,3.18803,-0.21054,88.97375,-5.054107,-3.095112,0.393089,73.73867,10.692823,-28.62049,3087.807554,,,,134.6078,110.12677,-34.364123,1.446339,-2.07847,8.96906,-2.58225,50,6.39055,8.48232,-139.51635,-6.29207,-4.15138,27.46098,-14.25979,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,9e38d7c0-22d1-11f0-a798-e750bbe457bf,95.88776,9.4032,,7.15163,,,,1.3551,3.18064,0.21023,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:02:14.35,2025-04-26T14:02:14.3501312-05:00,2025-04-26T19:02:14.3501312Z,GroundBall,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,7cb386ab-79b4-4092-b114-9d5b4b2d3c6d,54.49001,-140.39733,13.73049,6.58508,-5.8346,-7.12989,-2.85651,8.6155,-2.07569,102.685709,1.3551,93.28678,-14.58373,2.32035,-0.45981,0.06271,-0.00826,0.00113,-0.0001,3.18064,20.06651,-16.86957,1.21878,-0.18373,0.03769,-0.00457,0.00051,-7E-05,0.21023,-50.90487,-2.51031,1.32837,-0.41604,0.1009,-0.02058,0.00333,-0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-04-26,14:02:45.10,2,1,"Heuer, Mac",806121,Right,TEX_RAI,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.97115,-2.724381,-3.508156,2561.720078,124.74047,10:15,6.43999,2.98618,5.84579,-29.75895,5.78292,-7.10823,1.4216,-0.87044,82.77512,-8.134037,-4.779685,0.429083,,,,,,,,,,,,2.92047,3.81618,-2.69605,50,6.19989,8.11443,-127.74876,-7.11893,4.93761,20.61903,-25.72204,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,b0935440-22d1-11f0-a798-e750bbe457bf,87.84413,,,5.19602,,,,,,,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:02:45.10,2025-04-26T14:02:45.1077120-05:00,2025-04-26T19:02:45.1077120Z,,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,d851a46e-fa36-40f3-b4f1-861f0c9feffd,54.65803,-128.49838,10.30951,6.4417,-6.18379,-12.86102,-2.9878,7.93492,2.46881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-26,14:03:01.98,2,2,"Heuer, Mac",806121,Right,TEX_RAI,"Walton, Aaron",830239,Right,ARI_WIL,Undefined,1,Top,1,1,0,Slider,Slider,InPlay,Undefined,GroundBall,Single,0,0,,86.70951,-1.535602,-3.05593,2421.133309,112.585837,9:45,6.41501,2.98491,5.61984,-33.87852,3.33406,-5.56248,2.1563,-0.33331,80.63261,-7.704141,-4.047754,0.439052,101.1002,-4.24595,-27.068541,,,,,22.8547,21.91455,-24.880793,0.147243,2.10181,2.34595,-2.72015,50,6.26158,6.94722,-125.90611,-4.58272,3.41129,22.90881,-28.36657,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,ba9ebd80-22d1-11f0-a798-e750bbe457bf,85.84954,2.2814,,6.0769,,,,1.93274,2.2814,0.30776,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:03:01.98,2025-04-26T14:03:01.9863552-05:00,2025-04-26T19:03:01.9863552Z,GroundBall,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,0d2431fe-32d2-494c-acc3-19d1b2709787,54.88359,-126.79158,11.4544,6.41752,-3.48631,-14.18328,-2.98613,6.81537,1.70565,40.425286,1.93318,131.63615,-26.87683,,,,,,,2.2823,-11.05915,-30.2019,,,,,,,0.30814,-67.32457,-0.51287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-26,14:03:43.43,3,1,"Heuer, Mac",806121,Right,TEX_RAI,"White, Mason",702517,Left,ARI_WIL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.56358,-1.945841,-3.828066,2620.597072,195.691955,12:30,6.59576,2.93604,5.85446,-12.76757,18.32513,4.89638,3.71905,-0.21814,87.1968,-4.377253,-2.953326,0.401329,,,,,,,,,,,,-3.44,10.12441,-2.62748,50,6.42971,8.95779,-137.15216,-5.04363,-6.62684,27.10869,-12.67035,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,d3388010-22d1-11f0-a798-e750bbe457bf,93.91904,,,7.36677,,,,,,,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:03:43.43,2025-04-26T14:03:43.4333184-05:00,2025-04-26T19:03:43.4333184Z,,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,5a0c34ba-d480-45da-a8c2-37100170b81d,54.64635,-138.06747,13.55434,6.59279,-4.61581,-6.33518,-2.93371,9.18154,-3.31342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,14:04:06.97,3,2,"Heuer, Mac",806121,Right,TEX_RAI,"White, Mason",702517,Left,ARI_WIL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.55258,-4.055491,-3.698579,2549.150877,193.611236,12:30,6.56383,2.80386,5.99403,-15.61682,16.05139,3.66583,1.48994,-0.32301,86.63385,-6.982271,-3.041499,0.405026,,,,,,,,,,,,-2.79347,9.54705,-2.51409,50,6.23438,8.60379,-135.50552,-10.11368,-5.25787,26.19672,-14.20464,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,e15727a0-22d1-11f0-a798-e750bbe457bf,93.06174,,,6.91873,,,,,,,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:04:06.97,2025-04-26T14:04:06.9705728-05:00,2025-04-26T19:04:06.9705728Z,,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,a0358939-e066-4849-8c08-3c9076ed2e9a,54.50796,-136.37423,13.09836,6.56196,-9.64263,-7.10232,-2.80229,8.77815,-2.62894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,14:04:27.19,3,3,"Heuer, Mac",806121,Right,TEX_RAI,"White, Mason",702517,Left,ARI_WIL,Undefined,1,Top,1,2,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.40611,-3.587481,-3.458605,2526.936702,184.020563,12:15,6.51801,2.95402,6.05255,-14.95863,16.80922,1.115,1.94008,-0.15862,86.16087,-6.410352,-3.258502,0.405663,91.76055,29.381616,0.296913,3243.843216,109.88862,56.68055,-4.94827,302.40413,297.22111,-9.245577,4.914702,-1.46764,9.91371,-2.68534,50,6.23009,8.13554,-135.37613,-8.95463,-2.74443,27.43689,-13.63582,TEX_RAI,ARI_WIL,DanLawField,D1,BIG12,20250426-DanLawField-1,ed6e8d80-22d1-11f0-a798-e750bbe457bf,92.91569,74.70353,,7.24524,,,,1.493,2.01418,0.14291,84ebd270-83d3-40bf-9a9c-6173886190b2,2025-04-26,19:04:27.19,2025-04-26T14:04:27.1975424-05:00,2025-04-26T19:04:27.1975424Z,FlyBall,v3,2330,232,26 April 2025 15:00-arizona@txtech,"Rivers, Davis",806206,Right,TEX_RAI,b8aa737e-546e-4b74-9238-330bf7c14aae,54.44991,-136.27501,13.71844,6.51614,-8.50789,-6.81791,-2.95335,8.22546,-1.37221,154.463975,1.49349,117.26364,-23.91581,5.18214,-1.08603,0.21722,-0.0398,0.00508,-0.00029,2.01592,65.98452,-16.53603,0.69742,0.12305,-0.11592,0.0377,-0.00555,0.00031,0.14225,0.62292,-6.30045,2.0362,-0.4728,0.07544,-0.00789,0.00049,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
