PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,12:02:33.19,1,1,"Opanel, Kevin",1000248967,Right,MON_HAW,"Gerety, Ryan",822815,Left,NOR_HUS,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.24039,-1.666579,-2.820311,2378.536898,219.678429,1:15,5.59471,2.36517,5.50203,-18.78033,19.86155,15.32048,2.46866,1.002,77.86512,-5.237268,-0.093878,0.447405,,,,,,,,,,,,-8.54099,10.90957,-2.12906,50,5.43671,5.47475,-124.85802,-4.19155,-13.32779,27.83772,-15.15022,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,dd7ad6a0-22b7-11f0-ad16-f9eea91702d9,84.24686,,,8.37526,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:02:33.19,2025-04-26T12:02:33.1939840-04:00,2025-04-26T16:02:33.1939840Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,d4e6c809-d848-4640-9297-3e3eb0e21778,54.99229,-125.96616,13.91886,5.59156,-3.58846,-7.57511,-2.35755,6.00529,-6.66389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,12:02:52.88,1,2,"Opanel, Kevin",1000248967,Right,MON_HAW,"Gerety, Ryan",822815,Left,NOR_HUS,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.81906,-1.681284,-2.428357,2447.422828,222.572101,1:30,5.48053,2.49584,5.48673,-19.61009,18.56009,15.77788,2.27159,1.53749,78.34204,-5.396338,0.38028,0.444666,,,,,,,,,,,,-8.64981,10.25965,-2.29375,50,5.32021,4.62837,-125.71736,-4.29247,-13.66771,28.50217,-15.96258,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,e932b760-22b7-11f0-ad16-f9eea91702d9,84.76582,,,8.47703,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:02:52.88,2025-04-26T12:02:52.8871424-04:00,2025-04-26T16:02:52.8871424Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,1aaa4a5d-6a52-4af9-a0ed-07650067628c,55.00749,-126.84755,14.25109,5.47787,-3.65951,-7.98129,-2.48803,5.17033,-6.83386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,12:03:10.96,1,3,"Opanel, Kevin",1000248967,Right,MON_HAW,"Gerety, Ryan",822815,Left,NOR_HUS,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.1293,-0.813149,-3.018051,2518.802422,133.886691,10:30,5.24595,2.70979,5.32253,-36.09266,8.813,-7.59048,1.47406,-0.75751,73.10413,-7.427163,-4.363134,0.482305,,,,,,,,,,,,2.90882,5.09985,-2.43078,50,5.14649,6.42441,-116.05988,-2.85691,3.93323,23.47504,-25.27818,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,f41fa700-22b7-11f0-ad16-f9eea91702d9,78.15059,,,7.02516,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:03:10.96,2025-04-26T12:03:10.9669376-04:00,2025-04-26T16:03:10.9669376Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,e60ae998-8cfa-47c8-949c-6d24c42876bc,55.17407,-117.10175,11.73752,5.24839,-1.73502,-12.63909,-2.71203,6.24985,1.96661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,12:03:31.63,1,4,"Opanel, Kevin",1000248967,Right,MON_HAW,"Gerety, Ryan",822815,Left,NOR_HUS,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.30433,-0.337028,-2.595991,2449.553206,210.581482,1:00,5.48255,2.4628,5.51704,-18.71206,19.71147,10.86001,3.60776,0.93887,78.03127,-3.897152,-0.66319,0.446139,,,,,,,,,,,,-6.22725,10.41103,-2.24394,50,5.44101,5.1924,-125.04998,-1.28907,-9.77397,27.28555,-15.83344,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,0054ce10-22b8-11f0-ad16-f9eea91702d9,84.48593,,,8.27306,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:03:31.63,2025-04-26T12:03:31.6369408-04:00,2025-04-26T16:03:31.6369408Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,006000a9-e9f4-4e88-801b-5b9b4315db4c,54.9772,-126.13132,13.64278,5.47966,-0.66159,-7.91672,-2.45739,5.57974,-4.88699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,12:03:51.21,1,5,"Opanel, Kevin",1000248967,Right,MON_HAW,"Gerety, Ryan",822815,Left,NOR_HUS,Undefined,1,Top,0,3,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,86.69739,-2.223944,-3.33253,2393.055245,217.1444,1:15,5.60124,2.4519,5.50981,-17.42969,20.82871,14.72997,2.06452,0.55953,78.31799,-5.549204,-0.712876,0.445179,91.26066,38.041381,-26.195189,3642.348535,93.12171,79.14869,-58.55128,306.28636,125.77558,-40.148889,5.34304,-8.46745,11.59725,-2.17124,50,5.39573,6.66568,-125.45064,-5.38679,-13.34073,28.06971,-13.90214,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,0c0c87c0-22b8-11f0-ad16-f9eea91702d9,84.668,99.47282,,8.3794,,,,0.41593,1.90524,-0.64929,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:03:51.21,2025-04-26T12:03:51.2131584-04:00,2025-04-26T16:03:51.2131584Z,FlyBall,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,6712cc03-6048-4a8c-8cf4-ad6285b69681,54.98606,-126.56136,14.03486,5.598,-4.83669,-6.95107,-2.44545,7.19357,-6.67037,150.664201,0.42474,94.41394,-25.18237,6.05136,-0.75922,-0.06656,0.04098,-0.00554,0.00026,1.90172,82.5356,-19.51688,0.8266,0.14302,-0.11782,0.03729,-0.00549,0.0003,-0.64938,-46.53111,1.8787,0.55571,-0.3335,0.09551,-0.01697,0.00172,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
6,2025-04-26,12:04:31.32,2,1,"Opanel, Kevin",1000248967,Right,MON_HAW,"Maldonado, Cam",809686,Right,NOR_HUS,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.59379,0.260001,-2.933404,2501.151796,124.286561,10:15,5.18957,2.59549,5.40164,-38.89951,5.45075,-6.2739,2.1919,-0.67839,74.12654,-6.816699,-4.046853,0.479313,,,,,,,,,,,,2.50421,2.99984,-2.32928,50,5.18509,6.1642,-115.62479,-0.77741,3.4396,18.60795,-28.05365,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,23ee6c00-22b8-11f0-ad16-f9eea91702d9,78.63841,,,5.46725,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:04:31.32,2025-04-26T12:04:31.3202688-04:00,2025-04-26T16:04:31.3202688Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,1685b4c2-3841-456b-93b9-66002deedb7a,55.09893,-116.44249,9.30397,5.19217,0.45537,-14.02683,-2.59684,6.01305,1.7198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-26,12:04:50.71,2,2,"Opanel, Kevin",1000248967,Right,MON_HAW,"Maldonado, Cam",809686,Right,NOR_HUS,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.7732,-0.262962,-3.149577,2463.171112,207.61707,1:00,5.42015,2.56225,5.56694,-19.18769,18.93296,9.18815,3.57516,0.38284,78.1503,-3.916711,-1.514321,0.444377,,,,,,,,,,,,-5.61697,10.03075,-2.29662,50,5.38526,6.51078,-125.63071,-1.14845,-8.86009,28.54634,-16.35175,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,2f732ed0-22b8-11f0-ad16-f9eea91702d9,84.82087,,,8.6229,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:04:50.71,2025-04-26T12:04:50.7157504-04:00,2025-04-26T16:04:50.7157504Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,1a8c16b9-47fc-4647-8302-a72370844578,54.92718,-126.74534,14.27317,5.41764,-0.50998,-8.17587,-2.5576,6.85674,-4.43005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-26,12:05:11.15,2,3,"Opanel, Kevin",1000248967,Right,MON_HAW,"Maldonado, Cam",809686,Right,NOR_HUS,Undefined,1,Top,1,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.59051,0.229305,-4.393395,2540.648816,106.847797,9:30,5.14669,2.54563,5.4148,-39.91368,5.03126,-12.30465,2.036,-2.60352,73.55702,-7.031,-6.568335,0.482516,,,,,,,,,,,,5.05878,2.84673,-2.14554,50,5.13918,9.33653,-115.3045,-0.87057,6.83433,20.73716,-28.32817,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,3bba5740-22b8-11f0-ad16-f9eea91702d9,78.11644,,,6.03349,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:05:11.15,2025-04-26T12:05:11.1531008-04:00,2025-04-26T16:05:11.1531008Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,bab43296-e657-4e09-9715-472d7c46127f,55.08438,-116.21531,10.36858,5.1501,0.37365,-14.16409,-2.54903,9.03635,3.41717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,12:05:36.03,2,4,"Opanel, Kevin",1000248967,Right,MON_HAW,"Maldonado, Cam",809686,Right,NOR_HUS,Undefined,1,Top,1,1,2,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,0,,79.87658,0.010097,-2.688109,2482.579998,112.228806,9:45,5.1471,2.77169,5.50091,-38.74553,5.11922,-9.69717,1.92776,-0.5524,74.45165,-7.045026,-4.412809,0.476682,91.22106,-11.821883,-16.930467,,,,,12.35983,10.0755,-12.760623,0.078894,4.32977,2.88933,-2.52976,50,5.12138,5.81496,-116.08196,-1.26204,5.99069,18.87753,-28.17638,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,4a7d2e10-22b8-11f0-ad16-f9eea91702d9,79.07243,2.16604,,5.42493,,,,2.1546,2.16604,0.28357,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:05:36.03,2025-04-26T12:05:36.0361984-04:00,2025-04-26T16:05:36.0361984Z,GroundBall,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,53fbdc02-13f6-424c-8f16-45af70c69c6c,55.00009,-116.89225,9.43877,5.1496,-0.0526,-14.08819,-2.77384,5.55782,2.99534,180,2.15196,125.48505,,,,,,,,2.16661,-27.45515,,,,,,,,0.28438,-38.19817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
10,2025-04-26,12:06:16.54,3,1,"Opanel, Kevin",1000248967,Right,MON_HAW,"Feinberg, Harrison",695664,Right,NOR_HUS,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,79.03805,-0.13004,-2.201423,2368.249578,115.625098,9:45,5.10891,2.62686,5.48741,-38.31494,7.11004,-11.9054,1.79426,-0.42574,72.68996,-7.149555,-4.319655,0.485086,,,,,,,,,,,,5.46103,4.00433,-2.42541,50,5.07143,4.86292,-114.72428,-1.50476,7.27174,21.40023,-26.84201,MON_HAW,NOR_HUS,MonmouthU,D1,CAA,20250426-MonmouthU-1,62a913a0-22b8-11f0-ad16-f9eea91702d9,77.70256,,,6.34809,,,,,,,73618872-8ebf-44c5-acaa-c7b4c551523e,2025-04-26,16:06:16.54,2025-04-26T12:06:16.5421568-04:00,2025-04-26T16:06:16.5421568Z,,v3,4164,343,,"Buecker, Brendan",1000136252,Right,MON_HAW,8a8c6ced-15ec-4b93-beea-0581eccac6a5,55.01174,-115.65537,10.70012,5.1115,-0.3369,-13.421,-2.63011,4.54654,3.63587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
