PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,13:02:36.59,1,1,"Michalak, Jake",822361,Right,OSU_BUC,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,94.14925,0.255049,-4.440245,2446.670515,258.085847,2:30,5.6339,2.05344,6.32875,-26.84537,4.38634,15.91824,3.63236,-0.71708,85.58677,-4.769776,-1.570443,0.402225,,,,,,,,,,,,-9.4789,2.54772,-1.73569,50,5.64014,9.90322,-136.46001,-0.31057,-17.80367,31.12358,-27.38885,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,49027b50-22c0-11f0-8d01-75f71aa843ac,93.70975,,,8.56249,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:02:36.59,2025-04-26T13:02:36.5927936-04:00,2025-04-26T17:02:36.5927936Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,1fd4ba90-31a8-49f6-93e5-b57267229e56,54.16931,-137.40766,15.56179,5.6369,0.52336,-13.69443,-2.04547,10.44529,-8.90183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,13:02:49.90,1,2,"Michalak, Jake",822361,Right,OSU_BUC,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.26222,-0.311905,-3.357242,2408.883148,250.302221,2:15,5.6512,2.00008,6.1159,-25.15742,5.95866,13.99198,3.26587,0.05851,86.39396,-4.999624,-0.83963,0.40148,,,,,,,,,,,,-8.05512,3.47339,-1.74927,50,5.61424,7.40663,-136.84028,-1.63144,-15.33202,29.11296,-25.56281,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,50f2a5b0-22c0-11f0-8d01-75f71aa843ac,93.88376,,,7.86826,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:02:49.90,2025-04-26T13:02:49.9074560-04:00,2025-04-26T17:02:49.9074560Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,010f004b-3baf-428d-a28e-e83d486fb6be,54.38272,-137.76955,14.55648,5.65329,-0.81549,-12.7814,-1.99349,7.89602,-7.66601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,13:03:03.41,1,3,"Michalak, Jake",822361,Right,OSU_BUC,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.81069,-1.509622,-4.638416,2431.357614,258.245493,2:30,5.58894,2.07553,6.19301,-27.02868,4.60721,17.13458,1.93793,-0.78827,85.53989,-6.542754,-1.555668,0.404819,,,,,,,,,,,,-10.20087,3.13685,-1.73392,50,5.46133,10.292,-135.89559,-4.53076,-19.00819,30.76932,-26.32887,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,5913f230-22c0-11f0-8d01-75f71aa843ac,93.1093,,,8.27081,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:03:03.41,2025-04-26T13:03:03.4103808-04:00,2025-04-26T17:03:03.4103808Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,6cad6ef2-e1e2-47e0-b660-0b0eae28ff31,54.30666,-136.86723,15.38466,5.59127,-3.69935,-13.16444,-2.0684,10.89224,-9.50409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,13:03:17.35,1,4,"Michalak, Jake",822361,Right,OSU_BUC,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.49673,0.413128,0.305848,2506.927822,78.354063,8:30,5.51609,2.14352,5.18385,-40.33731,-1.53032,-12.65166,2.54335,1.37697,79.22281,-6.890821,-1.937987,0.448359,,,,,,,,,,,,6.38221,-0.51634,-2.162,50,5.52365,-0.10881,-124.28312,-0.65642,10.08927,22.41115,-32.99032,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,61587e20-22c0-11f0-8d01-75f71aa843ac,84.06746,,,6.27392,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:03:17.35,2025-04-26T13:03:17.3578240-04:00,2025-04-26T17:03:17.3578240Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,8fd5b292-59ec-456c-9b14-1e5b3c042d4b,55.31733,-125.23829,11.20557,5.52166,0.74963,-16.49516,-2.1482,-0.53882,5.04463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,13:03:31.93,1,5,"Michalak, Jake",822361,Right,OSU_BUC,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,2,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.45471,0.243348,-3.343402,2415.165524,244.158508,2:15,5.74941,1.79757,6.29681,-22.91155,8.68918,15.84351,4.06472,0.0337,85.10956,-4.072362,-0.483548,0.404594,,,,,,,,,,,,-9.10174,4.76138,-1.55845,50,5.75635,7.23869,-135.63602,-0.16897,-16.92306,30.19916,-23.32114,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,6a005fc0-22c0-11f0-8d01-75f71aa843ac,93.16103,,,8.34515,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:03:31.93,2025-04-26T13:03:31.9372800-04:00,2025-04-26T17:03:31.9372800Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,9da78028-56d5-4448-a1f9-0b0734bc8518,54.20112,-136.56819,15.09958,5.75046,0.55089,-11.66057,-1.78995,7.76106,-8.46153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-26,13:03:47.13,1,6,"Michalak, Jake",822361,Right,OSU_BUC,"Hyde, Brennan",1000230350,Right,RUT_SCA,Undefined,1,Top,0,3,2,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,93.99342,-1.085478,-4.081377,2375.876204,249.535334,2:15,5.68041,1.91286,6.46595,-25.58257,5.21418,11.56694,2.54891,-0.87818,86.63696,-5.861834,-1.988758,0.399415,96.61744,17.840802,27.670635,4661.148201,91.58173,30.54566,60.93212,302.22305,236.75557,43.455298,3.277268,-7.12268,3.2802,-1.62947,50,5.59222,9.2729,-136.47147,-3.43234,-13.53595,27.87745,-25.94034,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,73233dc0-22c0-11f0-8d01-75f71aa843ac,94.36923,35.79228,,7.35646,,,,0.61787,2.4214,0.83683,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:03:47.13,2025-04-26T13:03:47.1336960-04:00,2025-04-26T17:03:47.1336960Z,LineDrive,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,de21e4b8-6e78-4861-a6ba-bc051b43d4bc,54.03493,-137.29322,13.93872,5.68213,-2.66769,-12.97017,-1.90868,9.6719,-6.76798,236.474505,0.61783,119.46721,-29.0648,6.95613,-1.48436,0.26026,-0.03518,0.00303,-0.0001,2.42144,43.41017,-14.21196,-0.26721,0.3125,-0.08149,0.01107,-0.00013,-8E-05,0.83692,62.63552,3.51998,-2.50401,0.87591,-0.21885,0.03904,-0.0043,0.00022,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-04-26,13:04:31.50,2,1,"Michalak, Jake",822361,Right,OSU_BUC,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.90146,-0.131073,-3.215262,2366.502856,249.024777,2:15,5.6206,2.2237,6.37787,-25.21934,6.668,14.70961,3.39821,0.48835,84.66696,-4.86924,-0.554811,0.406425,81.748,16.924898,-157.610947,1072.577503,-102.96308,16.40866,-38.71081,178.24645,54.31654,-160.391932,1.842489,-8.54075,3.83721,-1.99792,50,5.59959,6.95803,-134.87083,-1.13337,-15.68727,30.10456,-25.12607,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,8da23b10-22c0-11f0-8d01-75f71aa843ac,92.74138,17.22612,,8.2345,,,,-1.01352,3.14752,-0.29439,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:04:31.50,2025-04-26T13:04:31.5079168-04:00,2025-04-26T17:04:31.5079168Z,LineDrive,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,aeacd79b-c9e8-413c-8652-720908483e5e,54.12058,-135.78747,15.05228,5.62245,-0.36832,-12.56304,-2.21705,7.43569,-7.84364,44.756431,-1.19018,-104.71236,7.76249,,,,,,,3.59445,31.55359,-18.2974,,,,,,,-0.53629,-41.84458,5.30625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-04-26,13:04:51.81,2,2,"Michalak, Jake",822361,Right,OSU_BUC,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,87.59744,0.697417,-1.530041,1855.070864,269.624715,3:00,5.30778,2.423,5.79381,-35.52864,1.31854,10.38016,2.99606,1.86444,79.47664,-5.872277,0.330321,0.436891,,,,,,,,,,,,-5.70252,0.88878,-2.3031,50,5.34433,2.94296,-127.0978,0.27483,-9.24244,28.2775,-30.73353,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,99a2e4a0-22c0-11f0-8d01-75f71aa843ac,86.27417,,,8.1208,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:04:51.81,2025-04-26T13:04:51.8185984-04:00,2025-04-26T17:04:51.8185984Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,9a65a6d3-afb3-43de-8448-69cdd1b84394,54.70288,-128.13985,14.13875,5.31333,1.40739,-15.36677,-2.41782,3.28355,-4.62122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,13:05:08.01,2,3,"Michalak, Jake",822361,Right,OSU_BUC,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.83654,1.557924,1.154285,2354.14609,103.947459,9:30,5.39129,2.42061,5.13707,-37.50955,4.29906,-12.14225,3.73318,2.49584,75.8519,-5.290944,-0.994409,0.465376,,,,,,,,,,,,6.31717,2.13465,-2.51915,50,5.50857,-1.89219,-120.19124,1.89342,9.26482,22.72755,-29.04334,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,a34b9470-22c0-11f0-8d01-75f71aa843ac,80.99346,,,6.98463,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:05:08.01,2025-04-26T13:05:08.0154112-04:00,2025-04-26T17:05:08.0154112Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,9b818c93-58a9-4e17-a111-5d0a8ed49d87,55.36116,-121.20077,11.36377,5.39581,3.18348,-14.52167,-2.42596,-2.30372,4.63241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,13:05:27.71,2,4,"Michalak, Jake",822361,Right,OSU_BUC,"Doucette, Ty",802494,Right,RUT_SCA,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.50929,2.24292,-1.65536,2250.096355,245.696079,2:15,5.62209,2.33202,6.08064,-26.3221,6.67111,12.11823,5.50563,1.80993,82.89895,-2.712251,0.525434,0.413412,,,,,,,,,,,,-6.68752,3.07512,-2.20988,50,5.78196,3.32379,-134.04435,4.34974,-11.95635,33.66511,-26.6762,OSU_BUC,RUT_SCA,NickSwisherField,D1,BIG10,20250426-NickSwisherField-1,af043880-22c0-11f0-8d01-75f71aa843ac,91.17395,,,9.61034,,,,,,,0385fd7a-7ac5-48e7-b2dc-bc2c5ecb80e2,2025-04-26,17:05:27.71,2025-04-26T13:05:27.7157888-04:00,2025-04-26T17:05:27.7157888Z,,v3,4144,471422,26 April 2025 13:00-rutgers@ohiost,"Eckelman, Mason",806065,Right,OSU_BUC,42d7b410-0bf2-4a05-8e41-d48f2e94a930,54.41349,-135.14825,16.83256,5.62499,5.22447,-13.3381,-2.3253,3.71585,-5.97818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
