PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,15:05:51.74,1,1,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.31312,-0.877762,-3.790885,2505.534608,219.940244,1:15,5.83822,2.54651,6.30775,-14.2791,18.92844,14.9208,3.83786,0.2926,82.8955,-3.650331,-1.099886,0.414753,,,,,,,,,,,,-8.8004,10.39343,-2.27482,50,5.76657,8.14677,-132.41019,-2.38485,-15.55386,29.45348,-13.80467,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,9f019ca0-22ea-11f0-8458-27d4f8e39812,90.87923,,,8.41761,,,,,,,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:05:51.74,2025-04-26T15:05:51.7409280-07:00,2025-04-26T22:05:51.7409280Z,,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,e8f1fb6b-c34a-4384-b5bb-19e9f13000e5,54.18904,-133.33874,14.72674,5.83489,-1.94964,-6.90233,-2.53939,8.63712,-7.77693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,15:06:11.89,1,2,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.89782,-0.633034,-4.172173,2442.872045,222.980722,1:30,5.70762,2.61971,6.59274,-18.45379,16.29477,14.08623,3.58823,-0.03591,80.60508,-4.187716,-1.619716,0.424268,,,,,,,,,,,,-8.59422,9.08347,-2.33928,50,5.65624,8.84921,-128.88855,-1.89634,-14.35803,28.49931,-16.99866,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,ab07eb80-22ea-11f0-8458-27d4f8e39812,88.8412,,,8.29274,,,,,,,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:06:11.89,2025-04-26T15:06:11.8971904-07:00,2025-04-26T22:06:11.8971904Z,,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,c9baa516-5fcb-4239-9eb2-7330d2a49597,53.90385,-129.74889,14.24966,5.70574,-1.38319,-8.49933,-2.61297,9.28264,-7.17901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,15:06:32.91,1,3,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,0,2,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.49506,-2.322241,-4.491622,2432.770665,214.182906,1:15,5.7413,2.5543,6.38142,-15.07481,19.44076,12.42217,2.34102,-0.55097,81.50726,-5.236961,-2.251628,0.422843,,,,,,,,,,,,-7.74209,11.13323,-2.23563,50,5.56624,9.68434,-129.61062,-5.64132,-13.13473,27.76309,-13.2861,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,b7ba58e0-22ea-11f0-8458-27d4f8e39812,89.14053,,,7.98781,,,,,,,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:06:32.91,2025-04-26T15:06:32.9108992-07:00,2025-04-26T22:06:32.9108992Z,,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,08c4d323-3abd-4954-aa1e-9763363820e4,54.11605,-130.48932,13.88155,5.73813,-5.22081,-6.64305,-2.54871,10.10006,-6.56737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,15:06:53.71,1,4,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.48325,-2.07108,-3.713077,2437.916393,218.407729,1:15,5.83694,2.68964,6.42499,-14.58359,19.11127,14.25143,2.71314,0.45954,82.25389,-4.901531,-1.136457,0.417785,64.34315,58.326849,94.799682,2173.856322,,,,,15.88615,,,-8.52638,10.92316,-2.43085,50,5.68217,7.94367,-131.19119,-5.10951,-14.78542,29.05187,-13.23241,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,c40e5290-22ea-11f0-8458-27d4f8e39812,90.21963,27.59544,,8.22936,,,,0.84237,2.60331,-0.46476,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:06:53.71,2025-04-26T15:06:53.7149440-07:00,2025-04-26T22:06:53.7149440Z,,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,f2114286-6b54-476f-bbef-b7ac8a037d13,54.07294,-132.09005,14.52594,5.83392,-4.7001,-6.61621,-2.6837,8.40113,-7.39271,327.816564,0.84768,-4.35132,-6.04853,,,,,,,2.60845,80.11675,-23.52481,,,,,,,-0.46128,49.24364,-6.76061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
5,2025-04-26,15:07:21.58,1,5,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.937,-2.308775,-4.6873,2451.268331,214.619588,1:15,5.73756,2.49457,6.58571,-15.27158,18.02387,11.6556,2.341,-0.839,82.56109,-5.269075,-2.578371,0.415302,86.5553,12.808172,55.481857,4006.982087,55.98217,17.58042,94.68875,217.96545,183.80004,63.599535,2.397837,-7.49477,10.48253,-2.17746,50,5.57219,10.33315,-131.66468,-5.69428,-13.07164,29.63627,-13.89143,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,d4b838e0-22ea-11f0-8458-27d4f8e39812,90.75915,17.70918,,8.37592,,,,-0.16016,2.09525,0.87385,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:07:21.58,2025-04-26T15:07:21.5877632-07:00,2025-04-26T22:07:21.5877632Z,LineDrive,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,08af9729-eaec-44ab-be47-a4dd8b528aaa,53.91136,-132.54216,14.81814,5.7347,-5.28298,-6.94572,-2.48913,10.72018,-6.53582,,-0.16016,70.14696,-18.47583,3.86125,-0.83073,0.1753,-0.03304,0.0045,-0.00031,2.09525,28.14267,-13.39782,0.7841,-0.1625,0.03654,-0.00642,0.00091,-7E-05,0.87385,101.99533,-12.87301,2.61127,-0.55499,0.11587,-0.02198,0.003,-0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-04-26,15:07:46.39,1,6,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Roy, Gavin",1000332433,Right,WAS_COU,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,91.64116,-3.103222,-3.839279,2408.767681,216.296216,1:15,5.86407,2.55291,6.30988,-13.5589,19.33458,13.41583,1.86632,0.12894,83.75236,-5.723687,-1.419663,0.412787,84.77473,39.939416,-1.97717,4044.907895,109.95621,80.96033,3.10113,284.91263,271.5739,8.433471,5.331212,-8.06804,11.25579,-2.2776,50,5.62942,8.36857,-132.79146,-7.55857,-14.40934,28.37516,-12.07142,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,e37d59a0-22ea-11f0-8458-27d4f8e39812,91.31199,97.85944,,7.88881,,,,1.40338,1.93444,-0.09406,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:07:46.39,2025-04-26T15:07:46.3963648-07:00,2025-04-26T22:07:46.3963648Z,FlyBall,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,6c488904-8a32-4342-8c10-251aa3f9f76c,54.18916,-133.68361,14.18758,5.86111,-7.17903,-6.03571,-2.54784,8.82162,-7.20467,199.520923,1.40716,95.2049,-18.80767,4.14802,-0.69857,0.089,-0.01028,0.00113,-7E-05,1.93378,79.82227,-19.18678,1.38023,-0.07655,-0.06745,0.02536,-0.00363,0.00019,-0.09501,-3.27165,5.14519,-1.21007,0.22469,-0.03347,0.00415,-0.0004,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-04-26,15:08:30.80,2,1,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Obenour, Ollie",1000324785,Right,WAS_COU,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,73.70157,1.672458,-1.332436,2550.705193,64.527106,8:15,5.70124,2.79761,5.49453,-59.4798,-6.73552,-17.82816,2.30989,0.06534,67.37736,-9.163825,-4.510391,0.522708,,,,,,,,,,,,8.54792,-3.35925,-2.66881,50,5.80766,3.14871,-106.92269,1.21584,9.77583,20.51742,-36.01588,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,fdeb18e0-22ea-11f0-8458-27d4f8e39812,72.10994,,,6.32421,,,,,,,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:08:30.80,2025-04-26T15:08:30.8072448-07:00,2025-04-26T22:08:30.8072448Z,,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,91d50df7-0a69-436e-badb-c41f9154e9a0,55.00574,-107.87896,10.25871,5.71187,2.89446,-18.00794,-2.80494,2.69308,4.88792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-26,15:08:49.12,2,2,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Obenour, Ollie",1000324785,Right,WAS_COU,Undefined,1,Top,1,0,1,Curveball,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,,68.76584,3.622666,0.909211,3098.323366,23.247419,6:45,6.05726,2.16823,5.78275,-81.40063,-20.73163,-9.86406,2.64924,2.19221,62.308,-11.262031,-0.862025,0.560602,,,,,,,,,,,,5.42339,-11.54284,-2.23683,50,6.30611,-1.26263,-99.66993,3.97553,5.32119,19.69648,-43.49939,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,08e80e10-22eb-11f0-8458-27d4f8e39812,67.23562,,,6.45784,,,,,,,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:08:49.12,2025-04-26T15:08:49.1222016-07:00,2025-04-26T22:08:49.1222016Z,,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,8342a0ca-52aa-4a31-99bd-43b37ce18f8f,54.72163,-100.59868,9.84824,6.07029,6.02665,-21.7497,-2.17137,-1.51354,2.66059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,15:09:47.83,3,1,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Johnstone, Logan",1000072744,Left,WAS_COU,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.77783,-4.240673,-4.865765,2411.586908,217.3068,1:15,5.8255,2.75948,6.24647,-16.82135,19.39529,13.84312,0.4913,-0.58535,80.14707,-7.452922,-2.376854,0.433137,,,,,,,,,,,,-8.68437,11.70001,-2.40396,50,5.50029,10.27238,-126.83784,-9.88678,-14.10541,26.66179,-13.17057,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,2bd16ed0-22eb-11f0-8458-27d4f8e39812,87.02194,,,7.63076,,,,,,,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:09:47.83,2025-04-26T15:09:47.8383616-07:00,2025-04-26T22:09:47.8383616Z,,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,c02ff75b-a003-4d53-8319-c8a76cb6a25b,54.25365,-127.72884,13.3309,5.82334,-9.44663,-6.58529,-2.75512,10.74376,-7.0527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,15:10:10.35,3,2,"Cremarosa, Aidan",809093,Right,FRE_BUL,"Johnstone, Logan",1000072744,Left,WAS_COU,Undefined,1,Top,1,1,0,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.9577,-2.74762,-3.871027,2497.038138,210.144867,1:00,5.86588,2.72302,6.31674,-13.18457,21.01954,11.54599,2.22872,0.11432,81.97676,-5.31481,-1.789073,0.420931,86.93098,35.707769,-24.294065,4043.284161,95.89357,71.88478,-53.89257,291.9564,208.33346,-36.646264,5.025195,-7.12426,12.06981,-2.44489,50,5.65789,8.35818,-130.34392,-6.5786,-12.22466,28.0588,-11.46327,FRE_BUL,WAS_COU,PeteBeidenField,D1,MW,20250426-PeteBeidenField-1,394ef460-22eb-11f0-8458-27d4f8e39812,89.54549,86.50135,,7.98094,,,,1.00088,2.96588,0.083,9ebe42d0-caf3-4378-9823-48085bcc8db8,2025-04-26,22:10:10.35,2025-04-26T15:10:10.3592960-07:00,2025-04-26T22:10:10.3592960Z,FlyBall,v3,471253,4505,25 April 2025 21:05-washst@fresnost,"Stransky, Justin",1000137476,Right,FRE_BUL,ea1d3b9b-acc0-414b-afed-c4ad527b4009,54.18151,-131.24098,14.0294,5.86235,-6.21212,-5.73163,-2.71835,8.74901,-6.11233,151.064308,1.00627,94.24723,-23.91297,5.79578,-0.83479,-0.00928,0.02711,-0.00396,0.00018,2.96412,74.44243,-18.07672,0.47337,0.25747,-0.15389,0.04642,-0.00688,0.00039,0.08282,-42.59162,1.42702,0.57515,-0.31631,0.08852,-0.01554,0.00156,-7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
