PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,14:04:18.15,1,1,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Wilson, Alex",1000077266,Right,ALA_LIO,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.4714,-2.775326,-3.032609,2214.071723,231.144369,1:45,5.68553,2.09886,5.48544,-20.65572,14.66206,16.87036,1.36199,0.6648,82.41312,-6.607512,-0.030278,0.427728,,,,,,,,,,,,-9.35241,8.44949,-1.84486,50,5.42789,6.1405,-129.73138,-7.00567,-16.05469,25.29091,-17.66932,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,41608840-22d1-11f0-8e57-4daecdd50655,88.12239,,,7.05828,,,,,,,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:04:18.15,2025-04-26T14:04:18.1519360-05:00,2025-04-26T19:04:18.1519360Z,,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,7c450830-3c7c-463a-9a9e-32e9e7411b33,55.01612,-130.7056,12.64546,5.68464,-6.32504,-8.83466,-2.09331,6.75894,-8.02735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,14:04:30.68,1,2,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Wilson, Alex",1000077266,Right,ALA_LIO,Undefined,1,Top,0,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.74292,-0.882076,-4.891116,2187.937784,231.506109,1:45,5.62337,2.14114,5.60592,-20.43765,14.02036,16.238,3.09376,-1.0826,82.8012,-4.707069,-2.006877,0.42249,,,,,,,,,,,,-9.4939,7.66087,-1.73218,50,5.53452,10.50058,-131.32404,-2.71625,-16.61176,27.3049,-18.76962,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,48c143e0-22d1-11f0-8e57-4daecdd50655,89.21501,,,7.94173,,,,,,,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:04:30.68,2025-04-26T14:04:30.6899968-05:00,2025-04-26T19:04:30.6899968Z,,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,d5b95df6-ed56-43bd-ad7c-90f843d9ba68,54.89281,-132.33744,13.65245,5.62241,-2.01963,-9.38481,-2.13335,11.11711,-8.30588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,14:04:44.64,1,3,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Wilson, Alex",1000077266,Right,ALA_LIO,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.57755,0.194802,-4.564482,2103.695945,284.68577,3:30,5.3987,2.3339,5.54385,-45.72699,-3.46323,17.79525,1.77075,-0.45803,75.61995,-8.111866,-1.398581,0.467903,,,,,,,,,,,,-10.13288,-1.43095,-1.9498,50,5.38495,8.73714,-118.31944,-1.19663,-14.52242,20.24763,-34.2249,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,513480f0-22d1-11f0-8e57-4daecdd50655,80.55616,,,5.9576,,,,,,,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:04:44.64,2025-04-26T14:04:44.6485504-05:00,2025-04-26T19:04:44.6485504Z,,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,d1738b5d-0d83-4fb5-8d66-41d6b0419b44,54.95977,-119.16516,10.12382,5.40508,0.23291,-17.11245,-2.32741,9.34373,-7.26121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,14:04:58.15,1,4,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Wilson, Alex",1000077266,Right,ALA_LIO,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.65963,-2.577942,-4.577651,2138.48163,224.85658,1:30,5.58623,2.15014,5.48093,-19.20674,15.43253,14.26194,1.56422,-0.95365,83.07269,-6.161253,-2.048144,0.4236,,,,,,,,,,,,-8.40252,8.79819,-1.75768,50,5.34633,9.85841,-131.16134,-6.57442,-14.69798,26.66535,-16.78399,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,593d1550-22d1-11f0-8e57-4daecdd50655,88.98126,,,7.58694,,,,,,,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:04:58.15,2025-04-26T14:04:58.1519360-05:00,2025-04-26T19:04:58.1519360Z,,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,f4a60d7e-6453-457e-a667-4c152ffd5b01,55.01875,-132.17772,13.33267,5.58473,-5.93468,-8.392,-2.14412,10.41864,-7.34899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,14:05:12.86,1,5,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Wilson, Alex",1000077266,Right,ALA_LIO,Undefined,1,Top,0,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.19119,-2.135722,-3.768561,2318.990108,237.453331,2:00,5.61184,2.17302,5.56614,-21.49375,12.72253,18.16103,1.8203,0.16084,83.1642,-6.142039,-0.535218,0.421006,84.76363,-16.01254,31.993576,,,,,6.14654,5.89898,29.301277,0.049698,-10.26855,7.37756,-1.8599,50,5.41322,7.88529,-132.0716,-5.68188,-18.09984,28.66726,-19.17003,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,61f8cd10-22d1-11f0-8e57-4daecdd50655,89.52954,1.70702,,8.02699,,,,0.31545,1.70702,-0.14336,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:05:12.86,2025-04-26T14:05:12.8605696-05:00,2025-04-26T19:05:12.8605696Z,GroundBall,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,1d87cae4-8d5a-4398-a99d-81b97a9ce87e,54.93393,-133.13825,14.33363,5.61137,-4.96861,-9.58501,-2.16582,8.55874,-9.04992,180,0.31415,101.50737,,,,,,,,1.70746,-34.34802,,,,,,,,-0.14417,63.41302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-04-26,14:05:46.24,2,1,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Billingsley, Ryker",1000243906,Left,ALA_LIO,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.3188,-2.059033,-2.846339,2193.841534,230.285559,1:45,5.70294,2.31591,5.44413,-19.63635,15.20713,16.97658,2.13547,1.06337,82.69002,-5.723833,0.172537,0.424847,72.09344,31.12038,-167.894648,2955.968817,-106.77335,33.5629,-26.44606,196.09916,54.62312,-166.775571,2.598643,-9.38666,8.56355,-2.07653,50,5.50742,5.75955,-130.96985,-5.38636,-16.33348,27.19165,-17.27281,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,75e35f70-22d1-11f0-8e57-4daecdd50655,88.7201,33.86992,,7.62878,,,,2.16344,2.29858,-1.06132,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:05:46.24,2025-04-26T14:05:46.2475264-05:00,2025-04-26T19:05:46.2475264Z,FlyBall,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,1c192529-da05-49c6-a6c2-83c7d2c37a38,55.05684,-132.01557,13.59583,5.70179,-4.72209,-8.6364,-2.31011,6.38769,-8.16674,340.531643,2.16353,-88.51309,6.09908,-0.58896,0.52019,-0.50142,0.28203,-0.0774,0.00812,2.29872,54.64192,-26.50223,2.91494,-0.47546,0.05356,-0.01903,0.00996,-0.00156,-1.06117,-18.9913,-1.01186,0.92326,0.11047,-0.28568,0.16061,-0.04094,0.00399,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
7,2025-04-26,14:06:01.00,2,2,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Billingsley, Ryker",1000243906,Left,ALA_LIO,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.50222,0.160737,-3.308818,2186.552832,226.939917,1:30,5.73865,2.14516,5.2892,-18.70277,16.34536,16.26434,4.33127,0.39004,82.24324,-3.352773,-0.428606,0.426092,,,,,,,,,,,,-9.03784,8.45859,-1.85573,50,5.74005,6.82007,-131.13348,-0.26586,-15.70763,28.21869,-17.4732,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,7e974f00-22d1-11f0-8e57-4daecdd50655,88.46073,,,8.25898,,,,,,,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:06:01.00,2025-04-26T14:06:01.0038784-05:00,2025-04-26T19:06:01.0038784Z,,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,b64fe88e-302b-4293-b5bf-58fcdc86b841,55.2092,-132.2497,14.10935,5.7369,0.42531,-8.7366,-2.13779,7.4414,-7.85382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-26,14:06:13.95,2,3,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Billingsley, Ryker",1000243906,Left,ALA_LIO,Undefined,1,Top,1,1,1,Fastball,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.5985,-1.036091,-2.396868,2125.758494,227.685575,1:30,5.75569,2.20214,5.45184,-19.7306,14.83438,15.10387,3.14055,1.21559,82.88172,-4.723793,0.289935,0.423145,,,,,,,,,,,,-8.24205,8.07611,-2.00118,50,5.65083,4.81578,-131.4582,-3.05481,-14.45683,27.25227,-18.0083,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,86495ef0-22d1-11f0-8e57-4daecdd50655,89.07682,,,7.71678,,,,,,,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:06:13.95,2025-04-26T14:06:13.9517440-05:00,2025-04-26T19:06:13.9517440Z,,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,2b3a3829-9997-47ec-803e-4b41ce2eb68f,55.04753,-132.50045,13.62614,5.75449,-2.36609,-9.00415,-2.19593,5.36867,-7.22842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,14:06:28.38,2,4,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Billingsley, Ryker",1000243906,Left,ALA_LIO,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.59205,-0.649612,-2.89738,2098.326675,222.358503,1:30,5.71371,1.99409,5.47664,-19.30111,14.44036,12.22237,3.49661,0.29911,83.89021,-4.256807,-0.724068,0.418074,72.06462,28.56783,-166.34114,2820.567207,-106.83533,29.01809,-26.19436,186.80857,54.52054,-166.278663,2.359823,-6.95508,7.77162,-1.74817,50,5.64366,6.17481,-132.89872,-2.17679,-12.49101,27.36798,-18.21656,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,8efb2ba0-22d1-11f0-8e57-4daecdd50655,90.15727,29.80728,,7.70184,,,,0.63981,3.48884,-0.28635,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:06:28.38,2025-04-26T14:06:28.3840000-05:00,2025-04-26T19:06:28.3840000Z,FlyBall,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,df2fd0fe-e4a3-4c2f-b20b-8a9ade096849,55.02356,-133.92923,13.68399,5.71271,-1.49087,-9.10828,-1.98953,6.64515,-6.24551,1.984768,0.63984,-90.20254,5.72097,-0.18085,-0.0234,0.09883,-0.06957,0.02512,-0.00361,3.48881,50.54593,-26.95947,3.21137,-0.95592,0.44623,-0.18565,0.0461,-0.00476,-0.28635,-21.92053,1.65699,-0.19147,0.05074,-0.01297,0.00102,0.00125,-0.00033,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
10,2025-04-26,14:06:45.14,2,5,"Glidewell, Lyndon",830389,Right,AUS_GOV,"Billingsley, Ryker",1000243906,Left,ALA_LIO,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.57455,0.18895,-3.978215,2001.254549,292.476439,3:45,5.27845,2.25755,5.31147,-49.76822,-5.1567,16.23824,1.30888,-0.12932,73.25256,-8.856478,-1.097118,0.480723,,,,,,,,,,,,-9.42481,-2.24307,-1.90865,50,5.25924,7.45086,-116.63856,-1.38546,-12.82427,24.45181,-35.22618,AUS_GOV,ALA_LIO,RaymondHand,D1,ASUN,20250426-RaymondHand-1,99049910-22d1-11f0-8e57-4daecdd50655,78.40779,,,7.32199,,,,,,,4e8432dd-7a6e-4ee9-9504-b1be03b580d7,2025-04-26,19:06:45.14,2025-04-26T14:06:45.1484672-05:00,2025-04-26T19:06:45.1484672Z,,v3,471237,471594,26 April 2025 15:00-northalabama@austinpeay,"Conley, Trevor",800753,Right,AUS_GOV,6ba24288-046c-42e3-a9dd-2f69446831a5,55.18991,-117.72153,12.22591,5.28605,0.17471,-17.61309,-2.25122,8.01885,-6.41213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
