PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,13:06:32.98,1,1,"Chriss, Donovan",809255,Right,STM_GAE,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.80748,-3.95815,-0.924083,2162.405352,204.599848,12:45,6.12903,0.61202,5.99799,-21.52186,13.12489,5.4963,0.66133,0.21366,82.38784,-7.970288,0.065484,0.423646,,,,,,,,,,,,-3.12126,8.21937,-0.54241,50,5.80503,1.87817,-130.20816,-9.69483,-5.3496,27.76528,-18.08667,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,f3854350-22d9-11f0-a422-2f2e7d4e4a08,88.97163,,,7.41965,,,,,,,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:06:32.98,2025-04-26T13:06:32.9824256-07:00,2025-04-26T20:06:32.9824256Z,,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,8310d7ae-6c94-4ea7-86aa-cd3273640b46,54.50419,-131.1651,13.88264,6.12843,-9.07146,-9.04333,-0.61032,2.06255,-2.6748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,13:06:48.86,1,2,"Chriss, Donovan",809255,Right,STM_GAE,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.33078,-2.906363,-1.286867,2122.575688,196.656922,12:30,5.94164,0.86914,5.7301,-18.47989,17.01288,4.72898,1.69182,0.06451,81.32625,-6.391803,-0.440537,0.428787,,,,,,,,,,,,-2.78374,9.87229,-0.76474,50,5.68778,2.7035,-129.47982,-7.14634,-4.69804,28.51773,-15.51299,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,fd0b7700-22d9-11f0-a422-2f2e7d4e4a08,87.90481,,,8.00453,,,,,,,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:06:48.86,2025-04-26T13:06:48.8636928-07:00,2025-04-26T20:06:48.8636928Z,,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,e953f4df-5cac-4023-8305-5d9c8680a084,54.76915,-130.52599,14.25887,5.9395,-6.57725,-7.7565,-0.86708,2.87584,-2.34902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,13:07:04.29,1,3,"Chriss, Donovan",809255,Right,STM_GAE,"Hassert, Cameron",1000077641,Left,LOY_LIO,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,78.71251,-0.539496,-2.101739,1398.986811,258.861204,2:45,5.69184,1.21246,5.77082,-42.27231,3.67496,10.30808,1.66672,0.11464,71.41019,-8.343087,-0.253879,0.487867,92.45822,8.214624,22.374502,2957.141026,,,,116.32735,112.9723,25.197862,0.950589,-5.96843,2.48504,-1.04506,50,5.62163,3.80159,-114.13714,-2.40534,-7.7495,24.0887,-28.94744,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,06346f80-22da-11f0-a422-2f2e7d4e4a08,77.25967,5.78128,,7.30232,,,,2.50685,1.82421,-0.13109,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:07:04.29,2025-04-26T13:07:04.2947072-07:00,2025-04-26T20:07:04.2947072Z,LineDrive,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,82f89db6-1448-4e59-a348-9f6b0a75d965,54.72987,-115.13105,12.04435,5.69624,-1.21095,-14.47372,-1.20851,4.12134,-3.87475,299.026578,2.50685,124.10961,-19.402,3.23307,-0.67488,0.12261,-0.02468,0.00459,-0.0005,1.82421,19.37548,-24.9329,3.23014,-0.72779,0.166,-0.03522,0.00698,-0.00084,-0.13109,51.08969,2.49231,-1.74938,0.5336,-0.14856,0.03592,-0.00759,0.00094,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-04-26,13:07:47.42,2,1,"Chriss, Donovan",809255,Right,STM_GAE,"Ankeney, Beau",801954,Right,LOY_LIO,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.1662,-0.151445,-1.812066,2285.880605,84.823824,8:45,5.78035,1.27627,5.16154,-48.29597,0.17224,-15.2417,1.61307,-1.70008,70.90035,-8.894402,-4.511674,0.501072,,,,,,,,,,,,7.07327,0.59437,-1.09493,50,5.72926,4.14617,-111.92858,-1.95705,8.92193,21.27845,-31.42433,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,1fe45d00-22da-11f0-a422-2f2e7d4e4a08,75.22363,,,6.26585,,,,,,,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:07:47.42,2025-04-26T13:07:47.4203136-07:00,2025-04-26T20:07:47.4203136Z,,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,2b1b9592-3015-4e91-9fb7-ddf1e4e809bb,55.34034,-112.93925,10.63923,5.78677,-0.46447,-15.71216,-1.2818,3.7224,4.46096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,13:08:22.08,2,2,"Chriss, Donovan",809255,Right,STM_GAE,"Ankeney, Beau",801954,Right,LOY_LIO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.8719,-2.110255,-1.15244,2093.964249,207.479822,1:00,6.29671,0.84248,5.57582,-17.61544,18.20517,8.74174,2.85641,0.49439,80.39213,-5.478136,0.407427,0.430762,71.62494,55.684661,157.767585,4575.683449,,,,,46.05425,,,-4.81559,10.32634,-0.74913,50,6.10392,2.22273,-130.08383,-5.3277,-8.05981,33.19892,-14.89096,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,34885450-22da-11f0-a422-2f2e7d4e4a08,87.50168,56.52405,,9.47977,,,,1.15483,2.97937,-0.49052,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:08:22.08,2025-04-26T13:08:22.0856832-07:00,2025-04-26T20:08:22.0856832Z,,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,39ab272b-b710-47cb-8fc0-d083429b02eb,54.92136,-131.33381,16.59946,6.29396,-4.76704,-7.44548,-0.83853,2.52619,-4.0299,333.445137,1.15483,-54.81877,1.49645,0.35757,-0.11875,0.04049,-0.00972,0.00228,-0.00034,2.97937,86.76555,-30.57075,4.13526,-0.93392,0.20352,-0.04353,0.00898,-0.00109,-0.49052,22.40731,-6.66563,0.56177,-0.07537,-0.00251,0.00131,-0.00063,0.00015,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
6,2025-04-26,13:08:41.10,2,3,"Chriss, Donovan",809255,Right,STM_GAE,"Ankeney, Beau",801954,Right,LOY_LIO,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.77619,-1.40992,-1.932643,2185.829646,201.534196,12:45,6.33772,0.65876,5.44986,-11.77201,24.6345,9.11812,4.03569,-0.3915,79.37799,-3.76724,-0.311122,0.434271,72.09242,34.440084,127.70578,3726.446185,,,,,46.76811,,,-5.2454,13.25221,-0.49432,50,6.20572,3.94595,-129.74145,-3.44101,-8.65815,35.1338,-10.29966,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,3fd08350-22da-11f0-a422-2f2e7d4e4a08,86.79473,28.09884,,10.3982,,,,-1.23899,3.57146,0.79384,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:08:41.10,2025-04-26T13:08:41.1051520-07:00,2025-04-26T20:08:41.1051520Z,,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,20a5ab0e-965c-4a67-92c5-1734a615e3f8,55.04343,-131.10009,17.5669,6.33109,-3.04272,-5.14983,-0.65339,4.28076,-4.32907,,-1.23899,-53.33326,-1.43284,1.8868,-0.59403,0.1719,-0.04134,0.01088,-0.0022,3.57146,59.79802,-29.35417,4.30701,-0.95612,0.19829,-0.03739,0.00852,-0.0014,0.79384,68.99079,-10.65549,0.85939,-0.03955,-0.0492,0.01565,-0.00298,0.0002,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-04-26,13:09:20.66,2,4,"Chriss, Donovan",809255,Right,STM_GAE,"Ankeney, Beau",801954,Right,LOY_LIO,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,Popup,Out,1,0,,76.578,0.291192,-0.584193,2348.747823,71.384061,8:30,5.90415,0.98352,5.43685,-51.26735,-2.02354,-11.27501,1.90458,-0.50316,69.47394,-9.077768,-2.594811,0.505065,79.34058,65.673894,-19.148099,,100.33831,114.0305,-45.07996,143.86775,134.27765,-24.83821,5.876064,5.51658,-0.6613,-0.92361,50,5.89442,1.56204,-111.03864,-1.11935,6.75821,23.36104,-32.9842,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,57a01810-22da-11f0-a422-2f2e7d4e4a08,74.62889,141.07239,,7.10405,,,,2.14323,2.88173,0.19774,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:09:20.66,2025-04-26T13:09:20.6607360-07:00,2025-04-26T20:09:20.6607360Z,Popup,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,7bf8937c-ca3f-4330-b2dd-f536fd4a5a32,55.06438,-112.09905,11.68052,5.91125,0.37788,-16.4921,-0.98755,1.25527,3.37911,174.874125,2.1518,45.10661,-12.71926,2.79657,-0.04598,-0.15094,0.0426,-0.00515,0.00024,2.86585,106.29774,-26.09248,3.94546,-1.26516,0.3363,-0.05873,0.00556,-0.00021,0.19428,-15.65929,2.41884,-0.31193,-0.12335,0.07335,-0.01668,0.00184,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2025-04-26,13:10:02.65,3,1,"Chriss, Donovan",809255,Right,STM_GAE,"Savoie, Nate",832476,Right,LOY_LIO,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,71.48678,2.264939,0.361219,2213.962255,48.904559,7:45,6.06723,0.7044,5.05296,-69.45208,-11.82729,-16.00942,2.41693,-0.28902,64.69585,-10.302467,-2.474434,0.546356,,,,,,,,,,,,8.01666,-5.95166,-0.72552,50,6.22791,-0.03775,-103.52045,1.77458,8.50044,20.96425,-38.48485,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,70755d00-22da-11f0-a422-2f2e7d4e4a08,68.98874,,,6.79093,,,,,,,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:10:02.65,2025-04-26T13:10:02.6526208-07:00,2025-04-26T20:10:02.6526208Z,,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,c2719488-e6d3-4138-a56f-401a29d97ba9,55.4498,-104.61828,10.48212,6.08221,3.78991,-19.24243,-0.71189,-0.48289,4.25022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,13:10:38.91,3,2,"Chriss, Donovan",809255,Right,STM_GAE,"Savoie, Nate",832476,Right,LOY_LIO,Undefined,1,Top,1,0,1,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,77.11186,0.687561,0.034108,2319.71877,89.344398,9:00,5.79705,1.04236,5.09573,-47.10762,1.36965,-14.64249,2.51942,-0.14571,70.75338,-7.864215,-2.558508,0.501119,107.39974,9.867232,-30.82027,2303.15288,92.17788,9.77607,-60.02693,173.79293,173.79293,-35.346733,1.338366,7.35575,0.8763,-1.03332,50,5.82481,0.50901,-111.92806,-0.27475,9.3036,20.76344,-31.06569,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,86312cf0-22da-11f0-a422-2f2e7d4e4a08,75.2166,10.46258,,6.35848,,,,2.92705,2.75745,0.1347,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:10:38.91,2025-04-26T13:10:38.9130240-07:00,2025-04-26T20:10:38.9130240Z,LineDrive,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,7f78ee0a-8930-41a2-b9b1-e4ad05c1f438,55.40721,-112.92668,10.38172,5.80209,1.21936,-15.53285,-1.04704,0.06156,4.6518,,2.92705,133.27322,-27.83028,5.7149,-1.39161,0.33232,-0.07812,0.01481,-0.00152,2.75745,26.99341,-25.61,3.87804,-0.97233,0.25065,-0.05919,0.0114,-0.0012,0.1347,-79.5107,2.50733,0.83807,-0.35575,0.12144,-0.03278,0.00678,-0.00074,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-26,13:11:33.55,4,1,"Chriss, Donovan",809255,Right,STM_GAE,"Ayers, Robbie",801901,Right,LOY_LIO,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.44963,-2.68427,-1.715809,2100.029748,196.407953,12:30,6.23424,0.70923,5.54168,-14.30095,21.0434,5.79713,2.53073,-0.41181,81.11241,-5.450607,-0.682732,0.427889,70.15618,24.094275,155.305689,3581.063022,-103.38147,20.88769,37.57957,162.37643,48.173,162.6021,2.183939,-3.51012,11.92182,-0.56443,50,5.9924,3.6585,-130.87507,-6.53714,-5.96598,32.78284,-11.91108,STM_GAE,LOY_LIO,RonaldGallagherStad,D1,WCC,20250426-RonaldGallagherStad-1,a6a87c40-22da-11f0-a422-2f2e7d4e4a08,88.0892,23.00132,,9.33722,,,,1.30087,2.50607,0.39584,697e3170-b84b-458c-ab15-bf3dbe16528d,2025-04-26,20:11:33.55,2025-04-26T13:11:33.5505920-07:00,2025-04-26T20:11:33.5505920Z,LineDrive,v3,471428,471343,26 April 2025 16:00-loyolamary@stmarysca,"Armstrong, Ian",1000321869,Right,STM_GAE,c2b87e95-ce26-4a9e-865c-7041e0a3bffa,54.95627,-132.11073,16.39142,6.23034,-6.08819,-5.95554,-0.70656,3.88337,-2.98299,298.057611,1.30087,-85.34038,6.3849,0.06718,-0.22082,0.19433,-0.10761,0.03729,-0.00545,2.50606,42.0066,-23.65787,2.59707,-0.56135,0.12544,-0.02649,0.00536,-0.00062,0.39582,39.24285,-11.23066,2.38159,-0.50668,0.0134,0.05747,-0.02693,0.00428,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
