PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,16:04:49.02,1,1,"Gomez, Brandon",813776,Left,SAN_BRO,"McClellin, Brian",695032,Right,PAC_TIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.2607,-1.124639,-0.052778,2361.742223,146.00482,10:45,5.71232,-1.27564,6.60912,-17.73261,17.22808,-10.69225,3.20433,-2.215,79.63793,-4.584421,-1.998124,0.42556,,,,,,,,,,,,5.51477,9.80445,1.28265,50,5.62809,0.5581,-129.46098,-2.9621,9.10807,33.78748,-15.98123,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,b55fafc0-22d9-11f0-883a-a70434a1dbbb,88.5713,,,9.62277,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:04:49.02,2025-04-26T16:04:49.0279936-04:00,2025-04-26T20:04:49.0279936Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,2fd53fc8-4a5f-494f-a037-16186578002e,53.88407,-130.47073,16.89374,5.70948,-2.4845,-7.99061,1.27004,0.28591,4.55404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,16:05:04.99,1,2,"Gomez, Brandon",813776,Left,SAN_BRO,"McClellin, Brian",695032,Right,PAC_TIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,90.69828,-2.118005,1.153843,2355.966272,158.319092,11:15,5.69634,-1.25261,6.31551,-12.84367,21.77592,-8.06792,2.67385,-0.86198,80.07745,-4.693747,-0.30551,0.42348,,,,,,,,,,,,4.56323,12.44839,1.17142,50,5.53471,-2.2891,-131.24229,-5.09489,7.67359,37.04599,-11.24063,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,bee08c40-22d9-11f0-883a-a70434a1dbbb,89.00652,,,10.62084,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:05:04.99,2025-04-26T16:05:04.9915904-04:00,2025-04-26T20:05:04.9915904Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,07291446-b00e-445e-8ac1-d82559506889,54.1755,-132.41567,18.523,5.69045,-4.73886,-5.62032,1.24778,-2.53215,3.83679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,16:05:23.54,1,3,"Gomez, Brandon",813776,Left,SAN_BRO,"McClellin, Brian",695032,Right,PAC_TIG,Undefined,1,Top,0,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.03332,-2.154348,1.199031,2365.789162,139.969942,10:45,5.72939,-1.23836,6.23446,-16.00249,17.86847,-13.94772,2.40705,-1.29438,81.84311,-5.250891,-1.320795,0.418876,,,,,,,,,,,,7.57437,10.31804,1.15528,50,5.56057,-2.16732,-131.9884,-5.38362,13.1135,32.95712,-14.31045,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,ca0afa10-22d9-11f0-883a-a70434a1dbbb,89.98479,,,9.19021,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:05:23.54,2025-04-26T16:05:23.5484672-04:00,2025-04-26T20:05:23.5484672Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,1bf1209a-bd95-4bfb-b7f8-6730234eb5f7,54.26181,-133.0483,16.47856,5.7263,-4.9234,-7.15522,1.23177,-2.58905,6.55675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,16:05:42.36,1,4,"Gomez, Brandon",813776,Left,SAN_BRO,"McClellin, Brian",695032,Right,PAC_TIG,Undefined,1,Top,0,1,2,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,83.27889,-1.335875,0.651745,2516.863008,255.918869,2:30,5.50428,-1.58587,6.00059,-39.12022,1.5015,0.29303,1.00614,-0.95751,75.70279,-8.566552,0.70457,0.458723,,,,,,,,,,,,0.05819,1.57831,1.53443,50,5.37771,-1.38614,-120.86385,-4.08377,0.08479,26.89011,-29.87481,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,d54b87f0-22d9-11f0-883a-a70434a1dbbb,82.16819,,,7.5761,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:05:42.36,2025-04-26T16:05:42.3662592-04:00,2025-04-26T20:05:42.3662592Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,661a8a7d-b9b8-4be0-84cf-1af7823bea0a,54.49892,-121.86067,13.44505,5.50857,-2.97631,-14.93741,1.58588,-1.38928,0.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,16:06:07.94,1,5,"Gomez, Brandon",813776,Left,SAN_BRO,"McClellin, Brian",695032,Right,PAC_TIG,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,91.63269,-3.325857,2.322246,2439.687778,142.296636,10:45,5.64228,-1.26422,6.48413,-12.99249,20.08584,-14.58686,1.49995,-0.34643,82.65946,-5.877357,-0.323314,0.413945,,,,,,,,,,,,8.34493,11.91371,1.10682,50,5.40218,-4.78609,-132.77477,-8.00575,14.67446,32.38823,-11.22399,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,e4805a70-22d9-11f0-883a-a70434a1dbbb,91.05655,,,8.97323,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:06:07.94,2025-04-26T16:06:07.9400000-04:00,2025-04-26T20:06:07.9400000Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,5d014b28-c764-40c0-bd0a-5839fa0a3e50,54.01355,-133.75023,16.19411,5.63821,-7.66771,-5.61199,1.25762,-5.22804,7.33723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.69448,,,1.155615,,,,0.3866,6.18405,3.03506,69.8617,5.278,-54.93143,0.42205,64.06927,-3.44199,6.25114,15.50405,-14.13893,2.91589,-57.9695,6.83855,High,High,High,,,High,High,High
6,2025-04-26,16:06:41.08,2,1,"Gomez, Brandon",813776,Left,SAN_BRO,"Bicknell, Drake",824208,Right,PAC_TIG,Undefined,1,Top,1,0,0,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,83.12136,-1.780222,2.62805,2420.151995,32.572,7:00,5.49786,-1.77999,6.08613,-44.23298,-3.66512,-3.2126,0.16262,0.38523,76.08471,-9.901288,2.04822,0.458419,,,,,,,,,,,,2.49654,-1.03315,1.5788,50,5.33668,-5.41607,-120.5934,-5.18026,3.63418,25.96653,-33.678,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,f845d8a0-22d9-11f0-883a-a70434a1dbbb,82.22269,,,7.03665,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:06:41.08,2025-04-26T16:06:41.0859520-04:00,2025-04-26T20:06:41.0859520Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,6a02d113-63f6-42f6-825a-bb248096fad0,54.41542,-121.54042,12.98327,5.50321,-3.95199,-16.839,1.77874,-5.54861,1.81709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-26,16:06:56.24,2,2,"Gomez, Brandon",813776,Left,SAN_BRO,"Bicknell, Drake",824208,Right,PAC_TIG,Undefined,1,Top,1,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.80838,0.920685,1.102092,2310.551451,325.982436,4:45,5.50932,-1.68249,5.73288,-44.24321,-2.34945,2.44421,2.68003,-0.45233,75.21456,-7.18916,1.53983,0.46585,,,,,,,,,,,,-0.93567,-1.00917,1.58915,50,5.55908,-2.38429,-118.85386,0.39549,-1.34042,22.46078,-33.61974,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,013830c0-22da-11f0-883a-a70434a1dbbb,80.91111,,,6.59383,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:06:56.24,2025-04-26T16:06:56.2438656-04:00,2025-04-26T20:06:56.2438656Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,24a7d25c-74f8-414a-bf74-3ed65603dd83,54.76725,-119.75138,11.23039,5.51644,1.73891,-16.80987,1.68336,-2.33073,-0.67021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-26,16:07:09.66,2,3,"Gomez, Brandon",813776,Left,SAN_BRO,"Bicknell, Drake",824208,Right,PAC_TIG,Undefined,1,Top,1,1,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,91.12521,-2.184999,1.913059,2321.667886,143.567695,10:45,5.73898,-1.29022,6.17263,-13.04855,21.00281,-14.52493,2.63144,-0.73307,81.47595,-4.761143,-0.706356,0.41999,,,,,,,,,,,,8.05745,11.91442,1.15201,50,5.56654,-3.76755,-131.98217,-5.3211,13.89429,33.95097,-11.62876,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,0934b730-22da-11f0-883a-a70434a1dbbb,89.7461,,,9.64926,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:07:09.66,2025-04-26T16:07:09.6692224-04:00,2025-04-26T20:07:09.6692224Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,0f35cb8d-59af-4fc7-acd3-295b4a5b7109,54.32172,-133.08924,16.97549,5.73386,-4.94191,-5.81438,1.28225,-4.22061,6.94715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,16:07:24.22,2,4,"Gomez, Brandon",813776,Left,SAN_BRO,"Bicknell, Drake",824208,Right,PAC_TIG,Undefined,1,Top,1,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.43694,-2.589055,1.034491,2422.309102,145.886872,10:45,5.6697,-1.34933,6.44442,-12.74607,20.63911,-13.11942,2.22656,-1.49196,82.02006,-5.109462,-1.344769,0.415861,,,,,,,,,,,,7.16394,11.9978,1.28121,50,5.47987,-1.84825,-132.56841,-6.26162,12.48073,33.89821,-11.27199,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,11fb4460-22da-11f0-883a-a70434a1dbbb,90.63713,,,9.41688,,,,,,,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:07:24.22,2025-04-26T16:07:24.2296320-04:00,2025-04-26T20:07:24.2296320Z,,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,2928239f-c03d-497c-b797-e0c69e356611,54.05192,-133.60048,16.9491,5.66528,-5.91843,-5.636,1.34326,-2.22824,6.24036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,16:07:40.75,2,5,"Gomez, Brandon",813776,Left,SAN_BRO,"Bicknell, Drake",824208,Right,PAC_TIG,Undefined,1,Top,1,2,2,Slider,Slider,InPlay,Undefined,GroundBall,Error,0,0,,82.98935,0.929275,1.128054,2392.910948,324.111537,4:45,5.53331,-1.6118,5.81139,-42.32239,-1.66835,2.11559,2.87083,-0.38639,76.13175,-6.849679,1.507449,0.458906,77.88209,-38.929965,-20.44694,,,,,4.3319,4.3319,-11.233356,0.039132,-0.76831,-0.76012,1.51804,50,5.58414,-2.45725,-120.57703,0.52415,-1.13024,23.61042,-33.29223,SAN_BRO,PAC_TIG,StephenSchottBBS,D1,WCC,20250426-StephenSchottBBS-1,1bd627c0-22da-11f0-883a-a70434a1dbbb,82.13549,2.81808,,6.85761,,,,0.97996,2.81808,0.37488,06d6f65a-c907-48ee-899c-c62f0ae04445,2025-04-26,20:07:40.75,2025-04-26T16:07:40.7504384-04:00,2025-04-26T20:07:40.7504384Z,GroundBall,v3,471436,471406,26 April 2025 16:00-pacific@santaclara,"Smith, Connor",1000335387,Right,SAN_BRO,44904fa9-b8ee-4de4-b1d6-481a268829db,54.68968,-121.49185,11.80521,5.53885,1.81411,-16.64612,1.6124,-2.41345,-0.56512,,0.97822,83.53687,,,,,,,,2.81958,-72.01516,,,,,,,,0.37553,-31.14501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
