PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-26,14:04:19.91,1,1,"Barnett, Michael",1000131946,Right,UCLA,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.91886,0.512289,-3.39402,2015.39669,237.127956,2:00,5.86149,2.17453,6.78975,-22.72643,11.77516,16.38954,4.4361,0.43843,80.41533,-3.841446,-0.408481,0.422757,,,,,,,,,,,,-9.61461,6.42272,-1.95862,50,5.88614,7.01595,-129.04768,0.54728,-16.05378,29.32198,-21.44986,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,05d05ce0-22e2-11f0-9894-33bb096e317f,89.15861,,,8.50353,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:04:19.91,2025-04-26T14:04:19.9153152-07:00,2025-04-26T21:04:19.9153152Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,c05a54d1-4be8-44a2-9b19-fe99428bb212,53.7097,-129.88786,14.66099,5.86165,1.1619,-10.72493,-2.16624,7.47595,-8.02689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-26,14:04:36.29,1,2,"Barnett, Michael",1000131946,Right,UCLA,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,1,0,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,78.73434,-0.360193,-3.037801,2496.631229,63.443348,8:00,5.82717,2.46492,6.02864,-50.5042,-4.99307,-13.09005,1.28442,-1.44199,71.93439,-9.623456,-5.391402,0.485546,,,,,,,,,,,,5.7037,-1.89748,-2.2205,50,5.7725,6.55016,-114.1653,-2.32209,7.41174,24.04012,-34.63975,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,0fa3ed40-22e2-11f0-9894-33bb096e317f,77.62903,,,6.79996,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:04:36.29,2025-04-26T14:04:36.2949632-07:00,2025-04-26T21:04:36.2949632Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,c751bf73-e63d-48aa-b760-3d1a64740b06,54.47263,-115.10326,12.02006,5.83673,-0.97057,-17.31988,-2.47042,6.26098,3.70587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-26,14:04:53.13,1,3,"Barnett, Michael",1000131946,Right,UCLA,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,2,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.01414,-0.653526,-2.956801,2105.263605,228.320876,1:30,5.9377,2.04514,6.69892,-21.36655,13.4845,13.68434,3.55872,0.47927,79.89078,-4.768233,-0.466437,0.424893,,,,,,,,,,,,-8.09741,7.69182,-1.8524,50,5.88561,6.1174,-129.07884,-2.0356,-13.39851,31.69041,-19.44669,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,19bc00b0-22e2-11f0-9894-33bb096e317f,88.71048,,,9.12336,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:04:53.13,2025-04-26T14:04:53.1372544-07:00,2025-04-26T21:04:53.1372544Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,bef56871-3310-47dc-9565-a11d6bf3a8bf,53.79801,-130.00795,15.8452,5.93693,-1.46546,-9.72334,-2.03751,6.51022,-6.69926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-26,14:05:09.47,1,4,"Barnett, Michael",1000131946,Right,UCLA,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,2,1,Sweeper,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.24708,-0.71425,-2.418725,2534.093457,66.350461,8:15,5.80216,2.44718,6.12395,-48.37861,-3.89213,-12.20201,1.10968,-0.80705,72.7349,-9.599308,-4.619489,0.480049,,,,,,,,,,,,5.52591,-1.28413,-2.25601,50,5.72302,5.31015,-115.03718,-2.94988,7.33074,23.33537,-33.8776,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,23668540-22e2-11f0-9894-33bb096e317f,78.51792,,,6.51217,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:05:09.47,2025-04-26T14:05:09.4705152-07:00,2025-04-26T21:05:09.4705152Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,0dd5aecc-3e52-4c63-819d-981d17c0bb08,54.378,-115.92186,11.66768,5.81051,-1.66553,-16.9388,-2.45206,5.03223,3.66537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-26,14:05:29.58,1,5,"Barnett, Michael",1000131946,Right,UCLA,"Weingartner, Ryan",1000115816,Right,PEN_NIT,Undefined,1,Top,0,3,1,Sinker,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,89.53304,-0.330029,-3.77596,2069.365911,250.39988,2:15,5.74571,2.40711,6.84917,-26.39923,7.85418,18.49418,3.24419,0.5003,80.45282,-5.366311,-0.402985,0.421234,67.69635,5.141492,-21.072214,1953.839756,,,,65.21809,63.19778,-21.69009,0.686521,-11.02662,4.6502,-2.17099,50,5.71516,7.86213,-129.84192,-1.4926,-18.46162,32.06718,-24.3883,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,2f725260-22e2-11f0-9894-33bb096e317f,89.48105,4.13356,,9.08022,,,,0.88135,3.16216,-0.4901,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:05:29.58,2025-04-26T14:05:29.5828992-07:00,2025-04-26T21:05:29.5828992Z,GroundBall,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,f1875aee-7021-40e6-92a5-72c5e1f46315,53.65103,-130.74051,16.03359,5.74741,-0.80919,-12.19415,-2.39855,8.37947,-9.23081,20.487662,0.88662,92.17027,-7.56983,,,,,,,3.18249,8.50058,-19.17556,,,,,,,-0.48901,-35.57567,1.71363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-04-26,14:06:07.81,2,1,"Barnett, Michael",1000131946,Right,UCLA,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,1,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.12772,-1.109756,-4.386546,2155.509966,246.911614,2:15,5.8445,2.17785,6.7593,-24.87927,9.1815,18.49489,2.75448,-0.29539,80.81157,-5.859468,-1.022595,0.420048,,,,,,,,,,,,-11.10319,5.62091,-1.89531,50,5.7624,9.26118,-130.49873,-3.2438,-18.75203,32.74443,-22.68101,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,461e0090-22e2-11f0-9894-33bb096e317f,89.73371,,,9.31615,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:06:07.81,2025-04-26T14:06:07.8128640-07:00,2025-04-26T21:06:07.8128640Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,296ee97b-0c7a-41e9-b782-4b329788a83a,53.7385,-131.43344,16.37222,5.84575,-2.59636,-11.34051,-2.16731,9.79647,-9.37602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-26,14:06:21.85,2,2,"Barnett, Michael",1000131946,Right,UCLA,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,1,0,1,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.54089,-0.470164,-3.675359,2477.781759,79.272524,8:45,5.89068,2.51749,5.82224,-45.58282,-0.65791,-11.4782,1.65407,-1.86087,72.65448,-8.817925,-5.726844,0.482408,,,,,,,,,,,,4.65457,0.34449,-2.2099,50,5.82581,7.84725,-115.20653,-2.43277,6.17671,23.92462,-31.71692,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,4e8d6d10-22e2-11f0-9894-33bb096e317f,78.13386,,,6.88641,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:06:21.85,2025-04-26T14:06:21.8528256-07:00,2025-04-26T21:06:21.8528256Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,d855a06a-152a-4635-9573-36ca47022b27,54.67773,-116.17388,11.96231,5.89824,-1.15035,-15.85846,-2.52214,7.5975,3.08836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-26,14:06:38.24,2,3,"Barnett, Michael",1000131946,Right,UCLA,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,1,1,1,Sweeper,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.19825,1.268935,-1.94772,2480.305771,61.01569,8:00,5.86302,2.43317,5.71491,-52.36877,-6.9341,-15.31505,2.682,-0.65831,72.08518,-8.317414,-4.686657,0.485138,,,,,,,,,,,,7.10792,-3.39181,-2.26081,50,5.93743,4.50882,-114.86971,0.78203,9.35804,24.18634,-36.63958,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,584ed500-22e2-11f0-9894-33bb096e317f,77.6943,,,7.11307,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:06:38.24,2025-04-26T14:06:38.2437376-07:00,2025-04-26T21:06:38.2437376Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,3122b9a5-4ab3-4338-b758-f8ae75c5d614,54.78725,-115.8733,12.09317,5.87344,2.30236,-18.31979,-2.43984,4.12052,4.67902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-26,14:06:56.76,2,4,"Barnett, Michael",1000131946,Right,UCLA,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,1,1,2,Sweeper,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.02799,-0.797265,-0.72508,2634.713782,76.077125,8:30,5.81243,2.42531,5.91984,-45.26502,-1.46803,-11.66005,1.30034,0.7807,73.4292,-9.105398,-2.823641,0.476314,,,,,,,,,,,,5.77949,-0.10413,-2.36055,50,5.72285,1.90757,-116.25149,-3.06916,7.84878,23.34743,-32.31548,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,637439c0-22e2-11f0-9894-33bb096e317f,79.13357,,,6.5988,,,,,,,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:06:56.76,2025-04-26T14:06:56.7662592-07:00,2025-04-26T21:06:56.7662592Z,,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,4dc6ee68-1e7a-475e-9263-6c31b997b9a4,54.58292,-117.16829,11.67371,5.81845,-1.80021,-16.15774,-2.4294,1.59937,3.92439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-26,14:07:15.91,2,5,"Barnett, Michael",1000131946,Right,UCLA,"Kling, Paxton",702265,Right,PEN_NIT,Undefined,1,Top,1,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.68754,-1.043158,-3.686453,1438.762208,223.251553,1:30,5.872,2.35106,6.65862,-25.5069,14.3482,12.27902,2.7897,-0.004,75.53566,-5.889881,-1.455978,0.454374,70.86634,-44.024124,-104.688998,,,,,3.7471,2.93729,-53.111281,0.040705,-7.57481,8.25516,-2.10767,50,5.79127,7.31112,-120.02747,-2.84461,-11.01641,23.89637,-20.16818,UCLA,PEN_NIT,UCLA,D1,BIG10,20250426-UCLA-1,6ed91880-22e2-11f0-9894-33bb096e317f,82.9547,2.95264,,7.15188,,,,3.0239,2.95264,-0.04181,d6c4d60b-333d-4422-9880-649ba6b339d5,2025-04-26,21:07:15.91,2025-04-26T14:07:15.9170560-07:00,2025-04-26T21:07:15.9170560Z,GroundBall,v3,5048,5326,,"Dugger, Cashel",814158,Right,UCLA,cfe06e8d-d604-4d5f-9225-d443321a898c,53.84375,-120.7903,11.94819,5.87179,-2.2008,-10.08409,-2.34667,7.66279,-5.50821,,3.02443,-19.03108,,,,,,,,2.95465,-72.5379,,,,,,,,-0.03981,-72.59897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
