PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:04:50.76,1,1,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Manganello, Anthony",1000395110,Left,NOR_UNI,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.01174,-0.697945,3.301901,2103.25092,137.014045,10:30,5.02111,-1.12198,5.77928,-19.77883,16.82009,-14.49308,2.72237,0.74585,79.64197,-4.451687,0.711414,0.435417,,,,,,,,,,,,8.32989,9.13567,0.8579,50,4.95165,-6.72749,-127.51911,-2.15179,13.59992,28.29588,-17.25855,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,bb9f33f0-2389-11f0-b4e7-35ca46ba039d,86.56626,,,8.36977,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:04:50.76,2025-04-27T13:04:50.7608064-04:00,2025-04-27T17:04:50.7608064Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,f1dc00c3-8a06-4d0d-8d6b-92176ff8f45c,54.71599,-128.56131,14.14794,5.0192,-1.51612,-8.62928,1.11491,-7.2284,6.79996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:05:00.25,1,2,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Manganello, Anthony",1000395110,Left,NOR_UNI,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.64668,-1.493248,2.764778,2094.909703,138.675432,10:30,4.88265,-1.11404,5.99202,-18.23155,18.26576,-14.96839,1.97761,0.20275,79.58719,-4.974214,0.076269,0.434812,,,,,,,,,,,,8.49709,10.1891,0.90421,50,4.75484,-5.51929,-127.11432,-3.82926,13.81203,27.6424,-15.61165,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,c14658b0-2389-11f0-b4e7-35ca46ba039d,86.6867,,,8.05949,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:05:00.25,2025-04-27T13:05:00.2592256-04:00,2025-04-27T17:05:00.2592256Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,70806fa5-8d01-42fa-89a9-6ad2268a8a03,54.50468,-128.09017,13.8212,4.88029,-3.27813,-7.80582,1.10766,-6.00689,6.90601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:05:10.08,1,3,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Manganello, Anthony",1000395110,Left,NOR_UNI,Undefined,1,Top,0,1,1,ChangeUp,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.21733,1.832984,0.636251,1853.554926,325.86254,4:45,4.77041,-1.33213,5.35793,-60.64472,-8.82997,7.08134,1.43632,-0.14533,68.28354,-9.16818,1.896818,0.518081,63.15802,-15.179912,88.780087,,,,,7.50493,7.50493,56.16941,0.070479,-3.41366,-4.62815,1.26958,50,4.8911,-1.45503,-107.77004,1.47515,-4.00207,19.28018,-37.59997,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,c732c3d0-2389-11f0-b4e7-35ca46ba039d,72.75389,1.71456,,5.93379,,,,4.04375,1.71456,-0.08369,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:05:10.08,2025-04-27T13:05:10.0898304-04:00,2025-04-27T17:05:10.0898304Z,GroundBall,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,2657ee4a-b745-4ce5-a982-72b663ef2922,55.14387,-108.68639,9.64009,4.77852,3.2622,-18.79998,1.33421,-1.26482,-2.00104,180,4.04369,1.90892,,,,,,,,1.71537,-24.32723,,,,,,,,-0.08668,89.64298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2025-04-27,13:05:26.07,1,4,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Manganello, Anthony",1000395110,Left,NOR_UNI,Undefined,1,Top,0,1,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.73617,-2.215311,2.823755,2074.323104,132.599357,10:30,4.87998,-0.98822,5.96697,-20.23922,15.18296,-15.28103,1.13592,0.35854,81.23728,-6.025498,0.079519,0.42836,,,,,,,,,,,,8.59146,8.74382,0.77266,50,4.69288,-5.70773,-128.72308,-5.60403,14.43079,26.44771,-17.48729,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,d0c04a80-2389-11f0-b4e7-35ca46ba039d,87.99239,,,7.49889,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:05:26.07,2025-04-27T13:05:26.0718080-04:00,2025-04-27T17:05:26.0718080Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,aebbe95d-330f-4fa5-8cca-3f4fcec4c271,54.53043,-129.65058,13.22386,4.87865,-4.99077,-8.74365,0.98169,-6.21381,7.2154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:05:39.90,1,5,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Manganello, Anthony",1000395110,Left,NOR_UNI,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,79.55724,-1.609824,4.507912,1415.796327,116.239047,9:45,4.59184,-1.42669,6.03756,-34.69486,9.24764,-15.98906,0.20502,1.42349,73.29259,-8.031402,1.638172,0.477105,,,,,,,,,,,,9.46875,5.60292,1.08313,50,4.44703,-8.51006,-115.30216,-4.28254,12.79606,20.66692,-24.60228,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,d8f51f00-2389-11f0-b4e7-35ca46ba039d,79.00241,,,6.26466,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:05:39.90,2025-04-27T13:05:39.9099904-04:00,2025-04-27T17:05:39.9099904Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,aa220e34-0ab0-4c21-8780-29151129d438,54.46161,-116.09911,10.33346,4.59388,-3.33383,-12.30114,1.42081,-9.0035,6.39803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:06:01.43,1,6,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Manganello, Anthony",1000395110,Left,NOR_UNI,Undefined,1,Top,0,3,2,Fastball,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,88.3444,-1.025681,3.297964,2095.992112,138.477713,10:30,4.86303,-1.01214,5.90195,-19.14596,16.57454,-13.6969,2.31373,0.9113,80.93575,-4.64209,0.844094,0.43016,,,,,,,,,,,,7.89331,9.09922,0.75471,50,4.76949,-6.81638,-128.19686,-2.87638,13.18679,25.53692,-16.97266,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,e5b60b50-2389-11f0-b4e7-35ca46ba039d,87.62425,,,7.40865,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:06:01.43,2025-04-27T13:06:01.4316544-04:00,2025-04-27T17:06:01.4316544Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,65dffc96-d079-4f16-9962-a7b28daa3ac8,54.59604,-129.10915,12.76846,4.86142,-2.27004,-8.48633,1.00664,-7.28747,6.5934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:06:28.65,2,1,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Beale, Myles",1000137222,Right,NOR_UNI,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.7198,-1.246495,3.240416,2079.934369,129.840855,10:15,4.87628,-1.20575,5.83001,-23.90911,12.52012,-13.62028,1.72315,0.67455,80.27672,-5.712167,0.802283,0.434407,,,,,,,,,,,,7.88729,7.08957,0.94931,50,4.7603,-6.6432,-127.25486,-3.54776,12.94258,25.94127,-20.54046,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,f5f39b40-2389-11f0-b4e7-35ca46ba039d,86.76766,,,7.44308,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:06:28.65,2025-04-27T13:06:28.6510080-04:00,2025-04-27T17:06:28.6510080Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,0ad0ecba-e2ff-4fa9-89b4-b14afa9ed3d5,54.66856,-128.20302,12.97063,4.87625,-2.797,-10.27023,1.20077,-7.11626,6.47129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:06:39.57,2,2,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Beale, Myles",1000137222,Right,NOR_UNI,Undefined,1,Top,1,0,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,78.64695,0.299126,2.33642,1408.479006,130.498255,10:15,4.54417,-1.45974,6.05782,-33.7947,11.42524,-11.58477,2.00504,-0.26142,71.50052,-6.0306,0.251936,0.48399,,,,,,,,,,,,6.71083,6.23311,1.28457,50,4.54935,-4.23936,-114.14144,-0.37165,8.77779,22.68111,-24.02111,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,fc8f3220-2389-11f0-b4e7-35ca46ba039d,77.87855,,,7.14643,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:06:39.57,2025-04-27T13:06:39.5747328-04:00,2025-04-27T17:06:39.5747328Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,45415c64-430e-4503-9e27-b2c97b593188,54.43961,-115.02026,11.34055,4.54572,0.55909,-12.01055,1.45542,-4.57947,4.38889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:07:56.73,2,3,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Beale, Myles",1000137222,Right,NOR_UNI,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,,76.99948,2.937525,-1.48615,1350.509674,101.626057,9:30,4.67026,-1.65053,5.95226,-42.04573,4.76008,-16.6982,3.89405,-4.42063,70.91624,-4.83748,-4.47961,0.492404,,,,,,,,,,,,8.13544,2.12138,1.7777,50,4.88055,3.51039,-111.80276,4.474,10.36086,18.99355,-29.4724,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,2a820b30-238a-11f0-b4e7-35ca46ba039d,76.54783,,,6.08324,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:07:56.73,2025-04-27T13:07:56.7357952-04:00,2025-04-27T17:07:56.7357952Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,83e15c21-99e6-40c2-b28e-7c034f86e01a,54.54639,-112.57247,9.49677,4.67504,5.66836,-14.7362,1.64395,3.09052,5.18043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:08:08.95,2,4,"Leishman, Marshall",1000370433,Left,ASH_UNI,"Beale, Myles",1000137222,Right,NOR_UNI,Undefined,1,Top,1,1,2,Fastball,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.18598,-1.640127,3.116946,2118.605886,126.765225,10:15,4.84263,-1.14437,5.98922,-20.96647,14.22662,-17.47162,1.57275,0.29119,81.21332,-5.596021,-0.020931,0.426973,,,,,,,,,,,,9.94367,8.14343,0.9083,50,4.70161,-6.32655,-129.36172,-4.35795,16.77073,28.16978,-18.43951,ASH_UNI,NOR_UNI,AshlandUniversity,D2,Team,20250427-AshlandUniversity-1,31bc04f0-238a-11f0-b4e7-35ca46ba039d,88.27835,,,7.97266,,,,,,,45a79b89-304f-492f-b2c0-d629f35e6805,2025-04-27,17:08:08.95,2025-04-27T13:08:08.9548800-04:00,2025-04-27T17:08:08.9548800Z,,v3,,,,"Peltz, Ben",829614,Right,ASH_UNI,784f556e-201e-43d8-9d4d-a2184685481d,54.50951,-130.34001,14.08489,4.84183,-3.71757,-9.21976,1.13813,-6.90897,8.38536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
