PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:02:51.99,1,1,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.47247,-1.249125,3.378016,2090.590882,147.0073,11:00,5.87662,-1.95458,4.93944,-16.46174,19.74615,-11.90922,3.32202,0.24924,80.85349,-4.383941,1.283224,0.433085,70.87258,45.611799,-139.21506,4795.402273,,,,,46.36661,,,7.02343,10.56146,1.6365,50,5.74259,-7.13639,-130.69517,-3.39586,11.90015,32.78748,-14.27924,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,74e323e0-2389-11f0-9d95-b91adf60c5ac,87.03244,41.91799,,9.61898,,,,1.11574,3.11582,-0.13217,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:02:51.99,2025-04-27T13:02:51.9910000-04:00,2025-04-27T17:02:51.9910000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,4671bb75-e34f-4ab5-bf03-a94b103a14bb,55.55545,-132.08152,16.39374,5.87341,-2.79209,-7.13962,1.94888,-7.63957,5.95008,45.425872,1.11573,-55.05495,-0.08281,2.02251,-1.33499,2.5576,-4.41004,4.11883,-1.52982,3.11582,74.28201,-30.5195,4.61481,-1.7451,2.65989,-4.52008,4.19724,-1.54758,-0.13217,-47.49728,14.6807,-2.33713,0.86426,-1.52878,2.70177,-2.51155,0.92216,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
2,2025-04-27,13:03:13.68,1,2,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.73143,-0.738163,3.034045,2348.881669,253.528214,2:30,5.77531,-2.03916,4.89103,-40.41573,2.37524,3.1798,1.70805,1.09854,75.52015,-8.046008,3.593625,0.470812,,,,,,,,,,,,-0.65524,1.8452,1.73875,50,5.66915,-6.48849,-119.74796,-3.08143,-0.94459,24.67344,-29.51397,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,81b77120-2389-11f0-9d95-b91adf60c5ac,80.05839,,,7.21128,,,,,,,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:03:13.68,2025-04-27T13:03:13.6820000-04:00,2025-04-27T17:03:13.6820000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,a4075b28-0d30-4bbb-96cf-77c6051260bf,55.60542,-120.89741,12.33672,5.78067,-1.70648,-14.75699,2.04,-6.44449,-0.4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:03:32.31,1,3,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,84.96384,-2.384083,2.906367,2385.503327,228.812864,1:45,5.78321,-2.11485,5.02478,-34.45817,5.51315,4.92146,0.65786,1.04009,78.51294,-8.600062,3.774934,0.455036,,,,,,,,,,,,-1.68441,3.71827,1.83238,50,5.52698,-6.46323,-123.10249,-6.42899,-2.59462,23.56532,-26.44653,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,8cf084f0-2389-11f0-9d95-b91adf60c5ac,82.83398,,,6.45089,,,,,,,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:03:32.31,2025-04-27T13:03:32.3110000-04:00,2025-04-27T17:03:32.3110000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,2a6e9b00-0841-4b15-89aa-e4c0cce195f9,55.47464,-124.14607,11.78266,5.78575,-5.25782,-13.22326,2.11605,-6.34832,-1.29731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:03:54.69,1,4,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.12198,-1.999466,3.729349,2143.938074,158.325364,11:15,5.8184,-1.86156,5.15882,-14.22343,20.64249,-7.64457,2.74633,1.01668,81.963,-4.748131,2.380564,0.424983,,,,,,,,,,,,5.07429,11.3176,1.51902,50,5.62133,-8.28398,-132.91121,-5.06733,8.85067,35.10473,-12.43375,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,9a22a9a0-2389-11f0-9d95-b91adf60c5ac,88.69159,,,10.15898,,,,,,,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:03:54.69,2025-04-27T13:03:54.6920000-04:00,2025-04-27T17:03:54.6920000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,325b166e-f6ee-42e5-8b1f-9dfd15122b46,55.33295,-134.31237,17.55237,5.81368,-4.57105,-6.21687,1.85672,-8.63724,4.42534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:04:16.87,1,5,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,93.13001,-2.10327,2.301198,2069.317855,155.710392,11:15,5.80197,-1.77973,5.50757,-12.86024,20.43064,-8.65709,2.76087,-0.34796,83.61002,-4.601037,0.760241,0.415273,74.86238,50.973256,-67.728737,4723.61762,18.1416,88.54609,-108.49361,197.68785,72.88963,-85.989665,4.679703,5.14583,11.37367,1.58496,50,5.61027,-5.01617,-134.80754,-5.31925,9.30143,34.15539,-11.61541,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,a77ffd00-2389-11f0-9d95-b91adf60c5ac,90.76536,88.55446,,9.51999,,,,0.49474,3.08929,-0.16167,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:04:16.87,2025-04-27T13:04:16.8780000-04:00,2025-04-27T17:04:16.8780000Z,FlyBall,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,1cd24adf-5ea7-4a1a-898f-c30c9632ed78,54.98884,-136.06566,17.07769,5.79832,-4.89139,-5.8077,1.77604,-5.35879,4.65072,,0.55388,24.88868,-9.47256,-4.98855,7.41462,-3.75568,0.95807,-0.12161,0.0061,3.09009,85.24824,-25.09969,1.79116,0.6034,-0.5456,0.17894,-0.02759,0.00163,-0.17391,-63.69032,7.48749,0.96942,-2.06923,1.07963,-0.28367,0.03742,-0.00197,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
6,2025-04-27,13:04:39.48,1,6,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,2,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.88004,-0.36306,3.104112,2440.132596,265.553568,2:45,5.7785,-1.93574,4.8295,-39.72419,1.60823,4.47544,2.12382,1.37973,77.20536,-7.518569,3.890355,0.462719,64.4984,-7.549008,-53.474894,,,,,16.92674,15.71626,-54.118349,0.163547,-1.36941,1.24744,1.62382,50,5.70824,-6.78999,-121.55703,-2.31156,-2.05321,23.3637,-30.30372,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,b4d89570-2389-11f0-9d95-b91adf60c5ac,81.45867,2.03873,,6.67468,,,,0.76478,2.03873,-1.35198,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:04:39.48,2025-04-27T13:04:39.4860000-04:00,2025-04-27T17:04:39.4860000Z,GroundBall,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,b7e2d763-af65-4505-9e8b-2e2fa4f315bb,55.66971,-122.64193,11.68185,5.78291,-0.9044,-15.15186,1.9369,-6.69465,-1.0266,180,0.76028,55.9851,,,,,,,,2.03974,-12.46575,,,,,,,,-1.34591,-75.59023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-04-27,13:05:05.36,1,7,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.68488,-1.627743,3.854209,2045.549184,162.038065,11:30,5.84385,-1.70908,5.39403,-12.68198,21.38407,-6.49555,3.25768,1.36711,82.59375,-4.107822,2.703682,0.42008,,,,,,,,,,,,4.55567,11.61446,1.36925,50,5.68992,-8.69828,-133.81774,-4.14305,8.06992,35.09551,-11.60023,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,c4445670-2389-11f0-9d95-b91adf60c5ac,89.72677,,,10.09113,,,,,,,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:05:05.36,2025-04-27T13:05:05.3650000-04:00,2025-04-27T17:05:05.3650000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,5a82fcc1-c915-4b88-a872-ed100d8290cb,55.09792,-135.14812,17.54775,5.83864,-3.70332,-5.80012,1.70478,-9.0042,4.03496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:05:26.04,1,8,"Johnson, Andrew",1000092299,Left,MAR_TER,"Bolin, Robby",828621,Left,NEB,Undefined,1,Top,0,3,2,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,92.30849,-3.54059,3.614997,2071.508019,153.282796,11:00,5.7787,-1.76731,5.65459,-13.63119,19.70875,-9.36071,1.32996,0.82851,84.20202,-6.143388,1.947234,0.415579,,,,,,,,,,,,5.73662,11.30363,1.46673,50,5.46939,-8.00826,-133.52624,-8.6698,10.34764,28.99004,-11.7847,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,d0a34ca0-2389-11f0-9d95-b91adf60c5ac,90.6986,,,8.10647,,,,,,,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:05:26.04,2025-04-27T13:05:26.0440000-04:00,2025-04-27T17:05:26.0440000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,ad49a0e0-fd08-4f08-af38-48d7eae32b24,54.84214,-134.57342,14.49502,5.77487,-8.24412,-5.89235,1.76275,-8.38204,5.17382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:06:03.25,2,1,"Johnson, Andrew",1000092299,Left,MAR_TER,"Brumbaugh, Cayden",1000112684,Right,NEB,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.85757,-3.028877,4.117192,2122.140213,149.884049,11:00,5.77553,-1.72336,5.22926,-17.69363,16.30072,-8.84308,1.44377,1.41671,84.37579,-6.31612,2.555288,0.419638,,,,,,,,,,,,5.51374,9.26796,1.35048,50,5.48275,-9.15693,-132.89863,-7.67489,9.91973,26.89994,-15.50018,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,e6cc0f30-2389-11f0-9d95-b91adf60c5ac,89.82133,,,7.48178,,,,,,,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:06:03.25,2025-04-27T13:06:03.2580000-04:00,2025-04-27T17:06:03.2580000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,ef6d90b4-9672-47b9-b8bb-d846b9aa9c58,55.2697,-133.96102,13.44997,5.77378,-7.06272,-7.75009,1.71986,-9.5487,4.95987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:06:23.20,2,2,"Johnson, Andrew",1000092299,Left,MAR_TER,"Brumbaugh, Cayden",1000112684,Right,NEB,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.09567,-2.201178,0.739149,2053.222786,159.953225,11:15,5.90164,-1.774,5.21648,-14.03064,20.02033,-6.87764,2.66155,-1.6521,83.52698,-4.875189,-0.479834,0.419987,,,,,,,,,,,,3.63339,10.96705,1.71106,50,5.68836,-1.39029,-133.43999,-5.5643,6.50781,30.4905,-12.53072,MAR_TER,NEB,BobSmithStadium,D1,BIG10,20250427-BobSmithStadium-1,f2aa3ca0-2389-11f0-9d95-b91adf60c5ac,89.74665,,,8.56869,,,,,,,ea1055d7-a141-476f-bbf7-a53036723f16,2025-04-27,17:06:23.20,2025-04-27T13:06:23.2060000-04:00,2025-04-27T17:06:23.2060000Z,,v3,471349,4865,27 April 2025 13:00-nebraska@maryland,"Calarco, Alex",701321,Right,MAR_TER,a4c75b67-9eb3-4312-afea-a1f990ec4663,55.27901,-134.64082,15.24525,5.89779,-5.0708,-6.26536,1.77086,-1.64659,3.25391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
