PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:01:34.27,1,1,"Beuter, Reece",805986,Right,IOW_HAW,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,0,0,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.63105,-1.216995,-3.751222,2372.952952,248.856684,2:15,5.46463,2.57181,5.39066,-24.12875,9.68166,21.78371,2.31069,0.86636,83.27916,-5.708288,0.115633,0.418501,,,,,,,,,,,,-12.13473,5.61559,-2.25229,50,5.33913,7.75103,-133.98914,-3.74793,-21.70005,33.35967,-22.13191,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,a8599a80-2391-11f0-9cc4-0f2c440ad687,90.06534,,,9.35188,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:01:34.27,2025-04-27T13:01:34.2773248-05:00,2025-04-27T18:01:34.2773248Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,e1d63d26-a180-499a-98b8-b05b3234cfca,55.10646,-135.25453,16.67983,5.46538,-2.90843,-11.06596,-2.56191,8.57415,-10.85002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:01:52.19,1,2,"Beuter, Reece",805986,Right,IOW_HAW,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,83.78502,0.280892,-2.339729,2931.703161,87.610079,9:00,5.22292,2.75587,4.81505,-42.08349,0.97201,-19.76351,1.98227,-1.10867,74.3757,-7.385098,-5.810515,0.472265,,,,,,,,,,,,8.75374,0.89413,-2.50536,50,5.21531,5.85425,-120.93355,-1.03308,12.4682,31.96882,-30.90052,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,b3158f10-2391-11f0-9cc4-0f2c440ad687,79.81203,,,9.40931,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:01:52.19,2025-04-27T13:01:52.1910272-05:00,2025-04-27T18:01:52.1910272Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,2b1c8a6d-296a-4954-9061-bb18e72136cb,55.67835,-122.42542,15.98441,5.22987,0.40893,-15.45026,-2.76498,5.2724,6.2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:02:06.56,1,3,"Beuter, Reece",805986,Right,IOW_HAW,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.35531,0.434128,-1.284554,3014.566061,84.972603,8:45,5.07539,2.93363,4.87758,-41.80833,0.92843,-8.02469,2.00224,1.04929,74.78808,-7.180294,-2.698595,0.470514,,,,,,,,,,,,3.48032,0.81654,-2.80034,50,5.08327,3.07058,-120.56868,-0.69604,5.00402,28.51752,-31.00001,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,bb83c310-2391-11f0-9cc4-0f2c440ad687,80.10914,,,8.56723,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:02:06.56,2025-04-27T13:02:06.5690112-05:00,2025-04-27T18:02:06.5690112Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,12dd3d30-bbf6-4e7b-8b0f-607b53117686,55.61643,-121.88987,14.25876,5.08225,0.74016,-15.50001,-2.93722,2.83875,2.50201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:02:21.71,1,4,"Beuter, Reece",805986,Right,IOW_HAW,"Moore, Will",807056,Left,IU,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.84717,-1.791808,-4.317443,2553.27514,226.701695,1:30,5.645,2.43184,5.53731,-13.71788,18.96166,18.86347,2.82179,-0.03921,84.5272,-4.43636,-0.966556,0.411443,,,,,,,,,,,,-10.77642,10.43115,-2.06927,50,5.48031,9.33775,-135.68078,-4.65666,-19.86181,32.81571,-12.94859,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,c481b3f0-2391-11f0-9cc4-0f2c440ad687,91.61043,,,9.31998,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:02:21.71,2025-04-27T13:02:21.7180160-05:00,2025-04-27T18:02:21.7180160Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,e3f79c6f-a5c5-406d-bdc1-e401f71b0c8d,54.95865,-136.87482,16.40785,5.64117,-4.18551,-6.47429,-2.42219,10.06045,-9.93091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:02:49.98,2,1,"Beuter, Reece",805986,Right,IOW_HAW,"Taylor, Devin",805127,Left,IU,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,86.00082,1.248494,-3.024805,2994.823229,84.618406,8:45,5.21289,2.77141,4.85793,-39.04313,0.57724,-7.69788,3.14286,-0.73578,78.26426,-5.823918,-4.376185,0.453034,,,,,,,,,,,,2.88906,0.30465,-2.46605,50,5.30304,6.93348,-124.48661,1.16303,4.50414,26.5054,-31.69909,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,d5663240-2391-11f0-9cc4-0f2c440ad687,83.20004,,,7.73656,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:02:49.98,2025-04-27T13:02:49.9823104-05:00,2025-04-27T18:02:49.9823104Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,88e6cbf0-96e1-436c-b7c5-95bd0bae61a8,55.63953,-125.68163,13.2527,5.21839,2.59221,-15.84954,-2.77407,6.73041,2.25207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:03:03.19,2,2,"Beuter, Reece",805986,Right,IOW_HAW,"Taylor, Devin",805127,Left,IU,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.26053,-1.314517,-4.532209,2222.464964,249.363076,2:15,5.11688,2.7674,5.66667,-30.82399,9.16571,20.79666,1.3185,0.26577,76.88418,-7.016915,-0.825808,0.455141,,,,,,,,,,,,-11.88158,5.41898,-2.39735,50,4.98608,8.8204,-121.99333,-3.83173,-17.85009,24.69305,-24.03295,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,dd5fd280-2391-11f0-9cc4-0f2c440ad687,82.81491,,,7.37635,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:03:03.19,2025-04-27T13:03:03.1987200-05:00,2025-04-27T18:03:03.1987200Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,b940ce45-ce89-4124-8ce9-0bd8e070b118,54.83275,-122.96765,12.34653,5.11856,-2.88345,-12.01647,-2.75928,9.52471,-8.92505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:03:18.30,2,3,"Beuter, Reece",805986,Right,IOW_HAW,"Taylor, Devin",805127,Left,IU,Undefined,1,Top,1,1,1,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,94.35151,-1.734933,-3.827539,2431.916048,244.466842,2:15,5.59737,2.08141,5.75883,-21.85867,9.98008,18.62269,2.15684,0.06533,85.68566,-5.818397,-0.50007,0.406116,109.13089,8.612318,-22.611127,3217.178572,98.5413,11.02134,-48.88277,209.64494,207.59349,-30.133684,1.641307,-10.6669,5.91492,-1.77552,50,5.44006,8.30416,-136.67292,-4.92416,-20.04215,31.99303,-21.06041,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,e652edf0-2391-11f0-9cc4-0f2c440ad687,92.81211,11.0218,,8.66585,,,,1.12772,2.15288,0.01253,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:03:18.30,2025-04-27T13:03:18.3074816-05:00,2025-04-27T18:03:18.3074816Z,LineDrive,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,e5d98071-7300-49d5-9afc-2b0a5046e74f,54.74033,-137.77809,15.99652,5.5976,-4.19664,-10.53021,-2.07433,8.9965,-10.02108,102.727869,1.12773,146.0888,-29.79569,6.34137,-1.23076,0.07893,0.06142,-0.01962,0.00108,2.15287,23.96864,-16.98048,1.17364,-0.21864,0.12065,-0.06661,0.01923,-0.00198,0.01254,-60.84528,-5.28206,3.11889,-0.83659,-0.01538,0.1264,-0.04357,0.00433,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-04-27,13:03:51.76,3,1,"Beuter, Reece",805986,Right,IOW_HAW,"Dickerson, Korbyn",702668,Right,IU,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,84.36231,1.211797,-2.843637,3019.041835,108.166729,9:30,5.0402,3.01761,5.06017,-35.21691,6.45016,-14.75808,3.24975,-0.89595,75.36654,-5.268992,-5.442281,0.464588,,,,,,,,,,,,6.24028,3.25319,-2.73503,50,5.12839,6.72694,-121.86523,1.28519,9.13615,29.85011,-27.41117,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,fa39fde0-2391-11f0-9cc4-0f2c440ad687,81.13088,,,8.99577,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:03:51.76,2025-04-27T13:03:51.7637632-05:00,2025-04-27T18:03:51.7637632Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,541ad6f3-8e73-47cc-923e-87770d73bfd3,55.43274,-123.18875,14.92505,5.04446,2.50057,-13.70558,-3.02432,6.32185,4.56807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:04:08.17,3,2,"Beuter, Reece",805986,Right,IOW_HAW,"Dickerson, Korbyn",702668,Right,IU,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.36583,-1.491814,-5.820222,3101.302871,126.470068,10:15,5.03079,3.00967,5.25371,-34.01081,5.96174,-6.26693,0.78726,-3.00021,77.97217,-7.667848,-6.921052,0.455043,,,,,,,,,,,,1.37339,3.84256,-2.46951,50,4.86843,12.8249,-123.13085,-4.46283,2.09216,26.21158,-26.32036,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,041d6cc0-2392-11f0-9cc4-0f2c440ad687,82.83271,,,7.39366,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:04:08.17,2025-04-27T13:04:08.1700352-05:00,2025-04-27T18:04:08.1700352Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,b5aa054b-42cd-4480-8d23-ef72e49a9bb6,55.24266,-124.24187,13.10579,5.03395,-3.34719,-13.16018,-3.01123,12.73621,1.04608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:04:45.49,3,3,"Beuter, Reece",805986,Right,IOW_HAW,"Dickerson, Korbyn",702668,Right,IU,Undefined,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.75077,1.146861,-1.962739,2984.347657,97.498575,9:15,4.98881,2.85173,4.98728,-38.41223,2.98634,-12.63418,2.87151,-0.05518,76.46245,-5.837668,-4.189207,0.463089,,,,,,,,,,,,5.67422,1.55248,-2.65185,50,5.06827,4.72067,-121.39384,0.97875,8.43389,24.63635,-29.86651,IOW_HAW,IU,DuaneBanks,D1,BIG10,20250427-DuaneBanks-1,1a3f7890-2392-11f0-9cc4-0f2c440ad687,81.39359,,,7.28832,,,,,,,9e817c7a-06aa-45fe-8bf0-d3661d556d3a,2025-04-27,18:04:45.49,2025-04-27T13:04:45.4965760-05:00,2025-04-27T18:04:45.4965760Z,,v3,1232,4866,27 April 2025 14:05-indiana@iowa,"Rogers, Daniel",1000121686,Right,IOW_HAW,93981bcf-49df-4a2c-8eef-6eeef89d2f2d,55.51048,-122.50706,12.31818,4.99355,2.3283,-14.93326,-2.85655,4.33958,4.21695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
