PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:02:57.36,1,1,"Dennies, Jackson",802613,Right,NOT_IRI,"Advincula, Jarren",814181,Left,CAL_BEA,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.81687,-0.250605,-2.895016,2291.992546,258.148585,2:30,4.406,3.26692,6.37627,-29.43525,5.55536,20.91233,1.7222,2.34381,80.78508,-5.770861,0.891226,0.425743,,,,,,,,,,,,-11.62969,3.35851,-3.06635,50,4.37465,5.66225,-128.95041,-1.50488,-19.45173,28.47761,-26.55664,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,77faeb30-2389-11f0-b943-3f7fa9fe9053,88.53335,,,8.0318,,,,,,,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:02:57.36,2025-04-27T13:02:57.3632512-04:00,2025-04-27T17:02:57.3632512Z,,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,33326998-b9af-45b9-a381-a64b1ceb4657,54.12271,-129.85768,14.23881,4.40912,-0.6588,-13.27832,-3.25661,6.28197,-9.72586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:03:13.30,1,2,"Dennies, Jackson",802613,Right,NOT_IRI,"Advincula, Jarren",814181,Left,CAL_BEA,Undefined,1,Top,0,1,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,88.79099,0.08553,-4.209413,2282.685155,253.57315,2:30,4.42257,3.20577,6.33887,-28.65218,6.34252,17.68717,2.11385,0.79714,80.98094,-5.281217,-1.017687,0.425768,97.68493,10.990889,-1.356823,3048.971392,109.79072,10.33433,-6.77667,175.55627,153.68727,-4.409901,1.468255,-10.42575,3.60756,-2.90707,50,4.41528,8.78371,-128.79673,-0.71154,-17.47601,27.27542,-26.12693,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,8197b420-2389-11f0-b943-3f7fa9fe9053,88.52822,10.95214,,7.81005,,,,0.96011,2.04795,-0.78712,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:03:13.30,2025-04-27T13:03:13.3043712-04:00,2025-04-27T17:03:13.3043712Z,LineDrive,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,55d613cb-0aa0-475c-8c6f-17caecfb46b3,54.16206,-129.67513,13.63771,4.42464,0.12989,-13.06346,-3.19901,9.34653,-8.73801,65.169072,0.96011,140.60361,-18.64281,3.26965,-0.69811,0.13828,-0.02851,0.00482,-0.00044,2.04795,27.31503,-22.43452,2.58799,-0.57168,0.12884,-0.02599,0.0045,-0.00044,-0.78712,-3.33026,-5.44513,1.74766,-0.47694,0.1183,-0.02653,0.00472,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-04-27,13:03:49.44,2,1,"Dennies, Jackson",802613,Right,NOT_IRI,"Moutzouridis, Peter",10109595,Right,CAL_BEA,Undefined,1,Top,1,0,0,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.12847,1.408004,-4.215484,2489.425838,174.25491,11:45,3.76109,3.69293,5.94013,-31.36888,11.75414,-1.06417,2.45696,-0.31332,74.10699,-4.408864,-4.405552,0.472635,76.58558,65.995614,77.478036,2127.185831,,,,,59.55536,,,-0.47701,6.04815,-3.35567,50,3.85573,8.60591,-116.23597,1.92905,-0.66048,19.32292,-23.79959,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,973044a0-2389-11f0-b943-3f7fa9fe9053,79.74954,106.26495,,6.02148,,,,1.3261,2.31574,0.29386,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:03:49.44,2025-04-27T13:03:49.4453760-04:00,2025-04-27T17:03:49.4453760Z,,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,c69acc94-d64e-4d70-b76e-9e38b229cb2e,54.56111,-116.99175,9.66146,3.76207,2.85992,-11.89979,-3.69278,8.63174,-0.33024,,1.3261,9.90721,-13.08229,5.09317,-1.45603,0.35757,-0.07332,0.01004,-0.00065,2.31574,102.61079,-28.90036,3.49601,-0.53516,0.03722,0.01203,-0.00598,0.00088,0.29386,44.60772,-8.02952,1.87359,-0.35173,0.0497,-0.0007,-0.00218,0.00036,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
4,2025-04-27,13:04:14.93,2,2,"Dennies, Jackson",802613,Right,NOT_IRI,"Moutzouridis, Peter",10109595,Right,CAL_BEA,Undefined,1,Top,1,0,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,77.45527,1.035917,-3.319284,2425.314535,123.885831,10:15,3.64763,3.6188,5.86406,-36.1514,11.22186,-14.27682,1.59908,-0.65794,70.20455,-5.700588,-5.868226,0.495379,81.407,36.200762,-7.254678,3900.218034,109.47737,67.82561,-10.70992,292.62817,289.13747,-3.133534,4.818342,6.26496,5.87469,-3.34102,50,3.7109,7.02919,-112.18876,0.97808,7.86423,23.15319,-24.79974,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,a65c6490-2389-11f0-b943-3f7fa9fe9053,76.08801,80.14769,,7.25073,,,,2.40215,1.76984,0.53785,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:04:14.93,2025-04-27T13:04:14.9380608-04:00,2025-04-27T17:04:14.9380608Z,FlyBall,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,bdc19f6c-1f8e-4fb3-83bd-ac4833908b4a,54.63413,-113.1411,11.5766,3.64969,1.99814,-12.39987,-3.6235,6.70572,3.93211,187.311456,2.40469,95.52015,-17.34227,3.89613,-0.53286,0.01854,0.00542,-0.00053,0,1.76916,70.52696,-17.46173,0.86414,0.00632,-0.08718,0.03445,-0.00557,0.00033,0.53729,-12.15525,3.68545,-0.66288,0.06276,0.00411,-0.00135,-0,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
5,2025-04-27,13:04:52.28,3,1,"Dennies, Jackson",802613,Right,NOT_IRI,"French, Jacob",832351,Left,CAL_BEA,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.79307,1.18928,-2.080088,2469.365868,129.413483,10:15,3.68107,3.89851,5.78746,-36.09833,11.04902,-11.3891,1.78018,1.01343,70.17631,-5.551392,-4.116044,0.494197,,,,,,,,,,,,5.07933,5.75032,-3.72039,50,3.75788,4.5319,-112.69938,1.26372,6.42178,23.72442,-24.90394,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,bc852720-2389-11f0-b943-3f7fa9fe9053,76.27009,,,7.61675,,,,,,,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:04:52.28,2025-04-27T13:04:52.2816512-04:00,2025-04-27T17:04:52.2816512Z,,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,6cd6b5f5-bade-49b2-ad77-e84322ec6547,54.70782,-113.68611,11.86221,3.68378,2.29951,-12.45197,-3.90332,4.26481,3.21089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:05:08.91,3,2,"Dennies, Jackson",802613,Right,NOT_IRI,"French, Jacob",832351,Left,CAL_BEA,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.93051,1.020902,-1.842395,2474.107789,126.114,10:15,3.65025,3.91026,5.80138,-37.73364,10.15138,-11.67666,1.45589,1.22305,69.84851,-5.998895,-3.931342,0.498048,,,,,,,,,,,,5.35051,5.36122,-3.75202,50,3.71195,4.02807,-111.55208,0.86533,6.66723,22.14448,-25.49346,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,c6787480-2389-11f0-b943-3f7fa9fe9053,75.68034,,,7.082,,,,,,,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:05:08.91,2025-04-27T13:05:08.9143296-04:00,2025-04-27T17:05:08.9143296Z,,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,d0a266a3-36d1-414a-a9d0-5c10d013ac3b,54.6952,-112.48027,11.07224,3.65329,1.93389,-12.74673,-3.915,3.74861,3.33361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:05:27.20,3,3,"Dennies, Jackson",802613,Right,NOT_IRI,"French, Jacob",832351,Left,CAL_BEA,Undefined,1,Top,2,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.04789,1.22116,-0.465854,2421.987541,121.988899,10:00,3.69305,3.94885,5.62246,-38.93321,10.27115,-13.7878,1.58841,2.36512,69.12003,-5.999283,-2.92726,0.504863,,,,,,,,,,,,6.7778,5.35402,-3.90041,50,3.7726,1.4267,-110.30178,1.16636,8.27742,21.21439,-25.6354,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,d156e530-2389-11f0-b943-3f7fa9fe9053,74.65879,,,6.92786,,,,,,,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:05:27.20,2025-04-27T13:05:27.2082944-04:00,2025-04-27T17:05:27.2082944Z,,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,ca26a043-dbf2-4526-ba00-d527b405dcb9,54.87377,-111.2352,10.6072,3.69646,2.29431,-12.8177,-3.95517,1.0625,4.13871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:05:45.59,3,4,"Dennies, Jackson",802613,Right,NOT_IRI,"French, Jacob",832351,Left,CAL_BEA,Undefined,1,Top,2,2,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.1894,-0.809065,-4.459635,2366.570362,224.368159,1:30,4.66106,3.12451,6.70357,-19.1619,15.10324,13.67705,2.32219,0.17845,81.21175,-4.486604,-1.977589,0.421306,70.7405,38.124711,-109.863329,3663.811203,,,,,69.4289,,,-8.51571,8.54378,-2.83274,50,4.59936,9.57596,-129.35268,-2.32698,-14.38126,27.80131,-17.74538,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,dc5c17c0-2389-11f0-b943-3f7fa9fe9053,89.46571,47.7423,,7.97765,,,,1.30416,1.79602,0.23515,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:05:45.59,2025-04-27T13:05:45.5955968-04:00,2025-04-27T17:05:45.5955968Z,,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,05369fe2-6321-4df6-825f-bbf41bcc6999,53.7963,-130.16605,13.90066,4.65985,-1.80782,-8.87269,-3.11905,9.99671,-7.19063,,1.30416,-27.73228,-4.26149,2.16501,-0.71093,0.19092,-0.05138,0.01144,-0.0014,1.79602,64.05426,-19.06055,1.42198,-0.12749,0.0019,0.00414,-0.00012,6E-05,0.23515,-76.76308,15.71303,-3.70804,0.81654,-0.16662,0.03899,-0.00536,-0.00055,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Undefined,,,
9,2025-04-27,13:06:09.42,3,5,"Dennies, Jackson",802613,Right,NOT_IRI,"French, Jacob",832351,Left,CAL_BEA,Undefined,1,Top,2,2,2,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,89.76698,-0.536244,-5.016102,2393.305196,242.155345,2:00,4.74149,3.13378,6.7665,-23.18808,10.89544,18.32903,2.31754,0.06861,81.01332,-4.966947,-1.688054,0.420188,88.95489,-13.339396,-37.527578,,,,,9.69972,9.69073,-36.64143,0.074076,-11.2352,6.28355,-2.81134,50,4.69747,10.70687,-130.01285,-1.85873,-18.99089,30.42972,-21.553,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,ea8ebc80-2389-11f0-b943-3f7fa9fe9053,89.70378,2.23389,,8.75367,,,,0.31145,2.23389,-0.05007,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:06:09.42,2025-04-27T13:06:09.4250496-04:00,2025-04-27T17:06:09.4250496Z,GroundBall,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,0f6e8462-6a7f-47f3-b9ca-f4ee3eca89cd,53.73234,-130.88349,15.21486,4.74183,-1.24207,-10.7765,-3.12545,11.25023,-9.49544,180,0.30924,100.8619,,,,,,,,2.23455,-30.15658,,,,,,,,-0.04837,-77.47122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-27,13:07:07.62,4,1,"Dennies, Jackson",802613,Right,NOT_IRI,"Handron, Max",1000079433,Left,CAL_BEA,Undefined,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.80595,1.403962,-3.743826,2501.437184,114.376842,9:45,3.74278,3.81678,5.82518,-40.24049,8.59871,-14.9178,1.69766,-0.9118,68.93245,-6.090818,-6.402204,0.502986,,,,,,,,,,,,6.27969,4.41658,-3.50155,50,3.83445,7.82192,-111.0415,1.53809,7.6351,24.7393,-26.80422,NOT_IRI,CAL_BEA,FrankEck,D1,ACC,20250427-FrankEck-1,0d5c09c0-238a-11f0-b943-3f7fa9fe9053,74.93738,,,7.8735,,,,,,,9d4ad4ea-b566-41ff-ad0d-195a75538b64,2025-04-27,17:07:07.62,2025-04-27T13:07:07.6228608-04:00,2025-04-27T17:07:07.6228608Z,,v3,225,471259,27 April 2025 13:00-california@notredame,"Tinney, Carson",806245,Right,NOT_IRI,b29ee7e3-ab08-41be-9b28-e7aca7b6160e,54.67099,-112.07733,12.36965,3.74656,2.66038,-13.40211,-3.82236,7.50223,3.81755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
