PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,12:06:13.58,1,1,"Story, Dylan",1000279442,Right,HIG_PAN,"Brini, Niko",808843,Left,WOF_TER,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.38012,-2.011876,-1.839814,2248.896674,211.339218,1:00,5.63426,1.72008,5.9907,-15.26139,16.58706,9.37126,2.49614,0.79529,84.70446,-4.953681,-0.155439,0.406177,75.54509,43.181596,-144.484443,3646.980761,-93.11677,54.28108,-58.55969,195.02149,68.13907,-150.277068,3.211173,-5.43063,9.53532,-1.58009,50,5.4672,3.97328,-136.75425,-5.2501,-10.08336,35.65055,-14.46926,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,8b47b090-2381-11f0-b5a0-dd611d1bfb7b,92.79804,54.34833,,9.67566,,,,0.74055,2.48096,-0.77661,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:06:13.58,2025-04-27T12:06:13.5820288-04:00,2025-04-27T16:06:13.5820288Z,FlyBall,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,e2ca8d46-143b-42d4-b42c-08c06f7df2d6,54.50814,-137.92448,17.82528,5.63174,-4.77515,-7.23463,-1.71594,4.30427,-5.04168,22.790942,0.74106,-65.78566,2.11292,0.69823,0.35347,-0.44329,0.20204,-0.04279,0.00346,2.48123,75.80927,-32.79682,4.53848,-0.7562,0.04747,0.00981,-0.00088,-0.00013,-0.77642,-46.94276,7.56104,-1.31262,0.48115,-0.26085,0.10831,-0.0236,0.00199,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2025-04-27,12:06:34.86,1,2,"Story, Dylan",1000279442,Right,HIG_PAN,"Brini, Niko",808843,Left,WOF_TER,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,93.77859,-1.133211,-1.817101,2255.534626,209.491184,1:00,5.58925,1.46348,6.14216,-16.51639,15.3643,8.04567,3.16495,0.4541,84.55905,-4.303987,-0.366958,0.406383,82.2627,50.130056,-42.630456,3142.875198,,,,,99.28549,,,-4.73339,8.62741,-1.32899,50,5.49431,3.96556,-136.0434,-3.17612,-8.7445,33.81575,-16.23571,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,97f45190-2381-11f0-b5a0-dd611d1bfb7b,92.7511,95.60809,,9.21954,,,,1.24974,4.28584,-1.23832,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:06:34.86,2025-04-27T12:06:34.8624384-04:00,2025-04-27T16:06:34.8624384Z,,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,c6fad8ee-77ec-4f52-82aa-db33dfcaf411,54.35713,-137.12216,16.90787,5.58738,-2.65819,-8.11785,-1.45994,4.24451,-4.37225,148.904289,1.24974,56.90485,-11.5309,2.93539,-0.6665,0.1477,-0.03216,0.00544,-0.00048,4.28584,92.60025,-24.17272,2.6654,-0.5456,0.10303,-0.0195,0.00312,-0.00024,-1.23832,-52.38207,4.17285,-0.70951,0.10326,-0.01525,0.0024,-0.00023,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2025-04-27,12:07:16.48,2,1,"Story, Dylan",1000279442,Right,HIG_PAN,"Wiley, David",1000249503,Right,WOF_TER,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,93.35083,-0.940328,-2.638952,2115.558624,230.057012,1:45,5.6803,1.58025,6.10951,-19.66674,12.58808,13.64729,3.17086,0.27549,84.13111,-4.678936,-0.181859,0.40876,86.69029,55.275994,4.244694,4515.932727,108.78054,137.70953,16.33386,233.60324,232.78171,11.57865,6.085203,-7.93583,7.13729,-1.3847,50,5.5978,5.65604,-135.37838,-2.84387,-14.50271,33.76381,-19.13063,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,b0ba7b50-2381-11f0-b5a0-dd611d1bfb7b,92.21159,142.85218,,9.21973,,,,0.80232,3.13706,-0.27092,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:07:16.48,2025-04-27T12:07:16.4845056-04:00,2025-04-27T16:07:16.4845056Z,FlyBall,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,deba7938-ead6-437a-8b9b-06d052dac5ea,54.39139,-136.46921,16.88191,5.6797,-2.2258,-9.56532,-1.57501,6.12459,-7.25136,187.337363,0.78144,72.53306,-21.85605,7.85936,-2.25556,0.48667,-0.06658,0.00485,-0.00014,3.09615,105.23395,-26.44552,5.81959,-2.92229,1.05381,-0.21655,0.02266,-0.00094,-0.26966,5.34287,1.41318,-0.47499,0.12533,-0.02406,0.00278,-0.00015,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-04-27,12:07:50.61,3,1,"Story, Dylan",1000279442,Right,HIG_PAN,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.7151,-0.861318,-3.606284,2253.651848,218.081644,1:15,5.64342,1.52029,6.18622,-13.93765,18.18714,13.30131,3.68498,-0.70568,83.89221,-3.586545,-1.212454,0.407935,,,,,,,,,,,,-7.99563,9.98914,-1.2539,50,5.57103,7.95248,-135.67664,-2.39249,-14.62045,34.95142,-13.90832,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,c501d3b0-2381-11f0-b5a0-dd611d1bfb7b,92.39807,,,9.82289,,,,,,,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:07:50.61,2025-04-27T12:07:50.6183680-04:00,2025-04-27T16:07:50.6183680Z,,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,4e8aa8b0-4acc-4ee4-9989-2885624d0514,54.31068,-136.7826,17.47571,5.63977,-1.95239,-6.95416,-1.51286,8.41511,-7.31023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,12:08:05.58,3,2,"Story, Dylan",1000279442,Right,HIG_PAN,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,2,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.93171,-0.625234,-2.195335,2233.278403,205.0611,12:45,5.70915,1.73139,6.25178,-13.61587,17.91505,7.86882,3.99743,0.3615,84.91437,-3.274313,-0.774995,0.404147,,,,,,,,,,,,-4.70429,9.75855,-1.57162,50,5.65561,4.87641,-136.2951,-1.83204,-8.76419,32.63646,-13.99367,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,cdef22c0-2381-11f0-b5a0-dd611d1bfb7b,93.26409,,,9.01734,,,,,,,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:08:05.58,2025-04-27T12:08:05.5824384-04:00,2025-04-27T16:08:05.5824384Z,,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,85c4f40a-b5dc-428b-b2ba-b6aba6239052,54.24598,-137.30805,16.31823,5.70573,-1.39772,-6.99683,-1.72719,5.14843,-4.38209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,12:08:22.41,3,3,"Story, Dylan",1000279442,Right,HIG_PAN,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,2,2,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.45746,0.188036,-1.483751,2393.903937,65.985733,8:15,5.64648,1.60445,5.59677,-46.23562,-4.81441,-13.55186,1.96914,-0.91052,76.15933,-8.225272,-3.904702,0.463215,,,,,,,,,,,,6.47437,-2.12492,-1.4682,50,5.6324,3.64639,-119.82489,-1.23259,9.42758,22.81897,-35.26825,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,d81a7010-2381-11f0-b5a0-dd611d1bfb7b,81.37132,,,6.29813,,,,,,,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:08:22.41,2025-04-27T12:08:22.4192000-04:00,2025-04-27T16:08:22.4192000Z,,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,f30fc51b-6964-41c1-ba66-f2e96a38cbdc,54.90741,-120.75582,11.40949,5.65334,0.20622,-17.63413,-1.60911,3.26178,4.71379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,12:08:36.78,3,4,"Story, Dylan",1000279442,Right,HIG_PAN,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,2,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.89313,0.652889,-0.707504,2358.662754,69.871057,8:15,5.63924,1.76161,5.3984,-46.31211,-4.07189,-14.49375,2.39182,-0.10926,75.60511,-7.757883,-3.287801,0.467772,,,,,,,,,,,,7.09512,-1.83142,-1.68805,50,5.66484,2.06442,-119.00442,-0.30982,10.20772,22.14578,-34.8089,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,e08dfb40-2381-11f0-b5a0-dd611d1bfb7b,80.57863,,,6.28802,,,,,,,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:08:36.78,2025-04-27T12:08:36.7854592-04:00,2025-04-27T16:08:36.7854592Z,,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,6ddec278-b697-4762-9200-c7fa47fbd5a4,55.10559,-119.95076,11.07289,5.6463,1.17765,-17.40445,-1.76695,1.62822,5.10386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,12:08:54.57,3,5,"Story, Dylan",1000279442,Right,HIG_PAN,"Wynn, Ryan",10035544,Right,WOF_TER,Undefined,1,Top,2,2,2,Slider,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,82.07024,-0.148565,-1.954022,2565.808422,68.183528,8:15,5.72254,1.6683,5.53892,-47.03499,-4.9,-15.48493,1.66401,-1.44922,75.57054,-8.693954,-4.716034,0.467189,,,,,,,,,,,,7.25878,-2.02232,-1.48828,50,5.67843,4.69302,-119.16051,-1.97319,10.39867,23.67861,-35.07118,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,eb26d770-2381-11f0-b5a0-dd611d1bfb7b,80.67916,,,6.4997,,,,,,,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:08:54.57,2025-04-27T12:08:54.5780000-04:00,2025-04-27T16:08:54.5780000Z,,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Ruiz, Justin",1000208999,Right,HIG_PAN,3d9416d1-0425-4e71-9a18-ac71d55d996a,54.96458,-120.14298,11.8393,5.73011,-0.51802,-17.53559,-1.67405,4.26156,5.19933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.41734,,,0.968433,,,,-0.0646,5.8448,2.79571,73.45257,6.81569,-51.34333,-0.03023,81.53995,-5.89015,5.85968,13.40627,-12.84468,2.74459,-62.95407,7.39901,High,High,High,,,High,High,High
9,2025-04-27,12:12:09.01,1,1,"Bouchard, Alec",1000295524,Right,WOF_TER,"Durschlag, Konni",1000268620,Right,HIG_PAN,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.12007,-2.265711,-2.071086,2456.089634,196.794573,12:30,5.93851,1.68944,6.02664,-13.81639,21.14733,5.97776,2.68624,0.26856,80.74926,-4.97222,-0.996522,0.425579,,,,,,,,,,,,-3.74677,11.97997,-1.53041,50,5.7535,4.45804,-130.48963,-5.49255,-6.32805,32.69839,-11.94077,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,5f083760-2382-11f0-b5a0-dd611d1bfb7b,88.56742,,,9.37082,,,,,,,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:12:09.01,2025-04-27T12:12:09.0102784-04:00,2025-04-27T16:12:09.0102784Z,,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Feliz, Raul",1000102967,Right,WOF_TER,6bb1f661-09cb-41b2-870f-6ed299617d36,54.46988,-131.60494,16.3492,5.9339,-5.08526,-5.97038,-1.68615,4.67388,-3.16403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,12:12:26.95,1,2,"Bouchard, Alec",1000295524,Right,WOF_TER,"Durschlag, Konni",1000268620,Right,HIG_PAN,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,90.15951,-2.177755,-2.60401,2446.04902,196.256765,12:30,5.86443,1.71897,6.03817,-12.82154,22.32096,6.09693,2.77636,-0.18586,80.28879,-4.721012,-1.508616,0.426666,98.26267,55.390284,-6.63661,4285.694936,109.64502,155.37432,-8.8267,250.38716,116.25659,-2.904994,6.651501,-4.05933,12.64001,-1.51886,50,5.68746,5.67005,-130.44929,-5.24693,-6.80583,34.34886,-10.98187,HIG_PAN,WOF_TER,HighPointUniversity,D1,BSOU,20250427-HighPointUniversity-1,69d36e30-2382-11f0-b5a0-dd611d1bfb7b,88.34186,175.70941,,9.87072,,,,1.71795,4.3289,-0.25972,71ac5711-7403-454f-ae21-1eb3bb4ed22e,2025-04-27,16:12:26.95,2025-04-27T12:12:26.9549056-04:00,2025-04-27T16:12:26.9549056Z,FlyBall,v3,471515,471512,27 April 2025 12:00-wofford@highpoint,"Feliz, Raul",1000102967,Right,WOF_TER,09661edf-1244-4b20-bb96-587cf37d8a24,54.4588,-131.61811,17.17443,5.85964,-4.87324,-5.49094,-1.71574,5.90163,-3.40292,184.387769,1.74877,80.81974,-21.08211,4.35644,-0.1571,-0.16087,0.04206,-0.00442,0.00017,4.30772,118.90453,-26.81792,3.65737,-0.86848,0.15226,-0.01526,0.00056,1E-05,-0.26394,-9.38927,4.17524,-1.05112,0.12404,0.00619,-0.00431,0.00055,-2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
