PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:40.05,1,1,"Latimer, Carson",1000129052,Right,SAC_HOR,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.10174,-3.13917,-3.415373,2245.19633,209.739625,1:00,6.39046,0.93704,6.42779,-15.27111,16.47288,8.82134,2.22462,-1.47064,85.08402,-6.064759,-1.819717,0.40551,,,,,,,,,,,,-5.53146,9.78067,-0.69724,50,6.15918,7.68442,-134.93253,-7.82067,-10.19192,29.52058,-14.15272,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,21c81ed0-23a3-11f0-883a-31fa8081e50a,92.9506,,,8.01772,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:06:40.05,2025-04-27T13:06:40.0512512-07:00,2025-04-27T20:06:40.0512512Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,ca09941b-fa61-43e9-84b5-0dedcecb53fe,54.06808,-135.81963,14.76029,6.38781,-7.39538,-7.07636,-0.93276,7.99069,-5.09596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:06:55.26,1,2,"Latimer, Carson",1000129052,Right,SAC_HOR,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.09506,-1.524339,-1.621179,2116.14619,219.470874,1:15,6.40365,1.21168,6.48154,-15.4658,16.92902,13.04406,3.71435,0.80978,83.65333,-4.513275,0.745827,0.409647,,,,,,,,,,,,-7.24933,9.61335,-1.10274,50,6.28933,3.24396,-133.75443,-3.95443,-13.04399,30.66931,-14.87641,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,2acfaca0-23a3-11f0-883a-31fa8081e50a,92.0121,,,8.44174,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:06:55.26,2025-04-27T13:06:55.2669696-07:00,2025-04-27T20:06:55.2669696Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,213fd5b5-4a0a-488f-ad7d-521caae1da67,54.01371,-134.67162,15.33465,6.40094,-3.50955,-7.43821,-1.20559,3.63405,-6.52199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:07:12.05,1,3,"Latimer, Carson",1000129052,Right,SAC_HOR,"Pitts, Robert",702975,Left,CAL_HIG,Undefined,1,Top,0,2,0,Fastball,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,,92.94877,-0.853377,-1.932556,2171.707892,248.638872,2:15,6.21944,1.24252,6.52567,-22.94714,8.82812,19.84037,3.5238,1.1223,84.42539,-5.197848,1.672224,0.40571,19.16816,49.909506,-12.108043,3024.023841,,,,26.22177,25.23982,-13.915626,1.506635,-10.98355,5.20756,-1.11607,50,6.15026,3.75087,-135.05987,-2.71827,-20.10482,31.89243,-22.64191,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,34ef1310-23a3-11f0-883a-31fa8081e50a,92.90484,10.67726,,8.52337,,,,0.46615,3.47456,-1.00043,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:07:12.05,2025-04-27T13:07:12.0560640-07:00,2025-04-27T20:07:12.0560640Z,GroundBall,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,992502b0-21fe-4079-bf71-f69aacf0f946,53.97208,-135.99458,15.94622,6.2202,-2.05468,-11.32095,-1.23463,4.34011,-10.05241,180.454825,0.46615,17.70142,-1.32286,0.47361,0.22353,-0.70379,0.67481,-0.29406,0.049,3.47455,21.5091,-16.33635,0.60711,-0.6059,0.74168,-0.49698,0.16271,-0.02129,-1.00043,-3.79743,0.29444,-0.08118,-0.06612,0.16495,-0.15185,0.06508,-0.01077,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-04-27,13:09:22.10,2,1,"Latimer, Carson",1000129052,Right,SAC_HOR,"Nunes, Landon",1000222839,Left,CAL_HIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.35345,-2.231923,-1.235039,2100.033677,213.112192,1:00,6.75148,0.95393,5.941,-14.01414,21.25222,13.05516,3.51178,0.89607,80.92326,-4.949466,1.110044,0.427417,,,,,,,,,,,,-7.01701,11.90442,-0.86258,50,6.56559,2.2284,-129.57992,-5.39947,-11.81768,29.47288,-12.12533,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,82608390-23a3-11f0-883a-31fa8081e50a,88.18661,,,8.43019,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:09:22.10,2025-04-27T13:09:22.1081088-07:00,2025-04-27T20:09:22.1081088Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,69d6045c-37bc-485b-bfc7-c6e040c03d33,54.5535,-130.61151,14.73644,6.74715,-4.97507,-6.06267,-0.94782,2.64203,-5.90884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:09:38.39,2,2,"Latimer, Carson",1000129052,Right,SAC_HOR,"Nunes, Landon",1000222839,Left,CAL_HIG,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.8556,-3.885665,-2.232488,2097.386181,223.977189,1:30,6.50455,0.87964,5.94345,-15.4765,18.60529,16.82942,1.6024,0.21029,82.76235,-6.835383,0.790258,0.420178,,,,,,,,,,,,-9.28241,11.02867,-0.71124,50,6.18582,4.40903,-131.58946,-9.38313,-16.19183,29.26868,-12.93612,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,8c2fce30-23a3-11f0-883a-31fa8081e50a,89.70598,,,8.09325,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:09:38.39,2025-04-27T13:09:38.3947776-07:00,2025-04-27T20:09:38.3947776Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,db8909f9-19ea-4f4f-a98b-86a9399b7751,54.55361,-132.59843,14.63434,6.50159,-8.93719,-6.46806,-0.87285,4.9672,-8.09592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:09:57.51,2,3,"Latimer, Carson",1000129052,Right,SAC_HOR,"Nunes, Landon",1000222839,Left,CAL_HIG,Undefined,1,Top,0,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.02674,-1.13591,-1.962028,2078.975709,221.391654,1:30,6.56211,1.05518,6.00562,-17.91737,16.60686,13.61284,4.01586,0.37112,81.76155,-4.551599,0.48559,0.422896,,,,,,,,,,,,-7.53874,9.20394,-0.90822,50,6.463,3.89213,-130.65207,-3.1142,-12.94968,29.12693,-16.364,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,9770d140-23a3-11f0-883a-31fa8081e50a,89.12939,,,8.26519,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:09:57.51,2025-04-27T13:09:57.5126016-07:00,2025-04-27T20:09:57.5126016Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,f85c5a8f-ea59-4208-873a-09fadb7c5c5e,54.48989,-131.64922,14.56347,6.56003,-2.55398,-8.182,-1.04906,4.33546,-6.47484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:10:17.12,2,4,"Latimer, Carson",1000129052,Right,SAC_HOR,"Nunes, Landon",1000222839,Left,CAL_HIG,Undefined,1,Top,0,3,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.51863,-2.886613,-2.127499,2131.314739,210.559418,1:00,6.54291,0.95373,6.26929,-16.23217,17.47517,9.67229,2.52507,-0.20242,82.75208,-5.987676,-0.379879,0.417863,,,,,,,,,,,,-5.60347,10.21028,-0.8008,50,6.32105,4.48175,-131.3346,-7.06724,-9.778,28.05634,-14.35718,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,a3422d70-23a3-11f0-883a-31fa8081e50a,90.20288,,,7.76655,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:10:17.12,2025-04-27T13:10:17.1208704-07:00,2025-04-27T20:10:17.1208704Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,be5f4546-b2c3-48f5-a38a-84e257c98fd6,54.22705,-132.23452,14.02817,6.54035,-6.60673,-7.17859,-0.94958,4.79539,-4.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:10:34.88,2,5,"Latimer, Carson",1000129052,Right,SAC_HOR,"Nunes, Landon",1000222839,Left,CAL_HIG,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,90.42127,-2.533594,-0.586899,2073.45582,214.878554,1:15,6.53782,1.05898,5.9612,-15.58867,18.57796,12.173,2.88785,1.52917,82.56276,-5.507316,1.601349,0.4207,,,,,,,,,,,,-6.37737,10.573,-1.01897,50,6.32794,0.81899,-131.23046,-6.24356,-11.09912,28.28516,-13.77291,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,adc0cae0-23a3-11f0-883a-31fa8081e50a,89.59459,,,7.85851,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:10:34.88,2025-04-27T13:10:34.8848128-07:00,2025-04-27T20:10:34.8848128Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,acac8325-4186-4024-854f-4528a96dba15,54.53455,-132.20422,14.14258,6.53472,-5.76941,-6.88645,-1.05374,1.2011,-5.54956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:11:52.37,3,1,"Latimer, Carson",1000129052,Right,SAC_HOR,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.57847,-2.445711,-1.37055,2159.382168,216.091642,1:15,6.65434,1.15383,6.2082,-14.3304,17.92406,12.308,3.20089,0.91432,84.56954,-5.198404,0.851719,0.408758,,,,,,,,,,,,-6.76918,10.29678,-1.05701,50,6.46344,2.70082,-134.43171,-6.13183,-12.36962,29.53237,-13.35835,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,dc04d130-23a3-11f0-883a-31fa8081e50a,92.21212,,,8.00893,,,,,,,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:11:52.37,2025-04-27T13:11:52.3785216-07:00,2025-04-27T20:11:52.3785216Z,,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,f9a65725-235f-45da-b8b9-3145f44c81d3,54.28912,-135.37068,14.76619,6.65165,-5.70711,-6.67918,-1.14914,3.09411,-6.18481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:12:11.81,3,2,"Latimer, Carson",1000129052,Right,SAC_HOR,"Chapman, Manoah",10103783,Right,CAL_HIG,Undefined,1,Top,0,0,1,ChangeUp,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.28656,-1.17485,0.052264,2452.629553,150.054648,11:00,6.38374,1.19411,5.77995,-30.27502,9.69001,-4.93729,2.76758,0.8313,77.24585,-6.757095,-0.833014,0.455,55.31624,27.173316,161.389074,2911.994226,,,,104.03148,33.28599,165.199067,1.691463,2.57768,5.55717,-1.19524,50,6.2683,0.07551,-121.14578,-3.45944,3.87149,21.31078,-23.82764,SAC_HOR,CAL_HIG,Hornet Stadium,D1,WAC,20250427-Hornet Stadium-1,e787e650-23a3-11f0-883a-31fa8081e50a,82.84052,16.40153,,6.04071,,,,1.86982,2.80996,-0.78832,50fbd7fa-02e2-4f39-b366-b3331d78cfa6,2025-04-27,20:12:11.81,2025-04-27T13:12:11.8106624-07:00,2025-04-27T20:12:11.8106624Z,LineDrive,v3,471257,471263,,"Kligman, Elie",702479,Right,SAC_HOR,4cfad696-93f5-4410-9a27-65a46a199773,54.72031,-121.97331,10.65539,6.38468,-2.53419,-11.91382,-1.19526,-0.07483,1.93574,,1.86981,-68.40104,3.27999,1.34886,-0.67998,0.44634,-0.27605,0.11596,-0.021,2.80996,37.05111,-27.81892,3.97909,-0.86395,0.18975,-0.04969,0.01509,-0.00201,-0.78832,23.03407,-5.47125,1.15486,-0.19413,-0.05173,0.07243,-0.03429,0.0065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
