PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:03:12.90,1,1,"Clack, Miles",1000297931,Left,UNI_TEX,"Daigre, Jaxon",1000118447,Right,STM_RAT,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,,85.24291,-2.320975,2.97868,2021.668329,159.108257,11:15,5.96969,-2.0809,5.5399,-21.41147,17.48442,-6.21626,2.01192,0.18767,78.39595,-6.311091,1.872188,0.448873,85.78704,15.002554,-6.561254,2405.9093,108.07131,20.5064,-20.50645,232.39397,232.39397,-15.520611,2.485288,3.93992,9.82587,1.82663,50,5.75397,-6.17357,-123.5901,-5.69485,6.12624,23.40865,-16.89569,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,e31e01b0-2391-11f0-a9fc-0de343bf4789,83.9713,20.84775,,6.84697,,,,0.796,1.96731,-0.18485,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:03:12.90,2025-04-27T13:03:12.9026560-05:00,2025-04-27T18:03:12.9026560Z,LineDrive,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,e1087d1b-96ef-40c6-809e-465051fe57ea,54.96174,-124.52633,11.70432,5.96822,-5.0191,-8.44785,2.07844,-6.41859,3.06312,123.518902,0.79599,120.73599,-18.49575,3.60566,-0.64716,0.07938,-0.00083,-0.00176,0.00024,1.96733,32.56997,-14.72746,0.77423,-0.30933,0.19562,-0.07799,0.01727,-0.00159,-0.18488,-13.88672,-7.4659,1.81915,-0.2013,-0.10932,0.06908,-0.01684,0.0016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
2,2025-04-27,13:03:42.19,2,1,"Clack, Miles",1000297931,Left,UNI_TEX,"Elizondo, Jacob",1000083760,Right,STM_RAT,Undefined,1,Top,0,0,0,ChangeUp,Changeup,InPlay,Undefined,Bunt,Sacrifice,1,0,,79.59102,-0.419589,4.075299,1548.772256,116.397577,10:00,5.79769,-2.24168,5.34202,-35.9227,9.67839,-16.27914,2.4095,0.23133,72.23993,-7.036134,1.190529,0.486025,25.46548,17.264745,32.338284,1830.311155,,,,33.46172,32.51108,30.521763,0.928296,9.45331,5.42477,1.88589,50,5.73422,-7.55441,-115.17245,-2.03007,12.57797,23.27134,-24.95619,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,f4a2deb0-2391-11f0-a9fc-0de343bf4789,77.55239,4.49906,,7.35109,,,,2.24529,2.47548,-0.21345,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:03:42.19,2025-04-27T13:03:42.1945344-05:00,2025-04-27T18:03:42.1945344Z,GroundBall,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,babab88e-a716-4641-a81c-9fbb4512b2ee,55.15925,-116.21024,11.63567,5.79993,-0.91715,-12.47809,2.23529,-8.11533,6.28899,202.231126,2.24529,30.13487,-2.23122,0.76644,-0.01037,-0.67141,1.27688,-0.98137,0.27811,2.47548,11.08492,-15.39207,0.70866,-0.4258,1.18794,-1.64477,1.05493,-0.26768,-0.21345,19.07864,-0.79023,0.26025,-0.00015,-0.25235,0.47194,-0.35966,0.10148,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-04-27,13:04:17.43,3,1,"Clack, Miles",1000297931,Left,UNI_TEX,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.61396,1.665879,1.724997,2400.400259,313.175076,4:30,6.03029,-2.08632,4.91035,-59.91149,-9.01351,11.31442,2.61418,0.4883,69.49096,-9.105448,3.720077,0.513478,,,,,,,,,,,,-5.07091,-4.4161,1.9078,50,6.14285,-3.7597,-109.65302,1.04695,-6.14863,20.13334,-37.52872,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,098b3200-2392-11f0-a9fc-0de343bf4789,73.40619,,,6.12299,,,,,,,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:04:17.43,2025-04-27T13:04:17.4358016-05:00,2025-04-27T18:04:17.4358016Z,,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,447617ef-8d28-4231-84ca-006a0fe46310,55.59375,-110.67532,10.06667,6.04131,2.95252,-18.76436,2.09078,-3.44749,-3.07431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:04:33.15,3,2,"Clack, Miles",1000297931,Left,UNI_TEX,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,0,1,Curveball,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.41687,0.634352,2.026043,2408.684612,313.703808,4:30,5.96516,-2.30191,4.47712,-58.07035,-8.0665,9.88284,1.73105,0.45374,71.22138,-9.671683,3.75575,0.508948,77.11708,27.121907,-64.31955,4557.985749,37.59456,38.3845,-103.37584,237.73068,104.11745,-78.99693,3.364959,-4.32721,-3.72343,2.07837,50,5.97519,-4.3342,-110.93446,-0.96213,-5.44182,18.14115,-36.85658,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,12ecedc0-2392-11f0-a9fc-0de343bf4789,74.05956,39.94111,,5.19549,,,,-0.00274,1.42558,-0.5035,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:04:33.15,2025-04-27T13:04:33.1503616-05:00,2025-04-27T18:04:33.1503616Z,LineDrive,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,e77d372a-17db-4c2b-b082-ed6357804838,56.02886,-111.91602,9.07058,5.9733,1.03206,-18.42829,2.30492,-4.03976,-2.72091,,-0.00174,43.58836,-12.56456,1.38632,0.32545,-0.41384,0.15802,-0.02771,0.00189,1.42491,51.58582,-19.61988,2.17063,-0.73455,0.30651,-0.08082,0.01085,-0.00057,-0.50466,-90.683,6.97694,0.23264,-0.75221,0.52458,-0.17755,0.02948,-0.00193,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
5,2025-04-27,13:04:53.95,3,3,"Clack, Miles",1000297931,Left,UNI_TEX,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.5922,-2.486344,3.43949,2200.409737,156.434079,11:15,6.03805,-2.01805,5.46294,-18.2893,18.78284,-7.67926,2.18103,0.5653,80.27171,-5.917179,2.07581,0.438223,72.74876,14.965716,-161.830549,2966.25039,,,,116.61931,44.50737,-170.937582,1.364022,4.80099,10.49477,1.72021,50,5.80632,-7.29203,-126.87408,-6.09666,7.84979,25.20579,-15.01473,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,1f607d60-2392-11f0-a9fc-0de343bf4789,86.012,10.07708,,7.32049,,,,0.19844,1.88123,-0.50552,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:04:53.95,2025-04-27T13:04:53.9578880-05:00,2025-04-27T18:04:53.9578880Z,LineDrive,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,46bb8837-adb7-467e-94fd-10f59ee4d99b,55.03806,-127.87106,12.60289,6.03572,-5.50278,-7.50736,2.01477,-7.60252,3.9249,,0.17959,-97.79608,9.71502,,,,,,,2.14805,24.81411,-19.47068,,,,,,,-0.87614,-28.28676,11.5022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-04-27,13:05:17.11,3,4,"Clack, Miles",1000297931,Left,UNI_TEX,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,0,2,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,83.53132,-1.144676,3.357969,2390.129316,192.023809,12:30,5.83704,-2.18557,5.02918,-31.49805,9.77941,1.81933,2.1301,1.1382,77.00686,-6.873338,3.678509,0.462411,67.54956,31.75156,-78.049496,4397.505039,8.4332,45.14946,-109.676,234.70589,83.65378,-99.972763,3.921759,-0.02677,5.52697,1.86249,50,5.70223,-7.18106,-121.0495,-3.56753,-0.03996,22.3504,-23.9259,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,2d2badc0-2392-11f0-a9fc-0de343bf4789,81.51291,46.1697,,6.52446,,,,-0.504,1.97084,-1.21924,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:05:17.11,2025-04-27T13:05:17.1103232-05:00,2025-04-27T18:05:17.1103232Z,FlyBall,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,6a89d587-4bad-4c96-9398-f003242f9c0a,55.47219,-122.05569,11.1752,5.83859,-2.49041,-11.96295,2.18574,-7.17926,-0.01998,,-0.50386,17.44927,-7.83705,0.43055,-0.38181,0.22822,-0.06856,0.01056,-0.00065,1.97124,52.12054,-18.09076,1.81145,-0.10528,-0.04563,0.01445,-0.00203,0.00011,-1.2196,-82.41639,9.87475,-1.97462,0.77528,-0.30865,0.07689,-0.01056,0.00061,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2025-04-27,13:06:01.11,3,5,"Clack, Miles",1000297931,Left,UNI_TEX,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.6399,-3.166342,2.454195,2228.586127,141.777605,10:45,5.95178,-2.20484,5.29971,-21.09281,16.59509,-12.01446,1.21552,-0.90048,79.51229,-7.101595,0.322287,0.441847,,,,,,,,,,,,6.72512,9.65288,1.99052,50,5.64845,-4.88736,-126.76964,-7.72251,10.84572,28.08427,-16.60665,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,475251e0-2392-11f0-a9fc-0de343bf4789,85.30649,,,8.12761,,,,,,,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:06:01.11,2025-04-27T13:06:01.1175936-05:00,2025-04-27T18:06:01.1175936Z,,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,2b3f5620-54f9-4e0a-828c-87349d23f81e,55.19879,-127.91619,14.04213,5.94989,-7.04454,-8.30332,2.19908,-5.33013,5.42286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:06:20.77,3,6,"Clack, Miles",1000297931,Left,UNI_TEX,"Brooks, Garrett",1000299889,Left,STM_RAT,Undefined,1,Top,1,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,87.25892,-1.71411,3.008193,2206.160843,140.408737,10:45,5.89472,-2.17248,5.27826,-21.78127,15.74044,-12.04595,2.46696,-0.3483,80.00964,-5.756929,0.873881,0.440872,58.23488,13.865817,-5.802973,2688.236361,,,,108.82337,108.82337,-10.614504,1.582082,6.8415,8.69249,1.90684,50,5.7223,-6.11492,-126.49274,-4.53687,11.12749,24.86813,-18.03595,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,5318b190-2392-11f0-a9fc-0de343bf4789,85.49519,9.56654,,7.24929,,,,0.17711,2.37319,0.3321,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:06:20.77,2025-04-27T13:06:20.7703552-05:00,2025-04-27T18:06:20.7703552Z,GroundBall,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,ed2087a0-12be-4ce4-be44-808eeb935c17,55.22318,-127.51547,12.43407,5.89363,-3.79512,-9.01798,2.16773,-6.57255,5.56375,126.708599,0.17713,82.49535,-10.90402,1.06542,0.20225,-0.63252,0.55334,-0.24252,0.04297,2.37318,20.46971,-15.19564,1.03141,-0.37046,0.41576,-0.32738,0.14124,-0.02494,0.33211,-8.38431,-3.74277,0.79552,-0.149,-0.04329,0.06338,-0.02967,0.00535,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-27,13:06:59.83,4,1,"Clack, Miles",1000297931,Left,UNI_TEX,"Lopez, Dillon",1000299884,Right,STM_RAT,Undefined,1,Top,2,0,0,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,80.07357,-0.63694,3.061938,1789.446945,103.616208,9:30,5.74281,-2.35673,5.44277,-39.3912,5.2613,-15.51355,1.86292,-0.77969,73.07868,-7.859609,0.301154,0.480944,58.00383,-22.564089,-18.441147,,,,,5.67958,5.60709,-6.590299,0.056933,8.75977,3.25583,2.09696,50,5.65922,-5.59276,-116.06287,-2.61233,11.87017,23.05443,-27.76214,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,6a6f93e0-2392-11f0-a9fc-0de343bf4789,78.37183,1.8658,,6.99489,,,,1.3824,1.8658,0.76856,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:06:59.83,2025-04-27T13:06:59.8341120-05:00,2025-04-27T18:06:59.8341120Z,GroundBall,v3,,5067,,"Willis, Bo",1000361605,Right,UNI_TEX,7ddeb7a8-2915-445a-937b-a6f83b1c40dc,55.0593,-117.06352,11.52721,5.74645,-1.40734,-13.88107,2.35089,-6.10797,5.93509,180,1.37972,74.81837,,,,,,,,1.86698,-32.77174,,,,,,,,0.76945,-24.94845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-04-27,13:10:00.96,1,1,"Rose, Hagen",1000127334,Right,STM_RAT,"Clark, Connor",10101384,Right,UNI_TEX,Undefined,1,Bottom,0,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,89.01684,-1.044199,-2.205552,1875.193549,250.228833,2:15,5.74744,0.4633,4.95835,-28.64072,7.87571,18.6967,2.37329,-0.06352,81.51462,-6.26939,1.093357,0.434926,71.4148,6.956343,4.974842,1631.917441,,,,90.12088,56.20664,8.187128,0.944403,-9.90729,4.51599,-0.26591,50,5.62279,4.10439,-129.10282,-3.47688,-16.73303,26.69866,-24.54676,UNI_TEX,STM_RAT,IrwinField,D2,LS,20250427-IrwinField-1,d65ea690-2392-11f0-a9fc-0de343bf4789,86.664,4.75416,,7.50222,,,,1.10959,2.33052,0.06545,ea538351-36fb-4b07-aad0-6f28f6532701,2025-04-27,18:10:00.96,2025-04-27T13:10:00.9632768-05:00,2025-04-27T18:10:00.9632768Z,GroundBall,v3,,5067,,"Parrish, Easton",1000299885,Right,STM_RAT,676b1d45-a1bd-4253-9601-a3dfc9a20f89,55.54456,-130.2444,13.34933,5.74902,-2.42732,-12.27338,-0.4567,4.81986,-8.36652,265.411862,1.10959,103.57883,-12.28686,1.72792,-0.31235,0.03556,-0.00391,0.00046,-2E-05,2.33052,12.68556,-17.02678,1.17991,-0.18105,0.03751,-0.00479,0.00073,-0.00012,0.06545,9.01615,5.99514,-1.63726,0.4305,-0.08999,0.01771,-0.00318,0.00034,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
