PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,11:06:58.43,1,1,"Moak, Clint",10045805,Right,MAR_THU,"Smith, John",1000357171,Right,SAL_JAG,Undefined,1,Top,0,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.70891,-1.628925,-2.569502,2206.493001,235.689634,1:45,5.75607,1.53941,6.11885,-21.27052,13.28552,17.8019,2.47568,0.64582,81.79291,-5.642823,0.638099,0.423091,,,,,,,,,,,,-9.92776,7.67158,-1.35162,50,5.6201,5.10671,-130.2048,-4.35872,-16.97885,28.29864,-19.05383,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,44289290-2379-11f0-93ab-7f6ebd65bf22,89.08834,,,7.916,,,,,,,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:06:58.43,2025-04-27T11:06:58.4369664-04:00,2025-04-27T15:06:58.4369664Z,,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Wilson, Nolan",1000334186,Right,MAR_THU,f5968337-6198-42a9-b2be-bf511c5b5c9b,54.37865,-131.153,14.14932,5.75545,-3.72028,-9.52692,-1.53227,5.67562,-8.48943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,11:07:59.91,1,2,"Moak, Clint",10045805,Right,MAR_THU,"Smith, John",1000357171,Right,SAL_JAG,Undefined,1,Top,0,0,1,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.28022,0.265062,-1.069617,2766.102866,104.530245,9:30,5.66567,1.63516,5.35842,-38.49427,4.35717,-10.74934,2.70643,-0.26379,74.18316,-6.818817,-2.980419,0.471144,93.82236,43.429333,31.092935,4605.787624,88.1932,101.89798,65.74122,273.61217,120.75571,42.907503,5.818952,5.05551,2.52807,-1.53104,50,5.66235,2.67392,-119.21888,-0.78788,7.13398,27.09363,-28.6066,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,68d6fbe0-2379-11f0-93ab-7f6ebd65bf22,80.00187,123.14697,,8.09706,,,,0.48641,2.32848,0.15148,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:07:59.91,2025-04-27T11:07:59.9183360-04:00,2025-04-27T15:07:59.9183360Z,FlyBall,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Wilson, Nolan",1000334186,Right,MAR_THU,57f2b544-8d35-419c-8e36-b99f9cbebcdf,55.13721,-120.3807,13.54681,5.66983,0.43881,-14.3033,-1.63914,2.36801,3.56699,199.256301,0.49317,85.43514,-27.5618,7.66286,-1.38497,0.11406,0.00797,-0.00232,0.00013,2.32082,94.72752,-21.37368,1.23915,-0.03927,-0.03335,0.01362,-0.00219,0.00012,0.15286,51.58313,-7.70639,1.3286,-0.09991,-0.01846,0.00593,-0.00059,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-04-27,11:08:38.65,2,1,"Moak, Clint",10045805,Right,MAR_THU,"Johnson, Rhett",10092522,Right,SAL_JAG,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,90.59309,-1.316895,-2.721404,2218.925282,240.689574,2:00,5.76059,1.57827,6.04492,-25.68655,8.19378,12.68119,2.39929,0.1137,82.91081,-6.105373,-0.439815,0.418934,84.52435,-15.680508,30.894103,,,,,10.64679,6.80682,24.917115,0.074447,-7.34363,4.90351,-1.37324,50,5.64404,5.73053,-131.52422,-3.88349,-12.85171,28.13532,-23.59269,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,7fda6700-2379-11f0-93ab-7f6ebd65bf22,89.97231,2.50021,,7.68228,,,,2.01301,2.50021,-0.08746,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:08:38.65,2025-04-27T11:08:38.6544128-04:00,2025-04-27T15:08:38.6544128Z,GroundBall,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Wilson, Nolan",1000334186,Right,MAR_THU,8058f0e3-2440-47e3-89ce-27367d4b5efd,54.45374,-132.47352,14.06766,5.76164,-3.08745,-11.79635,-1.57391,6.16416,-6.42585,180,2.01014,102.66074,,,,,,,,2.50115,-33.58391,,,,,,,,-0.08918,61.42684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2025-04-27,11:09:12.56,3,1,"Moak, Clint",10045805,Right,MAR_THU,"Morrison, Kyle",1000138305,Right,SAL_JAG,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.71443,-0.355955,-0.675759,2792.126199,93.682662,9:00,5.66267,1.76514,5.19574,-40.239,2.28414,-11.89056,1.97458,0.13861,74.92328,-7.705531,-2.784958,0.469336,,,,,,,,,,,,5.7024,1.70638,-1.69318,50,5.59958,1.92605,-119.86513,-2.20809,8.1646,26.59921,-29.73091,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,941da0b0-2379-11f0-93ab-7f6ebd65bf22,80.31009,,,7.79115,,,,,,,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:09:12.56,2025-04-27T11:09:12.5644800-04:00,2025-04-27T15:09:12.5644800Z,,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Wilson, Nolan",1000334186,Right,MAR_THU,2307b734-57f3-41ca-9adc-a2cf71c4bc6d,55.29976,-121.03548,13.2996,5.66795,-0.89994,-14.86545,-1.77002,1.56681,4.0823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,11:09:29.43,3,2,"Moak, Clint",10045805,Right,MAR_THU,"Morrison, Kyle",1000138305,Right,SAL_JAG,Undefined,1,Top,2,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.49836,0.490814,-2.397683,1752.648639,248.674823,2:15,5.63106,1.79446,5.721,-34.08403,5.64866,10.99666,3.2483,0.47625,76.66118,-5.826136,-0.431305,0.453676,97.51227,23.467784,-5.957254,2195.778683,108.51549,43.38017,-18.00693,330.50152,322.61138,-16.877346,4.117544,-6.36961,3.08815,-1.60123,50,5.65103,4.68774,-122.56086,-0.09264,-9.59424,26.42345,-27.52252,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,9e2f99a0-2379-11f0-93ab-7f6ebd65bf22,83.08232,56.30379,,7.83718,,,,1.97358,3.15242,-0.4614,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:09:29.43,2025-04-27T11:09:29.4375936-04:00,2025-04-27T15:09:29.4375936Z,LineDrive,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Wilson, Nolan",1000334186,Right,MAR_THU,e30d7f3a-b68b-4cfa-9335-ae8b6ee02ab7,54.77655,-123.58637,13.21173,5.6339,0.97552,-13.76126,-1.79039,5.0601,-4.79712,139.542616,1.97321,130.48779,-25.58439,5.89212,-1.33824,0.2831,-0.04876,0.00534,-0.00025,3.15272,56.94763,-16.51089,0.68816,0.02003,-0.02796,0.00518,0.00014,-8E-05,-0.46132,-13.6181,-6.44437,2.31756,-0.65018,0.14423,-0.02386,0.00252,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-04-27,11:12:01.01,1,1,"Willingham, Zach",1000138421,Left,SAL_JAG,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.39322,-2.204756,4.087347,2339.38992,159.155655,11:15,5.35235,-2.72497,6.45871,-17.19107,18.12391,-6.44902,1.88839,0.49847,80.4632,-5.507771,2.922165,0.427711,,,,,,,,,,,,4.52855,10.44627,2.43827,50,5.18809,-8.89196,-128.04461,-5.37095,7.48485,27.53827,-14.9083,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,f889f0d0-2379-11f0-93ab-7f6ebd65bf22,88.1259,,,7.93002,,,,,,,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:12:01.01,2025-04-27T11:12:01.0115584-04:00,2025-04-27T15:12:01.0115584Z,,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Mathews, Duncan",10053145,Right,SAL_JAG,0ddcae89-1756-4d54-9866-156395151cde,54.03571,-128.90964,13.76913,5.34945,-4.90265,-7.45415,2.72128,-9.12708,3.74243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,11:12:15.22,1,2,"Willingham, Zach",1000138421,Left,SAL_JAG,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Bottom,0,0,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,77.43288,1.058629,2.655784,2422.759081,293.59825,3:45,5.29839,-2.86837,5.82296,-51.58515,-4.22925,13.37005,1.98497,0.71654,70.54617,-8.408044,5.049241,0.495289,,,,,,,,,,,,-5.95583,-1.98366,2.64337,50,5.35492,-5.70921,-112.27426,0.43122,-7.49303,23.05255,-34.66968,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,010ae980-237a-11f0-93ab-7f6ebd65bf22,76.10196,,,6.88672,,,,,,,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:12:15.22,2025-04-27T11:12:15.2249856-04:00,2025-04-27T15:12:15.2249856Z,,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Mathews, Duncan",10053145,Right,SAL_JAG,cffef39b-b703-4208-8ecc-4a52d9bd2afa,54.67462,-113.23,11.52628,5.30725,1.8686,-17.33484,2.87363,-5.39856,-3.74652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,11:12:29.13,1,3,"Willingham, Zach",1000138421,Left,SAL_JAG,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Bottom,0,0,2,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.25963,0.666893,1.876625,2393.622444,284.434625,3:30,5.15369,-2.74121,5.70399,-49.87829,-2.49728,15.56524,1.6189,0.30504,70.90255,-8.456163,4.660141,0.49542,59.89599,73.478359,-136.837369,4778.858478,,,,,16.84958,,,-7.4254,-1.09354,2.57381,50,5.17832,-4.24496,-112.1754,-0.28078,-9.39273,21.66691,-33.55732,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,094cb650-237a-11f0-93ab-7f6ebd65bf22,76.0818,49.12911,,6.35708,,,,2.75354,2.04299,-0.18381,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:12:29.13,2025-04-27T11:12:29.1343360-04:00,2025-04-27T15:12:29.1343360Z,,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Mathews, Duncan",10053145,Right,SAL_JAG,2a2ae0a1-a58c-4515-9168-c732a7149e90,54.79584,-113.09794,10.83346,5.15986,1.14802,-16.77866,2.74604,-3.84503,-4.69636,10.194166,2.75354,-18.22136,-5.31598,2.76388,-3.23163,8.29496,-12.91453,10.29609,-3.3196,2.04299,84.22057,-27.77932,3.51693,-1.53918,2.83019,-4.2206,3.30449,-1.05307,-0.18381,-17.08918,1.53011,0.20601,-0.64758,1.7653,-2.77531,2.22643,-0.72087,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
9,2025-04-27,11:12:51.07,1,4,"Willingham, Zach",1000138421,Left,SAL_JAG,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Bottom,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.59817,-1.38513,4.86752,2225.027845,160.206713,11:15,5.30109,-2.58458,6.6382,-19.26985,15.38162,-5.15485,2.42244,1.45247,81.32348,-5.054567,3.934956,0.423674,,,,,,,,,,,,4.0052,8.79591,2.25712,50,5.19905,-10.74134,-128.42199,-3.62075,6.71621,25.57231,-17.42447,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,167712d0-237a-11f0-93ab-7f6ebd65bf22,88.96561,,,7.27469,,,,,,,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:12:51.07,2025-04-27T11:12:51.0739456-04:00,2025-04-27T15:12:51.0739456Z,,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Mathews, Duncan",10053145,Right,SAL_JAG,5941c84e-7239-4049-80c8-1f644c00755e,53.85859,-129.18806,12.78616,5.2997,-3.09877,-8.71223,2.58191,-10.94254,3.3581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,11:13:04.67,1,5,"Willingham, Zach",1000138421,Left,SAL_JAG,"Halter, Jackson",822961,Left,MAR_THU,Undefined,1,Bottom,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.31955,1.952838,-0.005968,2422.460329,272.044536,3:00,5.14777,-2.77869,5.73319,-46.72786,1.15106,16.7267,3.07302,-1.39035,69.64787,-6.694251,2.9876,0.498016,,,,,,,,,,,,-8.6404,0.30114,2.76822,50,5.28159,-0.59988,-112.11092,2.37125,-10.76245,24.29662,-31.79895,MAR_THU,SAL_JAG,JackCookField,D1,SBELT,20250427-JackCookField-1,1e7965a0-237a-11f0-93ab-7f6ebd65bf22,75.68514,,,7.67169,,,,,,,64065b33-56e6-48f7-b3f2-f8de819085cd,2025-04-27,15:13:04.67,2025-04-27T11:13:04.6700544-04:00,2025-04-27T15:13:04.6700544Z,,v3,471347,471440,26 April 2025 16:00-salabama@marshall,"Mathews, Duncan",10053145,Right,SAL_JAG,72b535db-3cba-4ec8-850f-62c7891c35c5,54.76527,-113.13893,12.14831,5.15279,3.7167,-15.89948,2.78397,-0.1445,-5.38123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
