PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,16:51:07.93,1,1,"Hibbard, Jack",10126298,Right,ASU_RED,"Freeman, Kaleb",807461,Left,GEO_PAN,Undefined,1,Top,0,0,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.73437,-0.402051,-1.557811,2109.5969,231.878242,1:45,5.47773,1.50446,5.78951,-22.81505,13.88642,16.10595,3.2023,1.39704,79.57097,-4.6966,1.32725,0.436027,,,,,,,,,,,,-8.62894,7.56374,-1.38566,50,5.43106,2.76816,-127.30771,-1.61851,-14.04648,28.11591,-19.86152,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,ba037e20-23b1-11f0-ad6d-4b414b35a946,86.44526,,,8.1634,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:51:07.93,2025-04-27T16:51:07.9389184-05:00,2025-04-27T21:51:07.9389184Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,d57603f3-8afe-4c37-b31c-f84d385b6d3f,54.70887,-128.34345,14.05796,5.4772,-0.88685,-9.93076,-1.49717,3.2856,-7.02324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,16:51:21.25,1,2,"Hibbard, Jack",10126298,Right,ASU_RED,"Freeman, Kaleb",807461,Left,GEO_PAN,Undefined,1,Top,0,1,0,TwoSeamFastBall,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.78672,-1.343282,-1.670444,2088.930601,240.435385,2:00,5.41196,1.47157,5.74109,-25.02301,10.98867,17.15635,2.07516,1.34541,80.47044,-6.018257,1.401513,0.43191,,,,,,,,,,,,-9.1928,6.38099,-1.34294,50,5.28502,3.00203,-128.76168,-3.86176,-15.26736,29.42095,-21.57658,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,c1dd6160-23b1-11f0-ad6d-4b414b35a946,87.26926,,,8.31627,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:51:21.25,2025-04-27T16:51:21.2555264-05:00,2025-04-27T21:51:21.2555264Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,5e1a96ef-461e-42ae-a4db-68c0804087d5,54.75733,-129.84414,14.71048,5.4125,-3.06791,-10.78829,-1.46373,3.56375,-7.63368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,16:51:35.37,1,3,"Hibbard, Jack",10126298,Right,ASU_RED,"Freeman, Kaleb",807461,Left,GEO_PAN,Undefined,1,Top,0,2,0,TwoSeamFastBall,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.37363,-1.490449,-3.085424,2127.334406,237.407731,2:00,5.43131,1.40487,5.72975,-24.36651,11.96737,16.7621,2.01033,-0.07465,80.23313,-6.044824,-0.088978,0.433838,,,,,,,,,,,,-9.4428,6.90394,-1.15775,50,5.29197,6.18081,-128.07111,-4.14606,-15.56035,28.38937,-20.79736,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,ca63ff60-23b1-11f0-ad6d-4b414b35a946,86.88146,,,8.1405,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:51:35.37,2025-04-27T16:51:35.3780736-05:00,2025-04-27T21:51:35.3780736Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,2523853f-f613-4f00-afc9-2cbe974abcea,54.76977,-129.12409,14.19469,5.43145,-3.37467,-10.39868,-1.3977,6.75795,-7.78017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,16:51:49.09,1,4,"Hibbard, Jack",10126298,Right,ASU_RED,"Freeman, Kaleb",807461,Left,GEO_PAN,Undefined,1,Top,0,2,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,81.54021,-1.492196,-2.63916,1836.401897,231.204145,1:45,5.37602,1.5265,6.03209,-29.6382,12.3504,13.63721,1.52253,0.21719,74.52474,-7.02864,-0.185735,0.466377,,,,,,,,,,,,-7.7939,7.20465,-1.32755,50,5.24326,4.93859,-118.31387,-3.9629,-11.00399,23.40401,-22.002,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,d2930780-23b1-11f0-ad6d-4b414b35a946,80.81968,,,7.01547,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:51:49.09,2025-04-27T16:51:49.0947584-05:00,2025-04-27T21:51:49.0947584Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,bc98f464-cd1a-45b1-ab97-335b56cab8e0,54.46791,-119.19441,11.702,5.37679,-3.13511,-11.001,-1.52115,5.35259,-5.50199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,16:52:03.67,1,5,"Hibbard, Jack",10126298,Right,ASU_RED,"Freeman, Kaleb",807461,Left,GEO_PAN,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.17292,-2.62791,-3.077123,1940.984626,238.579842,2:00,5.43845,1.35831,5.98903,-33.33986,9.48528,13.05209,0.21931,-0.40867,73.92385,-8.815,-0.729833,0.471,,,,,,,,,,,,-7.75957,6.10803,-1.12291,50,5.21229,5.8411,-117.59364,-6.41064,-10.73406,24.81457,-23.72459,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,db3d8130-23b1-11f0-ad6d-4b414b35a946,80.02642,,,7.24907,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:52:03.67,2025-04-27T16:52:03.6728832-05:00,2025-04-27T21:52:03.6728832Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,11bb508e-bd32-4d40-aac2-2aec45d5f4e8,54.51206,-118.54195,12.40729,5.43995,-5.50398,-11.8623,-1.35397,6.25131,-5.36703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,16:52:23.06,1,6,"Hibbard, Jack",10126298,Right,ASU_RED,"Freeman, Kaleb",807461,Left,GEO_PAN,Undefined,1,Top,0,3,2,ChangeUp,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,81.87989,-1.423225,-3.052321,1857.973879,226.125499,1:30,5.46878,1.57439,6.08391,-28.46313,13.28131,12.32473,1.77801,-0.2251,74.50619,-6.764446,-0.834574,0.465019,,,,,,,,,,,,-7.31784,7.69827,-1.3451,50,5.34366,5.87167,-118.73901,-3.78042,-10.36051,24.50176,-21.27493,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,e6caa870-23b1-11f0-ad6d-4b414b35a946,81.05569,,,7.3737,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:52:23.06,2025-04-27T16:52:23.0600000-05:00,2025-04-27T21:52:23.0600000Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,1f7a29f6-4df4-4802-8222-9df37fb11bf7,54.41623,-119.64682,12.25088,5.46913,-2.99216,-10.63746,-1.56976,6.25553,-5.18025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.40508,2.596649,1.743206,0.853442,3.57317,2.02916,0.19199,2.74367,4.79502,-2.9956,79.20324,8.23914,-45.60452,2.78645,95.03162,-6.40778,4.83264,15.93106,-13.96474,-3.09841,-57.76532,9.26223,High,High,High,,,High,Medium,High
7,2025-04-27,16:52:51.26,2,1,"Hibbard, Jack",10126298,Right,ASU_RED,"Maginnis, Wills",1000149734,Right,GEO_PAN,Undefined,1,Top,1,0,0,TwoSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,,88.43278,-1.162802,-2.067854,2162.267398,216.520644,1:15,5.5308,1.3185,5.80401,-19.16324,16.88332,11.60682,2.85156,0.36171,80.37563,-4.79437,0.010763,0.432119,99.08987,34.506082,-15.521936,3308.460588,106.3898,71.50347,-27.94916,404.99073,398.65457,-10.617305,5.760561,-6.59642,9.34024,-1.15593,50,5.42406,4.15264,-128.32669,-3.19203,-10.929,28.14997,-16.69908,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,f793d690-23b1-11f0-ad6d-4b414b35a946,87.22701,109.18682,,8.05715,,,,3.04373,2.9857,-0.35947,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:52:51.26,2025-04-27T16:52:51.2635392-05:00,2025-04-27T21:52:51.2635392Z,FlyBall,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,0b60a345-cc50-4502-b907-ab671d5ede31,54.69683,-129.35289,14.07498,5.52933,-2.58327,-8.34954,-1.31457,4.55106,-5.4645,182.431387,3.05075,115.25371,-21.68541,4.75785,-0.45399,-0.10347,0.04131,-0.00521,0.00023,2.97741,82.4736,-18.26245,1.51369,-0.51798,0.15142,-0.02286,0.00154,-3E-05,-0.36126,-32.01422,6.63997,-0.82228,-0.05355,0.06397,-0.01608,0.00183,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-04-27,16:53:35.46,3,1,"Hibbard, Jack",10126298,Right,ASU_RED,"Hynek, Colin",831240,Right,GEO_PAN,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.46558,-2.102185,-3.105125,1795.997222,243.132586,2:00,5.43844,1.49695,5.88997,-34.49364,10.08481,16.26552,0.60825,-0.03365,71.84327,-8.552932,-0.185431,0.480545,,,,,,,,,,,,-9.55099,6.43473,-1.25613,50,5.24916,5.69109,-116.3482,-5.31521,-12.67119,28.36317,-23.63718,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,11f6c060-23b2-11f0-ad6d-4b414b35a946,78.43689,,,8.62231,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:53:35.46,2025-04-27T16:53:35.4625024-05:00,2025-04-27T21:53:35.4625024Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,768b467f-d31a-4873-97c2-d0ebbf43b781,54.60813,-117.46619,14.18158,5.4403,-4.38351,-11.81859,-1.49029,6.19054,-6.33559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,16:53:48.27,3,2,"Hibbard, Jack",10126298,Right,ASU_RED,"Hynek, Colin",831240,Right,GEO_PAN,Undefined,1,Top,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.83229,-0.995713,-3.744157,1880.656377,241.82474,2:00,5.48972,1.41632,5.79529,-32.73884,9.68678,15.29091,1.83321,-0.7972,74.23335,-7.082311,-1.00948,0.468798,,,,,,,,,,,,-8.94634,5.68689,-1.11715,50,5.38822,7.14941,-118.50767,-3.09669,-12.58642,24.91128,-24.17328,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,19996700-23b2-11f0-ad6d-4b414b35a946,80.40235,,,7.59895,,,,,,,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:53:48.27,2025-04-27T16:53:48.2739712-05:00,2025-04-27T21:53:48.2739712Z,,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,eef463d8-0e60-4cd1-b4d6-7f054fe5823b,54.70378,-119.49235,12.45564,5.49174,-2.14118,-12.08664,-1.40958,7.64692,-6.29321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,16:54:01.58,3,3,"Hibbard, Jack",10126298,Right,ASU_RED,"Hynek, Colin",831240,Right,GEO_PAN,Undefined,1,Top,1,1,1,TwoSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Error,0,0,,88.78233,-1.213678,-2.656205,2209.218837,233.335238,1:45,5.4908,1.388,5.78633,-22.31678,13.83331,16.80776,2.50054,0.31567,79.98789,-5.425584,0.352429,0.432739,97.7295,3.302589,0.183156,824.684522,,,,93.20982,56.84705,0.563865,0.703314,-9.45004,7.82445,-1.17931,50,5.3775,5.24818,-128.64667,-3.44087,-15.58621,30.62962,-19.26893,ASU_RED,GEO_PAN,KellField,D1,SBELT,20250427-KellField-1,21843a30-23b2-11f0-ad6d-4b414b35a946,87.10203,3.48378,,8.79443,,,,1.33407,2.51381,-0.33801,3d98345f-db37-49dc-aed2-a97a47475c35,2025-04-27,21:54:01.58,2025-04-27T16:54:01.5842816-05:00,2025-04-27T21:54:01.5842816Z,GroundBall,v3,471233,471304,,"Amundson, Kaden",1000091247,Right,ASU_RED,293fc9d8-3456-4b2b-bc17-5ef8546ab504,54.71282,-129.7639,15.31481,5.49018,-2.73803,-9.63447,-1.38111,5.81669,-7.7931,288.284679,1.37848,142.24133,-16.68752,,,,,,,2.53735,7.8051,-16.27164,,,,,,,-0.34557,0.60401,1.70817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
