PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:04:53.66,1,1,"Warner, Parker",827365,Right,STA_CAR,"Nelson, Cameron",1000115365,Left,WAK_DEA,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.23667,-2.858236,-3.814155,2114.301068,229.273322,1:45,5.74909,2.50497,5.428,-20.1854,16.80336,18.00284,1.38183,0.42765,80.0604,-6.644079,-0.617794,0.43773,,,,,,,,,,,,-10.19701,9.68898,-2.17933,50,5.48138,7.70626,-127.59732,-7.04345,-16.68398,28.10827,-16.3213,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,e2aa2180-23a2-11f0-a315-0762c7c61616,86.10891,,,8.17627,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:04:53.66,2025-04-27T13:04:53.6644608-07:00,2025-04-27T20:04:53.6644608Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,fb9d2e41-1b40-487e-b70b-5415137121b4,55.07031,-128.70941,14.05414,5.74728,-6.39771,-8.16065,-2.49728,8.36635,-8.34199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:05:09.11,1,2,"Warner, Parker",827365,Right,STA_CAR,"Nelson, Cameron",1000115365,Left,WAK_DEA,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,79.71133,-0.50038,-4.383855,1926.217418,258.280875,2:30,5.62948,2.47567,5.74486,-38.69923,6.20146,22.14304,1.93728,0.23135,72.23472,-7.659941,-0.428966,0.482279,,,,,,,,,,,,-12.55453,3.81248,-2.12399,50,5.56446,7.96752,-115.35723,-2.24582,-16.71584,23.84387,-27.0979,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,ebda45f0-23a2-11f0-a315-0762c7c61616,78.15491,,,7.47662,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:05:09.11,2025-04-27T13:05:09.1113984-07:00,2025-04-27T20:05:09.1113984Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,2a531857-2053-48fc-92ce-475334789988,54.75336,-116.33558,11.92194,5.6338,-1.13395,-13.54895,-2.46498,8.6534,-8.35792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:05:26.42,1,3,"Warner, Parker",827365,Right,STA_CAR,"Nelson, Cameron",1000115365,Left,WAK_DEA,Undefined,1,Top,0,1,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,79.84686,-0.063133,-4.263349,1900.490933,260.11696,2:45,5.6721,2.54686,5.70388,-39.37317,5.31303,21.54474,2.33201,0.36246,72.49829,-7.334742,-0.418322,0.481125,83.96361,45.022882,-13.931892,3729.889419,102.83094,93.18675,-39.06139,267.92706,212.8693,-26.894908,5.336186,-12.29438,3.15244,-2.2027,50,5.64233,7.78657,-115.62123,-1.39032,-16.47894,23.53683,-27.94863,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,f62d8da0-23a2-11f0-a315-0762c7c61616,78.34227,104.65926,,7.34856,,,,1.1231,1.96177,-0.64912,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:05:26.42,2025-04-27T13:05:26.4208384-07:00,2025-04-27T20:05:26.4208384Z,FlyBall,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,8b955d59-032f-49ee-81e1-ffbd37abe5f1,54.79621,-116.59349,11.76842,5.67591,-0.23581,-13.97431,-2.53841,8.46728,-8.23947,152.506065,1.13,84.33579,-19.56436,4.18187,-0.13435,-0.24833,0.07824,-0.00992,0.00047,1.95688,87.19342,-21.65593,1.93126,-0.39242,0.05453,0.00343,-0.00193,0.00015,-0.6475,-20.9912,-2.92106,1.19188,-0.1465,-0.03946,0.01723,-0.00234,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
4,2025-04-27,13:06:02.23,2,1,"Warner, Parker",827365,Right,STA_CAR,"Houston, Marek",701339,Right,WAK_DEA,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.60761,-0.848523,-4.522486,2097.134861,243.582282,2:00,5.74597,2.53973,5.61656,-24.92722,11.30737,20.32198,2.87426,0.00365,80.60375,-5.490084,-0.906395,0.433244,,,,,,,,,,,,-11.48331,6.3317,-2.16585,50,5.65745,9.23625,-128.2609,-2.75987,-19.07846,27.18465,-21.6545,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,0b89b160-23a3-11f0-a315-0762c7c61616,87.00043,,,8.00386,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:06:02.23,2025-04-27T13:06:02.2307840-07:00,2025-04-27T20:06:02.2307840Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,e349d90c-b987-4799-b43d-af7f81b4ee71,54.8816,-129.29141,13.59233,5.74651,-1.93899,-10.82725,-2.52969,9.95947,-9.53923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
5,2025-04-27,13:06:16.30,2,2,"Warner, Parker",827365,Right,STA_CAR,"Houston, Marek",701339,Right,WAK_DEA,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.38857,-0.644114,-5.059171,2091.695341,273.445296,3:00,5.5549,2.53512,5.61418,-43.824,0.20272,20.57332,1.29935,-0.48464,73.64907,-8.651923,-1.396553,0.477562,,,,,,,,,,,,-11.91335,0.68402,-2.11579,50,5.47119,9.49957,-116.3562,-2.78131,-16.29138,22.34569,-31.23865,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,13e76aa0-23a3-11f0-a315-0762c7c61616,78.92685,,,6.7395,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:06:16.30,2025-04-27T13:06:16.3008512-07:00,2025-04-27T20:06:16.3008512Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,a07ebf01-0bca-428a-bde8-f5db08a649f9,54.88753,-117.29108,11.17284,5.56021,-1.47438,-15.61932,-2.52748,10.18115,-8.14569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:06:31.58,2,3,"Warner, Parker",827365,Right,STA_CAR,"Houston, Marek",701339,Right,WAK_DEA,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.4388,-0.876189,-5.363623,2005.800427,268.023774,3:00,5.56945,2.54367,5.75197,-41.58321,2.33122,24.31702,1.28486,-0.4377,73.40961,-8.515192,-1.025833,0.476952,,,,,,,,,,,,-14.00261,1.86347,-2.11254,50,5.47095,9.98732,-116.36157,-3.14115,-19.08739,23.01438,-29.6339,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,1d073b60-23a3-11f0-a315-0762c7c61616,79.0277,,,7.02919,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:06:31.58,2025-04-27T13:06:31.5838464-07:00,2025-04-27T20:06:31.5838464Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,d34a2640-514e-470a-bf7c-93946286ad04,54.74961,-117.2972,11.50719,5.57416,-1.93641,-14.81695,-2.53434,10.76331,-9.54369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:06:49.49,2,4,"Warner, Parker",827365,Right,STA_CAR,"Houston, Marek",701339,Right,WAK_DEA,Undefined,1,Top,1,2,1,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,89.01614,-0.588242,-4.515434,2172.455931,242.726539,2:00,5.71505,2.59434,5.518,-24.48115,11.52272,20.03552,3.12321,0.03322,80.9971,-5.14134,-0.957403,0.431863,104.5674,15.047363,-23.44586,1923.261924,97.8819,22.25689,-50.19083,254.25418,251.25441,-32.098434,2.245657,-11.49209,6.32949,-2.21461,50,5.64742,9.31042,-128.89024,-2.17858,-19.27822,27.48665,-21.55619,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,27aaed00-23a3-11f0-a315-0762c7c61616,87.27867,23.06343,,8.01903,,,,1.63198,3.1221,0.00128,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:06:49.49,2025-04-27T13:06:49.4968832-07:00,2025-04-27T20:06:49.4968832Z,LineDrive,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,581fb29f-32ae-4642-b471-56375c5b34f0,54.98276,-129.9485,13.74333,5.71532,-1.34865,-10.7781,-2.58735,10.05265,-9.63911,99.563068,1.63193,135.88185,-28.00032,6.64776,-1.29763,0.09928,0.04295,-0.01724,0.00204,3.12213,39.8142,-21.5088,1.85463,-0.31396,0.10739,-0.04525,0.01182,-0.00126,0.0012,-58.92378,-4.29317,3.06209,-0.84949,0.04658,0.06227,-0.02289,0.00269,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-27,13:07:32.12,3,1,"Warner, Parker",827365,Right,STA_CAR,"Lewis, Kade",832392,Left,WAK_DEA,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.33059,-1.381249,-3.668259,2277.077362,228.644746,1:30,5.77045,3.02712,5.32509,-20.961,16.07544,16.7769,2.72465,0.97826,79.90458,-5.312524,-0.695597,0.438012,,,,,,,,,,,,-9.44512,8.83532,-2.70721,50,5.63059,7.42063,-127.80308,-3.78786,-15.48721,28.45783,-17.68677,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,41228c70-23a3-11f0-a315-0762c7c61616,86.0534,,,8.42601,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:07:32.12,2025-04-27T13:07:32.1264128-07:00,2025-04-27T20:07:32.1264128Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,88d78675-1e61-46b1-9f19-c65fa848f213,55.17133,-128.94943,14.22892,5.76883,-3.07539,-8.84339,-3.0187,8.0445,-7.74361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium,Medium,Medium,,,,,
9,2025-04-27,13:07:48.67,3,2,"Warner, Parker",827365,Right,STA_CAR,"Lewis, Kade",832392,Left,WAK_DEA,Undefined,1,Top,1,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.06419,-1.483949,-5.100791,2118.251269,260.893476,2:45,5.70601,3.05534,5.25428,-40.88805,5.30315,23.45966,0.89848,0.20483,72.4153,-8.925964,-0.95155,0.48916,,,,,,,,,,,,-13.27461,3.49091,-2.60498,50,5.53901,9.2738,-114.32733,-4.36294,-17.52355,21.59314,-27.56578,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,4afa1470-23a3-11f0-a315-0762c7c61616,77.05543,,,6.64889,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:07:48.67,2025-04-27T13:07:48.6774272-07:00,2025-04-27T20:07:48.6774272Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,7095b2dd-7ffa-47a4-afde-e3515a84ea8f,55.24729,-115.31413,10.79657,5.70961,-3.10319,-13.78289,-3.04709,10.07462,-8.76178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:08:09.55,3,3,"Warner, Parker",827365,Right,STA_CAR,"Lewis, Kade",832392,Left,WAK_DEA,Undefined,1,Top,1,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.90098,-1.202808,-4.622025,2224.645777,264.424257,2:45,5.73013,2.85549,5.49361,-41.08664,3.67862,22.48674,1.17725,0.39637,73.17192,-8.711976,-0.623276,0.481551,,,,,,,,,,,,-12.71646,2.61851,-2.4661,50,5.59663,8.46652,-115.66801,-3.81163,-17.1731,22.21551,-28.63783,STA_CAR,WAK_DEA,KleinField,D1,ACC,20250427-KleinField-1,57739780-23a3-11f0-a315-0762c7c61616,78.27304,,,6.72905,,,,,,,23bb9778-05a0-4b7a-9709-f5de3ce04ddf,2025-04-27,20:08:09.55,2025-04-27T13:08:09.5581184-07:00,2025-04-27T20:08:09.5581184Z,,v3,471454,471484,26 April 2025 17:05-wake@stanford,"Lavin, Luke",806138,Right,STA_CAR,12d211f9-b20f-40c3-9e7a-f445153bf58b,55.00769,-116.62583,11.10776,5.73435,-2.57691,-14.31892,-2.8471,9.20694,-8.58655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
