PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:00.23,1,1,"Rokose, Davis",1000038272,Left,LIP_BIS,"Nunnally, Tait",10117953,Left,EKU_COL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.35199,-1.218491,4.247774,2018.763454,161.015964,11:15,5.57647,-1.73965,5.9134,-18.68202,17.5071,-5.59544,2.88549,1.74363,80.10897,-4.770873,3.24776,0.432972,,,,,,,,,,,,4.11284,9.67583,1.40161,50,5.46789,-9.25746,-127.87072,-3.26674,6.76056,28.14224,-16.26929,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,14d47270-2392-11f0-a991-1310f26ae087,87.05506,,,8.24303,,,,,,,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:06:00.23,2025-04-27T13:06:00.2392064-05:00,2025-04-27T18:06:00.2392064Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,28e72757-1c42-4ba7-97a6-1a59b3fef1b8,54.5812,-128.87502,14.07112,5.57411,-2.68614,-8.13465,1.73629,-9.49872,3.38028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:06:12.33,1,2,"Rokose, Davis",1000038272,Left,LIP_BIS,"Nunnally, Tait",10117953,Left,EKU_COL,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.56829,-1.467497,2.929213,2097.652553,155.949097,11:15,5.50594,-1.8844,5.87744,-18.84174,17.09678,-7.08351,2.57082,0.24809,80.40411,-5.045084,1.660482,0.431471,78.61731,76.416442,-48.105193,4476.533666,,,,,31.57505,,,4.5152,9.55717,1.65176,50,5.37647,-6.27396,-128.39616,-3.85495,7.48176,28.41681,-16.33772,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,1c0396c0-2392-11f0-a991-1310f26ae087,87.35801,121.6081,,8.16418,,,,,,,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:06:12.33,2025-04-27T13:06:12.3350528-05:00,2025-04-27T18:06:12.3350528Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,b6dcf496-3477-4c62-a0b9-cdd147885092,54.61959,-129.41454,14.20841,5.50413,-3.26946,-8.16886,1.8814,-6.54209,3.74088,,2.89727,18.07682,-11.92002,3.37965,0.35435,-1.40716,1.11828,-0.43105,0.06616,4.97023,112.0804,-28.61103,3.60802,-0.77264,0.22981,-0.0926,0.02836,-0.00406,-0.54353,-20.15872,1.76894,-0.26222,0.09228,-0.09685,0.06846,-0.02574,0.00394,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2025-04-27,13:06:40.56,1,3,"Rokose, Davis",1000038272,Left,LIP_BIS,"Nunnally, Tait",10117953,Left,EKU_COL,Undefined,1,Top,0,1,1,Slider,Slider,HitByPitch,Undefined,Undefined,Undefined,0,0,,76.06717,4.005066,-0.590724,2268.124971,281.78794,3:30,5.38186,-2.11817,5.00692,-50.55837,-0.67433,10.35532,4.95547,-1.81284,69.66734,-5.164583,1.234943,0.508338,47.70767,3.338954,-134.103165,1631.326925,,,,47.22856,39.81651,-137.602089,0.707528,-5.27445,-0.93992,2.16605,50,5.72578,0.72022,-110.19474,5.95839,-6.51686,18.69359,-33.33535,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,2ce41d70-2392-11f0-a991-1310f26ae087,74.14845,4.82872,,6.39983,,,,-0.96938,4.56087,1.86785,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:06:40.56,2025-04-27T13:06:40.5610496-05:00,2025-04-27T18:06:40.5610496Z,GroundBall,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,88fc84c1-7bee-43da-adee-6c01bac3f957,55.49238,-111.12258,9.34679,5.38899,7.61294,-16.66768,2.12227,1.04367,-3.25843,102.512962,-0.96938,-48.61397,1.13272,-0.22112,0.13393,-0.5411,0.95172,-0.88162,0.32185,4.56087,4.07515,-15.51304,0.83929,0.41266,-1.37356,2.51573,-2.246,0.76424,1.86785,-50.16035,4.17132,-1.15392,0.93998,-2.15282,3.78295,-3.49279,1.25452,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-04-27,13:07:21.15,2,1,"Rokose, Davis",1000038272,Left,LIP_BIS,"Caban, Gregory",10105225,Left,EKU_COL,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.04435,-1.97037,4.034656,2089.504797,149.364519,11:00,5.45844,-1.81812,6.04943,-18.63627,16.73934,-9.20146,2.07616,1.15623,80.92841,-5.512909,2.384198,0.428078,,,,,,,,,,,,5.87583,9.53225,1.50841,50,5.29463,-8.70195,-128.92294,-4.98128,9.83772,28.11102,-16.21453,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,450f18a0-2392-11f0-a991-1310f26ae087,88.0503,,,8.11594,,,,,,,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:07:21.15,2025-04-27T13:07:21.1538432-05:00,2025-04-27T18:07:21.1538432Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,fb9ca796-ef16-4965-bf71-df55de3cd949,54.44567,-129.88869,14.05551,5.45619,-4.42423,-8.10726,1.81317,-9.03992,4.91886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:07:40.02,2,2,"Rokose, Davis",1000038272,Left,LIP_BIS,"Caban, Gregory",10105225,Left,EKU_COL,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.5958,-2.543615,2.733771,2097.166989,148.483637,11:00,5.41446,-1.94586,6.02279,-18.7669,16.95493,-9.64867,1.49046,-0.21602,80.5804,-6.106528,0.999664,0.430168,,,,,,,,,,,,5.75725,9.83146,1.73691,50,5.20487,-5.72854,-128.40199,-6.25322,9.5518,28.13332,-15.86281,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,5041c3d0-2392-11f0-a991-1310f26ae087,87.62256,,,8.0154,,,,,,,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:07:40.02,2025-04-27T13:07:40.0205824-05:00,2025-04-27T18:07:40.0205824Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,046bcbcf-89dc-4f59-8d84-801291062187,54.47342,-129.37842,14.06666,5.41235,-5.70267,-7.9314,1.94148,-6.06006,4.7759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:08:00.67,2,3,"Rokose, Davis",1000038272,Left,LIP_BIS,"Caban, Gregory",10105225,Left,EKU_COL,Undefined,1,Top,0,2,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.27251,-1.258968,2.554458,2048.640062,149.511638,11:00,5.51189,-1.88869,5.78109,-18.46485,17.8417,-9.77186,2.80045,-0.32476,80.05095,-4.769738,0.80629,0.433674,75.76262,3.947221,37.4086,3826.553951,,,,50.4289,50.4289,38.602701,0.454512,5.77303,9.85138,1.68398,50,5.39708,-5.29844,-127.99511,-3.36704,9.50007,28.40028,-15.96263,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,5c959670-2392-11f0-a991-1310f26ae087,86.91413,3.39276,,8.22156,,,,2.67926,2.94365,0.45974,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:08:00.67,2025-04-27T13:08:00.6747136-05:00,2025-04-27T18:08:00.6747136Z,GroundBall,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,83f5bca6-e376-47dc-8c96-8e81a860c22a,54.71607,-129.03729,14.20014,5.50989,-2.78127,-7.98131,1.88481,-5.64706,4.75004,,2.67835,88.08286,-15.98674,,,,,,,2.96047,7.15589,-30.15463,,,,,,,0.44641,67.73644,1.17503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
7,2025-04-27,13:08:40.24,3,1,"Rokose, Davis",1000038272,Left,LIP_BIS,"Alana, Diego",1000115962,Right,EKU_COL,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.87022,-1.727785,2.963429,2055.049137,150.785873,11:00,5.46188,-2.03744,6.01557,-18.46505,16.93186,-8.81272,2.32004,-0.02433,80.95256,-5.236162,1.38068,0.428207,69.27382,29.610616,153.737201,2983.034559,,,,,47.76473,,,5.40087,9.56501,1.80981,50,5.31621,-6.3092,-128.88769,-4.43145,9.04977,27.75922,-16.14678,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,74275ee0-2392-11f0-a991-1310f26ae087,88.02379,23.10717,,7.91766,,,,1.7061,2.2426,-0.07065,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:08:40.24,2025-04-27T13:08:40.2422272-05:00,2025-04-27T18:08:40.2422272Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,0c785258-3476-4b0e-bcd3-5a4f41855742,54.48184,-129.84938,13.87961,5.46005,-3.87206,-8.07339,2.03382,-6.62272,4.52489,337.180618,1.7061,-79.21441,4.78943,-0.11271,-0.00938,0.02178,-0.00561,0.00258,-0.00084,2.2426,50.20157,-26.25589,2.95325,-0.63387,0.1291,-0.02653,0.00728,-0.00155,-0.07065,39.08622,-5.36395,0.89189,-0.18367,0.03177,-0.00685,0.00149,-0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
8,2025-04-27,13:09:02.79,3,2,"Rokose, Davis",1000038272,Left,LIP_BIS,"Alana, Diego",1000115962,Right,EKU_COL,Undefined,1,Top,1,0,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,80.81626,-0.54682,3.393722,1503.38073,106.611203,9:30,5.23173,-2.21962,5.76355,-37.82809,5.6491,-13.87308,1.56955,-0.21345,73.45543,-7.539538,0.911806,0.474572,,,,,,,,,,,,8.1326,3.47666,1.94703,50,5.16352,-6.40586,-117.11131,-2.33416,11.17728,24.25913,-27.39578,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,81a336c0-2392-11f0-a991-1310f26ae087,79.42409,,,7.36083,,,,,,,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:09:02.79,2025-04-27T13:09:02.7970560-05:00,2025-04-27T18:09:02.7970560Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,2605666f-fb43-4d68-ac14-f43338c8dd30,54.73414,-118.08789,12.12957,5.23529,-1.2313,-13.69789,2.21396,-6.85581,5.58864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:09:30.32,3,3,"Rokose, Davis",1000038272,Left,LIP_BIS,"Alana, Diego",1000115962,Right,EKU_COL,Undefined,1,Top,1,0,2,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,89.28106,-0.640974,4.391037,2008.834464,156.787139,11:15,5.54873,-1.94206,6.02673,-18.37422,17.09446,-6.78693,3.42216,1.56694,80.47466,-4.156498,3.17589,0.428641,,,,,,,,,,,,4.9202,9.38272,1.6019,50,5.48869,-9.64341,-129.21783,-1.97733,8.2019,30.45962,-16.53312,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,9201bc30-2392-11f0-a991-1310f26ae087,87.93472,,,8.8064,,,,,,,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:09:30.32,2025-04-27T13:09:30.3234560-05:00,2025-04-27T18:09:30.3234560Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,f2add26f-cddd-4397-b004-23ffe9d85958,54.47029,-130.26732,15.22981,5.547,-1.40768,-8.26656,1.93903,-9.92601,4.10095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:10:13.93,4,1,"Rokose, Davis",1000038272,Left,LIP_BIS,"Shaffer, Silas",1000068569,Right,EKU_COL,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.96496,-0.505771,3.725976,2140.560807,149.712276,11:00,5.42431,-2.01268,6.16666,-19.16351,15.96631,-8.6539,3.35919,0.7126,80.95701,-4.153635,2.169789,0.426589,,,,,,,,,,,,5.51292,8.73201,1.73423,50,5.37601,-8.04071,-128.98848,-1.68745,9.26044,27.57314,-17.50623,LIP_BIS,EKU_COL,Lipscomb,D1,ASUN,20250427-Lipscomb-1,ac068070-2392-11f0-a991-1310f26ae087,88.35778,,,8.00795,,,,,,,a4ca8b96-940a-4048-bd12-dc180a9a6fef,2025-04-27,18:10:13.93,2025-04-27T13:10:13.9361280-05:00,2025-04-27T18:10:13.9361280Z,,v3,471517,471288,27 April 2025 14:00-ekentucky@lipscomb,"Berg, Jake",810051,Right,LIP_BIS,e289b1ea-43a2-49cd-9abd-af301f9bb3e1,54.32924,-129.91062,13.78657,5.42265,-1.10198,-8.75312,2.00832,-8.35041,4.63022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
