PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:04:30.71,1,1,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,0,0,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,aad2f890-2389-11f0-a74d-b78b12f74d76,,,,,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:04:30.71,2025-04-27T13:04:30.7117952-04:00,2025-04-27T17:04:30.7117952Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-04-27,13:04:31.71,1,2,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.12027,-2.095334,4.820767,2279.90729,131.38621,10:30,5.56693,-2.91579,5.83725,-23.80741,13.59359,-13.94867,1.62762,0.41324,79.09938,-6.55602,2.331259,0.440163,,,,,,,,,,,,8.57394,7.95347,2.5301,50,5.3815,-10.04296,-125.96943,-5.37742,13.67389,27.37813,-19.4897,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,b055f380-2389-11f0-a74d-b78b12f74d76,85.63297,,,8.02088,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:04:31.71,2025-04-27T13:04:31.7117952-04:00,2025-04-27T17:04:31.7117952Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,6ca2ab37-74bc-4382-9573-2405d7ea5e7a,54.66342,-126.97893,13.68907,5.56653,-4.65879,-9.74485,2.9097,-10.54715,6.83695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:04:48.55,1,3,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,80.36627,0.838828,3.003831,1689.826849,106.811629,9:30,5.53143,-3.0551,5.8864,-38.09254,5.10221,-12.51599,3.13714,-1.30611,73.77486,-6.202264,0.760568,0.473028,,,,,,,,,,,,7.19811,2.80106,2.81968,50,5.57725,-5.64271,-116.65712,0.50448,9.95014,21.30646,-28.30209,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,ba5304e0-2389-11f0-a74d-b78b12f74d76,79.68331,,,6.59142,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:04:48.55,2025-04-27T13:04:48.5579264-04:00,2025-04-27T17:04:48.5579264Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,a81c67d5-6412-4375-b14c-49dd3041df3b,54.61555,-117.49708,10.65323,5.53537,1.62024,-14.15105,3.04987,-6.03497,4.97507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:05:05.69,1,4,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,2,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.88348,-1.279592,5.60463,2224.687078,120.657898,10:00,5.58898,-2.85068,5.57978,-24.53761,12.15615,-18.58678,2.34313,0.85177,80.61792,-5.826721,2.309339,0.435981,,,,,,,,,,,,10.86005,6.82642,2.37946,50,5.46233,-11.67304,-127.11021,-3.68996,17.88205,24.48481,-20.93374,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,c49c3a70-2389-11f0-a74d-b78b12f74d76,86.45436,,,7.26556,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:05:05.69,2025-04-27T13:05:05.6919040-04:00,2025-04-27T17:05:05.6919040Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,494cd602-db4c-480b-a847-a5fe40e4ac9c,54.92305,-128.05501,12.24241,5.58913,-2.88219,-10.46687,2.8432,-12.36306,8.94103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:05:23.91,1,5,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,2,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.30348,-0.744344,4.7284,2297.520592,130.098672,10:15,5.52667,-2.90666,5.71397,-23.35017,12.78595,-13.84721,2.88496,0.35457,80.86028,-5.096082,2.263304,0.432655,102.65552,20.812576,-39.373164,3065.253562,80.24509,38.78652,-75.23778,313.36932,252.38574,-52.532364,3.773062,8.36721,7.0426,2.51904,50,5.44972,-10.00186,-127.90886,-2.44142,13.91039,25.51798,-20.46578,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,cf71aa70-2389-11f0-a74d-b78b12f74d76,87.11883,49.39203,,7.4432,,,,2.25089,3.18245,-0.32095,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:05:23.91,2025-04-27T13:05:23.9138304-04:00,2025-04-27T17:05:23.9138304Z,LineDrive,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,012c93fa-abc2-4236-b595-e0440041dfb1,54.78907,-128.86074,12.75899,5.52655,-1.678,-10.23289,2.90181,-10.52075,6.95519,,2.25188,108.75879,-31.75875,8.08471,-1.61979,0.21474,-0.01216,-0.00119,0.0002,3.18171,53.52214,-16.38254,0.58623,-0.15552,0.11469,-0.04179,0.00778,-0.00058,-0.32068,-89.28978,8.48739,-0.54143,-0.09248,0.03944,-0.00863,0.00137,-0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2025-04-27,13:05:51.70,1,6,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,2,2,ChangeUp,Changeup,FoulBallFieldable,Undefined,Undefined,Undefined,0,0,,81.44216,-0.543663,3.731162,1805.355542,91.56174,9:00,5.52793,-3.05911,5.86405,-40.22494,1.51591,-13.32087,1.66969,-0.69797,75.71169,-7.908148,1.344372,0.464999,,,,,,,,,,,,7.82032,1.1824,2.76441,50,5.45969,-7.22592,-118.29869,-2.42355,11.22127,19.91388,-30.47746,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,e006f750-2389-11f0-a74d-b78b12f74d76,81.05918,,,5.73046,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:05:51.70,2025-04-27T13:05:51.7044224-04:00,2025-04-27T17:05:51.7044224Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,33c46339-d817-4297-91a1-10b767cb623e,54.64161,-119.07748,9.95694,5.53116,-1.23164,-15.23873,3.05558,-7.66475,5.61063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:06:14.43,1,7,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,2,2,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.37551,4.042563,0.865169,2145.57001,346.142017,5:30,5.85919,-2.63172,5.25253,-63.9711,-13.57674,3.72327,4.33376,-1.50839,69.21704,-7.531774,1.52517,0.510931,,,,,,,,,,,,-1.61862,-7.37796,2.54947,50,6.18284,-1.79532,-109.28043,5.51553,-1.96181,18.84804,-41.11628,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,ed83e0a0-2389-11f0-a74d-b78b12f74d76,73.77206,,,6.15847,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:06:14.43,2025-04-27T13:06:14.4364544-04:00,2025-04-27T17:06:14.4364544Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,425b7cdc-56c0-4e1a-abeb-d6870abfe9f0,55.25361,-110.18282,9.42402,5.87166,7.48404,-20.55814,2.63317,-1.70139,-0.98091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:06:32.70,1,8,"Peters, Garrett",1000098609,Left,WRI_RAI,"Roessler, Gabe",1000076901,Right,UWM_PAN,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.64646,-0.494007,5.266087,2154.221226,137.182864,10:30,5.61338,-2.84265,5.89305,-21.31615,15.38717,-13.13308,3.37639,0.96635,79.72045,-4.51317,2.924402,0.436038,,,,,,,,,,,,8.18343,8.36504,2.4246,50,5.56117,-11.13157,-126.77882,-1.74718,13.29187,26.4096,-18.58716,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,f85f4410-2389-11f0-a74d-b78b12f74d76,86.44304,,,7.92601,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:06:32.70,2025-04-27T13:06:32.7058944-04:00,2025-04-27T17:06:32.7058944Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,d4ffd6b1-db64-4b47-b5e6-7d766e55c2e6,54.60715,-127.73494,13.2048,5.61224,-1.07426,-9.29358,2.83632,-11.61279,6.64594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:07:03.91,2,1,"Peters, Garrett",1000098609,Left,WRI_RAI,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.14873,-1.644477,5.722311,2197.392045,130.909432,10:15,5.52939,-3.0839,5.69584,-22.04592,15.45954,-16.37627,2.15156,0.90213,79.27305,-5.779019,2.814868,0.440777,,,,,,,,,,,,9.92497,8.69095,2.61189,50,5.37689,-11.91414,-125.8843,-4.32882,15.8855,26.1634,-18.26367,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,0b13c770-238a-11f0-a74d-b78b12f74d76,85.51368,,,7.87568,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:07:03.91,2025-04-27T13:07:03.9106560-04:00,2025-04-27T17:07:03.9106560Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,7eef936c-987d-48c8-ab27-461fa9d1e9ee,54.80491,-126.87901,13.0817,5.52826,-3.63445,-9.13183,3.07634,-12.51809,7.94275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:07:16.79,2,2,"Peters, Garrett",1000098609,Left,WRI_RAI,"Hausser, Justin",1000121342,Left,UWM_PAN,Undefined,1,Top,1,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.67897,-0.5378,6.035141,2126.530997,131.164282,10:15,5.60347,-2.91482,5.52652,-21.83233,16.19162,-17.10414,3.2785,1.32308,78.99539,-4.62216,3.011788,0.443813,,,,,,,,,,,,10.22894,8.67315,2.3996,50,5.54204,-12.49033,-125.19578,-1.88319,16.26596,24.82282,-18.38212,WRI_RAI,UWM_PAN,NischwitzField,D1,HORZ,20250427-NischwitzField-1,12a445a0-238a-11f0-a74d-b78b12f74d76,84.92861,,,7.68358,,,,,,,2c7e1630-87b7-4292-8d11-bff1c640eaf1,2025-04-27,17:07:16.79,2025-04-27T13:07:16.7967232-04:00,2025-04-27T17:07:16.7967232Z,,v3,471496,5036,27 April 2025 13:00-wiscmilw@wrightst,"Manley, Nathan",1000093427,Right,WRI_RAI,65a43bc7-40b9-4826-942a-ee2a6f97e427,54.97429,-126.17819,12.41141,5.60217,-1.15568,-9.19106,2.90666,-13.13409,8.13298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
