PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:02:07.56,1,1,"Cox, Carter",10156934,Left,NIU_HUS,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,86.54272,-0.203455,0.925353,2107.720402,128.203894,10:15,5.11546,-1.90902,6.18194,-24.96202,11.64453,-13.43568,2.84739,-2.17409,79.68046,-4.883275,-1.499955,0.435463,,,,,,,,,,,,7.1839,6.41926,1.8457,50,5.08733,-1.50441,-125.8789,-1.20713,11.60177,23.99374,-21.80713,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,bcbbf4f0-2391-11f0-80e9-7b5188e3b8ad,86.55721,,,6.86225,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:02:07.56,2025-04-27T13:02:07.5672064-05:00,2025-04-27T18:02:07.5672064Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,ebc8919c-fe6c-4c15-ad36-8fcd785f2d0a,54.31736,-126.69915,11.99687,5.11586,-0.46162,-10.90357,1.90391,-1.90103,5.80089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:02:22.19,1,2,"Cox, Carter",10156934,Left,NIU_HUS,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.16387,0.570669,2.77887,2165.580108,147.727546,11:00,5.04027,-1.8374,6.16153,-18.95942,17.36619,-10.26587,3.98812,-0.12382,79.703,-3.041233,0.930343,0.433788,,,,,,,,,,,,6.03386,9.1541,1.63148,50,5.07368,-5.73052,-126.57344,0.73783,9.81851,25.0957,-17.27821,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,c564e800-2391-11f0-80e9-7b5188e3b8ad,86.8913,,,7.46087,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:02:22.19,2025-04-27T13:02:22.1921280-05:00,2025-04-27T18:02:22.1921280Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,ad3c41d1-2225-4c45-b944-74923561f572,54.33636,-127.43031,12.54785,5.03842,1.32778,-8.6391,1.83287,-6.06576,4.90926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:02:36.26,1,3,"Cox, Carter",10156934,Left,NIU_HUS,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,2,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.29512,-0.28016,1.393369,2174.19269,119.180699,10:00,5.06232,-1.70978,6.12818,-28.3471,8.98217,-14.37489,2.44101,-1.61946,79.50731,-5.538477,-1.199227,0.43974,,,,,,,,,,,,7.77221,5.01733,1.61072,50,5.02592,-2.47506,-124.19711,-1.49644,12.37065,20.43743,-24.18825,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,cdcd0180-2391-11f0-80e9-7b5188e3b8ad,85.71523,,,5.78781,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:02:36.26,2025-04-27T13:02:36.2668032-05:00,2025-04-27T18:02:36.2668032Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,bf97a244-ae3e-47e2-8cc7-cb49bdd4970c,54.37343,-124.91472,10.21871,5.06355,-0.64714,-12.09412,1.70525,-2.90942,6.18533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:02:52.60,1,4,"Cox, Carter",10156934,Left,NIU_HUS,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,3,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.7437,-0.538062,1.749856,2137.282258,130.06967,10:15,5.08895,-1.86009,6.07166,-26.77781,9.69745,-10.30524,2.35933,-1.09914,80.19967,-5.521882,-0.106166,0.434681,,,,,,,,,,,,5.75252,5.46118,1.73002,50,5.03289,-3.4464,-126.15519,-2.03835,9.3705,23.07464,-23.27816,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,d7a37810-2391-11f0-80e9-7b5188e3b8ad,86.71287,,,6.54403,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:02:52.60,2025-04-27T13:02:52.6018048-05:00,2025-04-27T18:02:52.6018048Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,af1ea432-f1db-4f36-a459-e3ba11f18460,54.42829,-126.96257,11.53732,5.08996,-1.22385,-11.63908,1.85635,-3.77428,4.68525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:03:06.91,1,5,"Cox, Carter",10156934,Left,NIU_HUS,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,3,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.42494,-0.157237,2.494175,2128.054968,127.939796,10:15,5.14122,-1.90375,6.31173,-25.44352,10.22512,-11.79902,2.87595,-0.58803,80.5987,-4.92698,0.361392,0.429848,,,,,,,,,,,,6.75244,5.68681,1.72631,50,5.11742,-5.07573,-127.10783,-1.12341,11.14582,23.87125,-22.78717,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,e00ace40-2391-11f0-80e9-7b5188e3b8ad,87.68788,,,6.82623,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:03:06.91,2025-04-27T13:03:06.9147648-05:00,2025-04-27T18:03:06.9147648Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,e54e2b95-1604-4db5-b3ce-4bdf615b9330,54.18773,-127.89188,11.93562,5.14203,-0.37496,-11.39358,1.89903,-5.44182,5.57291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:03:20.73,1,6,"Cox, Carter",10156934,Left,NIU_HUS,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,3,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.09857,-0.940934,2.466116,2072.06637,145.201417,10:45,5.07645,-1.68741,6.06949,-18.6782,17.70769,-11.54705,2.64832,-0.36615,80.00938,-4.483279,0.38885,0.434148,65.81019,65.539849,83.50752,4802.766393,-12.85395,72.99877,109.24636,146.40093,50.97408,97.704024,4.495532,6.63071,9.7278,1.50254,50,4.99348,-4.99487,-126.54858,-2.61383,10.81367,24.45125,-16.30946,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,e8724b80-2391-11f0-80e9-7b5188e3b8ad,86.8193,90.44505,,7.08919,,,,1.99437,4.2933,0.6484,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:03:20.73,2025-04-27T13:03:20.7310336-05:00,2025-04-27T18:03:20.7310336Z,Popup,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,deef264b-0e9c-4952-ae61-59a14e3ec0bf,54.43041,-127.40173,12.22563,5.07475,-2.04476,-8.15473,1.68341,-5.37218,5.40684,205.672659,1.9949,4.49601,-7.37591,2.20029,0.01426,-0.3005,0.11769,-0.01921,0.00117,4.3003,87.68418,-26.13756,1.48587,1.04332,-0.74469,0.21413,-0.0297,0.00162,0.65233,39.62051,-0.64518,-1.16352,0.65323,-0.18069,0.01664,0.00151,-0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
7,2025-04-27,13:03:38.99,1,7,"Cox, Carter",10156934,Left,NIU_HUS,"Mally, Tanner",10021383,Right,WMI_BRO,Undefined,1,Top,0,3,2,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,87.3714,-1.772762,1.801657,2180.895678,130.27466,10:15,5.06159,-1.83802,6.01826,-22.24198,13.58768,-14.91178,1.56469,-1.41128,81.30896,-5.914254,-0.881705,0.430817,,,,,,,,,,,,8.11867,7.71682,1.70502,50,4.91027,-3.40823,-127.09445,-4.63113,13.51153,21.78018,-19.33135,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,f33f5710-2391-11f0-80e9-7b5188e3b8ad,87.4906,,,6.06245,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:03:38.99,2025-04-27T13:03:38.9939712-05:00,2025-04-27T18:03:38.9939712Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,fe559410-73e2-4568-85bc-184dd13c2637,54.48302,-127.86039,10.89009,5.06118,-3.9513,-9.66568,1.83323,-3.8834,6.75576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:04:11.49,2,1,"Cox, Carter",10156934,Left,NIU_HUS,"Maloney, Mike",1000076885,Right,WMI_BRO,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.50022,-1.504703,4.335166,2292.446757,130.952196,10:15,5.02704,-1.77211,6.11839,-24.46131,12.9643,-13.77453,1.59314,1.09566,79.48336,-6.059094,1.861066,0.440307,,,,,,,,,,,,8.19237,7.37115,1.44692,50,4.89841,-8.89604,-124.12553,-4.01241,13.0037,20.79152,-20.47388,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,069c7680-2392-11f0-80e9-7b5188e3b8ad,85.60486,,,6.01686,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:04:11.49,2025-04-27T13:04:11.4984960-05:00,2025-04-27T18:04:11.4984960Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,6be6458f-3152-4e81-b95f-ad714ac9994c,54.38376,-124.85767,10.39576,5.02701,-3.29146,-10.23694,1.76824,-9.35394,6.50185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:04:47.33,2,2,"Cox, Carter",10156934,Left,NIU_HUS,"Maloney, Mike",1000076885,Right,WMI_BRO,Undefined,1,Top,0,1,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.29049,0.544665,3.238312,2168.32132,142.640436,10:45,5.07046,-2.14068,6.0289,-26.03982,11.72083,-8.16158,3.40571,0.18135,78.9107,-4.308002,1.773286,0.442274,,,,,,,,,,,,4.97583,6.23351,1.89174,50,5.09878,-6.69287,-123.92172,0.37123,7.84812,21.44562,-22.34225,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,1beed640-2392-11f0-80e9-7b5188e3b8ad,85.22421,,,6.37978,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:04:47.33,2025-04-27T13:04:47.3356800-05:00,2025-04-27T18:04:47.3356800Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,d1aef0bd-c022-4790-a28c-dfc84da4b0ab,54.47101,-124.69306,10.72281,5.07098,1.17482,-11.17112,2.13754,-6.97515,3.92406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:05:53.94,2,3,"Cox, Carter",10156934,Left,NIU_HUS,"Maloney, Mike",1000076885,Right,WMI_BRO,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,85.85646,-0.887981,1.690376,2212.92228,124.933967,10:15,5.10235,-1.88396,6.1861,-25.85454,11.5256,-14.84698,2.12747,-1.55995,78.76874,-5.735931,-0.989884,0.44004,,,,,,,,,,,,8.14544,6.5667,1.76373,50,5.02221,-3.10337,-124.78417,-2.71636,12.86501,24.71021,-21.80252,NIU_HUS,WMI_BRO,NorthernIllinois,D1,MAC,20250427-NorthernIllinois-1,439745b0-2392-11f0-80e9-7b5188e3b8ad,85.65691,,,7.08772,,,,,,,76a64375-1e6b-4272-a3d0-7534da45f774,2025-04-27,18:05:53.94,2025-04-27T13:05:53.9494912-05:00,2025-04-27T18:05:53.9494912Z,,v3,471392,471491,27 April 2025 14:00-wmichigan@nillinois,"Hartmann, Kyle",1000380519,Right,NIU_HUS,5aa57c01-6178-4c69-ac11-03e70de9bb07,54.3131,-125.63537,12.35511,5.10284,-1.96533,-10.90126,1.87826,-3.54653,6.43251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
