PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:20.87,1,1,"Feld, Justin",10279370,Right,GON_BUL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.05935,-0.478181,-2.111464,2198.971442,204.370313,12:45,5.13653,1.68755,6.13573,-17.71284,16.60206,7.00311,3.2182,0.31881,81.77797,-3.866258,-0.849936,0.421612,,,,,,,,,,,,-4.2178,9.04146,-1.52984,50,5.09074,4.52395,-130.72238,-1.59214,-7.2562,29.0432,-16.61936,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,33106800-23a3-11f0-842d-a1563dce6a82,89.40083,,,8.28138,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:06:20.87,2025-04-27T13:06:20.8754176-07:00,2025-04-27T20:06:20.8754176Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,c3979f4a-d353-4cb0-8f9f-02b3b47b315b,54.36026,-131.68756,14.5216,5.13448,-1.03984,-8.30968,-1.68419,4.76509,-3.6281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:06:35.50,1,2,"Feld, Justin",10279370,Right,GON_BUL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,0,1,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.03804,-0.567953,-2.037205,1034.278463,282.841081,3:30,5.10639,1.98379,5.81149,-41.50892,-1.66984,13.00312,1.11884,1.17223,76.93576,-8.187517,0.296983,0.454283,,,,,,,,,,,,-7.20142,-0.25386,-1.82439,50,5.03543,3.80962,-122.00367,-2.64806,-10.79986,25.12776,-32.55477,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,3bce69b0-23a3-11f0-842d-a1563dce6a82,82.97136,,,7.10228,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:06:35.50,2025-04-27T13:06:35.5067392-07:00,2025-04-27T20:06:35.5067392Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,1182581b-c79a-48ff-b4a6-0e33b7875cc6,54.68723,-122.96526,12.56388,5.11293,-1.40226,-16.27738,-1.97809,4.22291,-5.39993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:06:53.19,1,3,"Feld, Justin",10279370,Right,GON_BUL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.46433,-0.834385,-1.931396,2136.425113,212.303001,1:00,5.06371,1.75068,5.95297,-17.20206,16.4221,9.64776,2.8559,0.76279,82.75519,-4.12195,-0.198813,0.417347,97.16725,38.324999,-27.940728,4895.148921,91.51644,82.40249,-61.03019,339.98437,143.42851,-43.415272,5.618522,-5.55973,9.02961,-1.60261,50,4.98786,4.06092,-132.70952,-2.4467,-9.81308,31.12828,-16.23653,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,464d5540-23a3-11f0-842d-a1563dce6a82,90.31445,112.00087,,8.70914,,,,1.73793,3.79309,-1.27134,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:06:53.19,2025-04-27T13:06:53.1933184-07:00,2025-04-27T20:06:53.1933184Z,FlyBall,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,b7c6c192-44b8-4d99-b457-a58516048a9a,54.54434,-133.77119,15.56414,5.06186,-1.89293,-8.11826,-1.74682,4.39561,-4.90654,148.116877,1.75053,98.52595,-26.14363,5.75544,-0.4534,-0.16983,0.05768,-0.00681,0.00029,3.79014,88.41513,-20.80495,1.34993,-0.04977,-0.06946,0.02851,-0.00441,0.00024,-1.27221,-52.37054,2.1107,0.49891,-0.29754,0.08594,-0.01598,0.0017,-8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-04-27,13:07:41.04,1,4,"Feld, Justin",10279370,Right,GON_BUL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,1,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,84.5272,1.274892,-1.286301,1006.042226,302.037585,4:00,5.08178,1.9265,5.67281,-45.43727,-6.29296,11.86438,2.48442,1.71578,78.00211,-7.020536,0.836835,0.450304,,,,,,,,,,,,-6.34386,-3.14626,-1.82547,50,5.16074,2.26969,-122.87657,1.09438,-9.75897,22.9406,-37.01404,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,62df7b20-23a3-11f0-842d-a1563dce6a82,83.70446,,,6.52508,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:07:41.04,2025-04-27T13:07:41.0492928-07:00,2025-04-27T20:07:41.0492928Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,81ca8ef8-9a02-4c12-b454-4b3dd5c032b8,54.82846,-123.77474,11.4703,5.08952,2.54356,-18.50702,-1.92181,2.65177,-4.87949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:07:56.41,1,5,"Feld, Justin",10279370,Right,GON_BUL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,2,2,ChangeUp,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,,83.08494,1.433025,-1.054345,1088.723705,280.441461,3:15,5.05562,1.88329,6.38923,-40.64774,-1.28728,13.04414,2.98689,2.00042,76.71357,-6.111827,1.31025,0.451545,,,,,,,,,,,,-7.06426,-0.67142,-1.81311,50,5.14017,1.74679,-120.90471,1.76683,-10.53387,21.94292,-33.17521,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,6c047c00-23a3-11f0-842d-a1563dce6a82,83.4743,,,6.37136,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:07:56.41,2025-04-27T13:07:56.4133376-07:00,2025-04-27T20:07:56.4133376Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,64c3ec6f-7e8d-472f-9a48-1795a612e0b7,54.11157,-121.64863,10.97146,5.06121,2.89155,-16.58761,-1.87839,2.10392,-5.26694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:08:12.16,1,6,"Feld, Justin",10279370,Right,GON_BUL,"Gurevitch, Jack",813668,Left,SAN_TOR,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,89.1734,0.267914,-2.24622,2075.46413,217.729729,1:15,5.07975,1.69686,6.07922,-19.35631,15.32867,11.06382,3.71479,0.53957,81.81528,-3.394784,-0.255499,0.423879,,,,,,,,,,,,-6.26638,8.14477,-1.52886,50,5.09003,4.62344,-129.57745,0.02988,-10.71914,25.52709,-18.24177,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,75679750-23a3-11f0-842d-a1563dce6a82,88.92258,,,7.35813,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:08:12.16,2025-04-27T13:08:12.1680000-07:00,2025-04-27T20:08:12.1680000Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,13a8b66e-1088-4bfb-aa2c-89f15e073bb9,54.41878,-130.44505,12.76354,5.07848,0.64987,-9.12089,-1.69219,4.98776,-5.35957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.00847,,,1.009448,,,,1.74687,5.08492,0.08355,73.97455,9.0898,-50.79792,1.80844,76.51228,-4.9488,5.14524,18.31261,-14.24265,-0.01855,-56.70897,6.30242,High,High,High,,,High,High,High
7,2025-04-27,13:08:46.66,2,1,"Feld, Justin",10279370,Right,GON_BUL,"Lane, Isaiah",805182,Right,SAN_TOR,Undefined,1,Top,1,0,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.89956,0.010674,-2.254203,2354.253259,169.125021,11:45,5.03623,1.76246,6.20907,-26.32273,8.93686,-1.53421,2.85253,-0.44696,81.47627,-4.892732,-2.530865,0.427376,,,,,,,,,,,,0.25685,4.94138,-1.59257,50,5.02371,5.09286,-127.84675,-0.80884,0.43095,22.94666,-23.8827,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,89f176f0-23a3-11f0-842d-a1563dce6a82,88.1951,,,6.42328,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:08:46.66,2025-04-27T13:08:46.6687488-07:00,2025-04-27T20:08:46.6687488Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,fd4cc489-452a-4c45-806c-c77d64a72c61,54.29013,-128.61447,11.47333,5.03741,-0.00981,-11.94135,-1.76272,5.07844,0.21548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:09:03.37,2,2,"Feld, Justin",10279370,Right,GON_BUL,"Lane, Isaiah",805182,Right,SAN_TOR,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.8147,-0.930208,-2.016361,2198.341687,216.759383,1:15,5.12234,1.71433,5.91536,-17.74092,14.4104,10.06178,2.78003,0.68073,85.40344,-4.27048,-0.210658,0.408104,71.09183,8.254553,-2.500101,1261.82343,,,,95.80456,95.80456,-0.875684,1.019151,-5.70996,7.93075,-1.55861,50,5.03763,4.32003,-134.8983,-2.76476,-10.60255,27.23427,-17.44786,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,93e38bd0-23a3-11f0-842d-a1563dce6a82,92.3599,5.86637,,7.41126,,,,1.23869,2.76079,-0.68086,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:09:03.37,2025-04-27T13:09:03.3778688-07:00,2025-04-27T20:09:03.3778688Z,GroundBall,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,ee41eb10-8a37-48ae-8937-6c303d5f07d2,54.58459,-135.82072,13.61714,5.12126,-2.17381,-8.72393,-1.71101,4.67914,-5.30128,282.012475,1.23869,103.08938,-11.67759,1.83569,-0.29833,-0.11794,0.23676,-0.16265,0.04206,2.76079,14.96989,-18.61445,1.49783,-0.38659,0.35262,-0.42713,0.28537,-0.07438,-0.68086,-4.50099,4.39433,-0.76332,-0.42119,1.64945,-2.37695,1.61269,-0.42077,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-27,13:09:57.30,3,1,"Feld, Justin",10279370,Right,GON_BUL,"Smith, Austin",801563,Left,SAN_TOR,Undefined,1,Top,1,0,0,Cutter,Slider,InPlay,Undefined,Popup,Out,1,0,,85.78888,0.542803,-1.871151,2300.925887,157.463605,11:15,5.12423,2.0574,5.89516,-29.31596,8.49162,-3.05433,3.18546,0.06504,78.7705,-4.903179,-2.418848,0.442549,,,,,,,,,,,,1.07252,4.53792,-1.90495,50,5.15099,4.19325,-124.64492,0.22545,1.69292,24.2764,-25.01129,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,b4119d20-23a3-11f0-842d-a1563dce6a82,85.17131,,,7.01837,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:09:57.30,2025-04-27T13:09:57.3069824-07:00,2025-04-27T20:09:57.3069824Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,96463a47-556a-43bc-89ff-68ef4d8e0f74,54.60405,-125.53842,12.1382,5.12575,1.146,-12.50565,-2.05814,4.13094,0.84646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:11:12.17,4,1,"Feld, Justin",10279370,Right,GON_BUL,"Watson, Rex",832126,Left,SAN_TOR,Undefined,1,Top,2,0,0,ChangeUp,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.50401,1.049873,-2.767585,992.82371,292.260983,3:45,5.1446,1.89834,5.77234,-44.42199,-3.07811,10.73115,2.42099,0.2152,75.48845,-7.104683,-0.846594,0.462783,,,,,,,,,,,,-6.29587,-1.52953,-1.67624,50,5.20429,5.36934,-119.74464,0.6912,-9.11475,23.74954,-34.38838,GON_BUL,SAN_TOR,PattersonBaseballComplex,D1,WCC,20250427-PattersonBaseballComplex-1,e0ab00b0-23a3-11f0-842d-a1563dce6a82,81.4474,,,7.01556,,,,,,,01eb8c6e-11b2-4a48-8c26-b617541b1e5d,2025-04-27,20:11:12.17,2025-04-27T13:11:12.1764864-07:00,2025-04-27T20:11:12.1764864Z,,v3,471307,5320,27 April 2025 16:00-sandiego@gonzaga,"Wrubleski, Jacob",832243,Right,GON_BUL,94a4635c-96c7-4813-bfbb-5c4a2d665a68,54.7282,-120.67876,11.87477,5.15051,2.04378,-17.19419,-1.89448,5.72784,-4.55738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
