PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:03:41.79,1,1,"Carey, Tate",807020,Right,MIC_WOL,"McKay, Ryan",10108967,Left,MIC_SPA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.37068,-3.783769,-3.245194,2309.28247,201.527042,12:45,5.72004,2.15916,6.44922,-17.10647,15.7328,5.71343,0.80741,-0.34953,83.09763,-7.06963,-2.210952,0.412447,,,,,,,,,,,,-4.07418,9.85504,-1.93138,50,5.44344,7.33909,-133.59075,-9.30933,-7.21603,34.12189,-14.71911,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,9292a0a0-2389-11f0-bf71-b58fbeb3f072,91.38737,,,9.27305,,,,,,,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:03:41.79,2025-04-27T13:03:41.7920000-04:00,2025-04-27T17:03:41.7920000Z,,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,79c695dd-986a-4574-b4b0-cea08301d8ff,54.04808,-134.62075,17.06095,5.71774,-8.86503,-7.35955,-2.15621,7.55691,-3.60802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:03:53.57,1,2,"Carey, Tate",807020,Right,MIC_WOL,"McKay, Ryan",10108967,Left,MIC_SPA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.66029,-1.533703,-2.626211,2226.685993,193.772985,12:30,5.77296,2.11016,6.48117,-17.26564,16.02576,3.61315,2.92407,-0.00187,81.97999,-4.881274,-1.971497,0.415276,78.02727,11.69553,-173.04756,1349.025458,,,,111.82526,54.78188,-171.414249,1.21426,-2.72358,9.19477,-1.92647,50,5.65686,5.92404,-132.7128,-3.99061,-4.75259,34.11577,-16.12933,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,99886570-2389-11f0-bf71-b58fbeb3f072,90.76469,8.28086,,9.68029,,,,2.67221,2.17045,0.2369,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:03:53.57,2025-04-27T13:03:53.5740000-04:00,2025-04-27T17:03:53.5740000Z,LineDrive,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,81649809-7484-41b3-90f6-f9d78f09457f,54.00821,-133.7392,17.05788,5.76963,-3.50535,-8.06467,-2.10685,6.06703,-2.3763,321.325375,2.67221,-111.23988,16.74347,-2.01559,0.41766,-0.07161,0.01262,-0.00236,0.00025,2.17045,23.1982,-23.41105,2.8846,-0.58866,0.138,-0.02678,0.0046,-0.0005,0.2369,-13.56482,-1.02423,0.74194,-0.17108,0.045,-0.00959,0.00169,-0.00018,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
3,2025-04-27,13:04:10.68,1,3,"Carey, Tate",807020,Right,MIC_WOL,"McKay, Ryan",10108967,Left,MIC_SPA,Undefined,1,Top,0,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.68088,-1.029887,-3.452706,2381.860522,199.319692,12:45,5.68157,2.23708,6.3705,-21.50257,11.48048,3.63106,2.94021,-0.64119,83.17538,-5.103726,-2.796943,0.413349,66.07355,-13.651662,-48.046394,,,,,9.62855,9.53499,-45.279735,0.110187,-2.9413,6.63095,-1.98903,50,5.59704,7.87167,-132.94186,-3.04394,-5.21581,30.92949,-20.41548,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,a3d851c0-2389-11f0-bf71-b58fbeb3f072,91.18795,2.72137,,8.50549,,,,-0.05805,2.72137,0.82257,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:04:10.68,2025-04-27T13:04:10.6880000-04:00,2025-04-27T17:04:10.6880000Z,GroundBall,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,2d004334-a17e-4075-abd7-fb3253c2ffae,54.12794,-133.8988,15.46475,5.68145,-2.4123,-10.20774,-2.23507,8.03304,-2.6079,54.41327,-0.05802,62.95108,-8.51173,,,,,,,2.72144,-22.88041,-16.50429,,,,,,,0.82257,-70.03271,4.33054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
4,2025-04-27,13:04:30.47,1,4,"Carey, Tate",807020,Right,MIC_WOL,"McKay, Ryan",10108967,Left,MIC_SPA,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,82.66169,-1.101262,-3.169806,1831.741992,253.082769,2:30,5.65967,2.25032,6.90169,-33.56073,5.95048,15.3378,1.85816,0.63821,75.6457,-7.428365,-0.364672,0.452409,85.18668,15.015136,20.723854,1927.655171,101.8772,17.74014,41.48506,205.46594,205.46594,24.229184,2.135649,-9.12044,3.86374,-2.05538,50,5.57848,6.14017,-120.10787,-3.20115,-13.25671,24.3421,-26.55806,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,afa01100-2389-11f0-bf71-b58fbeb3f072,83.31492,17.74018,,7.01599,,,,2.00323,1.84208,-0.68191,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:04:30.47,2025-04-27T13:04:30.4700000-04:00,2025-04-27T17:04:30.4700000Z,LineDrive,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,2d040f3b-08cd-40ee-b23e-ba774a62a5e0,53.59978,-120.83523,12.17105,5.66228,-2.40757,-13.27903,-2.24477,6.5363,-6.62835,237.737965,2.00323,112.86673,-17.45204,3.63034,-0.79062,0.17499,-0.04572,0.00996,-0.00104,1.84209,32.3686,-17.48071,1.14403,-0.14672,0.004,0.01111,-0.00379,0.00047,-0.68191,42.70208,-0.87932,-0.53056,0.2574,-0.09768,0.03482,-0.00871,0.00099,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-04-27,13:05:08.27,2,1,"Carey, Tate",807020,Right,MIC_WOL,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.77782,-2.043079,-4.483016,2212.018177,211.598087,1:00,5.73838,2.09448,6.52756,-19.15005,14.21607,8.0693,2.26165,-1.35426,82.77376,-5.689861,-3.023996,0.415742,,,,,,,,,,,,-5.49032,8.36441,-1.78543,50,5.58746,9.98604,-131.50014,-5.23469,-9.58466,28.67121,-17.57197,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,c6357810-2389-11f0-bf71-b58fbeb3f072,90.66295,,,8.00406,,,,,,,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:05:08.27,2025-04-27T13:05:08.2710000-04:00,2025-04-27T17:05:08.2710000Z,,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,2448c7fa-396c-4b75-8679-709303cfde9b,53.97093,-132.3631,14.33561,5.73706,-4.7058,-8.78598,-2.09033,10.27452,-4.79233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:05:26.74,2,2,"Carey, Tate",807020,Right,MIC_WOL,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.64452,-2.348665,-3.565582,2292.05846,217.137608,1:15,5.70794,2.20635,6.69534,-17.53422,15.638,11.01654,2.09357,-0.14048,82.68409,-5.715117,-1.56287,0.414533,,,,,,,,,,,,-6.79867,9.24327,-1.97242,50,5.54394,7.76177,-131.4765,-5.85054,-11.86584,28.62983,-16.0416,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,d126d480-2389-11f0-bf71-b58fbeb3f072,90.92758,,,7.96043,,,,,,,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:05:26.74,2025-04-27T13:05:26.7470000-04:00,2025-04-27T17:05:26.7470000Z,,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,c46ee0ed-337f-45c3-8cc0-98034485b540,53.80358,-132.30216,14.31492,5.70599,-5.38792,-8.0208,-2.2012,8.10397,-5.93292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:06:00.81,2,3,"Carey, Tate",807020,Right,MIC_WOL,"Seymour, Randy",809083,Right,MIC_SPA,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,Bunt,Sacrifice,1,0,,90.69155,-1.777837,-4.057081,2317.931544,218.87425,1:15,5.72875,2.1903,6.51019,-21.07899,12.00229,8.88284,2.336,-0.79893,83.51405,-5.753262,-2.449521,0.413964,,,,,,,,,,,,-5.75776,7.06697,-1.91058,50,5.59499,9.0001,-131.63002,-4.71304,-10.16574,26.28699,-19.69681,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,e57558d0-2389-11f0-bf71-b58fbeb3f072,91.05246,,,7.1775,,,,,,,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:06:00.81,2025-04-27T13:06:00.8160000-04:00,2025-04-27T17:06:00.8160000Z,,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,5ddf8781-2181-4069-b038-14c315316a6d,53.99201,-132.42484,13.14349,5.72849,-4.11749,-9.84841,-2.18735,9.30747,-5.08287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:06:41.06,3,1,"Carey, Tate",807020,Right,MIC_WOL,"Berry, Caleb",811727,Right,MIC_SPA,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.00211,-2.077345,-2.566047,2238.847962,223.558701,1:30,5.68865,2.14792,6.77601,-19.0884,13.50544,11.8752,2.19845,0.79297,83.42937,-5.720304,-0.40023,0.410903,,,,,,,,,,,,-6.96193,8.03028,-1.98442,50,5.5456,5.47007,-132.2215,-5.30908,-12.34302,27.79712,-17.93692,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,fd6f31e0-2389-11f0-bf71-b58fbeb3f072,91.73076,,,7.57274,,,,,,,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:06:41.06,2025-04-27T13:06:41.0630000-04:00,2025-04-27T17:06:41.0630000Z,,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,540d11b3-0dc7-4703-943e-718349467107,53.72391,-133.00208,13.89856,5.68761,-4.80539,-8.96846,-2.14289,5.81668,-6.17151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:07:02.11,3,2,"Carey, Tate",807020,Right,MIC_WOL,"Berry, Caleb",811727,Right,MIC_SPA,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.34389,-2.592263,-3.237099,2384.205403,203.307055,12:45,5.7915,1.98356,6.64426,-16.06166,15.89375,6.40469,2.07472,-0.44903,84.42813,-5.675121,-2.073723,0.406859,51.96452,12.462627,161.429555,2836.322884,,,,63.67248,58.64955,162.422461,0.875485,-4.2717,9.40749,-1.76731,50,5.60939,7.32362,-133.97541,-6.49061,-7.75721,29.18311,-15.09044,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,0a04c870-238a-11f0-bf71-b58fbeb3f072,92.64261,4.82769,,7.91576,,,,,,,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:07:02.11,2025-04-27T13:07:02.1170000-04:00,2025-04-27T17:07:02.1170000Z,GroundBall,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,f3ce59f5-a5cd-46ce-a1c6-5569d7ccd8dc,53.85507,-134.81252,14.59156,5.78936,-6.05774,-7.54522,-1.98057,7.54614,-3.87861,351.262757,-1.81583,-70.54389,3.82581,-0.09501,-0.00965,0.03046,-0.00325,-0.0023,0.00033,1.77815,16.4473,-23.06162,2.61537,-0.51805,0.0985,-0.01019,0.00661,-0.00209,0.6512,23.70014,-2.21987,-0.85556,0.24647,-0.08869,0.01084,-0.00043,0.00064,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-04-27,13:07:23.99,3,3,"Carey, Tate",807020,Right,MIC_WOL,"Berry, Caleb",811727,Right,MIC_SPA,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.44599,-1.123932,-1.513877,2434.47737,211.90003,1:00,5.87239,2.05929,6.65044,-15.73442,15.75308,9.23626,3.532,1.44305,85.12281,-4.141437,0.167403,0.403869,,,,,,,,,,,,-5.26544,8.88579,-1.96076,50,5.78994,3.19764,-134.52236,-3.05357,-9.72096,27.13173,-15.76924,MIC_WOL,MIC_SPA,RayFisher,D1,BIG10,20250427-RayFisher-1,1704e0a0-238a-11f0-bf71-b58fbeb3f072,93.32838,,,7.32319,,,,,,,28dc3c39-4c32-4b9b-8761-6802f7d5ae5e,2025-04-27,17:07:23.99,2025-04-27T13:07:23.9920000-04:00,2025-04-27T17:07:23.9920000Z,,v3,2290,1551,27 April 2025 13:00-michiganst@michigan,"Spear, Matt",1000126763,Right,MIC_WOL,d479d14d-162c-4266-84b6-877769a16166,53.85076,-135.29679,13.56587,5.87067,-2.60346,-7.88462,-2.056,3.47511,-4.86048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
