PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:03:51.61,1,1,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.32607,-0.861802,-0.766884,2276.399676,206.438003,1:00,5.35563,1.3508,5.79275,-12.01536,25.12974,11.71749,3.55258,1.61386,77.98411,-3.28789,1.3318,0.438654,,,,,,,,,,,,-6.145,13.43524,-1.29426,50,5.27756,1.17507,-127.77364,-2.13288,-9.8164,34.58854,-10.71181,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,98d960c0-2389-11f0-b3f0-4fb855d5eab6,85.92747,,,10.34196,,,,,,,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:03:51.61,2025-04-27T13:03:51.6194816-04:00,2025-04-27T17:03:51.6194816Z,,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,7a09289f-4705-4658-a621-d5ab5fd20dac,54.69569,-129.0385,17.29427,5.3484,-1.74116,-5.35591,-1.34379,1.53405,-4.9082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:04:03.42,1,2,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.41295,-1.615688,-1.706731,2486.790961,222.729614,1:30,5.42983,1.40122,5.83935,-16.17875,19.29832,16.42253,2.57896,1.1831,79.80289,-4.773533,1.237371,0.428692,,,,,,,,,,,,-8.86831,10.81079,-1.27108,50,5.28883,3.12946,-130.71816,-4.10943,-14.8028,36.60741,-14.12888,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,9fe370e0-2389-11f0-b3f0-4fb855d5eab6,87.92434,,,10.61006,,,,,,,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:04:03.42,2025-04-27T13:04:03.4276352-04:00,2025-04-27T17:04:03.4276352Z,,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,93584c5f-4ff4-409d-bd7b-12c81a56a4df,54.64948,-132.01382,18.3037,5.42543,-3.60936,-7.06444,-1.39112,3.65338,-7.4014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:04:16.51,1,3,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,1,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.87714,-2.108201,-1.718688,2501.199399,226.505914,1:30,5.38539,1.26866,5.91236,-18.64395,17.28001,16.55517,1.87334,1.05266,79.20729,-5.713898,1.254059,0.431384,,,,,,,,,,,,-9.00508,10.05816,-1.13958,50,5.20592,3.14188,-129.89667,-5.30439,-14.79244,36.97289,-15.65171,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,a7aba0e0-2389-11f0-b3f0-4fb855d5eab6,87.37569,,,10.66985,,,,,,,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:04:16.51,2025-04-27T13:04:16.5115392-04:00,2025-04-27T17:04:16.5115392Z,,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,75a42f32-e063-4db6-b734-0fd6c9c31b38,54.57675,-131.1929,18.48645,5.38226,-4.75565,-7.82586,-1.25883,3.66049,-7.39622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:04:29.76,1,4,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.83396,-1.229346,-1.623712,2410.478558,213.914679,1:15,5.40256,1.38706,5.58015,-11.0604,24.67371,15.50906,3.33214,1.16268,79.49778,-3.483584,1.142375,0.430242,74.42765,14.971827,-170.554707,1267.354571,-107.7814,11.82814,-21.97834,152.75025,55.06192,-168.000887,1.785701,-8.1813,13.14528,-1.25624,50,5.28933,2.93041,-131.10597,-2.97684,-13.66647,38.10027,-10.21549,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,af8d9a70-2389-11f0-b3f0-4fb855d5eab6,87.6075,14.21124,,11.33618,,,,0.01478,3.09871,-1.18524,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:04:29.76,2025-04-27T13:04:29.7674752-04:00,2025-04-27T17:04:29.7674752Z,LineDrive,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,906f201b-499e-478a-be4c-c56423e92c8a,54.90235,-132.52296,19.05014,5.39298,-2.59691,-5.10775,-1.37468,3.43869,-6.83324,251.674843,0.01478,-104.02503,14.00316,-2.03684,0.42532,-0.07632,0.01368,-0.00217,0.00018,3.09871,28.20093,-19.06615,1.68031,-0.31309,0.06814,-0.01095,0.00149,-0.00013,-1.18524,-17.30573,-0.143,0.17597,-0.03145,0.00737,-0.00109,0.00015,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2025-04-27,13:04:44.44,1,5,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.9093,-1.127407,-2.048912,2044.594167,250.692454,2:15,5.20533,1.5508,5.69078,-30.84309,8.84504,21.0882,1.58356,1.39781,76.6211,-6.864828,1.724471,0.453421,,,,,,,,,,,,-11.28768,5.30339,-1.39152,50,5.09165,3.50218,-123.04647,-3.45235,-17.0125,28.27055,-24.18093,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,b8575bf0-2389-11f0-b3f0-4fb855d5eab6,83.12899,,,8.2882,,,,,,,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:04:44.44,2025-04-27T13:04:44.4497920-04:00,2025-04-27T17:04:44.4497920Z,,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,acf51f50-01e6-4d29-81a9-9fd2168b357c,54.80442,-124.14541,14.13528,5.20759,-2.51239,-12.09047,-1.54051,4.16348,-8.50625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:04:58.64,1,6,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,2,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.44255,-1.189772,-0.583626,2480.299327,210.772033,1:00,5.6194,1.23909,5.40252,-7.6304,27.24738,15.40335,3.8685,1.97583,81.36767,-2.786099,2.155022,0.425056,,,,,,,,,,,,-7.78847,14.33363,-1.19759,50,5.50838,0.59113,-132.32141,-2.80908,-13.46706,34.74386,-7.3897,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,c0c89d30-2389-11f0-b3f0-4fb855d5eab6,88.67651,,,10.07488,,,,,,,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:04:58.64,2025-04-27T13:04:58.6437120-04:00,2025-04-27T17:04:58.6437120Z,,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,3efa8d01-e6d3-46b1-9787-8bac624440af,55.08783,-133.65065,17.37193,5.61044,-2.52636,-3.69485,-1.23007,1.10636,-6.73353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-27,13:05:15.24,1,7,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Prince, Owen",1000230989,Left,VIR_KEY,Undefined,1,Top,0,3,2,Fastball,Four-Seam,InPlay,Undefined,Popup,Out,1,0,,90.81976,-1.093918,-2.553872,2445.710789,220.121082,1:15,5.43944,1.29246,5.85639,-11.48383,23.60297,18.63867,3.46498,0.47136,80.14296,-3.414255,0.785558,0.426327,79.75148,65.042175,-12.868582,,100.47804,118.90756,-44.76788,148.16474,148.16474,-25.087922,5.85513,-10.42812,12.83485,-1.09582,50,5.34422,5.01664,-131.35221,-2.73317,-17.58985,36.76754,-10.52464,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,cac70e20-2389-11f0-b3f0-4fb855d5eab6,88.41199,140.71158,,10.67681,,,,1.02426,4.07442,-0.55718,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:05:15.24,2025-04-27T13:05:15.2421376-04:00,2025-04-27T17:05:15.2421376Z,Popup,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,36606aca-0090-4cd0-8a9d-211d60d3ce9a,54.63607,-132.64357,18.38377,5.43373,-2.36352,-5.26232,-1.28287,5.63444,-8.79492,169.80119,1.02902,47.99517,-13.98494,3.18468,-0.07103,-0.18162,0.05389,-0.00672,0.00032,4.05731,106.33525,-26.49943,4.19125,-1.44186,0.40735,-0.07307,0.00697,-0.00027,-0.5613,-10.92822,-0.95676,0.68514,-0.26963,0.07192,-0.01167,0.001,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
8,2025-04-27,13:05:50.43,2,1,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Garner, Bradley",10055071,Right,VIR_KEY,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.7305,-2.138229,-3.212562,2204.347039,175.143243,11:45,5.01842,1.58487,5.7078,-36.03242,8.26607,-0.55713,0.01952,-1.45776,72.73824,-8.802279,-3.312121,0.479034,,,,,,,,,,,,-0.83791,5.42099,-1.31523,50,4.81697,6.57392,-116.73497,-5.50549,-1.12823,26.93351,-24.87483,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,dfc49720-2389-11f0-b3f0-4fb855d5eab6,78.68434,,,7.99226,,,,,,,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:05:50.43,2025-04-27T13:05:50.4300032-04:00,2025-04-27T17:05:50.4300032Z,,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,012f00dc-a2cb-4e44-a296-8adccb3aef53,54.78715,-117.8343,13.46676,5.02096,-4.49019,-12.43742,-1.58449,6.61997,-0.56412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:06:07.00,2,2,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Garner, Bradley",10055071,Right,VIR_KEY,Undefined,1,Top,1,1,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.11474,0.735691,0.050018,2201.518987,167.711449,11:30,5.32908,1.40056,5.62199,-36.79278,5.60323,-0.8926,2.94958,1.37285,74.19713,-6.080539,-0.109483,0.468634,,,,,,,,,,,,0.47484,2.97248,-1.40422,50,5.36812,-0.0689,-119.11548,0.31611,0.67152,26.23488,-27.97049,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,e99bd100-2389-11f0-b3f0-4fb855d5eab6,80.43043,,,7.91761,,,,,,,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:06:07.00,2025-04-27T13:06:07.0068736-04:00,2025-04-27T17:06:07.0068736Z,,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,259a3f69-7bea-42e1-b553-cf2064b8b7e7,54.87566,-120.18453,13.11744,5.33202,1.45588,-13.98525,-1.40085,-0.09627,0.33576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:06:24.06,2,3,"Anderson, Chandler",1000053913,Right,CIT_BUL,"Garner, Bradley",10055071,Right,VIR_KEY,Undefined,1,Top,1,2,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.15091,-1.3437,-2.236213,2441.191257,217.650442,1:15,5.45764,1.31957,5.92827,-10.88453,24.19285,17.61922,3.3027,0.71197,80.52832,-3.53334,0.925634,0.42627,57.27799,56.526088,145.18354,4925.586669,,,,123.46793,51.03828,155.511754,3.609628,-9.7604,13.2119,-1.15069,50,5.34421,4.3292,-130.59534,-3.27238,-16.47811,33.25559,-9.86893,CIT_BUL,VIR_KEY,RileyPark,D1,SOCON,20250427-RileyPark-1,f3caeee0-2389-11f0-b3f0-4fb855d5eab6,88.42382,58.08362,,9.62259,,,,1.02684,3.24634,-0.72599,252852d5-bc3b-4961-a742-ede34bb102e2,2025-04-27,17:06:24.06,2025-04-27T13:06:24.0633856-04:00,2025-04-27T17:06:24.0633856Z,Popup,v3,471271,471480,27 April 2025 13:00-vmi@citadel,"Daniels, Phillips",1000097151,Right,CIT_BUL,e9819647-0832-4a88-a3ef-036a7ec285e7,54.56642,-131.75303,16.6278,5.45215,-2.92882,-4.93447,-1.31138,4.90284,-8.23906,320.207481,1.02283,-37.92734,-0.89711,2.59219,-1.48931,0.45908,-0.03093,-0.01276,0.00191,3.25137,69.90453,-25.38572,0.74253,2.40994,-1.78761,0.60638,-0.10061,0.00655,-0.72406,26.36995,-8.24672,1.26211,1.66152,-1.58451,0.62662,-0.1174,0.0085,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
