PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:04:40.80,1,1,"Gazaway, Dylan",832409,Right,UTA_UTE,"Cerda, Derek",1000227501,Right,KAN_JAY,Undefined,1,Top,0,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.05003,-2.272974,-2.940495,2149.779239,237.860131,2:00,5.54572,1.90196,5.33291,-23.581,11.51646,16.61962,1.44413,0.52564,82.82386,-6.61559,0.009911,0.426392,,,,,,,,,,,,-9.18256,6.70032,-1.64891,50,5.32329,5.96926,-130.58249,-6.0499,-15.93979,26.12509,-20.54314,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,79966300-239a-11f0-8b1f-e1f34b4b8174,88.39854,,,7.22618,,,,,,,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:04:40.80,2025-04-27T13:04:40.8018944-06:00,2025-04-27T19:04:40.8018944Z,,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,df21ac0b-6824-4267-9a66-b1f1de7ef72e,55.16755,-131.61228,13.06255,5.5458,-5.24013,-10.27157,-1.89659,6.59757,-7.9699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:04:54.11,1,2,"Gazaway, Dylan",832409,Right,UTA_UTE,"Cerda, Derek",1000227501,Right,KAN_JAY,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.19381,-1.796574,-3.540705,2110.616008,212.640619,1:00,5.57699,1.83972,5.38091,-22.13509,13.48642,7.96544,2.04453,-0.81975,82.23743,-5.885392,-2.128096,0.429564,,,,,,,,,,,,-4.89374,7.55575,-1.52841,50,5.40043,7.64656,-129.31102,-4.84458,-8.36508,24.55845,-19.25868,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,8183a730-239a-11f0-8b1f-e1f34b4b8174,87.74587,,,6.95638,,,,,,,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:04:54.11,2025-04-27T13:04:54.1126656-06:00,2025-04-27T19:04:54.1126656Z,,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,b9678bbd-ea8f-4a0c-be02-a48bc7941301,55.11774,-130.27935,12.27923,5.57648,-4.08522,-9.62934,-1.83641,7.97639,-4.18254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:05:08.11,1,3,"Gazaway, Dylan",832409,Right,UTA_UTE,"Cerda, Derek",1000227501,Right,KAN_JAY,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.58213,-1.212621,-3.167621,2100.995723,216.736869,1:15,5.45559,1.9494,5.35967,-22.25812,12.89619,8.88863,2.46168,-0.28339,82.86787,-5.317676,-1.590995,0.426737,97.92244,11.758815,64.432645,5008.531192,39.62865,15.09485,102.61351,204.65409,122.03797,72.842599,1.933246,-5.22634,7.07863,-1.67115,50,5.33072,6.79834,-130.01588,-3.55423,-9.06916,23.74402,-19.89068,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,89c30300-239a-11f0-8b1f-e1f34b4b8174,88.32701,15.09483,,6.71426,,,,-0.70797,2.3475,-0.32653,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:05:08.11,2025-04-27T13:05:08.1133568-06:00,2025-04-27T19:05:08.1133568Z,LineDrive,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,092cc785-1bcc-4353-bb77-bfa5888e9668,55.13962,-130.95113,11.87201,5.45529,-2.77075,-9.94534,-1.94596,7.15557,-4.53458,,-0.708,60.68669,-22.26027,5.79834,-2.37169,1.60284,-0.8478,0.24715,-0.02962,2.34756,29.26053,-18.06259,1.26918,1.0829,-1.74438,1.09801,-0.33624,0.04108,-0.32652,126.83633,-19.04304,4.36451,-0.92852,0.10594,0.03316,-0.018,0.00256,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Medium,,,
4,2025-04-27,13:05:25.91,1,4,"Gazaway, Dylan",832409,Right,UTA_UTE,"Cerda, Derek",1000227501,Right,KAN_JAY,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,80.4613,0.835191,-0.094559,2380.787836,79.829758,8:45,5.55327,1.90796,5.00786,-43.77487,0.06957,-5.95953,2.69376,1.32208,75.01565,-7.058642,-1.147905,0.476572,,,,,,,,,,,,2.98839,0.07299,-1.89368,50,5.59722,0.43172,-117.02064,0.11744,4.21331,18.61326,-32.07113,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,947867e0-239a-11f0-8b1f-e1f34b4b8174,79.09073,,,5.44565,,,,,,,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:05:25.91,2025-04-27T13:05:25.9146752-06:00,2025-04-27T19:05:25.9146752Z,,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,eb7c1796-1700-4a88-9513-2d4ab13e9afd,55.49488,-117.89141,9.30663,5.55664,1.61781,-16.03556,-1.90927,0.23461,2.10666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:05:42.93,1,5,"Gazaway, Dylan",832409,Right,UTA_UTE,"Cerda, Derek",1000227501,Right,KAN_JAY,Undefined,1,Top,0,2,2,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.26821,-0.498362,-1.582287,2154.163898,232.596823,1:45,5.50449,1.96844,5.28176,-24.17159,10.46938,12.43438,3.02198,1.51829,83.49559,-4.940021,0.624428,0.42361,,,,,,,,,,,,-6.73004,5.65441,-1.83398,50,5.4413,3.08263,-131.21646,-2.04211,-11.87759,24.57427,-22.19475,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,9e9b50c0-239a-11f0-8b1f-e1f34b4b8174,88.97903,,,6.77262,,,,,,,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:05:42.93,2025-04-27T13:05:42.9395968-06:00,2025-04-27T19:05:42.9395968Z,,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,25cd215b-e59e-462f-af23-11d6b8c2fbb5,55.22019,-132.19048,12.28714,5.50481,-1.1624,-11.09738,-1.96549,3.55341,-5.93879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:05:59.31,1,6,"Gazaway, Dylan",832409,Right,UTA_UTE,"Cerda, Derek",1000227501,Right,KAN_JAY,Undefined,1,Top,0,3,2,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.58083,-1.806801,-3.044519,2157.821356,214.3342,1:15,5.6587,1.77033,5.40832,-21.21241,13.67654,8.71528,2.19523,-0.35854,83.40745,-5.712628,-1.496773,0.425124,52.38265,-61.72756,-69.584147,,,,,1.40824,1.40824,-29.9111,0.03138,-5.09004,7.58819,-1.50558,50,5.48283,6.5401,-130.09869,-4.8632,-8.89805,22.18311,-18.90889,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,a862d330-239a-11f0-8b1f-e1f34b4b8174,88.66226,2.13527,,6.17338,,,,0.82007,2.13527,0.37404,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:05:59.31,2025-04-27T13:05:59.3175552-06:00,2025-04-27T19:05:59.3175552Z,GroundBall,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,11b695a5-ec0b-499d-b2cd-31232188ab66,55.09235,-130.96411,11.09156,5.65817,-4.12552,-9.45445,-1.7675,6.88723,-4.44902,,0.8197,12.76619,,,,,,,,2.13721,-68.04648,,,,,,,,0.37501,-34.29822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2025-04-27,13:06:20.41,1,7,"Gazaway, Dylan",832409,Right,UTA_UTE,"Cerda, Derek",1000227501,Right,KAN_JAY,Undefined,1,Top,0,3,2,FourSeamFastBall,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,88.12321,-0.809806,-1.950106,2143.433871,224.538424,1:30,5.62239,1.72364,5.53194,-25.58135,10.34839,9.22878,2.73315,0.66913,81.79519,-5.518403,-0.305001,0.431418,64.70601,10.042966,-0.916657,1266.070194,,,,94.58617,93.78326,-0.169414,1.137751,-5.15583,5.72524,-1.56073,50,5.53488,3.97242,-128.11495,-2.7144,-8.70366,22.57456,-22.50918,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,b4f61fd0-239a-11f0-8b1f-e1f34b4b8174,87.3687,6.61425,,6.32801,,,,0.48154,2.64585,-0.6724,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:06:20.41,2025-04-27T13:06:20.4143104-06:00,2025-04-27T19:06:20.4143104Z,GroundBall,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,dbb10b27-2992-4ca3-aaff-ad0ac5b651d9,54.96868,-128.98749,11.28728,5.62298,-1.8444,-11.25459,-1.72076,4.30883,-4.35183,264.380256,0.48154,93.43588,-10.85963,1.58131,-0.32275,0.04384,-0.01187,0.00478,-0.00096,2.64585,16.54964,-17.7899,1.23557,-0.1999,0.04037,-0.00416,0.00033,-5E-05,-0.6724,-1.49498,2.43476,-0.97529,0.28522,-0.06493,0.01438,-0.00343,0.00051,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-04-27,13:06:58.94,2,1,"Gazaway, Dylan",832409,Right,UTA_UTE,"Ballinger, Brady",832219,Left,KAN_JAY,Undefined,1,Top,0,0,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.35376,-0.224194,-2.312515,2077.021263,248.714145,2:15,5.34069,2.02638,5.93913,-29.1938,5.87583,12.77339,2.69973,0.94447,82.31224,-5.606797,-0.018288,0.426223,,,,,,,,,,,,-7.08721,3.35677,-1.84919,50,5.30611,4.67307,-128.55783,-1.50248,-12.09124,21.79592,-26.44717,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,cbf25f00-239a-11f0-8b1f-e1f34b4b8174,88.43356,,,6.04152,,,,,,,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:06:58.94,2025-04-27T13:06:58.9452288-06:00,2025-04-27T19:06:58.9452288Z,,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,86038759-1440-4d9d-b0ba-656182e08a16,54.56202,-129.32897,10.89796,5.34272,-0.56678,-13.22358,-2.02209,5.10086,-6.04562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:07:13.12,2,2,"Gazaway, Dylan",832409,Right,UTA_UTE,"Ballinger, Brady",832219,Left,KAN_JAY,Undefined,1,Top,0,0,1,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,81.58715,-0.163558,-2.28173,1896.617227,254.818253,2:30,5.30422,1.98653,5.292,-37.91467,4.47555,12.19422,1.99097,0.85916,75.76497,-7.058358,-0.11673,0.468602,101.51525,21.193212,-7.465921,2181.503109,108.61887,39.84888,-17.37498,367.61929,348.75419,-13.941987,4.449955,-6.70583,2.61228,-1.78819,50,5.2613,4.2326,-118.55515,-1.67169,-9.67284,19.8001,-28.40594,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,d464ffd0-239a-11f0-8b1f-e1f34b4b8174,80.43593,57.84131,,5.82218,,,,1.38127,1.97608,-0.83936,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:07:13.12,2025-04-27T13:07:13.1218944-06:00,2025-04-27T19:07:13.1218944Z,LineDrive,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,27425a6b-4992-457a-94ff-25f328f0a96a,55.20917,-119.42198,9.90005,5.30726,-0.42811,-14.20297,-1.98275,4.65607,-4.83642,164.950778,1.38052,137.65784,-26.19618,6.06995,-1.42745,0.31646,-0.05533,0.00597,-0.00028,1.97694,53.8064,-13.61626,0.19441,0.15411,-0.07713,0.01868,-0.00207,8E-05,-0.83958,-18.03244,0.00969,-0.26659,0.0818,-0.01278,0.00067,3E-05,-0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
10,2025-04-27,13:08:02.05,3,1,"Gazaway, Dylan",832409,Right,UTA_UTE,"Hauge, Jackson",1000132397,Right,KAN_JAY,Undefined,1,Top,0,0,0,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,79.86394,-0.127015,-2.3508,2753.675981,71.391352,8:30,5.70646,1.76496,5.1287,-46.66573,-1.83689,-9.27875,1.69793,-1.22348,74.054,-8.540159,-3.992656,0.481892,67.40867,3.828279,50.120609,5972.504642,,,,61.92126,56.59925,51.931166,0.667081,4.05914,-0.57264,-1.53655,50,5.65783,5.13073,-115.95428,-1.92274,5.55769,20.5341,-32.9581,UTA_UTE,KAN_JAY,SmithsBallparkUT,D1,BIG12,20250427-SmithsBallparkUT-1,f1927b50-239a-11f0-8b1f-e1f34b4b8174,78.21754,2.55293,,5.80993,,,,2.06445,1.77392,1.15872,5634d551-65fc-4608-b9e6-8b0c1a88e1c7,2025-04-27,19:08:02.05,2025-04-27T13:08:02.0514304-06:00,2025-04-27T19:08:02.0514304Z,GroundBall,v3,471475,471329,27 April 2025 15:00-kansas@utah,"Smith, Derek",10121874,Right,UTA_UTE,7453ceae-3b2e-4bf7-a444-7000d2878e07,55.37285,-116.90187,10.26705,5.71146,-0.40181,-16.47905,-1.7674,4.87426,2.77884,252.436048,2.06445,63.24876,-15.86521,3.81025,-0.83719,0.16566,-0.03344,0.00706,-0.00111,1.77392,6.60092,-14.00637,0.11192,0.14121,-0.05262,0.01652,-0.00347,0.00046,1.15872,75.69998,-7.17805,1.02474,-0.08647,-0.01031,0.00695,-0.0018,0.00026,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
