PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:04:24.53,1,1,"Magers, Wilson",10326334,Right,CRE_BLU,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.27831,-1.249865,-1.803383,1853.581852,243.38775,2:00,6.13142,1.05817,5.52795,-27.5847,8.87839,15.34292,2.66352,0.65033,80.60003,-6.347888,0.933332,0.434608,,,,,,,,,,,,-8.24961,5.20516,-0.91184,50,6.00451,3.35697,-128.08187,-3.77596,-13.65976,27.25233,-23.55531,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,a09cfce0-2389-11f0-abcc-b9cf42485872,86.72734,,,7.67828,,,,,,,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:04:24.53,2025-04-27T13:04:24.5338112-04:00,2025-04-27T17:04:24.5338112Z,,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,7c6d4379-33cd-4505-b5f9-1259a2f76fca,54.97017,-129.13506,13.62616,6.13285,-2.86565,-11.77765,-1.05177,3.88486,-6.82988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:04:40.79,1,2,"Magers, Wilson",10326334,Right,CRE_BLU,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.18085,-1.541911,-0.793123,2216.424872,131.452831,10:30,6.02058,1.27146,5.56448,-39.45687,2.91449,-1.62413,1.29159,0.39514,74.81968,-8.775008,-1.083515,0.468498,,,,,,,,,,,,0.57469,2.37421,-1.20194,50,5.86168,1.71511,-119.16869,-4.55255,0.81566,25.68344,-28.80433,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,aa569ca0-2389-11f0-abcc-b9cf42485872,80.45381,,,7.36117,,,,,,,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:04:40.79,2025-04-27T13:04:40.7913984-04:00,2025-04-27T17:04:40.7913984Z,,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,384ac8cb-9e1c-4705-bc8e-c9ce19c84541,54.93331,-120.22722,12.84172,6.02485,-3.36539,-14.40216,-1.27194,1.68149,0.40783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-27,13:04:58.90,1,3,"Magers, Wilson",10326334,Right,CRE_BLU,"Lemon, Austin",822759,Left,VIL_WIL,Undefined,1,Top,0,1,1,Fastball,Slider,InPlay,Undefined,FlyBall,Out,1,0,,85.50838,-0.491742,-1.618546,2325.613467,132.174014,10:30,6.05714,1.1649,5.57714,-34.45592,3.59835,-2.87016,2.72634,-0.58636,79.66592,-6.779379,-2.13086,0.44399,93.95987,29.150947,9.866761,1763.018628,108.6434,55.9324,17.22143,307.80604,301.29348,5.117772,4.861027,1.09917,2.18835,-1.02361,50,5.99174,3.62877,-124.38286,-2.2799,1.74897,21.2799,-28.69198,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,b513f0c0-2389-11f0-abcc-b9cf42485872,84.89481,74.27366,,5.84246,,,,0.86902,2.67107,0.60347,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:04:58.90,2025-04-27T13:04:58.9043712-04:00,2025-04-27T17:04:58.9043712Z,FlyBall,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,69d03e16-09b7-464c-bbc6-01f992b6e376,54.9251,-125.22263,10.63995,6.05937,-1.14763,-14.34599,-1.16545,3.55975,0.87448,168.10046,0.86799,118.59842,-22.92738,5.2109,-1.35645,0.35518,-0.07379,0.00919,-0.00048,2.67298,67.08276,-18.42061,1.58443,-0.08827,-0.08774,0.03497,-0.00533,0.0003,0.60317,20.63093,-6.18676,1.40592,-0.37001,0.09824,-0.02064,0.00259,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-04-27,13:05:34.50,2,1,"Magers, Wilson",10326334,Right,CRE_BLU,"Whooley, Michael",1000238615,Right,VIL_WIL,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.55073,-2.52952,-1.508571,1922.776448,249.849351,2:15,6.14861,0.84587,5.69006,-27.08218,8.08284,18.97623,1.53189,1.0209,82.15021,-7.521801,1.889158,0.426803,,,,,,,,,,,,-10.0404,5.16855,-0.7309,50,5.91893,2.59263,-129.9383,-6.70051,-17.15054,27.45237,-23.34538,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,ca50a5a0-2389-11f0-abcc-b9cf42485872,88.31353,,,7.40052,,,,,,,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:05:34.50,2025-04-27T13:05:34.5090560-04:00,2025-04-27T17:05:34.5090560Z,,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,6cd2939f-2813-459a-857c-2fb0b04e0b31,54.80903,-130.95037,13.72618,6.15009,-5.83985,-11.67269,-0.83813,3.22491,-8.57527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:05:52.07,2,2,"Magers, Wilson",10326334,Right,CRE_BLU,"Whooley, Michael",1000238615,Right,VIL_WIL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.49711,-2.976895,-1.790046,2016.839721,214.467329,1:15,6.10876,0.87869,5.52856,-18.39241,16.35324,10.43697,1.78934,0.07452,82.62773,-6.424202,0.070584,0.42425,,,,,,,,,,,,-5.78571,9.45406,-0.7303,50,5.83778,3.63223,-131.15413,-7.42826,-10.05495,28.32334,-15.74392,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,d4c5f440-2389-11f0-abcc-b9cf42485872,88.84492,,,7.86938,,,,,,,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:05:52.07,2025-04-27T13:05:52.0702976-04:00,2025-04-27T17:05:52.0702976Z,,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,fd98a38d-ef2b-49f9-9a7b-de49264d3b4c,54.96935,-132.22293,14.16167,6.10688,-6.83416,-7.87196,-0.87452,4.01166,-5.02748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:06:08.61,2,3,"Magers, Wilson",10326334,Right,CRE_BLU,"Whooley, Michael",1000238615,Right,VIL_WIL,Undefined,1,Top,1,1,1,Fastball,Slider,InPlay,Undefined,GroundBall,Single,0,0,,84.9339,-0.957104,-1.438241,2293.302762,222.86873,1:30,5.98362,1.24773,5.70649,-35.79628,2.63599,1.49386,2.10849,0.03191,79.11641,-7.496504,-1.170721,0.446189,95.58771,-37.736219,-48.017107,,,,,4.27768,4.27768,-29.705911,0.025185,-1.1115,1.83567,-1.1282,50,5.88067,3.04347,-123.54722,-3.29796,-1.74254,21.31252,-29.29616,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,dea6a400-2389-11f0-abcc-b9cf42485872,84.47632,2.16459,,5.8175,,,,1.84457,2.16459,-0.04066,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:06:08.61,2025-04-27T13:06:08.6186496-04:00,2025-04-27T17:06:08.6186496Z,GroundBall,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,fc04c314-f912-460b-8a6f-1c16956d3d40,54.79541,-124.3717,10.65626,5.98633,-2.16462,-14.64808,-1.24724,3.11088,-0.87127,,1.84407,74.2873,,,,,,,,2.16518,-85.94716,,,,,,,,-0.0401,-82.55396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
7,2025-04-27,13:06:55.69,3,1,"Magers, Wilson",10326334,Right,CRE_BLU,"Neff, Jason",1000084109,Right,VIL_WIL,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.60743,-2.902863,-1.565287,1984.170112,239.748811,2:00,6.14845,0.94166,5.88616,-24.23474,9.68394,14.84957,1.43003,0.72527,83.54636,-7.387806,1.102578,0.419171,,,,,,,,,,,,-8.05256,6.0424,-0.82413,50,5.90003,2.97048,-131.5452,-7.49837,-14.17996,26.61064,-21.53386,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,fab62c60-2389-11f0-abcc-b9cf42485872,89.92147,,,7.06107,,,,,,,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:06:55.69,2025-04-27T13:06:55.6958208-04:00,2025-04-27T17:06:55.6958208Z,,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,4da22e29-5107-4a80-917d-d498ef4eb54b,54.61407,-132.47531,13.30532,6.14896,-6.74571,-10.76693,-0.93661,3.4661,-7.08998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-27,13:07:14.27,3,2,"Magers, Wilson",10326334,Right,CRE_BLU,"Neff, Jason",1000084109,Right,VIL_WIL,Undefined,1,Top,1,1,0,Slider,Slider,InPlay,Undefined,FlyBall,Out,1,0,,82.56702,-0.689866,-0.994488,2214.529392,93.363796,9:00,5.91365,1.20366,5.52346,-39.86077,1.35165,-2.84488,1.94683,0.03674,76.48864,-7.953093,-1.502428,0.462046,104.05338,19.291063,-9.824982,1079.457127,108.2618,36.50199,-19.47383,365.06293,358.187,-12.669709,4.058402,1.19504,1.17791,-1.11517,50,5.82663,2.19595,-120.01453,-2.82812,1.75558,21.65166,-30.44359,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,05cd6050-238a-11f0-abcc-b9cf42485872,81.57721,51.99674,,6.07837,,,,1.81388,2.00243,-0.03449,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:07:14.27,2025-04-27T13:07:14.2735872-04:00,2025-04-27T17:07:14.2735872Z,LineDrive,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,f901d89f-c9fd-418a-8275-fa39b195e61f,54.97746,-120.90918,10.82583,5.9175,-1.57019,-15.2218,-1.20441,2.12341,0.87779,174.775336,1.81392,141.93089,-28.02151,6.78536,-1.42831,0.27699,-0.04555,0.00494,-0.00024,2.00222,50.41762,-12.04896,-0.80015,0.38324,-0.10703,0.01938,-0.00159,2E-05,-0.03459,-24.57873,3.57902,-1.29428,0.35443,-0.0852,0.01668,-0.00213,0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-04-27,13:07:56.94,4,1,"Magers, Wilson",10326334,Right,CRE_BLU,"Leonard, Brayden",10002121,Right,VIL_WIL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.64631,-2.628228,-2.762096,1950.068409,206.54446,1:00,6.13836,0.93774,5.71751,-17.38686,17.87761,8.33453,2.23663,-0.94267,81.59036,-5.920886,-1.273078,0.427406,,,,,,,,,,,,-5.00855,10.18926,-0.71177,50,5.90763,5.89483,-129.84912,-6.49124,-8.51489,28.2686,-14.85157,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,1f393ff0-238a-11f0-abcc-b9cf42485872,88.18894,,,8.05594,,,,,,,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:07:56.94,2025-04-27T13:07:56.9430528-04:00,2025-04-27T17:07:56.9430528Z,,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,8a7f4cc7-776b-4947-bacb-2c5506eb5aaf,54.77847,-130.88527,14.1343,6.13558,-5.94687,-7.42579,-0.93356,6.20694,-4.25745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:08:19.14,4,2,"Magers, Wilson",10326334,Right,CRE_BLU,"Leonard, Brayden",10002121,Right,VIL_WIL,Undefined,1,Top,2,0,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.18619,-1.975332,-0.926724,2007.851591,227.715372,1:30,6.21649,0.92327,5.35343,-20.70474,15.39879,15.57922,2.6375,1.35231,81.07035,-5.842447,1.842869,0.43246,,,,,,,,,,,,-8.04579,8.66886,-0.85122,50,6.02437,1.37554,-129.28849,-5.16282,-13.52626,28.65876,-17.60024,CRE_BLU,VIL_WIL,TDAmeritrade,D1,BEAST,20250427-TDAmeritrade-1,2c724270-238a-11f0-abcc-b9cf42485872,87.15812,,,8.11584,,,,,,,88893036-e6c2-44e5-b62f-3db3065aaf47,2025-04-27,17:08:19.14,2025-04-27T13:08:19.1475200-04:00,2025-04-27T17:08:19.1475200Z,,v3,471278,471478,27 April 2025 13:00-villanova@creighton,"Capece, Connor",806487,Right,CRE_BLU,8738dee1-f812-4661-b193-b4d5cf17cd57,55.14311,-130.42356,14.32938,6.21504,-4.46574,-8.80012,-0.91631,1.91126,-6.76313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
