PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:06:08.91,1,1,"Marsh, Carson",812184,Right,CIN_BEA,"Conover, Alex",824558,Left,OKL_COW,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,91.59088,-0.547768,-2.088705,2065.584597,220.748746,1:15,5.28231,2.46273,5.86645,-17.61662,16.03879,12.81418,3.30506,1.58944,82.80911,-3.906949,0.208608,0.417541,,,,,,,,,,,,-7.13331,8.68737,-2.30067,50,5.22773,4.26902,-132.83893,-1.80465,-12.62249,31.03461,-16.80159,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,ea33a430-2389-11f0-a0fc-03c59bc7c26a,90.27247,,,8.78177,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:06:08.91,2025-04-27T13:06:08.9140000-04:00,2025-04-27T17:06:08.9140000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,9ccae5ba-6394-4455-a11c-0f9761ce3c15,54.63014,-133.91628,15.5173,5.28025,-1.22139,-8.40079,-2.45647,4.7072,-6.31124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-27,13:06:23.06,1,2,"Marsh, Carson",812184,Right,CIN_BEA,"Conover, Alex",824558,Left,OKL_COW,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,92.48498,-1.436979,-3.183578,2288.346612,223.012386,1:30,5.36105,2.36064,5.97451,-16.20024,17.04808,14.72599,2.67654,0.63343,82.84996,-4.561791,-0.541236,0.415008,95.35028,57.910254,-6.303005,3701.69621,104.20046,152.15831,-35.24504,240.09532,107.27782,-25.76337,6.35046,-8.64241,9.59481,-2.11675,50,5.23838,6.80223,-133.91568,-3.83032,-15.3761,34.38328,-15.10347,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,f2a8dd10-2389-11f0-a0fc-03c59bc7c26a,90.82344,162.37992,,9.63502,,,,1.41502,2.77675,-0.72609,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:06:23.06,2025-04-27T13:06:23.0670000-04:00,2025-04-27T17:06:23.0670000Z,FlyBall,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,f195c567-dfc4-4150-94ed-00c3b10fb4c5,54.52297,-135.07198,17.19164,5.35866,-3.3224,-7.55174,-2.3542,7.31933,-7.68805,155.93001,1.42075,73.68741,-19.89937,4.45617,-0.23685,-0.18716,0.05785,-0.00687,0.0003,2.74844,118.90905,-29.52879,5.03123,-1.58659,0.38821,-0.05685,0.00421,-0.00012,-0.7261,-8.20816,-6.76956,1.99206,-0.08681,-0.12298,0.0386,-0.00475,0.00021,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-04-27,13:07:00.45,2,1,"Marsh, Carson",812184,Right,CIN_BEA,"Smith, Brayden",829670,Left,OKL_COW,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.50413,-1.297657,-2.387547,2036.380903,210.091886,1:00,5.38706,2.36792,5.93489,-14.83548,18.13595,9.83634,2.94563,0.9713,83.55169,-4.15805,-0.62265,0.413276,,,,,,,,,,,,-5.73158,10.00142,-2.18257,50,5.27497,5.14737,-134.09857,-3.45129,-10.32431,31.9119,-14.1584,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,09066b40-238a-11f0-a0fc-03c59bc7c26a,91.204,,,8.95244,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:07:00.45,2025-04-27T13:07:00.4530000-04:00,2025-04-27T17:07:00.4530000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,8d61b64b-7157-4a06-a8a4-1277d2de94d7,54.56115,-135.17965,15.95595,5.38377,-2.97165,-7.0792,-2.36287,5.49712,-5.16216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-27,13:07:16.98,2,2,"Marsh, Carson",812184,Right,CIN_BEA,"Smith, Brayden",829670,Left,OKL_COW,Undefined,1,Top,1,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.62465,-2.297379,-3.760754,2680.659753,132.330488,10:30,5.33421,2.72265,5.36824,-33.6125,4.92603,-4.26555,0.37326,-1.16409,79.86485,-8.373103,-4.516964,0.446806,,,,,,,,,,,,1.27071,3.31429,-2.38164,50,5.10339,8.33676,-124.16554,-6.20812,2.01058,21.71158,-26.92998,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,12da49c0-238a-11f0-a0fc-03c59bc7c26a,84.35972,,,5.75981,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:07:16.98,2025-04-27T13:07:16.9850000-04:00,2025-04-27T17:07:16.9850000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,0eef99fc-8cb1-4244-900f-2b08e62498b6,55.13417,-125.06008,10.85579,5.33631,-5.09858,-13.46499,-2.72342,8.25392,1.00529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-27,13:07:35.34,2,3,"Marsh, Carson",812184,Right,CIN_BEA,"Smith, Brayden",829670,Left,OKL_COW,Undefined,1,Top,1,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.54762,-2.006988,-2.245852,2288.132383,225.938358,1:30,5.35129,2.34987,5.71834,-17.46127,15.79087,15.0917,2.02443,1.51438,83.62488,-5.321442,0.452901,0.415032,,,,,,,,,,,,-8.32284,8.98422,-2.17132,50,5.17274,4.56511,-134.0933,-5.255,-14.97739,32.14929,-16.00648,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,1dd6a2b0-238a-11f0-a0fc-03c59bc7c26a,90.81823,,,8.92274,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:07:35.34,2025-04-27T13:07:35.3470000-04:00,2025-04-27T17:07:35.3470000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,a3bba423-5495-4f85-a4fc-2645a94c9edf,54.77868,-135.23415,16.07464,5.34914,-4.68699,-8.00324,-2.34275,5.0966,-7.48869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-27,13:07:53.26,2,4,"Marsh, Carson",812184,Right,CIN_BEA,"Smith, Brayden",829670,Left,OKL_COW,Undefined,1,Top,1,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.9529,-1.930137,-2.904756,2080.001115,216.397145,1:15,5.32011,2.33432,5.9176,-14.63489,18.06229,12.46359,2.3063,0.67489,84.01981,-4.748538,-0.670203,0.411554,75.68696,44.2106,-138.321102,3805.317643,,,,,46.60004,,,-7.31351,10.20221,-2.10868,50,5.1571,6.28995,-134.70577,-4.96482,-13.28913,32.28925,-13.63592,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,28717ab0-238a-11f0-a0fc-03c59bc7c26a,91.5857,39.5873,,8.93309,,,,1.68795,2.44369,-0.66282,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:07:53.26,2025-04-27T13:07:53.2650000-04:00,2025-04-27T17:07:53.2650000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,94a2f8a0-0cc3-4b39-ac00-30a39fc27133,54.58126,-135.79947,16.14463,5.31745,-4.50295,-6.81796,-2.32935,6.74008,-6.64457,,1.68795,-59.42798,0.93125,1.18586,-0.50049,0.46163,-0.55485,0.4092,-0.12349,2.44369,77.40521,-31.02523,4.29871,-1.05187,0.49041,-0.47248,0.32559,-0.09316,-0.66282,-52.90919,7.59977,-1.15753,0.22701,-0.0804,0.0766,-0.0493,0.01278,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-04-27,13:08:16.58,2,5,"Marsh, Carson",812184,Right,CIN_BEA,"Smith, Brayden",829670,Left,OKL_COW,Undefined,1,Top,1,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,93.02812,-2.346471,-4.48678,2324.719861,218.866752,1:15,5.35198,2.34439,6.08768,-15.11072,17.16887,12.97839,1.9142,-0.73319,84.77254,-5.238259,-2.159109,0.408917,,,,,,,,,,,,-7.93741,9.82426,-2.00424,50,5.16222,10.00599,-134.67947,-5.9652,-14.55795,29.63906,-14.1554,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,365fea80-238a-11f0-a0fc-03c59bc7c26a,92.17624,,,8.25559,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:08:16.58,2025-04-27T13:08:16.5833216-04:00,2025-04-27T17:08:16.5833216Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,1db7580c-e163-4bea-8483-2d10b733ea59,54.41125,-135.64678,14.81953,5.34936,-5.50322,-7.0777,-2.33855,10.48111,-7.27898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.30378,,,1.046704,,,,3.25435,5.70248,-5.09026,79.42929,7.90998,-45.35676,3.30437,77.43873,-4.48611,5.75246,16.99794,-14.25403,-5.15974,-43.51327,4.86216,High,High,High,,,High,High,High
8,2025-04-27,13:08:56.53,3,1,"Marsh, Carson",812184,Right,CIN_BEA,"Schubart, Nolan",702278,Left,OKL_COW,Undefined,1,Top,2,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.14441,-0.818899,-3.903544,2787.162156,49.449242,7:45,5.35491,2.57643,5.34115,-38.71715,0.27209,-1.24583,1.35843,-1.195,78.37069,-7.870827,-4.124255,0.449411,,,,,,,,,,,,-0.58795,0.78362,-2.22299,50,5.25324,8.55935,-124.64142,-3.23202,-0.91462,27.65747,-30.95502,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,4e2dd190-238a-11f0-a0fc-03c59bc7c26a,83.87074,,,7.77373,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:08:56.53,2025-04-27T13:08:56.5340000-04:00,2025-04-27T17:08:56.5340000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,c2812a95-43b2-4bcf-bc75-8812221a8273,55.15731,-125.78061,13.82873,5.36011,-1.95702,-15.47751,-2.57632,8.59702,-0.45731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-27,13:09:16.71,3,2,"Marsh, Carson",812184,Right,CIN_BEA,"Schubart, Nolan",702278,Left,OKL_COW,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.36512,-2.045012,-2.308627,2298.701555,209.511416,1:00,5.33818,2.51612,5.80862,-11.828,21.43643,11.46142,2.44841,1.32318,83.37491,-4.362586,-0.256941,0.415108,,,,,,,,,,,,-6.51681,11.87347,-2.33337,50,5.16327,4.87307,-133.83018,-5.06681,-11.68655,31.90566,-10.88148,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,5a43b0d0-238a-11f0-a0fc-03c59bc7c26a,90.80145,,,8.9902,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:09:16.71,2025-04-27T13:09:16.7150000-04:00,2025-04-27T17:09:16.7150000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,bf805d31-054b-4d02-84ed-12601ec4e571,54.68785,-134.94316,15.95283,5.3334,-4.68723,-5.44074,-2.51047,5.28074,-5.84327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-27,13:09:36.90,3,3,"Marsh, Carson",812184,Right,CIN_BEA,"Schubart, Nolan",702278,Left,OKL_COW,Undefined,1,Top,2,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.8577,-3.562249,-2.630667,2853.743643,60.563453,8:00,5.26912,2.58584,5.58508,-38.76947,-0.19394,-2.48469,-1.29607,-0.07959,79.29423,-10.573446,-3.074881,0.44702,,,,,,,,,,,,0.53441,1.1239,-2.35793,50,4.93646,5.81261,-124.38802,-9.11615,0.83438,25.74916,-30.41924,CIN_BEA,OKL_COW,UCincinnati,D1,BIG12,20250427-UCincinnati-1,6639fa20-238a-11f0-a0fc-03c59bc7c26a,84.31931,,,6.56347,,,,,,,1a0d3833-04f5-4812-82c2-c446e43b073c,2025-04-27,17:09:36.90,2025-04-27T13:09:36.9080000-04:00,2025-04-27T17:09:36.9080000Z,,v3,471270,4245,27 April 2025 13:00-okstate@cincy,"Natili, Jackson",1000091481,Right,CIN_BEA,20e2d4e5-dea1-4111-8097-5bd424031e30,54.91801,-125.40194,12.87458,5.27184,-7.91833,-15.20962,-2.58616,5.77975,0.41719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
