PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:35:37.61,1,1,"Bouchard, Brady",10139320,Right,BIN_BEA,"Carlson, Owen",10077967,Right,COR_BRE,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.89247,-2.559789,-2.026225,2255.799397,232.219594,1:45,5.61292,1.67388,6.10072,-19.00729,13.73434,16.13611,1.65853,1.14385,83.55552,-6.176463,0.881697,0.411834,,,,,,,,,,,,-8.90741,8.27323,-1.52585,50,5.4059,4.04018,-134.55994,-6.6001,-16.03127,34.20268,-17.2842,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,460e8650-254a-11f0-b785-ad922c69dc09,91.52348,,,9.33695,,,,,,,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:35:37.61,2025-04-29T18:35:37.6191488-04:00,2025-04-29T22:35:37.6191488Z,,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,4b5c017a-5604-492e-9619-da6babec4110,54.39449,-135.67234,17.10134,5.61142,-6.03795,-8.6421,-1.66573,4.56158,-8.01563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,18:35:51.27,1,2,"Bouchard, Brady",10139320,Right,BIN_BEA,"Carlson, Owen",10077967,Right,COR_BRE,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,92.70999,-2.032103,-2.992422,2293.164355,222.191187,1:30,5.7344,1.48096,5.75395,-18.72387,14.24103,11.88843,2.27904,-0.31649,84.18667,-5.561366,-0.867061,0.413235,95.80283,-6.196134,28.813523,,,,,18.89097,18.72242,27.925253,0.128323,-6.9641,8.19426,-1.23995,50,5.55431,6.49351,-134.34395,-5.38943,-12.63867,30.99958,-17.30287,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,4e505320-254a-11f0-b785-ad922c69dc09,91.21305,2.21915,,8.52331,,,,1.07477,2.21915,0.23811,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:35:51.27,2025-04-29T18:35:51.2768512-04:00,2025-04-29T22:35:51.2768512Z,GroundBall,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,3bd28806-11e0-4392-ac58-1671e4a03db8,54.74434,-135.43427,15.49979,5.73316,-4.78085,-8.65143,-1.47616,6.93804,-6.31933,317.188915,1.07478,122.39361,-5.43163,,,,,,,2.2192,-15.17027,-16.55113,,,,,,,0.23811,67.32475,-1.84803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-04-29,18:36:26.01,2,1,"Bouchard, Brady",10139320,Right,BIN_BEA,"Musser, Kyle",1000127070,Right,COR_BRE,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.84268,-2.223353,-2.681657,2167.980729,227.323149,1:30,5.74969,1.66922,5.76187,-17.84477,16.80584,16.82288,2.18993,0.57334,81.70151,-5.625858,0.328001,0.423669,,,,,,,,,,,,-9.39579,9.64079,-1.45715,50,5.5547,5.40403,-131.51112,-5.65235,-16.17816,32.26705,-15.57403,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,63053a60-254a-11f0-b785-ad922c69dc09,88.96664,,,9.14117,,,,,,,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:36:26.01,2025-04-29T18:36:26.0153856-04:00,2025-04-29T22:36:26.0153856Z,,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,1dd3131a-049b-4069-bd6e-6e8b0eaf0c1a,54.73418,-132.6676,16.13352,5.74728,-5.09416,-7.78701,-1.66122,5.98387,-8.08908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,18:36:40.92,2,2,"Bouchard, Brady",10139320,Right,BIN_BEA,"Musser, Kyle",1000127070,Right,COR_BRE,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,79.38317,1.292608,0.235436,2502.339873,49.679247,7:45,5.64481,1.92634,5.24461,-47.77211,-2.08256,-4.23394,2.87878,1.79477,72.39247,-7.411181,-0.51618,0.486497,,,,,,,,,,,,2.21728,-1.11311,-1.94457,50,5.72754,-0.30606,-115.18239,0.93759,2.95555,22.94984,-33.65777,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,6be6a290-254a-11f0-b785-ad922c69dc09,77.47728,,,6.99069,,,,,,,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:36:40.92,2025-04-29T18:36:40.9282560-04:00,2025-04-29T22:36:40.9282560Z,,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,4db4b80f-671c-486f-bcd2-76c653138928,55.25618,-116.22495,11.47492,5.65021,2.46659,-16.82889,-1.92761,-0.44032,1.47778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-04-29,18:36:57.11,2,3,"Bouchard, Brady",10139320,Right,BIN_BEA,"Musser, Kyle",1000127070,Right,COR_BRE,Undefined,1,Top,0,1,1,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.79622,-2.147332,-2.721883,2230.582732,235.717624,1:45,5.69073,1.71663,5.88514,-20.04281,13.31942,17.90375,2.0233,0.67917,83.60276,-5.91702,0.489448,0.415718,,,,,,,,,,,,-9.97898,7.77764,-1.5074,50,5.50576,5.55315,-133.12336,-5.64916,-17.82197,29.85211,-18.28351,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,758d0870-254a-11f0-b785-ad922c69dc09,90.6683,,,8.19345,,,,,,,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:36:57.11,2025-04-29T18:36:57.1132416-04:00,2025-04-29T22:36:57.1132416Z,,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,97e132a6-1a55-485c-8bc4-88a6419c112e,54.61415,-134.15406,14.92606,5.68991,-5.01788,-9.14176,-1.70976,6.16849,-8.91098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-29,18:37:18.87,2,4,"Bouchard, Brady",10139320,Right,BIN_BEA,"Musser, Kyle",1000127070,Right,COR_BRE,Undefined,1,Top,0,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.83304,-1.171997,-2.342515,2237.077046,235.581682,1:45,5.69646,1.53977,5.8675,-19.36674,14.25158,19.03328,2.99282,0.94868,82.79765,-4.847228,1.070623,0.417311,,,,,,,,,,,,-10.51079,8.01481,-1.36128,50,5.59042,4.6133,-133.15143,-3.34134,-18.59248,32.51031,-17.99668,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,828690f0-254a-11f0-b785-ad922c69dc09,90.32227,,,9.03538,,,,,,,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:37:18.87,2025-04-29T18:37:18.8771840-04:00,2025-04-29T22:37:18.8771840Z,,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,afc318ec-6c24-4f09-9866-bec9487ae9f5,54.63077,-134.27732,16.25515,5.69535,-2.71808,-8.99834,-1.53219,5.25719,-9.29624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-04-29,18:37:41.76,2,5,"Bouchard, Brady",10139320,Right,BIN_BEA,"Musser, Kyle",1000127070,Right,COR_BRE,Undefined,1,Top,0,1,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,91.45479,-1.115309,-3.172128,2236.647103,221.832486,1:30,5.71644,1.51489,5.75982,-18.74347,15.47954,12.70946,3.11465,-0.38158,82.06967,-4.684289,-0.900847,0.421047,70.71327,-43.968047,-54.776405,,,,,4.13469,1.85257,-32.148843,0.043384,-7.53493,8.61748,-1.25974,50,5.61282,6.77269,-132.40398,-3.17064,-13.12973,33.12125,-17.15797,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,902c10e0-254a-11f0-b785-ad922c69dc09,89.52076,3.13788,,9.38511,,,,1.62448,3.13788,0.45725,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:37:41.76,2025-04-29T18:37:41.7645568-04:00,2025-04-29T22:37:41.7645568Z,GroundBall,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,a0af0680-48b2-4e39-947c-c5dbee1581e9,54.73687,-133.58367,16.56062,5.71487,-2.55952,-8.57898,-1.50929,7.24034,-6.56487,,1.62313,43.24717,,,,,,,,3.14015,-72.32833,,,,,,,,0.45917,-61.2532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-04-29,18:38:19.47,3,1,"Bouchard, Brady",10139320,Right,BIN_BEA,"Quatrani, Mark",10286482,Right,COR_BRE,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.17489,0.831228,-2.60211,2380.842839,25.158681,6:45,5.56171,1.83459,5.35433,-48.13558,-3.51492,-2.33087,2.33085,-0.80175,73.33675,-7.926365,-3.016079,0.480772,,,,,,,,,,,,0.40181,-1.55193,-1.59873,50,5.60226,5.37804,-116.24382,-0.0132,0.54677,22.90994,-34.28589,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,a6916740-254a-11f0-b785-ad922c69dc09,78.39977,,,6.83814,,,,,,,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:38:19.47,2025-04-29T18:38:19.4737664-04:00,2025-04-29T22:38:19.4737664Z,,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,023accc8-79a7-4e4e-a54e-3d0752f3fad6,55.14469,-117.25337,11.45497,5.56955,1.49766,-17.14294,-1.83519,5.35395,0.27338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-04-29,18:38:36.86,3,2,"Bouchard, Brady",10139320,Right,BIN_BEA,"Quatrani, Mark",10286482,Right,COR_BRE,Undefined,1,Top,1,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.88872,-1.40387,-2.354386,2268.341789,227.593091,1:30,5.75239,1.65599,5.80733,-17.92241,15.31505,15.35493,2.95196,0.74486,83.00636,-4.831279,0.395601,0.41494,,,,,,,,,,,,-8.55374,8.63402,-1.47162,50,5.62669,4.81339,-134.47058,-3.85273,-15.30722,35.31862,-16.72318,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,b0e52420-254a-11f0-b785-ad922c69dc09,90.83829,,,9.88236,,,,,,,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:38:36.86,2025-04-29T18:38:36.8671744-04:00,2025-04-29T22:38:36.8671744Z,,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,c696edd3-15ff-4665-ab4b-52f74205af46,54.68667,-135.69595,17.65931,5.75029,-3.27252,-8.36159,-1.64783,5.34447,-7.65361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-29,18:38:53.31,3,3,"Bouchard, Brady",10139320,Right,BIN_BEA,"Quatrani, Mark",10286482,Right,COR_BRE,Undefined,1,Top,1,1,1,Slider,Curveball,InPlay,Undefined,GroundBall,Out,1,0,,79.10312,0.988028,-1.958117,2483.587081,51.946692,7:45,5.68191,1.69048,5.42298,-50.7953,-3.93729,-7.42886,2.37506,-0.7634,70.67611,-8.329401,-3.280163,0.492678,77.58267,-10.259283,-35.191973,,,,,16.60934,16.59885,-27.784357,0.136837,3.01295,-1.85374,-1.51128,50,5.73457,4.21132,-114.44089,0.23623,3.86647,27.48076,-34.55293,BIN_BEA,COR_BRE,BinghamtonUniversity,D1,AMEAST,20250429-BinghamtonUniversity-1,bade8c00-254a-11f0-b785-ad922c69dc09,76.50519,2.64956,,8.42701,,,,2.33836,2.64956,0.81995,36042b24-0c93-482c-8034-d5e9e1199b31,2025-04-29,22:38:53.31,2025-04-29T18:38:53.3134336-04:00,2025-04-29T22:38:53.3134336Z,GroundBall,v3,471242,471277,29 April 2025 18:30-cornell@sunybing,"Sullivan, Evin",1000257755,Right,BIN_BEA,f54377ac-cf6c-48e3-9bda-5fbaaa6ec8d2,55.0736,-115.6528,13.74038,5.69056,1.76003,-17.27647,-1.69324,4.0408,1.93323,201.529751,2.33843,91.49638,-8.76752,,,,,,,2.64903,-20.21443,6.29013,,,,,,,0.81962,-64.49697,14.09484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
