PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:07:41.40,1,1,"Hubka, Grant",1000114384,Right,LOU_BUL,"Terry, Gavin",1000098984,Left,ARK_LIO,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.40643,-2.335615,-0.015427,2125.554367,191.765537,12:30,6.85691,0.37038,5.69042,-12.5743,19.65371,3.88177,3.63108,0.67949,85.46503,-4.745925,0.678686,0.408591,,,,,,,,,,,,-1.96614,10.90957,-0.3715,50,6.65267,-0.14181,-135.57099,-5.88498,-3.667,29.05073,-11.82708,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,c15a1af0-254e-11f0-a767-8deeb1e930ed,92.24991,,,7.9414,,,,,,,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:07:41.40,2025-04-29T18:07:41.4070000-05:00,2025-04-29T23:07:41.4070000Z,,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,ba50be60-d7ee-48a6-9046-0ba9069a5cb2,54.80635,-136.59703,14.52536,6.85314,-5.46726,-5.91354,-0.36878,-0.01229,-1.8335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,18:07:56.22,1,2,"Hubka, Grant",1000114384,Right,LOU_BUL,"Terry, Gavin",1000098984,Left,ARK_LIO,Undefined,1,Top,0,1,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,,91.49568,-4.327464,0.054406,2129.907344,193.704517,12:30,6.79424,0.09776,5.52862,-13.05611,20.88852,4.82548,1.65314,0.55074,83.8193,-6.808527,0.914766,0.419331,93.18142,8.438365,-14.024958,2213.523474,104.83947,8.55486,-33.29643,175.85888,142.42113,-19.747413,1.542044,-2.44315,12.11713,-0.10588,50,6.40931,-0.33915,-132.52759,-10.41551,-4.34911,28.07679,-10.6039,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,c99b2470-254e-11f0-a767-8deeb1e930ed,89.88711,8.95878,,7.67638,,,,2.25386,1.76128,-0.52995,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:07:56.22,2025-04-29T18:07:56.2250000-05:00,2025-04-29T23:07:56.2250000Z,LineDrive,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,8ee40da8-006c-404b-a7bc-8676ef5ba382,54.97033,-133.57643,14.0384,6.791,-10.01938,-5.30195,-0.09624,-0.17669,-2.17456,115.037667,2.25386,131.15647,-22.00959,4.81435,-0.97506,0.17617,-0.0301,0.00432,-0.00032,1.76128,20.05509,-14.04345,-0.02909,0.23273,-0.0862,0.02416,-0.00424,0.00038,-0.52995,-32.76168,-6.08616,2.51108,-0.77531,0.20155,-0.04597,0.0079,-0.00072,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-04-29,18:08:24.26,2,1,"Hubka, Grant",1000114384,Right,LOU_BUL,"Gries-Smith, Eli",1000136902,Right,ARK_LIO,Undefined,1,Top,1,0,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.41809,1.302659,0.576144,2239.974222,21.068447,6:45,6.63475,0.38609,5.33401,-56.23113,-12.27064,-5.23158,3.17126,0.49068,74.20893,-8.868327,-0.35536,0.477203,,,,,,,,,,,,2.77937,-6.09567,-0.43422,50,6.71163,-0.962,-116.85229,0.61247,3.84933,21.6742,-40.61632,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,da636830-254e-11f0-a767-8deeb1e930ed,78.98624,,,6.20916,,,,,,,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:08:24.26,2025-04-29T18:08:24.2630000-05:00,2025-04-29T23:08:24.2630000Z,,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,ca4f7750-5009-47af-a40c-70355ba906ac,55.16831,-117.80703,10.8371,6.64525,2.40159,-20.30816,-0.38811,-1.13156,1.92467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-04-29,18:08:41.93,2,2,"Hubka, Grant",1000114384,Right,LOU_BUL,"Gries-Smith, Eli",1000136902,Right,ARK_LIO,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,,91.42272,-4.2099,-0.469906,2285.095967,190.673563,12:15,6.90127,-0.06355,5.62525,-13.03721,20.84336,3.72055,1.87925,-0.19199,83.70391,-6.694616,0.194623,0.418935,101.69971,19.450678,6.391923,2672.57773,108.72812,35.67718,16.67584,354.87755,352.28964,15.307855,4.128524,-2.03335,12.10977,0.10107,50,6.534,0.9241,-132.45205,-10.1284,-3.61335,28.20152,-10.65427,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,e4dbeb20-254e-11f0-a767-8deeb1e930ed,89.97206,49.88214,,7.7188,,,,1.77625,1.9203,0.19851,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:08:41.93,2025-04-29T18:08:41.9380000-05:00,2025-04-29T23:08:41.9380000Z,LineDrive,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,dd6d0bd7-23dd-4126-8136-6c7e5d65642c,54.87375,-133.48574,14.10076,6.89809,-9.73788,-5.32714,0.06477,1.05654,-1.80667,210.492257,1.77639,139.76981,-26.62486,5.89591,-1.20247,0.19146,-0.01822,0.00029,8E-05,1.92067,49.64962,-13.59164,0.512,-0.15799,0.08382,-0.02726,0.00478,-0.00034,0.19883,15.64469,4.06516,-1.2107,0.29639,-0.05763,0.00818,-0.00076,4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-04-29,18:09:21.63,3,1,"Hubka, Grant",1000114384,Right,LOU_BUL,"Rodriguez Velez, Carlos",1000120312,Right,ARK_LIO,Undefined,1,Top,1,0,0,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,84.34385,-1.187962,0.718934,2116.88294,86.844383,9:00,6.61513,0.42669,5.31725,-38.86841,0.70319,-6.59697,2.26094,0.5517,78.60333,-8.222769,-0.455044,0.452755,,,,,,,,,,,,3.49028,0.96567,-0.48685,50,6.47914,-1.26211,-122.62711,-3.97717,5.38954,21.04525,-30.68287,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,fca0aa70-254e-11f0-a767-8deeb1e930ed,83.2513,,,5.74052,,,,,,,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:09:21.63,2025-04-29T18:09:21.6380000-05:00,2025-04-29T23:09:21.6380000Z,,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,6ae40e60-65ca-4d59-a107-3391c5a20c91,55.18341,-123.51349,10.52262,6.61943,-2.68488,-15.34143,-0.42892,-1.4891,2.69477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-29,18:09:41.71,3,2,"Hubka, Grant",1000114384,Right,LOU_BUL,"Rodriguez Velez, Carlos",1000120312,Right,ARK_LIO,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.84945,-3.027244,0.246633,2250.182718,184.866754,12:15,6.92574,0.23498,5.73994,-12.40024,20.10851,1.62634,3.07099,0.60015,85.20872,-5.400768,0.537714,0.410366,90.94093,23.020546,-52.055598,3111.803117,63.55841,38.96851,-89.77889,279.47566,186.12694,-59.667951,3.376512,-0.7648,11.3669,-0.25651,50,6.66622,-0.65206,-134.75249,-7.47784,-1.41219,28.12178,-11.18521,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,088826b0-254f-11f0-a767-8deeb1e930ed,91.85073,43.59643,,7.64073,,,,0.69928,2.88673,-0.24635,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:09:41.71,2025-04-29T18:09:41.7110000-05:00,2025-04-29T23:09:41.7110000Z,LineDrive,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,e4849ebd-3aa0-4d84-ae82-feb0ffc4ba33,54.7585,-135.74192,14.06089,6.9224,-7.0843,-5.59261,-0.23445,-0.60238,-0.70609,,0.69923,75.48584,-19.44091,4.95978,-1.1558,0.26604,-0.05087,0.00611,-0.00032,2.88681,52.15541,-17.85427,0.6782,0.14111,-0.10849,0.02974,-0.0041,0.00025,-0.24629,-96.81042,14.90803,-3.95509,0.9619,-0.2309,0.04557,-0.00564,0.00031,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,2025-04-29,18:10:04.94,3,3,"Hubka, Grant",1000114384,Right,LOU_BUL,"Rodriguez Velez, Carlos",1000120312,Right,ARK_LIO,Undefined,1,Top,1,0,2,Curveball,Curveball,InPlay,Undefined,FlyBall,Error,0,0,,78.74288,0.694743,0.719794,2246.92599,41.185784,7:15,6.59299,0.33111,5.02991,-57.64779,-11.3217,-11.10095,2.4446,0.0852,72.89255,-9.660201,-1.247084,0.489874,93.19222,28.256342,32.240373,4044.496041,90.1998,56.0931,62.95997,325.9052,239.11193,42.655062,4.904875,5.77067,-5.54929,-0.39037,50,6.61206,-0.99407,-114.41314,-0.70688,7.66731,20.64234,-39.54723,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,167202a0-254f-11f0-a767-8deeb1e930ed,76.94315,75.87639,,5.85033,,,,2.79067,2.0162,-0.71315,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:10:04.94,2025-04-29T18:10:04.9400000-05:00,2025-04-29T23:10:04.9400000Z,FlyBall,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,c2979d11-f5d6-4c43-b484-f64029c959ec,55.4736,-115.39646,10.32117,6.60086,1.17699,-19.77362,-0.33431,-1.35931,3.83365,207.499186,2.79277,101.78772,-26.90235,6.98721,-1.44279,0.23017,-0.02878,0.00281,-0.00014,2.01653,64.69515,-13.91326,-0.9454,0.7559,-0.28937,0.06992,-0.00911,0.00048,-0.71286,64.22318,-7.0246,0.87726,-0.00988,-0.02149,0.00347,-7E-05,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
8,2025-04-29,18:10:53.97,4,1,"Hubka, Grant",1000114384,Right,LOU_BUL,"Voth, Brant",687928,Left,ARK_LIO,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,InPlay,Undefined,FlyBall,Sacrifice,1,1,,92.76783,-2.324825,-0.310436,2281.261925,196.942615,12:30,6.83481,0.12534,5.95735,-12.78044,19.46576,5.62969,3.61268,0.3066,85.146,-4.778302,0.701323,0.408706,87.73269,34.78095,-17.663138,3732.336543,100.82231,68.06939,-43.98701,302.607,259.31338,-33.210969,4.864461,-2.98378,10.93241,-0.10388,50,6.64299,0.48892,-134.76606,-5.82425,-5.51125,28.10016,-11.98127,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,339ee1e0-254f-11f0-a767-8deeb1e930ed,92.22393,82.54863,,7.62183,,,,1.09149,3.57869,-0.30589,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:10:53.97,2025-04-29T18:10:53.9710000-05:00,2025-04-29T23:10:53.9710000Z,FlyBall,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,696bb653-f0d2-48c2-ba86-90476c5e7468,54.5415,-135.70971,14.05008,6.83182,-5.4219,-5.99063,-0.12341,0.674,-2.75563,142.199205,1.0955,100.62098,-22.73302,5.0393,-0.74427,0.04774,-0.00133,0.00098,-0.00012,3.5793,73.37956,-19.00014,0.87721,0.19185,-0.17547,0.05724,-0.0085,0.00047,-0.30571,-32.07044,-3.3255,1.65639,-0.47118,0.10562,-0.01945,0.00234,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-04-29,18:11:30.98,5,1,"Hubka, Grant",1000114384,Right,LOU_BUL,"Small, Dane",10310987,Right,ARK_LIO,Undefined,1,Top,2,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.56335,1.765298,-0.14002,2221.634168,27.852105,7:00,6.70612,0.16544,5.44257,-56.23149,-11.71733,-6.85508,3.67357,-0.53692,73.71677,-8.422421,-1.362351,0.480198,,,,,,,,,,,,3.41083,-5.94016,-0.14824,50,6.82313,0.55517,-115.6732,1.5722,4.6535,20.16992,-40.27837,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,4997e1e0-254f-11f0-a767-8deeb1e930ed,78.4935,,,5.84658,,,,,,,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:11:30.98,2025-04-29T18:11:30.9860000-05:00,2025-04-29T23:11:30.9860000Z,,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,84eb5202-2870-487a-bf72-dfa6f518affc,55.06035,-116.55223,10.08496,6.71636,3.32759,-20.13919,-0.16801,0.35236,2.32675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-29,18:11:48.51,5,2,"Hubka, Grant",1000114384,Right,LOU_BUL,"Small, Dane",10310987,Right,ARK_LIO,Undefined,1,Top,2,1,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.61677,-3.266902,-1.524427,2167.193092,94.406775,9:15,6.50848,0.59621,5.39228,-38.76656,1.65039,-6.82729,0.21181,-1.40175,78.07714,-10.244413,-2.741604,0.457565,,,,,,,,,,,,3.10414,1.92815,-0.45503,50,6.18875,3.50195,-121.35295,-8.30994,4.67488,21.53869,-29.27023,LOU_BUL,ARK_LIO,JCLoveFieldatPatPattersonPark,D1,CUSA,20250429-JCLoveFieldatPatPattersonPark-1,541b8860-254f-11f0-a767-8deeb1e930ed,82.37607,,,5.53963,,,,,,,c87c35e6-650e-4984-aa0f-3730f4171c57,2025-04-29,23:11:48.51,2025-04-29T18:11:48.5140000-05:00,2025-04-29T23:11:48.5140000Z,,v3,3374,471509,29 April 2025 19:00-arkansaspb@latech,"Berch, Elijah (Eli)",1000222230,Right,LOU_BUL,493b907b-14d2-4640-a77c-b89088998080,55.10931,-122.25642,10.76935,6.51157,-7.08215,-14.63512,-0.59781,3.30586,2.33744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
