PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:06:01.33,1,1,"Siegel, Grant",701456,Right,UCF_KNI,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,0,0,Sinker,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.13088,-1.36538,-3.617521,1773.265892,237.299894,2:00,5.33718,1.33344,5.92592,-25.31383,10.44182,14.60863,1.95803,-0.81023,81.19064,-6.070837,-0.998706,0.430372,,,,,,,,,,,,-8.38209,6.03902,-1.05199,50,5.21342,7.47565,-127.88477,-3.88695,-13.99316,24.38253,-22.09246,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,22c13070-2546-11f0-9a37-ad54f74ad594,87.58113,,,6.94024,,,,,,,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:06:01.33,2025-04-29T18:06:01.3362688-04:00,2025-04-29T22:06:01.3362688Z,,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,efdc0c8a-ab89-4ceb-8da2-bd54dab9926b,54.57226,-128.75357,12.19126,5.33789,-3.09975,-11.04623,-1.32725,7.97425,-6.99658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-04-29,18:06:18.27,1,2,"Siegel, Grant",701456,Right,UCF_KNI,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,0,1,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.36001,-1.689955,-1.083879,1883.17099,229.704147,1:45,5.44854,1.28761,5.84565,-21.63474,13.36698,14.46954,2.07448,1.48607,81.88711,-5.738426,1.5123,0.42581,,,,,,,,,,,,-7.65142,7.63036,-1.20772,50,5.29836,1.83095,-129.77119,-4.5294,-13.06391,26.84286,-19.14611,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,2cbf2c30-2546-11f0-9a37-ad54f74ad594,88.51934,,,7.47289,,,,,,,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:06:18.27,2025-04-29T18:06:18.2780416-04:00,2025-04-29T22:06:18.2780416Z,,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,03723a8a-ef0a-4379-baab-533666bd6ed6,54.65121,-130.72974,13.42143,5.4479,-3.8457,-9.57305,-1.28143,2.29746,-6.53196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-04-29,18:06:36.50,1,3,"Siegel, Grant",701456,Right,UCF_KNI,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,1,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.34629,-1.615497,-2.123407,1878.562265,230.750175,1:45,5.28354,1.3198,5.84612,-22.16147,12.64981,14.22646,1.9341,0.53124,82.35274,-5.746394,0.427675,0.42465,79.85804,41.354316,-66.428419,4463.166077,29.88468,68.598,-105.86262,253.58285,86.90999,-83.718408,4.1703,-7.85945,7.20512,-1.15562,50,5.13899,4.22165,-129.80744,-4.39206,-13.51257,25.22757,-19.78645,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,37b877e0-2546-11f0-9a37-ad54f74ad594,88.76114,72.03644,,6.99356,,,,0.90112,1.75175,-0.36395,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:06:36.50,2025-04-29T18:06:36.5083136-04:00,2025-04-29T22:06:36.5083136Z,FlyBall,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,7cc3c227-ce3a-4149-a410-416419bf3b29,54.65329,-130.70865,12.61378,5.28326,-3.68521,-9.89323,-1.31506,4.70436,-6.75628,,0.90176,35.13204,-14.35571,3.07951,-0.40846,0.01923,0.0019,-0.0002,0,1.75129,77.40514,-25.92722,3.75641,-1.05745,0.27269,-0.05413,0.00688,-0.0004,-0.36363,-80.58979,9.70096,-2.25484,0.51953,-0.12275,0.02382,-0.00274,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
4,2025-04-29,18:07:01.84,1,4,"Siegel, Grant",701456,Right,UCF_KNI,"Monile, Nick",10006592,Left,NOF_OSP,Undefined,1,Top,0,1,2,Sinker,Sinker,InPlay,Undefined,LineDrive,Out,1,0,,91.58318,-1.099474,-2.382911,1905.294693,242.051677,2:00,5.38218,1.37991,5.66451,-23.80926,9.81564,16.48017,2.37188,0.53008,83.70427,-5.52405,0.561949,0.417351,96.69157,8.615312,-9.052751,1678.604379,107.2043,7.04168,-24.63935,155.54034,149.04463,-14.487374,1.31622,-9.05839,5.6115,-1.18919,50,5.27421,4.80182,-132.92196,-3.39723,-16.19512,28.67722,-22.14147,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,46cec5e0-2546-11f0-9a37-ad54f74ad594,90.31346,8.39298,,7.87891,,,,1.24198,2.25166,-0.52249,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:07:01.84,2025-04-29T18:07:01.8423296-04:00,2025-04-29T22:07:01.8423296Z,LineDrive,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,0d66a9c7-d4ba-4ede-b8a5-908b8db900a2,54.83402,-133.96082,14.33861,5.38275,-2.59513,-11.07074,-1.37377,5.3885,-8.09756,92.192585,1.24198,138.46737,-23.85744,4.75694,-1.01953,0.2086,-0.04332,0.00747,-0.00072,2.25166,21.24369,-19.28937,1.73686,-0.31803,0.06149,-0.01061,0.0018,-0.00018,-0.52249,-22.06178,-8.20694,2.99829,-0.8884,0.23496,-0.05672,0.0108,-0.00112,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-04-29,18:07:43.03,2,1,"Siegel, Grant",701456,Right,UCF_KNI,"Alford, Seth",10105214,Right,NOF_OSP,Undefined,1,Top,1,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.71266,-2.12803,-1.914864,1862.614379,237.284746,2:00,5.4991,1.27657,5.75493,-23.01497,9.93536,14.06241,1.59829,0.66532,85.15032,-6.376401,0.603786,0.413144,,,,,,,,,,,,-7.6263,5.85874,-1.1264,50,5.30836,3.84522,-133.29027,-5.76864,-13.92435,24.64843,-21.47692,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,5f61f8c0-2546-11f0-9a37-ad54f74ad594,91.23322,,,6.56234,,,,,,,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:07:43.03,2025-04-29T18:07:43.0339584-04:00,2025-04-29T22:07:43.0339584Z,,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,232a671c-8b11-4095-84f5-312c42d7b452,54.74468,-134.1648,12.32421,5.49951,-5.00663,-10.73846,-1.2716,4.33926,-6.96218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-04-29,18:08:02.38,2,2,"Siegel, Grant",701456,Right,UCF_KNI,"Alford, Seth",10105214,Right,NOF_OSP,Undefined,1,Top,1,1,0,Sinker,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,88.8045,-0.460305,-2.824116,1814.159018,236.334755,2:00,5.46598,1.34468,5.85889,-23.22726,12.08753,16.54773,3.1022,0.09781,81.51663,-4.800009,0.141065,0.42771,76.71359,4.541775,5.625415,1722.320749,,,,75.11877,74.78229,7.331117,0.722961,-9.24839,6.63032,-1.12537,50,5.41502,5.67575,-128.97569,-1.79768,-15.65645,25.56588,-20.94972,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,6ae64660-2546-11f0-9a37-ad54f74ad594,88.12609,4.04408,,7.28787,,,,1.07835,2.99993,-0.1119,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:08:02.38,2025-04-29T18:08:02.3889920-04:00,2025-04-29T22:08:02.3889920Z,GroundBall,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,76f49117-b70c-48db-9349-2345d9a5dc90,54.64043,-129.89227,12.78294,5.466,-1.04659,-10.47486,-1.33892,6.23706,-7.82823,290.78956,1.11055,111.01454,-13.1911,,,,,,,3.02948,8.35644,-17.40776,,,,,,,-0.12865,11.31092,2.96921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-04-29,18:08:42.99,3,1,"Siegel, Grant",701456,Right,UCF_KNI,"Collins, Mitchell",1000116355,Left,NOF_OSP,Undefined,1,Top,2,0,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.84916,0.327441,-1.364431,1991.064689,245.8923,2:15,5.49467,1.38689,5.72263,-24.36052,9.51288,19.00599,3.7697,1.69963,83.38439,-4.200457,2.036167,0.418891,,,,,,,,,,,,-10.00918,5.06666,-1.28474,50,5.507,2.30718,-132.03556,-0.10005,-17.75292,26.86725,-23.18749,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,8319cd10-2546-11f0-9a37-ad54f74ad594,89.98154,,,7.46478,,,,,,,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:08:42.99,2025-04-29T18:08:42.9917184-04:00,2025-04-29T22:08:42.9917184Z,,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,482f5305-87d9-45e1-b830-61713ff935a0,54.77617,-133.00389,13.43363,5.49554,0.73565,-11.59375,-1.37943,2.94702,-8.87646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-04-29,18:08:57.65,3,2,"Siegel, Grant",701456,Right,UCF_KNI,"Collins, Mitchell",1000116355,Left,NOF_OSP,Undefined,1,Top,2,1,0,Sinker,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,90.97693,-1.693599,-2.972391,1913.046614,239.03603,2:00,5.39534,1.23403,5.91532,-22.81753,10.44957,15.91162,1.91956,-0.20101,84.47365,-5.924564,-0.117554,0.415125,100.67521,7.022737,1.057283,3672.924525,109.97757,6.31652,-2.20362,160.83161,160.83161,-2.282641,1.29509,-8.93374,6.04032,-1.00513,50,5.24624,6.2112,-132.22131,-4.68749,-16.06508,24.01849,-21.31204,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,8bd4c180-2546-11f0-9a37-ad54f74ad594,90.79782,7.19719,,6.50328,,,,1.60155,1.94804,0.19244,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:08:57.65,2025-04-29T18:08:57.6596480-04:00,2025-04-29T22:08:57.6596480Z,GroundBall,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,f657cff4-5fe1-4d45-a14d-e1a0b6b979bd,54.58579,-133.05173,12.00925,5.39557,-3.95064,-10.65602,-1.22948,6.76663,-8.03254,111.653906,1.60154,146.525,-23.862,5.61133,-1.44925,0.50692,-0.12889,-0.01377,0.0121,1.94806,18.05053,-15.8899,0.50788,0.49715,-0.57494,0.17192,0.05956,-0.03235,0.19243,2.70555,-8.26474,2.39438,-0.89194,0.47091,-0.1299,-0.02944,0.01836,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2025-04-29,18:09:37.84,4,1,"Siegel, Grant",701456,Right,UCF_KNI,"Moore, Connor",10042937,Right,NOF_OSP,Undefined,1,Top,2,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.49711,-0.860353,-1.801327,2271.27121,152.744662,11:00,5.39195,1.26524,5.43605,-33.5836,7.95867,-3.46461,1.78721,-0.71083,76.12861,-7.009777,-2.417943,0.463891,,,,,,,,,,,,1.27315,4.62323,-1.10336,50,5.29264,3.90952,-119.77932,-2.95232,1.86074,21.83457,-25.41713,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,a3c72080-2546-11f0-9a37-ad54f74ad594,81.25271,,,6.36849,,,,,,,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:09:37.84,2025-04-29T18:09:37.8472448-04:00,2025-04-29T22:09:37.8472448Z,,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,7b950b5a-0e44-42b9-8c86-c10066e8dfc8,55.06122,-120.6984,10.91729,5.39439,-1.88244,-12.70856,-1.26628,3.8312,0.93037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-04-29,18:09:57.27,4,2,"Siegel, Grant",701456,Right,UCF_KNI,"Moore, Connor",10042937,Right,NOF_OSP,Undefined,1,Top,2,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,82.15508,-0.719575,-2.431706,2486.487025,146.432944,11:00,5.39784,1.30271,5.33029,-34.95986,6.83363,-3.77481,1.80873,-1.29481,76.35896,-7.08142,-3.101636,0.465292,,,,,,,,,,,,1.32614,3.93429,-1.08006,50,5.30739,5.21928,-119.33909,-2.71628,1.937,20.20367,-26.42743,UCF_KNI,NOF_OSP,JohnEulianoPark,D1,BIG12,20250429-JohnEulianoPark-1,af5f9260-2546-11f0-9a37-ad54f74ad594,81.00808,,,5.79612,,,,,,,bb845362-8a51-474c-8c44-8c05dd84b2e0,2025-04-29,22:09:57.27,2025-04-29T18:09:57.2772352-04:00,2025-04-29T22:09:57.2772352Z,,v3,471267,471510,29 April 2025 18:30-nflorida@ucf,"King, Dylan",695732,Right,UCF_KNI,b9241ca9-ea1e-4204-a6ed-fae469ff33ec,55.16954,-120.21109,10.10183,5.40001,-1.57566,-13.21371,-1.30353,5.13568,0.9685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
